Date,Dividend
2016-03-14,2230.89
2016-08-17,968.1746
2017-03-15,1927.51
2017-08-16,960.5904
2017-12-27,786.5658
2018-03-20,804.6144
2018-06-27,868.1666
2018-10-03,913.9703
2018-12-24,874.0763
2019-03-19,966.2901
2019-06-26,947.7765
2019-10-02,934.5917
2019-12-23,991.5129
2020-03-25,1057.98
2020-07-08,1121.99
2020-09-30,1103.93
2020-12-15,1077.39
2021-03-24,1117.16
2021-07-07,1058.46
2021-09-29,1083.51
2021-12-22,1137.01
2022-03-23,55.110395
2022-07-06,52.634246
2022-09-28,56.452342
2022-12-21,54.998358
2023-03-22,56.796933
2023-07-12,58.512182
2023-09-27,58.258089
2023-12-20,59.21225
2024-03-19,58.599882
2024-06-26,59.779249
2024-09-25,59.607582
2024-12-18,58.662554
2025-03-26,60.373716
2025-06-25,60.166041
2025-10-01,60.789898
2025-12-24,60.294696
2026-03-25,60.566917
2026-07-08,61.26
2026-09-30,61.26
2026-12-24,61.26
