"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2026","18.75","18.86","18.93","18.72","1.99M","-0.58%"
"04/06/2026","18.86","18.57","18.91","18.53","3.73M","2.61%"
"04/05/2026","18.38","18.30","18.70","18.25","6.99M","0.99%"
"04/02/2026","18.20","18.49","18.61","18.19","4.15M","-1.57%"
"04/01/2026","18.49","18.13","18.49","18.10","4.50M","2.72%"
"03/31/2026","18.00","18.40","18.50","17.80","3.42M","-1.37%"
"03/30/2026","18.25","18.70","18.82","18.21","1.00M","-2.41%"
"03/29/2026","18.70","18.77","18.83","18.50","1.08M","-0.37%"
"03/26/2026","18.77","19.10","19.22","18.77","2.29M","-1.21%"
"03/25/2026","19.00","18.51","19.15","18.48","7.07M","2.81%"
"03/24/2026","18.48","18.69","18.80","18.40","2.46M","-0.86%"
"03/18/2026","18.64","18.50","18.97","18.50","3.55M","1.30%"
"03/17/2026","18.40","18.37","19.11","18.30","4.21M","0.82%"
"03/16/2026","18.25","18.70","18.87","17.88","2.25M","-2.14%"
"03/15/2026","18.65","18.99","18.99","18.57","852.70K","-1.58%"
"03/12/2026","18.95","19.22","19.22","18.75","1.67M","-1.40%"
"03/11/2026","19.22","19.16","19.35","19.10","1.66M","1.16%"
"03/10/2026","19.00","18.75","19.13","18.67","4.95M","2.15%"
"03/09/2026","18.60","19.80","19.80","18.60","8.43M","-5.92%"
"03/08/2026","19.77","19.86","20.49","19.20","2.47M","-1.15%"
"03/05/2026","20.00","19.35","20.19","19.35","4.56M","4.17%"
"03/04/2026","19.20","19.48","19.54","18.50","3.15M","-0.67%"
"03/03/2026","19.33","19.85","19.90","18.95","5.01M","-3.69%"
"03/02/2026","20.07","20.00","20.22","19.50","3.68M","2.29%"
"03/01/2026","19.62","19.80","20.50","18.66","2.89M","-5.35%"
"02/26/2026","20.73","21.55","21.55","20.55","3.18M","-0.34%"
"02/25/2026","20.80","21.58","21.70","20.50","2.42M","-3.26%"
"02/24/2026","21.50","22.30","22.49","21.40","4.72M","-3.28%"
"02/23/2026","22.23","21.59","22.62","21.03","2.31M","2.96%"
"02/22/2026","21.59","22.50","22.69","20.10","4.87M","-4.04%"
"02/19/2026","22.50","23.26","23.28","22.16","5.21M","-3.35%"
"02/18/2026","23.28","22.60","23.28","22.56","4.61M","3.01%"
"02/17/2026","22.60","22.90","22.90","22.48","2.51M","-0.88%"
"02/16/2026","22.80","23.20","23.54","22.60","7.15M","-1.30%"
"02/15/2026","23.10","22.90","23.10","22.61","2.78M","1.32%"
"02/12/2026","22.80","22.45","22.80","22.20","2.12M","1.56%"
"02/11/2026","22.45","22.85","22.90","22.30","1.43M","-1.54%"
"02/10/2026","22.80","22.80","23.00","22.35","2.18M","0.00%"
"02/09/2026","22.80","22.77","23.15","22.55","3.31M","-0.44%"
"02/08/2026","22.90","23.12","23.49","22.66","2.77M","0.00%"
"02/05/2026","22.90","22.42","23.00","22.07","5.27M","2.14%"
"02/04/2026","22.42","22.48","22.65","22.27","6.82M","0.76%"
"02/03/2026","22.25","21.80","23.70","21.65","13.20M","2.06%"
"02/02/2026","21.80","21.95","22.00","21.40","3.25M","-0.59%"
"02/01/2026","21.93","21.98","22.05","21.10","2.64M","1.29%"
"01/28/2026","21.65","22.20","22.39","21.25","5.12M","-2.48%"
"01/27/2026","22.20","22.19","22.46","22.00","5.18M","0.91%"
"01/26/2026","22.00","21.90","22.47","21.65","6.68M","0.05%"
"01/25/2026","21.99","22.26","23.00","21.51","4.35M","-0.95%"
"01/22/2026","22.20","21.60","23.34","21.45","14.96M","2.92%"
"01/21/2026","21.57","21.21","21.90","20.62","8.19M","1.84%"
"01/20/2026","21.18","19.81","22.50","19.65","9.89M","7.02%"
"01/19/2026","19.79","19.90","19.97","19.51","2.26M","-0.75%"
"01/18/2026","19.94","19.70","20.00","19.25","1.09M","1.89%"
"01/15/2026","19.57","19.80","20.07","19.30","1.71M","-0.91%"
"01/14/2026","19.75","19.07","19.98","18.60","2.24M","3.67%"
"01/13/2026","19.05","20.49","20.68","19.00","3.93M","-4.99%"
"01/12/2026","20.05","20.00","20.34","19.70","1.50M","0.25%"
"01/11/2026","20.00","19.20","20.19","19.20","3.71M","3.90%"
"01/08/2026","19.25","19.00","20.00","18.90","2.80M","1.85%"
"01/06/2026","18.90","18.19","19.10","18.19","4.36M","4.71%"
"01/05/2026","18.05","17.80","18.70","16.69","9.61M","2.27%"
"01/04/2026","17.65","18.50","18.74","17.60","2.12M","-4.54%"
"12/31/2025","18.49","18.38","19.00","17.90","1.77M","0.60%"
"12/30/2025","18.38","18.20","18.40","18.00","856.35K","0.77%"
"12/29/2025","18.24","18.29","18.38","18.16","1.51M","-0.27%"
"12/28/2025","18.29","17.80","18.39","17.74","1.26M","3.33%"
"12/25/2025","17.70","18.10","18.20","17.62","874.25K","-1.72%"
"12/24/2025","18.01","18.05","18.47","17.90","788.40K","0.06%"
"12/23/2025","18.00","17.62","18.00","17.62","2.32M","2.27%"
"12/22/2025","17.60","17.81","17.95","17.50","2.26M","-1.12%"
"12/21/2025","17.80","17.71","18.00","17.70","857.15K","0.56%"
"12/18/2025","17.70","17.97","18.90","17.60","1.72M","-1.17%"
"12/17/2025","17.91","17.86","18.18","17.61","1.90M","0.28%"
"12/16/2025","17.86","18.65","18.97","17.71","5.23M","-3.98%"
"12/15/2025","18.60","18.60","19.50","18.55","3.44M","0.00%"
"12/14/2025","18.60","18.06","18.63","18.06","2.97M","3.33%"
"12/11/2025","18.00","18.05","18.50","18.00","4.15M","0.00%"
"12/10/2025","18.00","17.67","18.22","17.60","8.00M","1.98%"
"12/09/2025","17.65","17.45","17.70","17.45","3.52M","1.73%"
"12/08/2025","17.35","17.14","17.60","17.09","2.71M","1.58%"
"12/07/2025","17.08","16.53","17.30","16.53","5.13M","3.39%"
"12/04/2025","16.52","16.10","16.80","16.01","7.35M","3.25%"
"12/03/2025","16.00","15.95","16.08","15.65","13.84M","1.01%"
"12/02/2025","15.84","16.20","16.25","15.77","1.47M","-2.22%"
"12/01/2025","16.20","16.30","16.30","16.00","1.17M","0.00%"
"11/30/2025","16.20","15.88","16.25","15.60","2.34M","3.85%"
"11/27/2025","15.60","15.10","15.94","14.80","2.65M","3.31%"
"11/26/2025","15.10","15.55","15.60","15.00","2.69M","-2.89%"
"11/25/2025","15.55","15.80","15.95","15.52","2.32M","-1.58%"
"11/24/2025","15.80","16.00","16.25","15.51","9.73M","-1.56%"
"11/23/2025","16.05","16.26","16.45","16.05","494.12K","-1.47%"
"11/20/2025","16.29","16.70","16.70","16.21","804.41K","-2.34%"
"11/19/2025","16.68","16.40","16.70","16.02","3.01M","2.33%"
"11/18/2025","16.30","16.19","16.49","15.65","5.21M","0.25%"
"11/17/2025","16.26","16.62","16.69","16.00","3.64M","-1.99%"
"11/16/2025","16.59","16.30","16.60","16.18","2.33M","2.98%"
"11/13/2025","16.11","15.65","16.39","15.65","7.57M","3.40%"
"11/12/2025","15.58","15.42","16.04","15.42","7.32M","1.04%"
"11/11/2025","15.42","15.52","15.57","15.32","2.46M","-0.52%"
"11/10/2025","15.50","15.40","15.67","15.17","4.06M","0.65%"
"11/09/2025","15.40","14.77","15.40","14.75","8.14M","4.41%"
"11/06/2025","14.75","14.45","14.81","14.14","6.81M","1.72%"
"11/05/2025","14.50","14.81","15.00","14.40","3.67M","-2.09%"
"11/04/2025","14.81","14.78","15.00","14.76","3.16M","0.34%"
"11/03/2025","14.76","14.70","14.89","14.54","4.72M","1.10%"
"11/02/2025","14.60","14.40","14.70","14.25","3.05M","1.81%"
"10/30/2025","14.34","13.83","14.54","13.83","6.22M","3.24%"
"10/29/2025","13.89","14.20","14.20","13.88","2.34M","-1.49%"
"10/28/2025","14.10","14.25","14.41","13.86","2.73M","-0.91%"
"10/27/2025","14.23","14.16","14.39","13.91","3.75M","0.64%"
"10/26/2025","14.14","13.37","14.15","13.30","16.25M","6.32%"
"10/23/2025","13.30","13.09","13.34","13.02","1.95M","1.14%"
"10/22/2025","13.15","13.21","13.26","13.07","1.04M","-0.38%"
"10/21/2025","13.20","13.43","13.44","13.13","1.75M","-1.49%"
"10/20/2025","13.40","13.40","13.46","13.25","4.97M","0.37%"
"10/19/2025","13.35","13.00","13.40","12.93","4.48M","2.93%"
"10/16/2025","12.97","13.04","13.10","12.91","4.99M","-0.31%"
"10/15/2025","13.01","13.05","13.10","13.00","4.84M","0.00%"
"10/14/2025","13.01","12.94","13.13","12.87","7.04M","1.17%"
"10/13/2025","12.86","12.60","12.86","12.35","8.44M","2.06%"
"10/12/2025","12.60","12.70","12.70","12.55","1.65M","-0.79%"
"10/08/2025","12.70","12.90","12.93","12.68","3.68M","-1.17%"
"10/07/2025","12.85","12.78","12.85","12.70","2.86M","1.10%"
"10/06/2025","12.71","12.80","12.88","12.63","4.59M","-0.70%"
"10/05/2025","12.80","12.91","12.95","12.74","2.10M","0.00%"
"10/02/2025","12.80","12.86","13.02","12.71","2.94M","-0.39%"
"10/01/2025","12.85","13.00","13.20","12.80","10.15M","0.39%"
"09/30/2025","12.80","12.58","12.80","12.41","3.76M","1.83%"
"09/29/2025","12.57","12.69","12.81","12.54","4.11M","-0.95%"
"09/28/2025","12.69","12.50","12.80","12.50","4.09M","1.85%"
"09/25/2025","12.46","12.40","12.70","12.40","2.78M","0.48%"
"09/24/2025","12.40","12.42","12.53","12.33","745.83K","0.00%"
"09/23/2025","12.40","12.00","12.55","11.95","5.62M","3.94%"
"09/22/2025","11.93","12.10","12.14","11.90","958.48K","-1.40%"
"09/21/2025","12.10","12.15","12.15","11.98","1.55M","0.83%"
"09/18/2025","12.00","11.97","12.25","11.90","2.25M","0.33%"
"09/17/2025","11.96","12.00","12.08","11.90","1.29M","-0.33%"
"09/16/2025","12.00","12.36","12.38","12.00","2.29M","-2.44%"
"09/15/2025","12.30","12.62","12.68","12.27","2.79M","-2.54%"
"09/14/2025","12.62","12.75","12.75","12.60","855.65K","-0.94%"
"09/11/2025","12.74","12.50","12.74","12.48","1.66M","2.25%"
"09/10/2025","12.46","12.29","12.52","12.21","1.33M","1.55%"
"09/09/2025","12.27","12.42","12.54","12.17","1.82M","-0.89%"
"09/08/2025","12.38","12.86","13.12","12.38","4.28M","-3.81%"
"09/07/2025","12.87","13.20","13.20","12.82","843.24K","-1.61%"
"09/03/2025","13.08","13.28","13.39","12.95","2.09M","-1.65%"
"09/02/2025","13.30","13.48","13.54","13.30","576.46K","-1.04%"
"09/01/2025","13.44","13.42","13.65","13.22","1.24M","0.15%"
"08/31/2025","13.42","13.90","14.00","13.15","1.17M","-3.38%"
"08/28/2025","13.89","13.72","13.90","13.68","1.39M","1.39%"
"08/27/2025","13.70","13.91","13.91","13.68","1.60M","-1.08%"
"08/26/2025","13.85","14.19","14.20","13.85","1.96M","-1.63%"
"08/25/2025","14.08","13.97","14.23","13.96","4.61M","0.93%"
"08/24/2025","13.95","13.65","13.97","13.60","2.76M","2.57%"
"08/21/2025","13.60","13.63","13.80","13.51","1.02M","-0.22%"
"08/20/2025","13.63","13.78","13.96","13.60","1.03M","-1.02%"
"08/19/2025","13.77","13.70","13.83","13.61","1.21M","1.25%"
"08/18/2025","13.60","13.99","13.99","13.58","1.20M","-2.51%"
"08/17/2025","13.95","14.00","14.03","13.70","1.46M","0.00%"
"08/14/2025","13.95","14.17","14.35","13.76","3.87M","-1.48%"
"08/13/2025","14.16","14.12","14.50","13.95","4.25M","0.35%"
"08/12/2025","14.11","14.22","14.25","13.95","2.68M","-0.77%"
"08/11/2025","14.22","13.98","14.23","13.71","4.86M","1.94%"
"08/10/2025","13.95","13.91","14.30","13.88","6.57M","0.94%"
"08/07/2025","13.82","13.00","14.00","12.96","7.19M","6.31%"
"08/06/2025","13.00","13.00","13.05","12.86","2.52M","0.00%"
"08/05/2025","13.00","12.84","13.10","12.63","3.20M","1.25%"
"08/04/2025","12.84","12.35","12.85","12.35","3.54M","3.97%"
"08/03/2025","12.35","12.19","12.35","12.12","1.28M","1.23%"
"07/31/2025","12.20","12.04","12.20","11.91","755.52K","2.52%"
"07/30/2025","11.90","12.39","12.39","11.87","899.61K","-3.25%"
"07/29/2025","12.30","12.12","12.30","12.07","925.99K","2.16%"
"07/28/2025","12.04","12.40","12.48","12.02","1.19M","-2.82%"
"07/27/2025","12.39","12.35","12.39","12.18","1.35M","0.73%"
"07/23/2025","12.30","12.31","12.40","12.21","783.51K","0.24%"
"07/22/2025","12.27","12.49","12.55","12.26","734.39K","-1.52%"
"07/21/2025","12.46","12.18","12.46","12.11","2.29M","2.89%"
"07/20/2025","12.11","12.14","12.28","12.05","1.14M","-0.16%"
"07/17/2025","12.13","12.25","12.30","12.13","625.26K","0.00%"
"07/16/2025","12.13","12.23","12.55","12.05","4.15M","-0.82%"
"07/15/2025","12.23","12.30","12.40","12.21","1.03M","-0.49%"
"07/14/2025","12.29","12.30","12.40","12.14","609.17K","0.82%"
"07/13/2025","12.19","12.56","12.60","12.15","758.49K","-2.79%"
"07/10/2025","12.54","12.50","12.59","12.43","363.51K","0.32%"
"07/09/2025","12.50","12.36","12.60","12.30","620.07K","0.64%"
"07/07/2025","12.42","12.70","12.75","12.41","805.39K","-1.51%"
"07/06/2025","12.61","12.50","12.88","12.41","2.41M","1.69%"
"07/02/2025","12.40","12.38","12.50","12.24","539.88K","-0.48%"
"07/01/2025","12.46","12.81","12.94","12.14","1.73M","-2.66%"
"06/30/2025","12.80","12.89","13.09","12.60","2.30M","-0.78%"
"06/29/2025","12.90","12.68","12.90","12.48","2.20M","1.74%"
"06/25/2025","12.68","12.47","12.79","12.10","1.71M","1.68%"
"06/24/2025","12.47","11.62","12.59","11.62","3.22M","8.06%"
"06/23/2025","11.54","11.39","11.58","11.35","2.72M","2.12%"
"06/22/2025","11.30","11.10","11.40","10.90","1.07M","0.89%"
"06/19/2025","11.20","11.23","11.33","10.96","1.52M","-0.09%"
"06/18/2025","11.21","11.09","11.40","10.94","1.18M","1.26%"
"06/17/2025","11.07","11.43","11.56","11.07","1.01M","-2.98%"
"06/16/2025","11.41","11.61","11.86","11.40","1.49M","-1.55%"
"06/15/2025","11.59","11.88","11.99","11.01","1.80M","-6.08%"
"06/12/2025","12.34","12.44","12.44","12.19","1.08M","-0.80%"
"06/11/2025","12.44","12.65","12.68","12.40","1.31M","-1.50%"
"06/10/2025","12.63","12.64","12.67","12.50","1.03M","0.24%"
"06/04/2025","12.60","12.40","12.68","12.28","1.94M","2.02%"
"06/03/2025","12.35","12.35","12.42","12.23","1.04M","0.24%"
"06/02/2025","12.32","12.60","12.69","12.01","1.77M","-1.96%"
"06/01/2025","12.57","12.83","12.93","12.56","1.03M","-2.08%"
"05/29/2025","12.83","12.87","12.87","12.74","1.28M","0.21%"
"05/28/2025","12.81","12.96","13.05","12.79","1.33M","-0.98%"
"05/27/2025","12.93","13.09","13.19","12.67","1.34M","-1.17%"
"05/26/2025","13.09","13.18","13.32","13.08","3.01M","-33.81%"
"05/25/2025","19.77","19.20","19.78","19.20","3.41M","3.24%"
