"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","3.620","3.660","3.690","3.620","75.27M","-0.82%"
"03/25/2026","3.650","3.730","3.750","3.640","127.65M","-2.14%"
"03/24/2026","3.730","3.640","3.750","3.600","113.91M","3.32%"
"03/18/2026","3.610","3.640","3.670","3.600","31.90M","-0.28%"
"03/17/2026","3.620","3.620","3.660","3.590","39.84M","0.28%"
"03/16/2026","3.610","3.710","3.740","3.590","57.98M","-2.43%"
"03/15/2026","3.700","3.720","3.800","3.690","144.38M","0.27%"
"03/12/2026","3.690","3.790","3.790","3.650","67.23M","1.10%"
"03/11/2026","3.650","3.640","3.710","3.620","57.13M","1.11%"
"03/10/2026","3.610","3.750","3.750","3.590","96.47M","-2.96%"
"03/09/2026","3.720","3.800","3.880","3.700","162.99M","0.00%"
"03/08/2026","3.720","3.780","3.900","3.710","187.03M","3.91%"
"03/05/2026","3.580","3.430","3.640","3.430","171.55M","5.92%"
"03/04/2026","3.380","3.310","3.430","3.280","88.82M","4.00%"
"03/03/2026","3.250","3.150","3.260","3.060","48.89M","3.50%"
"03/02/2026","3.140","3.070","3.160","3.050","48.54M","2.61%"
"03/01/2026","3.060","3.000","3.100","2.970","58.23M","-4.08%"
"02/26/2026","3.190","3.270","3.310","3.090","40.83M","-2.15%"
"02/25/2026","3.260","3.370","3.380","3.250","53.81M","-3.26%"
"02/24/2026","3.370","3.410","3.440","3.350","42.35M","-1.75%"
"02/23/2026","3.430","3.370","3.430","3.360","26.17M","1.78%"
"02/22/2026","3.370","3.420","3.440","3.340","14.87M","-1.17%"
"02/19/2026","3.410","3.510","3.540","3.390","48.38M","-2.57%"
"02/18/2026","3.500","3.450","3.520","3.440","68.93M","1.74%"
"02/17/2026","3.440","3.430","3.500","3.420","57.01M","0.00%"
"02/16/2026","3.440","3.460","3.530","3.420","76.56M","-0.29%"
"02/15/2026","3.450","3.470","3.500","3.420","72.33M","0.00%"
"02/12/2026","3.450","3.380","3.510","3.370","133.32M","2.07%"
"02/11/2026","3.380","3.380","3.420","3.380","57.23M","0.00%"
"02/10/2026","3.380","3.430","3.450","3.350","68.40M","-1.46%"
"02/09/2026","3.430","3.420","3.430","3.360","48.60M","0.88%"
"02/08/2026","3.400","3.480","3.510","3.370","59.96M","-1.73%"
"02/05/2026","3.460","3.550","3.570","3.440","78.72M","-2.26%"
"02/04/2026","3.540","3.550","3.590","3.510","107.66M","-0.28%"
"02/03/2026","3.550","3.510","3.600","3.490","103.13M","1.43%"
"02/02/2026","3.500","3.520","3.530","3.450","102.83M","-0.57%"
"02/01/2026","3.520","3.380","3.530","3.360","176.42M","4.76%"
"01/28/2026","3.360","3.340","3.370","3.290","69.69M","0.90%"
"01/27/2026","3.330","3.340","3.410","3.320","82.24M","0.00%"
"01/26/2026","3.330","3.380","3.410","3.280","127.03M","-1.48%"
"01/25/2026","3.380","3.300","3.380","3.270","108.67M","3.36%"
"01/22/2026","3.270","3.390","3.390","3.270","97.65M","-2.97%"
"01/21/2026","3.370","3.390","3.410","3.350","64.66M","-0.30%"
"01/20/2026","3.380","3.380","3.460","3.370","116.84M","0.30%"
"01/19/2026","3.370","3.380","3.400","3.360","65.56M","0.30%"
"01/18/2026","3.360","3.370","3.450","3.350","66.33M","0.60%"
"01/15/2026","3.340","3.360","3.430","3.300","49.16M","-0.30%"
"01/14/2026","3.350","3.370","3.410","3.250","90.30M","-0.30%"
"01/13/2026","3.360","3.570","3.590","3.360","84.99M","-5.88%"
"01/12/2026","3.570","3.620","3.660","3.520","66.77M","-1.11%"
"01/11/2026","3.610","3.630","3.660","3.590","70.60M","-0.28%"
"01/08/2026","3.620","3.700","3.730","3.620","57.83M","-2.43%"
"01/06/2026","3.710","3.630","3.710","3.620","44.54M","2.49%"
"01/05/2026","3.620","3.720","3.720","3.590","100.51M","-2.16%"
"01/04/2026","3.700","3.780","3.850","3.680","76.65M","-1.60%"
"12/31/2025","3.760","3.760","3.820","3.760","89.48M","0.27%"
"12/30/2025","3.750","3.740","3.800","3.730","62.46M","0.27%"
"12/29/2025","3.740","3.750","3.820","3.720","93.29M","0.00%"
"12/28/2025","3.740","3.620","3.740","3.580","87.30M","3.60%"
"12/25/2025","3.610","3.700","3.720","3.550","145.09M","-2.17%"
"12/24/2025","3.690","3.750","3.790","3.680","79.04M","-1.34%"
"12/23/2025","3.740","3.860","3.860","3.730","91.69M","-2.86%"
"12/22/2025","3.850","3.880","3.910","3.820","86.15M","-0.52%"
"12/21/2025","3.870","3.900","3.940","3.840","90.88M","-0.26%"
"12/18/2025","3.880","3.860","3.910","3.850","92.93M","0.78%"
"12/17/2025","3.850","3.880","3.930","3.840","67.05M","-0.77%"
"12/16/2025","3.880","3.950","3.980","3.860","113.24M","-1.02%"
"12/15/2025","3.920","3.900","3.970","3.860","100.16M","1.29%"
"12/14/2025","3.870","3.950","3.960","3.850","111.65M","-2.03%"
"12/11/2025","3.950","3.980","4.060","3.950","181.17M","-0.75%"
"12/10/2025","3.980","4.000","4.030","3.950","185.16M","1.79%"
"12/09/2025","3.910","3.810","3.910","3.790","174.74M","2.89%"
"12/08/2025","3.800","3.920","3.940","3.770","117.59M","-2.56%"
"12/07/2025","3.900","3.970","4.030","3.870","218.89M","-0.76%"
"12/04/2025","3.930","3.890","4.040","3.880","389.78M","2.08%"
"12/03/2025","3.850","3.950","3.970","3.790","248.53M","-1.03%"
"12/02/2025","3.890","4.130","4.270","3.800","583.23M","-4.66%"
"12/01/2025","4.080","3.750","4.150","3.750","484.55M","10.57%"
"11/30/2025","3.690","3.240","3.690","3.230","433.79M","14.60%"
"11/27/2025","3.220","3.290","3.310","3.190","170.01M","-1.83%"
