Date,FX
2016-01-01,7.7142
2016-01-02,7.7142
2016-01-03,7.7203
2016-01-04,7.809
2016-01-05,7.8073
2016-01-06,7.8072
2016-01-07,7.8075
2016-01-08,7.6553
2016-01-09,7.6553
2016-01-10,7.6463
2016-01-11,7.8057
2016-01-12,7.8096
2016-01-13,7.8051
2016-01-14,7.8064
2016-01-15,7.6847
2016-01-16,7.6847
2016-01-17,7.6794
2016-01-18,7.8086
2016-01-19,7.8055
2016-01-20,7.8071
2016-01-21,7.8123
2016-01-22,7.7153
2016-01-23,7.8069
2016-01-24,7.8074
2016-01-25,7.8046
2016-01-26,7.807
2016-01-27,7.8064
2016-01-28,7.8109
2016-01-29,7.7518
2016-01-30,7.7518
2016-01-31,7.7554
2016-02-01,7.8089
2016-02-02,7.8088
2016-02-03,7.8043
2016-02-04,7.8101
2016-02-05,7.8088
2016-02-06,7.8088
2016-02-07,7.8189
2016-02-08,7.8071
2016-02-09,7.8065
2016-02-10,7.8089
2016-02-11,7.8065
2016-02-12,7.7119
2016-02-13,7.7119
2016-02-14,7.7336
2016-02-15,7.8042
2016-02-16,7.8083
2016-02-17,7.8113
2016-02-18,7.8057
2016-02-19,7.6755
2016-02-20,7.6755
2016-02-21,7.6818
2016-02-22,7.8064
2016-02-23,7.8037
2016-02-24,7.8099
2016-02-25,7.8042
2016-02-26,7.7594
2016-02-27,7.7594
2016-02-28,7.7631
2016-02-29,7.8064
2016-03-01,7.8045
2016-03-02,7.8068
2016-03-03,7.8073
2016-03-04,7.6774
2016-03-05,7.6774
2016-03-06,7.6874
2016-03-07,7.8095
2016-03-08,7.8038
2016-03-09,7.8097
2016-03-10,7.8089
2016-03-11,7.666
2016-03-12,7.666
2016-03-13,7.6522
2016-03-14,8.9272
2016-03-15,8.9255
2016-03-16,8.8539
2016-03-17,8.8579
2016-03-18,8.8572
2016-03-19,8.8572
2016-03-20,8.852
2016-03-21,8.8597
2016-03-22,8.8584
2016-03-23,8.8586
2016-03-24,8.8741
2016-03-25,8.8697
2016-03-26,8.8697
2016-03-27,8.8748
2016-03-28,8.8404
2016-03-29,8.8569
2016-03-30,8.8575
2016-03-31,8.858
2016-04-01,8.8584
2016-04-02,8.8584
2016-04-03,8.8609
2016-04-04,8.8589
2016-04-05,8.8608
2016-04-06,8.8544
2016-04-07,8.8591
2016-04-08,8.8592
2016-04-09,8.8592
2016-04-10,8.8554
2016-04-11,8.8583
2016-04-12,8.8576
2016-04-13,8.8557
2016-04-14,8.8557
2016-04-15,8.8605
2016-04-16,8.8605
2016-04-17,8.8518
2016-04-18,8.8578
2016-04-19,8.855
2016-04-20,8.8552
2016-04-21,8.857
2016-04-22,8.8606
2016-04-23,8.8629
2016-04-24,8.8547
2016-04-25,8.8574
2016-04-26,8.8602
2016-04-27,8.8545
2016-04-28,8.8566
2016-04-29,8.8638
2016-04-30,8.8638
2016-05-01,8.8531
2016-05-02,8.8568
2016-05-03,8.8562
2016-05-04,8.8596
2016-05-05,8.8579
2016-05-06,8.8566
2016-05-07,8.8566
2016-05-08,8.8709
2016-05-09,8.8576
2016-05-10,8.8558
2016-05-11,8.8574
2016-05-12,8.8567
2016-05-13,8.8578
2016-05-14,8.8578
2016-05-15,8.8508
2016-05-16,8.8585
2016-05-17,8.8577
2016-05-18,8.8556
2016-05-19,8.8555
2016-05-20,8.8576
2016-05-21,8.8576
2016-05-22,8.8585
2016-05-23,8.8557
2016-05-24,8.8562
2016-05-25,8.8533
2016-05-26,8.8567
2016-05-27,8.8634
2016-05-28,8.8634
2016-05-29,8.8654
2016-05-30,8.8546
2016-05-31,8.8557
2016-06-01,8.8557
2016-06-02,8.8566
2016-06-03,8.8637
2016-06-04,8.8637
2016-06-05,8.8778
2016-06-06,8.8529
2016-06-07,8.8584
2016-06-08,8.8563
2016-06-09,8.8571
2016-06-10,8.8588
2016-06-11,8.8588
2016-06-12,8.8687
2016-06-13,8.8608
2016-06-14,8.8567
2016-06-15,8.8581
2016-06-16,8.8536
2016-06-17,8.859
2016-06-18,8.859
2016-06-19,8.6843
2016-06-20,8.8554
2016-06-21,8.8574
2016-06-22,8.8606
2016-06-23,8.8583
2016-06-24,8.6913
2016-06-25,8.6913
2016-06-26,8.7591
2016-06-27,8.8582
2016-06-28,8.7571
2016-06-29,8.8575
2016-06-30,8.8623
2016-07-01,8.8569
2016-07-02,8.7326
2016-07-03,8.7415
2016-07-04,8.8573
2016-07-05,8.8552
2016-07-06,8.8545
2016-07-07,8.8556
2016-07-08,8.859
2016-07-09,8.859
2016-07-10,8.8657
2016-07-11,8.8577
2016-07-12,8.8615
2016-07-13,8.8579
2016-07-14,8.8585
2016-07-15,8.8517
2016-07-16,8.8572
2016-07-17,8.8426
2016-07-18,8.8564
2016-07-19,8.8579
2016-07-20,8.8574
2016-07-21,8.8565
2016-07-22,8.854
2016-07-23,8.854
2016-07-24,8.8589
2016-07-25,8.8588
2016-07-26,8.8546
2016-07-27,8.8542
2016-07-28,8.8584
2016-07-29,8.86
2016-07-30,8.86
2016-07-31,8.8661
2016-08-01,8.8562
2016-08-02,8.8575
2016-08-03,8.8559
2016-08-04,8.8543
2016-08-05,8.8551
2016-08-06,8.8551
2016-08-07,8.8541
2016-08-08,8.8586
2016-08-09,8.8573
2016-08-10,8.8596
2016-08-11,8.8559
2016-08-12,8.858
2016-08-13,8.858
2016-08-14,8.8782
2016-08-15,8.8754
2016-08-16,8.8777
2016-08-17,8.8763
2016-08-18,8.8548
2016-08-19,8.8564
2016-08-20,8.8564
2016-08-21,8.8981
2016-08-22,8.8768
2016-08-23,8.8778
2016-08-24,8.878
2016-08-25,8.8576
2016-08-26,8.8548
2016-08-27,8.8548
2016-08-28,8.8202
2016-08-29,8.8758
2016-08-30,8.8769
2016-08-31,8.8766
2016-09-01,8.8737
2016-09-02,8.8598
2016-09-03,8.861
2016-09-04,8.857
2016-09-05,8.8752
2016-09-06,8.8769
2016-09-07,8.8771
2016-09-08,8.8775
