Date,FX
2016-01-01,3.8189
2016-01-04,3.8384
2016-01-05,3.8098
2016-01-06,3.81
2016-01-07,3.81
2016-01-08,3.7739
2016-01-11,3.891
2016-01-12,3.8363
2016-01-13,3.8274
2016-01-14,3.8486
2016-01-15,3.958
2016-01-18,3.948
2016-01-19,3.9402
2016-01-20,3.9489
2016-01-21,3.9597
2016-01-22,4.0093
2016-01-23,4.0093
2016-01-25,3.9345
2016-01-26,4.0115
2016-01-27,3.8432
2016-01-28,3.96
2016-01-29,3.9976
2016-02-01,4.0177
2016-02-02,3.9672
2016-02-03,3.9054
2016-02-04,3.99
2016-02-05,3.99
2016-02-08,3.99
2016-02-09,3.9315
2016-02-10,3.97
2016-02-11,3.95
2016-02-12,3.9054
2016-02-14,3.9054
2016-02-15,3.98
2016-02-16,3.96
2016-02-17,3.9551
2016-02-18,3.9392
2016-02-19,3.9201
2016-02-20,3.9201
2016-02-22,3.9301
2016-02-23,3.98
2016-02-24,3.8752
2016-02-25,3.8775
2016-02-26,3.8851
2016-02-29,3.92
2016-03-01,3.8599
2016-03-02,3.92
2016-03-03,3.8091
2016-03-04,3.8292
2016-03-07,3.825
2016-03-08,3.8391
2016-03-09,3.8473
2016-03-10,3.8758
2016-03-11,3.8081
2016-03-14,3.829
2016-03-15,3.83
2016-03-16,3.7908
2016-03-17,3.8311
2016-03-18,3.8473
2016-03-19,3.8473
2016-03-21,3.83
2016-03-22,3.83
2016-03-23,3.83
2016-03-24,3.82
2016-03-25,3.83
2016-03-28,3.82
2016-03-29,3.83
2016-03-30,3.8242
2016-03-31,3.81
2016-04-01,3.82
2016-04-04,3.81
2016-04-05,3.82
2016-04-06,3.797
2016-04-07,3.8117
2016-04-08,3.82
2016-04-11,3.81
2016-04-12,3.81
2016-04-13,3.81
2016-04-14,3.81
2016-04-15,3.81
2016-04-18,3.82
2016-04-19,3.82
2016-04-20,3.83
2016-04-21,3.8134
2016-04-22,3.835
2016-04-25,3.81
2016-04-26,3.81
2016-04-27,3.7696
2016-04-28,3.79
2016-04-29,3.78
2016-04-30,3.7857
2016-05-02,3.8098
2016-05-03,3.8152
2016-05-04,3.78
