Date,FX
2016-01-01,101.21
2016-01-04,100.48
2016-01-05,100.44
2016-01-06,100.34
2016-01-07,100.37
2016-01-08,100.39
2016-01-11,100.56
2016-01-12,100.56
2016-01-13,100.55
2016-01-14,100.56
2016-01-15,100.92
2016-01-18,100.61
2016-01-19,100.56
2016-01-20,100.56
2016-01-21,100.47
2016-01-22,101.28
2016-01-23,100.44
2016-01-25,100.51
2016-01-26,100.56
2016-01-27,100.36
2016-01-28,100.48
2016-01-29,101.7
2016-02-01,100.57
2016-02-02,100.52
2016-02-03,100.44
2016-02-04,100.3
2016-02-05,100.42
2016-02-06,102.15
2016-02-08,100.11
2016-02-09,100.33
2016-02-10,100.03
2016-02-11,100.03
2016-02-12,100.66
2016-02-14,100.66
2016-02-15,100.31
2016-02-16,99.991
2016-02-17,100.03
2016-02-18,99.946
2016-02-19,100.09
2016-02-20,100.01
2016-02-22,99.946
2016-02-23,100.06
2016-02-24,100.08
2016-02-25,99.926
2016-02-26,101.19
2016-02-29,100.05
2016-03-01,99.747
2016-03-02,99.609
2016-03-03,99.461
2016-03-04,99.825
2016-03-07,99.687
2016-03-08,99.868
2016-03-09,99.775
2016-03-10,99.906
2016-03-11,99.623
2016-03-14,99.797
2016-03-15,99.676
2016-03-16,99.67
2016-03-17,99.736
2016-03-18,99.815
2016-03-19,99.815
2016-03-21,99.809
2016-03-22,99.915
2016-03-23,99.714
2016-03-24,101.55
2016-03-25,99.946
2016-03-28,99.67
2016-03-29,99.631
2016-03-30,99.528
2016-03-31,99.692
2016-04-01,99.844
2016-04-02,99.844
2016-04-03,99.844
2016-04-04,99.732
2016-04-05,99.627
2016-04-06,99.653
2016-04-07,99.653
2016-04-08,99.358
2016-04-09,101.05
2016-04-10,99.358
2016-04-11,101.01
2016-04-12,99.337
2016-04-13,99.41
2016-04-14,99.414
2016-04-15,99.46
2016-04-18,99.438
2016-04-19,99.414
2016-04-20,99.381
2016-04-21,99.318
2016-04-22,99.457
2016-04-25,99.41
2016-04-26,99.433
2016-04-27,99.413
2016-04-28,99.434
2016-04-29,99.322
2016-04-30,99.322
2016-05-02,99.354
2016-05-03,98.952
2016-05-04,99.008
2016-05-05,98.838
2016-05-06,98.632
2016-05-09,98.792
2016-05-10,98.94
2016-05-11,98.936
2016-05-12,98.923
2016-05-13,98.934
2016-05-16,98.926
2016-05-17,99.105
2016-05-18,99.299
2016-05-19,98.97
2016-05-20,100.8
2016-05-22,99.064
2016-05-23,99.095
2016-05-24,99.009
2016-05-25,99.082
2016-05-26,99.102
2016-05-27,98.965
2016-05-29,100.65
2016-05-30,99.062
2016-05-31,98.993
2016-06-01,99.106
2016-06-02,99.104
2016-06-03,99.274
2016-06-06,99.415
2016-06-07,99.335
2016-06-08,99.342
2016-06-09,99.324
2016-06-10,99.44
2016-06-13,99.238
2016-06-14,99.388
2016-06-15,99.529
2016-06-16,99.5
2016-06-17,99.736
2016-06-19,98.752
2016-06-20,99.536
2016-06-21,99.324
2016-06-22,99.426
2016-06-23,99.249
2016-06-24,99.281
2016-06-27,99.487
2016-06-28,99.39
2016-06-29,99.298
2016-06-30,100.08
2016-07-01,99.609
2016-07-02,99.306
2016-07-04,99.35
2016-07-05,99.247
2016-07-06,99.281
2016-07-07,99.376
2016-07-08,99.97
2016-07-09,99.504
2016-07-11,99.29
2016-07-12,99.489
2016-07-13,99.547
2016-07-14,99.545
2016-07-15,99.429
2016-07-16,99.483
2016-07-18,99.587
2016-07-19,99.739
2016-07-20,99.68
2016-07-21,99.687
2016-07-22,99.837
2016-07-25,99.478
2016-07-26,99.457
2016-07-27,99.572
2016-07-28,99.601
2016-07-29,99.633
2016-07-30,99.536
2016-08-01,99.513
2016-08-02,99.672
2016-08-03,99.609
2016-08-04,99.593
2016-08-05,99.572
2016-08-08,99.791
2016-08-09,99.678
2016-08-10,99.714
2016-08-11,99.664
2016-08-12,99.616
2016-08-15,99.674
2016-08-16,99.743
2016-08-17,99.721
2016-08-18,99.511
2016-08-19,99.523
2016-08-22,99.618
2016-08-23,99.629
2016-08-24,99.623
2016-08-25,99.627
2016-08-26,99.624
2016-08-27,99.624
2016-08-28,100.94
2016-08-29,99.558
2016-08-30,99.506
2016-08-31,99.439
2016-09-01,99.407
2016-09-02,99.426
2016-09-05,99.565
2016-09-06,99.513
2016-09-07,99.52
2016-09-08,99.525
2016-09-09,101.15
2016-09-11,99.195
2016-09-12,99.52
2016-09-13,99.403
2016-09-14,99.422
2016-09-15,99.373
2016-09-16,99.504
2016-09-17,99.504
2016-09-19,99.508
2016-09-20,99.45
2016-09-21,99.549
2016-09-22,99.417
2016-09-23,99.462
2016-09-24,99.462
2016-09-26,99.504
2016-09-27,99.514
2016-09-28,99.613
2016-09-29,99.525
2016-09-30,99.522
2016-10-03,99.416
2016-10-04,99.41
2016-10-05,99.46
2016-10-06,99.502
2016-10-07,99.419
2016-10-10,99.509
2016-10-11,99.489
2016-10-12,99.484
2016-10-13,99.487
2016-10-14,99.588
2016-10-15,99.588
2016-10-17,99.496
2016-10-18,99.483
2016-10-19,99.554
2016-10-20,99.657
2016-10-21,99.52
2016-10-22,99.52
2016-10-24,99.568
2016-10-25,99.562
2016-10-26,99.496
2016-10-27,99.621
2016-10-28,99.655
2016-10-31,99.777
2016-11-01,99.688
2016-11-02,99.793
2016-11-03,99.801
2016-11-04,99.971
2016-11-07,99.778
2016-11-08,99.788
2016-11-09,99.814
2016-11-10,99.874
2016-11-11,99.907
2016-11-12,99.907
2016-11-13,99.907
2016-11-14,99.828
2016-11-15,99.833
2016-11-16,100.02
2016-11-17,99.921
2016-11-18,99.983
2016-11-19,99.983
2016-11-21,100.03
2016-11-22,100.01
2016-11-23,99.984
2016-11-24,100.01
2016-11-25,99.953
2016-11-26,99.953
2016-11-28,100.01
2016-11-29,99.92
2016-11-30,99.908
2016-12-01,99.985
2016-12-02,100.23
2016-12-05,100.04
2016-12-06,100.1
2016-12-07,100.19
2016-12-08,100.06
2016-12-09,100.37
2016-12-10,100.37
2016-12-11,100.35
2016-12-12,100.12
2016-12-13,100.16
2016-12-14,100.29
2016-12-15,100.33
2016-12-16,100.37
2016-12-17,100.37
2016-12-19,100.33
2016-12-20,100.37
2016-12-21,100.46
2016-12-22,100.48
2016-12-23,100.51
2016-12-26,100.46
2016-12-27,100.48
2016-12-28,100.51
2016-12-29,100.6
2016-12-30,101.47
2017-01-02,100.56
