Date,FX
2016-01-01,9.5857
2016-01-04,9.915
2016-01-05,9.9739
2016-01-06,9.9388
2016-01-07,9.8578
2016-01-08,9.5222
2016-01-11,9.6462
2016-01-12,9.908
2016-01-13,9.8835
2016-01-14,9.8947
2016-01-15,9.573
2016-01-18,9.8705
2016-01-19,9.86
2016-01-20,9.8716
2016-01-21,9.8935
2016-01-22,9.6444
2016-01-23,9.6637
2016-01-25,9.8976
2016-01-26,9.886
2016-01-27,9.849
2016-01-28,9.8509
2016-01-29,9.6498
2016-02-01,9.8731
2016-02-02,9.8596
2016-02-03,9.7603
2016-02-04,9.7
2016-02-05,9.4775
2016-02-06,9.4775
2016-02-08,9.6961
2016-02-09,9.6556
2016-02-10,9.6588
2016-02-11,9.6393
2016-02-12,9.4091
2016-02-14,9.4091
2016-02-15,9.7215
2016-02-16,9.7385
2016-02-17,9.7495
2016-02-18,9.7583
2016-02-19,9.4303
2016-02-20,9.4959
2016-02-22,9.8015
2016-02-23,9.804
2016-02-24,9.809
2016-02-25,9.7988
2016-02-26,9.6011
2016-02-29,9.8726
2016-03-01,9.8865
2016-03-02,9.8885
2016-03-03,9.8256
2016-03-04,9.4906
2016-03-07,9.8025
2016-03-08,9.7993
2016-03-09,9.824
2016-03-10,9.7215
2016-03-11,9.4427
2016-03-14,9.761
2016-03-15,9.759
2016-03-16,9.6995
2016-03-17,9.408
2016-03-18,9.387
2016-03-19,9.387
2016-03-21,9.69
2016-03-22,9.6812
2016-03-23,9.72
2016-03-24,9.7195
2016-03-25,9.4886
2016-03-28,9.7
2016-03-29,9.6456
2016-03-30,9.638
2016-03-31,9.6155
2016-04-01,9.3736
2016-04-02,9.3736
2016-04-03,9.6117
2016-04-04,9.6105
2016-04-05,9.3716
2016-04-06,9.6015
2016-04-07,9.6185
2016-04-08,9.3708
2016-04-09,9.3708
2016-04-10,9.6041
2016-04-11,9.5773
2016-04-12,9.612
2016-04-13,9.668
2016-04-14,9.672
2016-04-15,9.6633
2016-04-18,9.63
2016-04-19,9.625
2016-04-20,9.6571
2016-04-21,9.6415
2016-04-22,9.676
2016-04-25,9.6528
2016-04-26,9.658
2016-04-27,9.6412
2016-04-28,9.6255
2016-04-29,9.3355
2016-04-30,9.3355
2016-05-02,9.5202
2016-05-03,9.5446
2016-05-04,9.5563
2016-05-05,9.6014
2016-05-06,9.5812
2016-05-09,9.6103
2016-05-10,9.6028
2016-05-11,9.5737
2016-05-12,9.6175
2016-05-13,9.6481
2016-05-16,9.648
2016-05-17,9.6326
2016-05-18,9.6975
2016-05-19,9.7058
2016-05-20,9.6955
2016-05-22,9.4537
2016-05-23,9.7013
2016-05-24,9.7428
2016-05-25,9.726
2016-05-26,9.697
2016-05-27,9.7384
2016-05-29,9.7384
2016-05-30,9.7197
2016-05-31,9.7425
2016-06-01,9.717
2016-06-02,9.7354
2016-06-03,9.6239
2016-06-06,9.64
2016-06-07,9.6252
2016-06-08,9.6005
2016-06-09,9.6486
2016-06-10,9.6793
2016-06-13,9.6601
2016-06-14,9.6996
2016-06-15,9.6912
2016-06-16,9.6751
2016-06-17,9.3852
2016-06-19,9.3667
2016-06-20,9.6592
2016-06-21,9.6806
2016-06-22,9.6415
2016-06-23,9.6415
2016-06-24,9.4433
2016-06-27,9.8088
2016-06-28,9.7746
2016-06-29,9.7739
2016-06-30,9.4921
2016-07-01,9.7427
2016-07-02,9.4889
2016-07-04,9.738
