Date,FX
2016-01-01,665.98
2016-01-04,649.12
2016-01-05,655.42
2016-01-06,661.45
2016-01-07,668.38
2016-01-08,669.06
2016-01-11,674.23
2016-01-12,679.7
2016-01-13,687.25
2016-01-14,672.27
2016-01-15,671.15
2016-01-18,688.93
2016-01-19,693.97
2016-01-20,702.37
2016-01-21,707.41
2016-01-22,709.15
2016-01-23,709.15
2016-01-25,706.36
2016-01-26,712.15
2016-01-27,716.28
2016-01-28,697.23
2016-01-29,730.39
2016-02-01,729.92
2016-02-02,722.91
2016-02-03,722.96
2016-02-04,722.9
2016-02-05,725.62
2016-02-08,728.76
2016-02-09,730.98
2016-02-10,735.33
2016-02-11,740.06
2016-02-12,743.33
2016-02-14,743.33
2016-02-15,744.66
2016-02-16,746.84
2016-02-17,749.18
2016-02-18,751.05
2016-02-19,749.65
2016-02-20,748.5
2016-02-22,751.14
2016-02-23,743.65
2016-02-24,752.76
2016-02-25,748.1
2016-02-26,745.93
2016-02-29,729.1
2016-03-01,733.77
2016-03-02,730.0
2016-03-03,723.83
2016-03-04,724.11
2016-03-07,718.54
2016-03-08,716.06
2016-03-09,712.16
2016-03-10,707.06
2016-03-11,703.13
2016-03-14,705.51
2016-03-15,705.51
2016-03-16,705.25
2016-03-17,705.25
2016-03-18,705.51
2016-03-19,705.51
2016-03-21,705.51
2016-03-22,705.51
2016-03-23,705.51
2016-03-24,705.51
2016-03-25,705.25
2016-03-28,705.25
2016-03-29,705.25
2016-03-30,705.51
2016-03-31,706.56
2016-04-01,705.51
2016-04-04,705.51
2016-04-05,705.51
2016-04-06,705.51
2016-04-07,705.51
2016-04-08,705.51
2016-04-11,705.51
2016-04-12,705.51
2016-04-13,705.25
2016-04-14,705.25
2016-04-15,705.51
2016-04-18,705.51
2016-04-19,705.51
2016-04-20,706.56
2016-04-21,705.51
2016-04-22,705.51
2016-04-25,705.51
2016-04-26,705.51
2016-04-27,705.51
2016-04-28,705.51
2016-04-29,705.51
2016-04-30,706.52
2016-05-02,705.51
2016-05-03,705.51
2016-05-04,705.51
2016-05-05,705.51
2016-05-06,705.51
2016-05-09,705.51
2016-05-10,705.51
2016-05-11,705.51
2016-05-12,705.51
2016-05-13,705.51
2016-05-16,703.13
2016-05-17,699.6
2016-05-18,705.51
2016-05-19,703.31
2016-05-20,703.13
2016-05-21,705.51
2016-05-23,702.6
2016-05-24,703.71
2016-05-25,706.56
2016-05-26,704.43
2016-05-27,704.44
2016-05-30,705.19
2016-05-31,705.21
2016-06-01,706.52
2016-06-02,709.11
2016-06-03,709.04
2016-06-06,705.51
2016-06-07,705.05
2016-06-08,706.15
2016-06-09,705.25
2016-06-10,707.18
2016-06-11,705.51
2016-06-13,708.26
2016-06-14,705.4
2016-06-15,704.0
2016-06-16,708.2
2016-06-17,706.5
2016-06-19,701.55
2016-06-20,706.84
2016-06-21,711.41
2016-06-22,703.62
2016-06-23,708.38
2016-06-24,703.89
2016-06-27,709.28
2016-06-28,708.5
2016-06-29,706.49
2016-06-30,711.76
2016-07-01,708.66
2016-07-02,708.66
2016-07-04,707.91
2016-07-05,715.33
2016-07-06,701.72
2016-07-07,710.05
2016-07-08,710.92
2016-07-09,710.92
2016-07-11,701.0
2016-07-12,712.52
2016-07-13,710.9
2016-07-14,710.87
2016-07-15,700.0
2016-07-16,712.17
2016-07-18,710.02
2016-07-19,714.56
2016-07-20,712.27
2016-07-21,712.3
2016-07-22,716.6
2016-07-25,714.27
2016-07-26,716.33
2016-07-27,711.7
2016-07-28,716.59
2016-07-29,712.14
2016-07-30,712.14
2016-08-01,710.0
2016-08-02,715.13
2016-08-03,720.3
2016-08-04,707.0
2016-08-05,720.78
2016-08-08,720.89
2016-08-09,716.95
2016-08-10,716.49
2016-08-11,707.0
2016-08-12,717.43
2016-08-15,716.25
2016-08-16,717.17
2016-08-17,711.0
2016-08-18,715.76
2016-08-19,710.0
2016-08-22,707.0
2016-08-23,719.1
2016-08-24,718.19
2016-08-25,717.84
2016-08-26,723.51
2016-08-27,723.51
2016-08-28,723.74
2016-08-29,716.56
2016-08-30,718.44
2016-08-31,716.53
2016-09-01,714.46
2016-09-02,718.95
2016-09-05,718.51
2016-09-06,712.23
2016-09-07,717.05
2016-09-08,719.51
2016-09-09,719.51
2016-09-11,719.18
2016-09-12,716.72
2016-09-13,718.68
2016-09-14,716.21
2016-09-15,711.0
2016-09-16,722.16
2016-09-17,722.16
2016-09-19,710.0
2016-09-20,719.53
2016-09-21,714.67
2016-09-22,719.33
2016-09-23,717.69
2016-09-24,717.69
2016-09-26,717.32
2016-09-27,719.84
2016-09-28,717.9
2016-09-29,717.9
2016-09-30,712.93
2016-10-03,719.2
2016-10-04,715.66
2016-10-05,708.0
2016-10-06,720.37
2016-10-07,713.71
2016-10-10,719.12
2016-10-11,719.59
2016-10-12,717.88
2016-10-13,716.11
2016-10-14,720.37
2016-10-15,720.37
2016-10-17,720.72
2016-10-18,719.27
2016-10-19,718.3
2016-10-20,718.22
2016-10-21,712.7
2016-10-22,712.7
2016-10-24,718.07
2016-10-25,717.06
2016-10-26,718.61
2016-10-27,718.8
2016-10-28,713.04
2016-10-31,706.0
2016-11-01,709.42
2016-11-02,710.68
2016-11-03,715.72
2016-11-04,715.24
2016-11-07,713.46
2016-11-08,713.12
2016-11-09,707.0
2016-11-10,718.35
2016-11-11,712.32
2016-11-12,712.32
2016-11-13,712.32
2016-11-14,720.61
2016-11-15,714.13
2016-11-16,717.52
2016-11-17,725.34
2016-11-18,720.67
2016-11-19,720.67
2016-11-21,709.0
2016-11-22,718.16
2016-11-23,722.4
2016-11-24,718.98
2016-11-25,718.57
2016-11-26,718.57
2016-11-28,718.58
2016-11-29,716.55
2016-11-30,713.0
2016-12-01,719.24
2016-12-02,720.97
2016-12-05,717.82
2016-12-06,710.0
2016-12-07,720.19
2016-12-08,733.33
2016-12-09,723.36
2016-12-10,723.36
2016-12-11,723.18
2016-12-12,720.27
2016-12-13,710.0
2016-12-14,730.06
2016-12-15,721.3
2016-12-16,715.0
2016-12-17,721.05
2016-12-19,723.4
2016-12-20,720.39
2016-12-21,712.98
2016-12-22,715.3
2016-12-23,714.64
2016-12-24,716.0
2016-12-26,714.25
2016-12-27,714.05
2016-12-28,724.83
2016-12-29,712.12
2016-12-30,717.03
2017-01-02,715.1
2017-01-03,723.86
2017-01-04,717.25
2017-01-05,713.79
2017-01-06,725.19
2017-01-09,717.58
2017-01-10,723.23
2017-01-11,717.59
2017-01-12,728.6
2017-01-13,710.0
2017-01-16,719.69
2017-01-17,726.18
2017-01-18,725.44
2017-01-19,722.08
2017-01-20,718.37
2017-01-22,717.69
2017-01-23,718.7
2017-01-24,715.0
2017-01-25,722.23
2017-01-26,725.46
2017-01-27,721.7
2017-01-28,721.7
2017-01-29,721.58
2017-01-30,719.2
2017-01-31,718.93
2017-02-01,711.0
2017-02-02,711.0
2017-02-03,716.6
2017-02-04,716.6
2017-02-06,710.0
2017-02-07,705.0
2017-02-08,720.59
2017-02-09,723.42
2017-02-10,721.76
2017-02-11,721.76
2017-02-13,710.0
2017-02-14,711.0
2017-02-15,719.21
2017-02-16,719.33
2017-02-17,711.0
2017-02-18,724.02
2017-02-20,722.76
2017-02-21,711.0
2017-02-22,721.95
2017-02-23,710.0
2017-02-24,711.0
2017-02-25,723.85
2017-02-27,710.0
2017-02-28,711.0
2017-03-01,710.0
2017-03-02,729.01
2017-03-03,705.0
2017-03-04,714.84
2017-03-05,714.81
2017-03-06,710.0
2017-03-07,724.28
2017-03-08,710.0
2017-03-09,720.76
2017-03-10,716.12
2017-03-13,710.0
2017-03-14,711.0
2017-03-15,714.67
2017-03-16,718.89
2017-03-17,721.72
2017-03-18,721.72
2017-03-20,721.61
2017-03-21,710.0
2017-03-22,720.27
2017-03-23,721.93
2017-03-24,722.45
2017-03-27,710.0
2017-03-28,710.0
2017-03-29,711.0
2017-03-30,725.84
2017-03-31,710.0
2017-04-03,711.0
2017-04-04,710.0
2017-04-05,711.0
2017-04-06,722.88
2017-04-07,711.0
2017-04-08,724.15
