Date,FX
2016-01-01,196.75
2016-01-04,197.34
2016-01-05,196.27
2016-01-06,195.69
2016-01-07,194.7
2016-01-08,195.55
2016-01-11,196.45
2016-01-12,196.45
2016-01-13,195.22
2016-01-14,195.86
2016-01-15,196.25
2016-01-18,196.55
2016-01-19,194.93
2016-01-20,196.78
2016-01-21,197.11
2016-01-22,196.89
2016-01-23,196.89
2016-01-25,195.91
2016-01-26,195.53
2016-01-27,196.0
2016-01-28,195.87
2016-01-29,198.22
2016-02-01,196.03
2016-02-02,195.31
2016-02-03,193.7
2016-02-04,198.9
2016-02-05,198.85
2016-02-08,198.8
2016-02-09,195.26
2016-02-10,198.85
2016-02-11,197.0
2016-02-12,196.97
2016-02-14,196.97
2016-02-15,198.75
2016-02-16,198.85
2016-02-17,196.18
2016-02-18,196.17
2016-02-19,196.04
2016-02-20,195.86
2016-02-22,196.65
2016-02-23,199.0
2016-02-24,195.32
2016-02-25,195.46
2016-02-26,198.2
2016-02-29,195.37
2016-03-01,196.64
2016-03-02,199.0
2016-03-03,194.98
2016-03-04,196.1
2016-03-07,196.39
2016-03-08,196.64
2016-03-09,196.32
2016-03-10,195.89
2016-03-11,194.61
2016-03-14,196.63
2016-03-15,199.0
2016-03-16,194.21
2016-03-17,196.56
2016-03-18,196.63
2016-03-19,196.63
2016-03-21,196.72
2016-03-22,199.0
2016-03-23,199.0
2016-03-24,199.0
2016-03-25,199.0
2016-03-28,199.0
2016-03-29,199.0
2016-03-30,195.97
2016-03-31,199.0
2016-04-01,198.95
2016-04-04,199.0
2016-04-05,199.0
2016-04-06,195.75
2016-04-07,196.45
2016-04-08,199.0
2016-04-11,199.0
2016-04-12,199.0
2016-04-13,198.9
2016-04-14,199.0
2016-04-15,199.0
2016-04-18,199.0
2016-04-19,199.0
2016-04-20,199.0
2016-04-21,196.95
2016-04-22,199.0
2016-04-25,199.0
2016-04-26,199.0
2016-04-27,196.08
2016-04-28,199.0
2016-04-29,199.0
2016-04-30,195.72
2016-05-02,196.46
2016-05-03,197.87
2016-05-04,199.0
2016-05-05,199.0
2016-05-06,199.0
2016-05-09,199.0
2016-05-10,199.0
2016-05-11,199.0
2016-05-12,199.0
2016-05-13,199.0
2016-05-16,196.53
2016-05-17,199.0
2016-05-18,199.0
2016-05-19,199.0
2016-05-20,199.0
2016-05-23,199.0
2016-05-24,199.0
2016-05-25,199.0
2016-05-26,199.0
2016-05-27,199.0
2016-05-30,196.36
2016-05-31,199.0
2016-06-01,199.0
2016-06-02,199.0
2016-06-03,199.0
2016-06-06,199.0
2016-06-07,198.9
2016-06-08,198.8
2016-06-09,198.85
2016-06-10,198.8
2016-06-13,198.8
2016-06-14,198.9
2016-06-15,194.7
2016-06-16,198.8
2016-06-17,199.0
2016-06-19,195.06
2016-06-20,199.0
2016-06-21,280.68
2016-06-22,279.48
2016-06-23,281.28
2016-06-24,276.85
2016-06-27,282.0
2016-06-28,281.0
2016-06-29,278.64
2016-06-30,280.57
2016-07-01,279.65
2016-07-02,279.65
2016-07-04,279.33
2016-07-05,281.38
2016-07-06,278.63
2016-07-07,279.75
2016-07-08,279.39
2016-07-09,279.39
2016-07-11,282.5
2016-07-12,281.59
2016-07-13,279.8
2016-07-14,280.47
2016-07-15,280.0
2016-07-16,284.26
2016-07-18,279.35
2016-07-19,281.07
2016-07-20,291.72
2016-07-21,295.29
2016-07-22,295.0
2016-07-25,302.89
2016-07-26,308.47
2016-07-27,310.8
2016-07-28,316.73
2016-07-29,322.0
2016-07-30,311.03
2016-08-01,317.61
2016-08-02,318.0
2016-08-03,318.97
2016-08-04,322.0
2016-08-05,318.22
2016-08-08,316.94
2016-08-09,314.93
2016-08-10,319.32
2016-08-11,317.81
2016-08-12,315.77
2016-08-15,319.16
2016-08-16,331.0
2016-08-17,320.0
2016-08-18,343.67
2016-08-19,341.0
2016-08-22,350.0
2016-08-23,313.12
2016-08-24,333.07
2016-08-25,318.0
2016-08-26,314.68
2016-08-27,314.68
2016-08-28,314.78
2016-08-29,312.56
2016-08-30,313.61
2016-08-31,307.16
2016-09-01,310.76
2016-09-02,308.35
2016-09-05,308.21
2016-09-06,314.0
2016-09-07,315.0
2016-09-08,312.83
2016-09-09,312.91
2016-09-11,312.78
2016-09-12,312.17
2016-09-13,313.0
2016-09-14,312.45
2016-09-15,314.0
2016-09-16,314.98
2016-09-17,314.98
2016-09-19,312.06
2016-09-20,312.31
2016-09-21,319.0
2016-09-22,312.81
2016-09-23,312.51
2016-09-24,312.51
2016-09-26,308.36
2016-09-27,314.0
2016-09-28,308.55
2016-09-29,312.58
2016-09-30,310.19
2016-10-03,320.38
2016-10-04,306.67
2016-10-05,302.51
