Date,FX
2016-01-01,2.0357
2016-01-04,2.0401
2016-01-05,2.0494
2016-01-06,2.0523
2016-01-07,2.0263
2016-01-08,2.036
2016-01-11,2.0379
2016-01-12,2.0389
2016-01-13,2.0329
2016-01-14,2.0408
2016-01-15,2.026
2016-01-18,2.0374
2016-01-19,2.0336
2016-01-20,2.04
2016-01-21,2.0382
2016-01-22,2.049
2016-01-23,2.049
2016-01-25,2.0413
2016-01-26,2.035
2016-01-27,2.032
2016-01-28,2.0288
2016-01-29,2.0437
2016-02-01,2.034
2016-02-02,2.034
2016-02-03,2.0121
2016-02-04,2.0022
2016-02-05,2.015
2016-02-06,2.015
2016-02-08,2.0107
2016-02-09,1.9987
2016-02-10,1.9964
2016-02-11,1.9969
2016-02-12,1.9965
2016-02-15,2.0106
2016-02-16,2.0116
2016-02-17,2.015
2016-02-18,2.0185
2016-02-19,2.0195
2016-02-20,2.0195
2016-02-22,2.0299
2016-02-23,2.0315
2016-02-24,2.0259
2016-02-25,2.0262
2016-02-26,2.0425
2016-02-29,2.0421
2016-03-01,2.0451
2016-03-02,2.0453
2016-03-03,2.0365
2016-03-04,2.0305
2016-03-07,2.0303
2016-03-08,2.0316
2016-03-09,2.0351
2016-03-10,2.0048
2016-03-11,2.0159
2016-03-14,2.0176
2016-03-15,2.0091
2016-03-16,2.0041
2016-03-17,1.9918
2016-03-18,1.9958
2016-03-19,1.9958
2016-03-21,2.0125
2016-03-22,2.0116
2016-03-23,2.0207
2016-03-24,2.0252
2016-03-25,2.0252
2016-03-28,2.0252
2016-03-29,2.0105
2016-03-30,2.0108
2016-03-31,2.0109
2016-04-01,1.9993
2016-04-02,1.9993
2016-04-03,1.9993
2016-04-04,2.002
2016-04-05,2.003
2016-04-06,1.9984
2016-04-07,2.014
2016-04-08,2.0136
2016-04-09,2.0136
2016-04-10,2.0136
2016-04-11,1.9975
2016-04-12,1.9966
2016-04-13,2.0108
2016-04-14,2.0117
2016-04-15,2.0065
2016-04-18,2.0067
2016-04-19,2.0003
2016-04-20,2.0095
2016-04-21,2.0098
2016-04-22,2.023
2016-04-25,2.0152
2016-04-26,2.0129
2016-04-27,2.0118
2016-04-28,2.013
2016-04-29,1.9994
2016-04-30,1.9994
2016-05-02,1.9892
2016-05-03,1.9932
2016-05-04,1.995
