Date,FX
2016-01-01,3351.2
2016-01-04,3376.2
2016-01-05,3355.9
2016-01-06,3338.7
2016-01-07,3333.3
2016-01-08,3369.4
2016-01-11,3395.5
2016-01-12,3403.0
2016-01-13,3401.2
2016-01-14,3445.7
2016-01-15,3430.2
2016-01-18,3434.5
2016-01-19,3419.0
2016-01-20,3440.7
2016-01-21,3439.4
2016-01-22,3439.0
2016-01-23,3439.0
2016-01-25,3426.8
2016-01-26,3420.3
2016-01-27,3426.0
2016-01-28,3431.2
2016-01-29,3455.2
2016-02-01,3425.7
2016-02-02,3433.9
2016-02-03,3374.8
2016-02-04,3423.0
2016-02-05,3450.2
2016-02-08,3397.0
2016-02-09,3402.1
2016-02-10,3422.1
2016-02-11,3432.0
2016-02-12,3396.6
2016-02-14,3396.6
2016-02-15,3373.8
2016-02-16,3373.7
2016-02-17,3400.8
2016-02-18,3391.5
2016-02-19,3385.9
2016-02-20,3385.9
2016-02-22,3401.6
2016-02-23,3368.6
2016-02-24,3352.1
2016-02-25,3306.5
2016-02-26,3342.4
2016-02-29,3304.9
2016-03-01,3301.1
2016-03-02,3303.6
2016-03-03,3301.7
2016-03-04,3322.1
2016-03-07,3332.0
2016-03-08,3330.7
2016-03-09,3318.7
2016-03-10,3307.9
2016-03-11,3306.9
2016-03-14,3325.7
2016-03-15,3317.7
2016-03-16,3288.6
2016-03-17,3333.2
2016-03-18,3336.9
2016-03-19,3336.9
2016-03-21,3336.9
2016-03-22,3334.1
2016-03-23,3341.6
2016-03-24,3326.2
2016-03-25,3325.1
2016-03-28,3325.7
2016-03-29,3327.1
2016-03-30,3332.1
2016-03-31,3329.5
2016-04-01,3329.1
2016-04-04,3329.5
2016-04-05,3323.5
2016-04-06,3309.4
2016-04-07,3320.6
2016-04-08,3309.0
2016-04-11,3310.6
2016-04-12,3312.2
2016-04-13,3305.5
2016-04-14,3307.8
2016-04-15,3297.4
2016-04-18,3294.5
2016-04-19,3295.9
2016-04-20,3277.2
2016-04-21,3280.8
2016-04-22,3267.9
2016-04-25,3290.9
2016-04-26,3304.9
2016-04-27,3304.8
2016-04-28,3295.5
2016-04-29,3280.0
2016-04-30,3265.6
2016-05-02,3282.2
2016-05-03,3319.4
2016-05-04,3290.2
2016-05-05,3301.1
2016-05-06,3290.0
2016-05-09,3301.3
2016-05-10,3278.9
2016-05-11,3283.9
2016-05-12,3282.5
2016-05-13,3284.1
2016-05-16,3292.7
2016-05-17,3304.9
2016-05-18,3307.0
2016-05-19,3314.5
2016-05-20,3330.6
2016-05-23,3336.4
2016-05-24,3349.4
2016-05-25,3342.7
2016-05-26,3339.9
2016-05-27,3324.3
2016-05-30,3322.6
2016-05-31,3323.1
2016-06-01,3325.4
2016-06-02,3344.2
2016-06-03,3324.2
2016-06-06,3324.2
2016-06-07,3314.9
2016-06-08,3303.8
2016-06-09,3310.4
2016-06-10,3306.1
2016-06-13,3313.0
2016-06-14,3308.0
2016-06-15,3293.4
2016-06-16,3315.3
2016-06-17,3311.0
2016-06-19,3291.1
2016-06-20,3324.0
2016-06-21,3337.0
2016-06-22,3312.9
2016-06-23,3329.9
2016-06-24,3324.0
2016-06-27,3387.4
2016-06-28,3381.7
2016-06-29,3353.8
2016-06-30,3376.8
2016-07-01,3354.8
2016-07-02,3354.8
2016-07-04,3347.9
2016-07-05,3379.7
2016-07-06,3344.9
2016-07-07,3356.9
2016-07-08,3348.5
2016-07-09,3348.5
2016-07-11,3332.4
2016-07-12,3348.9
2016-07-13,3331.5
2016-07-14,3328.4
2016-07-15,3354.4
2016-07-16,3354.4
2016-07-18,3319.1
2016-07-19,3343.0
2016-07-20,3323.6
2016-07-21,3321.5
2016-07-22,3341.4
2016-07-25,3334.6
2016-07-26,3349.1
2016-07-27,3320.8
2016-07-28,3339.3
2016-07-29,3320.7
2016-07-30,3320.7
2016-08-01,3345.2
2016-08-02,3336.8
2016-08-03,3347.3
2016-08-04,3329.8
2016-08-05,3347.0
2016-08-08,3335.5
2016-08-09,3330.4
2016-08-10,3332.2
2016-08-11,3335.3
2016-08-12,3326.6
2016-08-15,3325.5
