Date,FX
2016-01-01,603.96
2016-01-04,605.77
2016-01-05,610.39
2016-01-06,608.44
2016-01-07,600.53
2016-01-08,600.42
2016-01-11,604.01
2016-01-12,604.18
2016-01-13,603.04
2016-01-14,600.36
2016-01-15,601.11
2016-01-17,605.0
2016-01-18,602.29
2016-01-19,601.27
2016-01-20,602.35
2016-01-21,603.43
2016-01-22,607.47
2016-01-23,607.47
2016-01-25,604.6
2016-01-26,603.68
2016-01-27,601.86
2016-01-28,599.6
2016-01-29,605.63
2016-02-01,602.21
2016-02-02,600.69
2016-02-03,591.97
2016-02-04,586.0
2016-02-05,587.0
2016-02-08,590.0
2016-02-09,581.01
2016-02-10,583.0
2016-02-11,579.7
2016-02-12,582.81
2016-02-14,582.81
2016-02-15,585.0
2016-02-16,588.0
2016-02-17,589.6
2016-02-18,590.58
2016-02-19,589.3
2016-02-20,589.3
2016-02-22,594.86
2016-02-23,596.0
2016-02-24,595.46
2016-02-25,595.03
2016-02-26,600.13
2016-02-29,602.85
2016-03-01,603.62
2016-03-02,607.0
2016-03-03,598.88
2016-03-04,595.95
2016-03-07,598.69
2016-03-08,595.89
2016-03-09,597.82
2016-03-10,597.52
2016-03-11,588.45
2016-03-14,590.79
2016-03-15,590.0
2016-03-16,585.1
2016-03-17,579.7
2016-03-18,582.04
2016-03-19,582.04
2016-03-21,583.0
2016-03-22,581.0
2016-03-23,585.0
2016-03-24,587.0
2016-03-25,588.0
2016-03-28,586.0
2016-03-29,585.0
2016-03-30,578.7
2016-03-31,575.0
2016-04-01,575.0
2016-04-04,575.0
2016-04-05,578.0
2016-04-06,575.59
2016-04-07,576.79
2016-04-08,575.0
2016-04-11,575.0
2016-04-12,575.0
2016-04-13,580.0
2016-04-14,580.0
2016-04-15,578.0
2016-04-18,575.0
2016-04-19,576.0
2016-04-20,575.0
2016-04-21,580.93
2016-04-22,575.0
2016-04-25,580.0
2016-04-26,580.0
2016-04-27,579.13
2016-04-28,577.0
2016-04-29,577.0
2016-04-30,573.01
2016-05-02,571.66
2016-05-03,570.47
2016-05-04,570.0
2016-05-05,576.0
2016-05-06,576.0
2016-05-09,575.0
2016-05-10,575.0
2016-05-11,573.0
2016-05-12,576.0
2016-05-13,576.0
2016-05-16,579.65
2016-05-17,578.0
2016-05-18,580.0
2016-05-19,585.0
2016-05-20,586.0
2016-05-23,586.0
2016-05-24,588.0
2016-05-25,589.0
2016-05-26,586.0
2016-05-27,588.0
2016-05-30,588.83
2016-05-31,589.0
2016-06-01,585.0
2016-06-02,588.0
2016-06-03,576.0
2016-06-06,579.0
2016-06-07,576.0
2016-06-08,586.0
2016-06-09,577.0
2016-06-10,581.0
2016-06-13,581.0
2016-06-14,585.0
2016-06-15,585.0
2016-06-16,589.0
2016-06-17,580.0
2016-06-19,578.27
2016-06-20,579.73
2016-06-21,583.0
2016-06-22,578.19
2016-06-23,576.23
2016-06-24,589.94
2016-06-27,595.3
2016-06-28,590.0
2016-06-29,589.62
2016-06-30,590.79
2016-07-01,588.87
2016-07-02,588.87
2016-07-04,588.22
2016-07-05,592.53
2016-07-06,591.01
2016-07-07,592.85
2016-07-08,593.58
2016-07-09,593.58
2016-07-11,593.06
2016-07-12,593.01
2016-07-13,591.25
2016-07-14,590.04
2016-07-15,594.49
2016-07-16,594.49
2016-07-18,592.15
2016-07-19,595.33
2016-07-20,595.62
2016-07-21,595.02
2016-07-22,597.64
2016-07-25,596.67
2016-07-26,597.17
2016-07-27,593.36
2016-07-28,592.19
2016-07-29,586.99
2016-07-30,586.99
2016-08-01,587.64
2016-08-02,584.69
2016-08-03,588.28
2016-08-04,587.0
2016-08-05,591.62
2016-08-08,591.78
2016-08-09,596.0
2016-08-10,586.65
2016-08-11,588.9
2016-08-12,587.57
2016-08-15,586.49
2016-08-16,581.74
2016-08-17,585.0
2016-08-18,578.11
2016-08-19,581.0
2016-08-22,579.27
2016-08-23,580.28
2016-08-24,582.37
2016-08-25,581.34
2016-08-26,580.0
2016-08-27,585.88
2016-08-28,586.07
2016-08-29,586.19
2016-08-30,588.41
2016-08-31,587.99
2016-09-01,585.81
2016-09-02,587.99
2016-09-05,588.38
2016-09-06,583.07
2016-09-07,583.66
2016-09-08,582.27
2016-09-09,583.99
2016-09-11,583.72
2016-09-12,583.81
2016-09-13,584.8
2016-09-14,583.15
2016-09-15,583.42
2016-09-16,587.92
2016-09-17,587.92
2016-09-19,586.76
2016-09-20,588.17
2016-09-21,586.25
2016-09-22,585.2
2016-09-23,584.3
2016-09-24,584.3
2016-09-26,582.93
2016-09-27,584.79
2016-09-28,584.75
2016-09-29,584.78
2016-09-30,583.5
2016-10-01,586.0
2016-10-03,585.07
2016-10-04,585.41
2016-10-05,585.23
2016-10-06,588.38
2016-10-07,585.66
2016-10-10,588.8
2016-10-11,593.53
2016-10-12,595.72
2016-10-13,593.36
2016-10-14,597.89
2016-10-15,597.89
2016-10-17,596.41
2016-10-18,597.5
2016-10-19,597.76
2016-10-20,600.23
2016-10-21,602.61
2016-10-22,602.61
2016-10-24,602.98
2016-10-25,602.47
2016-10-26,601.37
2016-10-27,601.86
2016-10-28,597.09
2016-10-31,597.87
2016-11-01,593.2
2016-11-02,591.03
2016-11-03,590.61
2016-11-04,588.76
2016-11-07,593.79
2016-11-08,595.54
2016-11-09,600.78
2016-11-10,602.49
2016-11-11,604.18
2016-11-12,604.18
2016-11-13,604.18
2016-11-14,610.73
2016-11-15,611.71
2016-11-16,613.18
2016-11-17,617.4
2016-11-18,619.48
2016-11-19,619.48
2016-11-21,616.99
2016-11-22,610.0
2016-11-23,621.67
2016-11-24,621.38
2016-11-25,619.18
2016-11-26,619.18
2016-11-28,618.15
2016-11-29,615.96
2016-11-30,613.0
2016-12-01,615.12
2016-12-02,615.11
2016-12-05,609.47
2016-12-06,606.0
2016-12-07,609.85
2016-12-08,618.04
2016-12-09,621.24
2016-12-10,621.24
2016-12-11,621.08
2016-12-12,616.76
2016-12-13,617.18
2016-12-14,622.81
2016-12-15,629.78
2016-12-16,621.0
2016-12-17,627.62
2016-12-19,630.79
2016-12-20,631.24
2016-12-21,629.06
2016-12-22,628.52
2016-12-23,627.57
2016-12-26,627.23
2016-12-27,627.23
2016-12-28,629.83
2016-12-29,625.31
2016-12-30,623.3
2017-01-02,626.56
2017-01-03,630.38
2017-01-04,625.47
2017-01-05,618.45
2017-01-06,622.78
2017-01-09,619.85
2017-01-10,621.33
2017-01-11,620.0
2017-01-12,617.82
2017-01-13,610.0
2017-01-16,618.56
2017-01-17,612.41
2017-01-18,616.84
2017-01-19,615.25
2017-01-20,613.48
2017-01-22,612.9
2017-01-23,609.19
2017-01-24,606.0
2017-01-25,610.24
2017-01-26,614.16
2017-01-27,614.0
2017-01-28,613.18
2017-01-29,613.07
2017-01-30,613.09
2017-01-31,607.71
2017-02-01,609.31
2017-02-02,601.0
2017-02-03,608.13
2017-02-04,608.13
2017-02-06,610.33
2017-02-07,614.0
2017-02-08,610.0
2017-02-09,615.58
2017-02-10,616.42
2017-02-11,616.42
2017-02-13,619.09
2017-02-14,620.2
2017-02-15,618.98
2017-02-16,614.62
2017-02-17,617.86
2017-02-18,617.86
2017-02-20,618.16
2017-02-21,622.68
2017-02-22,621.47
2017-02-23,617.0
2017-02-24,615.0
2017-02-25,621.12
2017-02-27,615.0
2017-02-28,615.0
2017-03-01,621.81
2017-03-02,624.39
2017-03-03,617.0
2017-03-04,617.48
2017-03-05,617.46
2017-03-06,614.0
2017-03-07,620.9
2017-03-08,622.23
2017-03-09,620.18
2017-03-10,614.49
2017-03-13,615.7
2017-03-14,618.4
2017-03-15,611.21
2017-03-16,609.0
2017-03-17,610.85
2017-03-18,610.85
2017-03-20,610.96
2017-03-21,607.05
2017-03-22,607.76
2017-03-23,608.34
2017-03-24,607.41
2017-03-27,603.76
2017-03-28,606.62
2017-03-29,609.29
2017-03-30,614.22
2017-03-31,615.63
2017-04-03,614.86
2017-04-04,614.42
2017-04-05,615.05
2017-04-06,616.3
2017-04-07,615.0
2017-04-08,619.38
2017-04-10,616.0
2017-04-11,615.0
2017-04-12,612.0
2017-04-13,613.0
2017-04-14,618.11
2017-04-17,616.07
2017-04-18,611.28
2017-04-19,607.0
2017-04-20,612.07
2017-04-21,611.57
2017-04-24,603.61
2017-04-25,600.31
2017-04-26,601.56
2017-04-27,603.29
2017-04-28,602.02
2017-04-29,602.02
2017-05-01,601.6
2017-05-02,600.23
2017-05-03,602.63
2017-05-04,597.32
2017-05-05,596.35
2017-05-08,600.56
2017-05-09,603.32
2017-05-10,597.0
2017-05-11,603.97
2017-05-12,600.06
2017-05-15,597.44
2017-05-16,591.28
2017-05-17,587.64
2017-05-18,591.03
2017-05-19,585.29
2017-05-20,585.29
2017-05-22,583.67
2017-05-23,586.66
2017-05-24,584.74
2017-05-25,585.23
2017-05-26,586.64
2017-05-29,587.6
2017-05-30,586.47
2017-05-31,583.57
2017-06-01,584.96
2017-06-02,581.4
2017-06-03,581.4
2017-06-05,582.76
2017-06-06,581.65
2017-06-07,582.61
2017-06-08,585.5
2017-06-09,585.88
2017-06-12,585.49
2017-06-13,585.23
2017-06-14,581.0
2017-06-15,582.0
2017-06-16,582.0
2017-06-19,588.33
2017-06-20,589.17
2017-06-21,587.41
2017-06-22,588.19
2017-06-23,586.0
2017-06-24,586.0
2017-06-25,585.98
2017-06-26,586.54
2017-06-27,578.62
2017-06-28,576.52
2017-06-29,573.41
2017-06-30,574.16
2017-07-03,577.35
2017-07-04,578.06
2017-07-05,577.96
2017-07-06,572.0
2017-07-07,570.0
2017-07-08,575.33
2017-07-10,575.52
2017-07-11,572.16
2017-07-12,574.74
2017-07-13,575.38
2017-07-14,571.91
2017-07-17,571.55
2017-07-18,567.68
2017-07-19,569.5
2017-07-20,563.84
2017-07-21,562.43
2017-07-24,563.48
2017-07-25,563.17
2017-07-26,558.54
2017-07-27,561.72
2017-07-28,558.31
2017-07-31,554.04
2017-08-01,555.68
2017-08-02,553.22
2017-08-03,552.54
2017-08-04,557.16
2017-08-07,556.12
2017-08-08,558.22
2017-08-09,557.83
2017-08-10,557.35
2017-08-11,554.89
2017-08-14,556.82
2017-08-15,558.88
2017-08-16,557.22
2017-08-17,559.5
2017-08-18,557.77
2017-08-21,555.28
2017-08-22,557.73
2017-08-23,555.49
2017-08-24,555.95
2017-08-25,550.2
2017-08-28,547.7
2017-08-29,546.0
2017-08-30,551.61
2017-08-31,550.43
2017-09-01,553.03
2017-09-04,551.27
2017-09-05,550.68
2017-09-06,550.24
2017-09-07,545.66
2017-09-08,545.05
2017-09-11,548.76
2017-09-12,548.39
2017-09-13,551.73
2017-09-14,550.44
2017-09-15,549.07
2017-09-18,548.67
2017-09-19,546.79
2017-09-20,551.8
2017-09-21,549.38
2017-09-22,549.03
2017-09-25,553.68
2017-09-26,556.3
2017-09-27,558.38
2017-09-28,556.63
2017-09-29,558.67
2017-10-02,559.14
2017-10-03,558.81
2017-10-04,557.88
2017-10-05,560.05
2017-10-06,559.21
2017-10-07,559.05
2017-10-09,558.72
2017-10-10,555.46
2017-10-11,553.09
2017-10-12,554.44
2017-10-13,554.94
2017-10-16,555.97
2017-10-17,557.38
2017-10-18,556.2
2017-10-19,553.74
2017-10-20,556.6
2017-10-23,558.29
2017-10-24,557.63
2017-10-25,555.17
2017-10-26,562.94
2017-10-27,565.08
2017-10-30,563.22
2017-10-31,563.1
2017-11-01,564.68
2017-11-02,562.67
2017-11-03,565.12
2017-11-06,564.81
2017-11-07,566.09
2017-11-08,565.75
2017-11-09,563.48
2017-11-10,562.34
2017-11-11,562.34
2017-11-13,562.33
2017-11-14,555.9
2017-11-15,557.04
2017-11-16,557.26
2017-11-17,556.3
2017-11-18,556.3
2017-11-20,559.0
2017-11-21,558.9
2017-11-22,554.98
2017-11-23,553.62
2017-11-24,549.75
2017-11-27,551.25
2017-11-28,553.7
2017-11-29,553.52
2017-11-30,551.55
2017-12-01,551.35
2017-12-02,551.35
2017-12-04,552.75
2017-12-05,565.0
2017-12-06,555.79
2017-12-07,566.0
2017-12-08,557.12
2017-12-09,557.12
2017-12-11,557.24
2017-12-12,558.81
2017-12-13,554.67
2017-12-14,557.16
2017-12-15,558.3
2017-12-18,556.71
2017-12-19,553.95
2017-12-20,552.52
2017-12-21,552.64
2017-12-22,552.97
2017-12-25,552.49
