Date,FX
2016-01-01,15.46
2016-01-02,15.46
2016-01-03,15.46064
2016-01-04,15.523
2016-01-05,15.63765
2016-01-06,15.85788
2016-01-07,16.05868
2016-01-08,16.12
2016-01-09,16.28551
2016-01-10,16.8172
2016-01-11,16.84924
2016-01-12,16.6255
2016-01-13,16.571
2016-01-14,16.42068
2016-01-15,16.755
2016-01-16,16.76023
2016-01-17,16.87037
2016-01-18,16.83909
2016-01-19,16.73427
2016-01-20,16.71
2016-01-21,16.52091
2016-01-22,16.4054
2016-01-23,16.4625
2016-01-24,16.40698
2016-01-25,16.53639
2016-01-26,16.35556
2016-01-27,16.43858
2016-01-28,16.167
2016-01-29,15.864
2016-01-31,15.86128
2016-02-01,15.92008
2016-02-02,16.2857
2016-02-03,15.93229
2016-02-04,15.84285
2016-02-05,16.0227
2016-02-07,16.00649
2016-02-08,16.11597
2016-02-09,16.04532
2016-02-10,15.90035
2016-02-11,15.8243
2016-02-12,15.8656
2016-02-14,15.86608
2016-02-15,15.71418
2016-02-16,15.7728
2016-02-17,15.4598
2016-02-18,15.38
2016-02-19,15.3755
2016-02-21,15.3776
2016-02-22,15.18336
2016-02-23,15.2291
2016-02-24,15.59698
2016-02-25,15.58518
2016-02-26,16.1412
2016-02-28,16.16004
2016-02-29,15.84028
2016-03-01,15.56986
2016-03-02,15.54973
2016-03-03,15.5881
2016-03-04,15.22502
2016-03-06,15.30315
2016-03-07,15.24158
2016-03-08,15.42038
2016-03-09,15.2103
2016-03-10,15.36342
2016-03-11,15.205
2016-03-13,15.22618
2016-03-14,15.52243
2016-03-15,15.9578
2016-03-16,15.67748
2016-03-17,15.16898
2016-03-18,15.2065
2016-03-20,15.27936
2016-03-21,15.22337
2016-03-22,15.19408
2016-03-23,15.3391
2016-03-24,15.43508
2016-03-25,15.39
2016-03-27,15.42345
2016-03-28,15.43755
2016-03-29,15.20058
2016-03-30,14.9095
2016-03-31,14.63419
2016-04-01,14.57457
2016-04-03,14.6916
2016-04-04,14.771
2016-04-05,15.08345
2016-04-06,15.07917
2016-04-07,15.24498
2016-04-08,14.9631
2016-04-10,14.92193
2016-04-11,14.75467
2016-04-12,14.70155
2016-04-13,14.5242
2016-04-14,14.5416
2016-04-15,14.521
2016-04-17,14.68259
2016-04-18,14.45735
2016-04-19,14.28718
2016-04-20,14.2
2016-04-21,14.3127
2016-04-22,14.3869
2016-04-24,14.37775
2016-04-25,14.43388
2016-04-26,14.37907
2016-04-27,14.354
2016-04-28,14.28576
2016-04-29,14.21
2016-05-01,14.17686
2016-05-02,14.256
2016-05-03,14.63618
2016-05-04,14.94708
2016-05-05,14.94767
2016-05-06,14.7343
2016-05-08,14.819
2016-05-09,15.13819
2016-05-10,15.0931
2016-05-11,15.01141
2016-05-12,15.03783
2016-05-13,15.4058
2016-05-15,15.45799
2016-05-16,15.63948
2016-05-17,15.61398
2016-05-18,15.86318
2016-05-19,15.7895
2016-05-20,15.6154
2016-05-22,15.6195
2016-05-23,15.72025
2016-05-24,15.65008
2016-05-25,15.65247
2016-05-26,15.51768
2016-05-27,15.711
2016-05-29,15.7021
2016-05-30,15.80372
2016-05-31,15.71166
2016-06-01,15.58133
2016-06-02,15.556
2016-06-03,15.0802
2016-06-05,15.11499
2016-06-06,14.889
2016-06-07,14.91804
2016-06-08,14.73166
2016-06-09,14.80854
2016-06-10,15.16257
2016-06-12,15.22615
2016-06-13,15.12448
2016-06-14,15.3338
2016-06-15,15.17088
2016-06-16,15.32009
2016-06-17,15.12
2016-06-19,15.03588
2016-06-20,14.82368
2016-06-21,14.75008
2016-06-22,14.56598
2016-06-23,14.54938
2016-06-24,14.9525
2016-06-26,15.20192
2016-06-27,15.39325
2016-06-28,15.14388
2016-06-29,14.77125
2016-06-30,14.7355
2016-07-01,14.5265
2016-07-03,14.59088
2016-07-04,14.57475
2016-07-05,14.76448
2016-07-06,14.72
2016-07-07,14.76889
2016-07-08,14.47
2016-07-10,14.54865
2016-07-11,14.44628
2016-07-12,14.34125
2016-07-13,14.47654
2016-07-14,14.25708
2016-07-15,14.568
2016-07-17,14.39888
2016-07-18,14.23695
2016-07-19,14.33145
2016-07-20,14.29
2016-07-21,14.22075
2016-07-22,14.2974
2016-07-24,14.28837
2016-07-25,14.35847
2016-07-26,14.33175
2016-07-27,14.20768
2016-07-28,14.1339
2016-07-29,13.8415
2016-07-31,13.89365
2016-08-01,13.92225
2016-08-02,14.00709
2016-08-03,13.9055
2016-08-04,13.69158
2016-08-05,13.68
2016-08-07,13.75189
2016-08-08,13.5875
2016-08-09,13.42682
2016-08-10,13.24017
2016-08-11,13.3937
2016-08-12,13.43155
2016-08-14,13.447
2016-08-15,13.288
2016-08-16,13.4089
2016-08-17,13.3624
2016-08-18,13.3535
2016-08-19,13.49
2016-08-21,13.4837
2016-08-22,13.5608
2016-08-23,13.88675
2016-08-24,14.1551
2016-08-25,14.1918
2016-08-26,14.3227
2016-08-28,14.2918
2016-08-29,14.3959
2016-08-30,14.4695
2016-08-31,14.6793
2016-09-01,14.5762
2016-09-02,14.4513
2016-09-03,14.4653
2016-09-04,14.47521
2016-09-05,14.3793
2016-09-06,13.99057
2016-09-07,13.9964
2016-09-08,14.11705
2016-09-09,14.4087
2016-09-10,14.4075
2016-09-11,14.37898
2016-09-12,14.24468
2016-09-13,14.43086
2016-09-14,14.30692
2016-09-15,14.1919
2016-09-16,14.1678
2016-09-18,14.1957
2016-09-19,13.9973
2016-09-20,13.8942
2016-09-21,13.5772
2016-09-22,13.61345
2016-09-23,13.6989
2016-09-24,13.707
2016-09-25,13.74907
2016-09-26,13.69628
2016-09-27,13.4403
2016-09-28,13.6232
2016-09-29,13.9181
2016-09-30,13.715
2016-10-01,13.7156
2016-10-02,13.7368
2016-10-03,13.5967
2016-10-04,13.8203
2016-10-05,13.72128
2016-10-06,13.88338
2016-10-07,13.84441
2016-10-09,13.7843
2016-10-10,13.7767
2016-10-11,14.3337
2016-10-12,14.2284
2016-10-13,14.2498
2016-10-14,14.31672
2016-10-15,14.3095
2016-10-16,14.295
2016-10-17,14.128
2016-10-18,13.8666
2016-10-19,13.8184
2016-10-20,13.9328
2016-10-21,13.9738
2016-10-22,13.9685
2016-10-23,13.93068
2016-10-24,13.90657
2016-10-25,13.7458
2016-10-26,13.8724
2016-10-27,13.8447
2016-10-28,13.80499
2016-10-29,13.8185
2016-10-30,13.7766
2016-10-31,13.462
2016-11-01,13.61214
2016-11-02,13.4442
2016-11-03,13.4314
2016-11-04,13.5841
2016-11-05,13.5841
2016-11-06,13.5283
2016-11-07,13.3752
2016-11-08,13.23121
2016-11-09,13.4785
2016-11-10,14.0695
2016-11-11,14.21
2016-11-13,14.2393
2016-11-14,14.4018
2016-11-15,14.1615
2016-11-16,14.2805
2016-11-17,14.42445
2016-11-18,14.205
2016-11-20,14.4234
2016-11-21,14.2089
2016-11-22,14.06238
2016-11-23,14.1267
2016-11-24,14.138
2016-11-25,14.09739
2016-11-26,14.13
2016-11-27,14.02298
2016-11-28,13.72418
2016-11-29,13.8726
2016-11-30,14.08938
2016-12-01,14.0918
2016-12-02,13.7936
2016-12-03,13.77211
2016-12-04,13.90778
2016-12-05,13.70911
2016-12-06,13.6345
2016-12-07,13.45887
2016-12-08,13.64098
2016-12-09,13.7838
2016-12-10,13.8246
2016-12-11,13.8069
2016-12-12,13.6001
2016-12-13,13.5809
2016-12-14,13.95249
2016-12-15,13.9575
2016-12-16,13.93516
2016-12-17,13.9869
2016-12-18,14.005
2016-12-19,14.13078
2016-12-20,13.91838
2016-12-21,13.9667
2016-12-22,14.0317
2016-12-23,13.9025
2016-12-24,13.985
2016-12-25,14.0276
2016-12-26,13.9938
2016-12-27,13.9164
2016-12-28,13.8546
2016-12-29,13.5743
2016-12-30,13.68865
2016-12-31,13.6782
2017-01-01,13.73569
2017-01-02,13.7104
2017-01-03,13.79659
2017-01-04,13.5974
2017-01-05,13.5715
2017-01-06,13.745
2017-01-07,13.7433
2017-01-08,13.7449
2017-01-09,13.6445
2017-01-10,13.7269
2017-01-11,13.7182
2017-01-12,13.523
2017-01-13,13.43715
2017-01-14,13.5006
2017-01-15,13.52615
2017-01-16,13.66298
2017-01-17,13.45436
2017-01-18,13.6175
2017-01-19,13.542
2017-01-20,13.5713
2017-01-21,13.5801
2017-01-22,13.60689
2017-01-23,13.4539
2017-01-24,13.36187
2017-01-25,13.2308
2017-01-26,13.33947
2017-01-27,13.46
2017-01-28,13.465
2017-01-29,13.46817
2017-01-30,13.50808
2017-01-31,13.46736
2017-02-01,13.4565
2017-02-02,13.3734
2017-02-03,13.2588
2017-02-04,13.25507
2017-02-05,13.2539
2017-02-06,13.28262
2017-02-07,13.4268
2017-02-08,13.4069
2017-02-09,13.41819
2017-02-10,13.25
2017-02-11,13.3538
2017-02-12,13.36888
2017-02-13,13.3152
2017-02-14,13.0766
2017-02-15,12.9007
2017-02-16,13.0088
2017-02-17,12.9334
2017-02-18,13.06
2017-02-19,13.06583
2017-02-20,13.05248
2017-02-21,13.14442
2017-02-22,12.99801
2017-02-23,12.8535
2017-02-24,12.9415
2017-02-25,12.881
2017-02-26,12.9235
2017-02-27,12.9917
2017-02-28,13.1229
2017-03-01,13.0088
2017-03-02,13.1432
2017-03-03,13.0237
2017-03-04,13.01
2017-03-05,12.9989
2017-03-06,13.0038
2017-03-07,12.9571
2017-03-08,13.14038
2017-03-09,13.3139
2017-03-10,13.1618
2017-03-12,13.19544
2017-03-13,13.12288
2017-03-14,13.1397
2017-03-15,12.8094
2017-03-16,12.7574
2017-03-17,12.6825
2017-03-18,12.7063
2017-03-19,12.69895
2017-03-20,12.63802
2017-03-21,12.6719
2017-03-22,12.55937
2017-03-23,12.4556
2017-03-24,12.422
2017-03-25,12.422
2017-03-26,12.39896
2017-03-27,12.7389
2017-03-28,12.97658
2017-03-29,13.0408
2017-03-30,13.4326
2017-03-31,13.4104
2017-04-01,13.41275
2017-04-02,13.35569
2017-04-03,13.6907
2017-04-04,13.6013
2017-04-05,13.78008
2017-04-06,13.7719
2017-04-07,13.7227
2017-04-08,13.7688
2017-04-09,13.7577
2017-04-10,13.9137
2017-04-11,13.80515
2017-04-12,13.4618
2017-04-13,13.4381
2017-04-14,13.3887
2017-04-15,13.4071
2017-04-16,13.39268
2017-04-17,13.292
2017-04-18,13.26328
2017-04-19,13.2651
2017-04-20,13.1314
2017-04-21,13.1046
2017-04-22,13.11408
2017-04-23,12.9809
2017-04-24,13.0195
2017-04-25,13.07068
2017-04-26,13.24742
2017-04-27,13.339
2017-04-28,13.36
2017-04-29,13.3634
2017-04-30,13.3338
2017-05-01,13.3858
2017-05-02,13.3378
2017-05-03,13.4328
2017-05-04,13.6325
2017-05-05,13.4047
2017-05-06,13.40856
2017-05-07,13.45108
2017-05-08,13.60702
2017-05-09,13.6215
2017-05-10,13.4883
2017-05-11,13.3558
2017-05-12,13.3516
2017-05-13,13.33434
2017-05-14,13.3668
2017-05-15,13.168
2017-05-16,13.0707
2017-05-17,13.2572
2017-05-18,13.40925
2017-05-19,13.2238
2017-05-20,13.2277
2017-05-21,13.2011
2017-05-22,13.2337
2017-05-23,13.092
2017-05-24,12.8897
2017-05-25,12.9161
2017-05-26,12.8587
2017-05-27,12.8544
2017-05-28,12.81991
2017-05-29,12.99144
2017-05-30,13.11018
2017-05-31,13.0755
2017-06-01,12.88739
2017-06-02,12.7801
2017-06-03,12.8015
2017-06-04,12.814
2017-06-05,12.69053
2017-06-06,12.809
2017-06-07,12.8157
2017-06-08,12.91717
2017-06-09,12.9375
2017-06-10,12.8794
2017-06-11,12.91112
2017-06-12,12.81986
2017-06-13,12.77304
2017-06-14,12.62761
2017-06-15,12.8686
2017-06-16,12.795
2017-06-17,12.7941
2017-06-18,12.793
2017-06-19,12.97757
2017-06-20,13.0585
2017-06-21,13.0587
2017-06-22,12.9623
2017-06-23,12.9087
2017-06-24,12.9266
2017-06-25,12.9118
2017-06-26,12.8653
2017-06-27,13.00911
2017-06-28,12.9256
2017-06-29,12.9865
2017-06-30,13.0624
2017-07-01,13.0993
2017-07-02,13.0495
2017-07-03,13.1948
2017-07-04,13.1832
2017-07-05,13.3856
2017-07-06,13.4095
2017-07-07,13.3602
2017-07-08,13.39
2017-07-09,13.3769
2017-07-10,13.444
2017-07-11,13.5336
2017-07-12,13.2431
2017-07-13,13.2
2017-07-14,13.0225
2017-07-15,13.01389
