Date,FX
2016-01-01,10.985
2016-01-04,11.043
2016-01-05,10.962
2016-01-06,10.923
2016-01-07,10.897
2016-01-08,10.912
2016-01-11,11.023
2016-01-12,11.022
2016-01-13,10.988
2016-01-14,11.051
2016-01-15,11.083
2016-01-18,11.117
2016-01-19,11.147
2016-01-20,11.174
2016-01-21,11.225
2016-01-22,11.238
2016-01-23,11.238
2016-01-25,11.17
2016-01-26,11.16
2016-01-27,11.169
2016-01-28,11.189
2016-01-29,11.3
2016-02-01,11.194
2016-02-02,11.226
2016-02-03,11.084
2016-02-04,11.24
2016-02-05,11.257
2016-02-08,11.213
2016-02-09,11.179
2016-02-10,11.292
2016-02-11,11.329
2016-02-12,11.343
2016-02-14,11.343
2016-02-15,11.302
2016-02-16,11.323
2016-02-17,11.336
2016-02-18,11.335
2016-02-19,11.286
2016-02-20,11.286
2016-02-22,11.332
2016-02-23,11.338
2016-02-24,11.276
2016-02-25,11.348
2016-02-26,11.421
2016-02-29,11.338
2016-03-01,11.352
2016-03-02,11.334
2016-03-03,11.264
2016-03-04,11.311
2016-03-07,11.333
2016-03-08,11.346
2016-03-09,11.333
2016-03-10,11.335
2016-03-11,11.297
2016-03-14,11.345
2016-03-15,11.334
2016-03-16,11.213
2016-03-17,11.317
2016-03-18,11.332
2016-03-19,11.332
2016-03-21,11.294
2016-03-22,11.283
2016-03-23,11.301
2016-03-24,11.254
2016-03-25,11.251
2016-03-28,11.251
2016-03-29,11.244
2016-03-30,11.194
2016-03-31,10.993
2016-04-01,10.898
2016-04-04,10.903
2016-04-05,10.766
2016-04-06,10.552
2016-04-07,10.296
2016-04-08,9.828
2016-04-11,9.7762
2016-04-12,9.7109
2016-04-13,9.2431
2016-04-14,9.0994
2016-04-15,9.148
2016-04-18,9.1637
2016-04-19,9.2176
2016-04-20,9.2454
2016-04-21,9.3066
2016-04-22,9.3094
2016-04-25,9.3576
2016-04-26,9.4647
2016-04-27,9.5104
2016-04-28,9.5173
2016-04-29,9.5295
2016-04-30,9.4876
2016-05-02,9.5597
2016-05-03,9.6857
2016-05-04,9.6236
2016-05-05,9.6728
2016-05-06,9.7892
2016-05-09,9.7986
2016-05-10,9.8713
2016-05-11,9.8711
2016-05-12,9.9219
2016-05-13,9.9423
2016-05-16,10.022
2016-05-17,10.075
2016-05-18,10.056
2016-05-19,10.104
2016-05-20,10.167
2016-05-23,10.201
2016-05-24,10.234
2016-05-25,10.255
2016-05-26,10.276
2016-05-27,10.303
2016-05-30,10.37
2016-05-31,10.36
2016-06-01,10.457
2016-06-02,10.501
2016-06-03,10.484
2016-06-06,10.512
2016-06-07,10.534
2016-06-08,10.561
2016-06-09,10.691
2016-06-10,10.689
2016-06-13,10.709
2016-06-14,10.774
2016-06-15,10.743
2016-06-16,10.85
2016-06-17,10.892
2016-06-19,10.828
2016-06-20,10.972
2016-06-21,11.006
2016-06-22,10.908
2016-06-23,10.886
2016-06-24,10.794
2016-06-27,10.804
2016-06-28,10.658
2016-06-29,10.472
2016-06-30,9.9919
2016-07-01,9.4116
2016-07-02,9.4116
2016-07-04,9.4416
2016-07-05,9.5307
2016-07-06,9.5989
2016-07-07,9.6307
2016-07-08,9.9667
2016-07-09,9.9667
2016-07-11,10.22
2016-07-12,10.589
2016-07-13,10.256
2016-07-14,10.093
2016-07-15,10.177
2016-07-16,10.177
2016-07-18,9.8302
2016-07-19,9.7906
2016-07-20,9.6332
2016-07-21,9.2519
2016-07-22,9.3992
2016-07-25,9.5402
2016-07-26,9.8804
2016-07-27,9.9697
2016-07-28,10.236
2016-07-29,10.157
2016-07-30,10.157
2016-08-01,10.252
2016-08-02,10.141
2016-08-03,10.109
2016-08-04,10.066
2016-08-05,9.9772
2016-08-08,9.8721
2016-08-09,10.187
2016-08-10,10.377
2016-08-11,10.439
2016-08-12,10.456
2016-08-15,10.367
2016-08-16,9.9868
2016-08-17,9.9126
2016-08-18,9.8251
2016-08-19,9.8259
2016-08-22,9.8211
2016-08-23,9.8608
2016-08-24,9.8794
2016-08-25,9.9719
2016-08-26,9.8571
2016-08-27,9.8571
2016-08-28,9.8604
2016-08-29,9.6773
2016-08-30,9.5017
2016-08-31,9.4329
2016-09-01,9.5749
2016-09-02,9.69
2016-09-05,9.808
2016-09-06,9.8917
2016-09-07,10.174
2016-09-08,10.24
2016-09-09,10.222
2016-09-11,10.218
2016-09-12,9.9526
2016-09-13,9.9988
2016-09-14,9.9595
2016-09-15,9.9402
2016-09-16,10.187
2016-09-17,10.187
2016-09-19,10.06
2016-09-20,9.9197
2016-09-21,9.8563
2016-09-22,10.019
2016-09-23,10.003
2016-09-24,10.003
2016-09-26,9.9783
2016-09-27,9.7837
2016-09-28,9.754
2016-09-29,9.7667
2016-09-30,9.8876
2016-10-03,10.015
2016-10-04,9.8662
2016-10-05,9.803
2016-10-06,9.8912
2016-10-07,9.9018
2016-10-10,9.8895
2016-10-11,9.8903
2016-10-12,9.9404
2016-10-13,9.8711
2016-10-14,9.8809
2016-10-15,9.8809
2016-10-17,9.8758
2016-10-18,9.8925
2016-10-19,9.8756
2016-10-20,9.8066
2016-10-21,9.8593
2016-10-22,9.8593
2016-10-24,9.8682
2016-10-25,9.8463
2016-10-26,9.7763
2016-10-27,9.768
2016-10-28,9.6906
2016-10-31,9.5459
2016-11-01,9.6877
2016-11-02,9.7544
2016-11-03,9.8058
2016-11-04,9.7317
2016-11-07,9.6798
2016-11-08,9.6295
2016-11-09,9.9343
2016-11-10,9.8136
2016-11-11,9.7795
2016-11-12,9.7795
2016-11-13,9.7795
2016-11-14,9.8243
2016-11-15,9.8182
2016-11-16,9.8211
2016-11-17,9.9819
2016-11-18,9.864
2016-11-19,9.864
2016-11-21,9.734
2016-11-22,9.7667
2016-11-23,9.8291
2016-11-24,9.8202
2016-11-25,9.8054
2016-11-26,9.8054
2016-11-28,9.8455
2016-11-29,9.8345
2016-11-30,9.8336
2016-12-01,9.7753
2016-12-02,9.7276
2016-12-05,9.7337
2016-12-06,9.779
2016-12-07,9.7841
2016-12-08,9.9817
2016-12-09,9.7982
2016-12-10,9.7982
2016-12-11,9.7958
2016-12-12,9.7365
2016-12-13,9.7731
2016-12-14,9.9316
2016-12-15,9.8493
2016-12-16,9.815
2016-12-17,9.7743
2016-12-19,9.7895
2016-12-20,9.7697
2016-12-21,9.7673
2016-12-22,9.7767
2016-12-23,9.7776
2016-12-26,9.7722
2016-12-27,9.7694
2016-12-28,9.8043
2016-12-29,9.7585
2016-12-30,9.9112
2017-01-02,9.8866
2017-01-03,9.861
2017-01-04,9.8095
2017-01-05,9.8317
2017-01-06,10.013
2017-01-09,10.072
2017-01-10,10.133
2017-01-11,9.9698
2017-01-12,10.01
2017-01-13,9.8964
2017-01-16,9.8681
2017-01-17,9.8771
2017-01-18,9.892
2017-01-19,9.8759
2017-01-20,9.7738
2017-01-22,9.7645
2017-01-23,9.7783
2017-01-24,9.8251
2017-01-25,9.7315
2017-01-26,9.7756
2017-01-27,9.7996
2017-01-28,9.7996
2017-01-29,9.7979
2017-01-30,9.8166
2017-01-31,9.864
2017-02-01,9.8281
2017-02-02,9.84
2017-02-03,9.8223
2017-02-04,9.8223
2017-02-06,9.8438
2017-02-07,9.7923
2017-02-08,9.7104
2017-02-09,9.8209
2017-02-10,9.7766
2017-02-11,9.7766
2017-02-13,9.8711
2017-02-14,9.8463
2017-02-15,9.6421
2017-02-16,9.6927
2017-02-17,9.7106
2017-02-18,9.7106
2017-02-20,9.7488
2017-02-21,9.7346
2017-02-22,9.6315
2017-02-23,9.56
2017-02-24,9.55
2017-02-25,9.5053
2017-02-27,9.45
2017-02-28,9.475
2017-03-01,9.565
2017-03-02,9.6421
2017-03-03,9.775
2017-03-04,9.6258
2017-03-05,9.6255
2017-03-06,9.725
2017-03-07,9.6369
2017-03-08,9.6694
2017-03-09,9.5385
2017-03-10,9.5273
2017-03-13,9.5907
2017-03-14,9.6006
2017-03-15,9.4065
2017-03-16,9.4373
2017-03-17,9.5754
2017-03-18,9.5754
2017-03-20,9.5351
2017-03-21,9.4065
2017-03-22,9.5231
2017-03-23,9.4804
2017-03-24,9.4848
2017-03-27,9.5097
2017-03-28,9.5297
2017-03-29,9.5473
2017-03-30,9.5973
2017-03-31,9.6518
2017-04-03,9.6161
2017-04-04,9.5476
2017-04-05,9.4326
2017-04-06,9.451
2017-04-07,9.525
2017-04-08,9.4882
2017-04-10,9.44
2017-04-11,9.425
2017-04-12,9.45
2017-04-13,9.4
2017-04-14,9.391
2017-04-17,9.3599
2017-04-18,9.2999
2017-04-19,9.3668
2017-04-20,9.3117
2017-04-21,9.4063
2017-04-24,9.3012
2017-04-25,9.2385
2017-04-26,9.3138
2017-04-27,9.3507
2017-04-28,9.3154
2017-04-29,9.3154
2017-05-01,9.309
2017-05-02,9.2693
2017-05-03,9.2907
2017-05-04,9.1367
2017-05-05,9.1854
2017-05-08,9.1977
2017-05-09,9.1491
2017-05-10,9.0901
2017-05-11,9.1671
2017-05-12,9.1425
2017-05-15,9.0982
2017-05-16,9.1459
2017-05-17,9.1561
2017-05-18,9.2909
2017-05-19,9.2736
2017-05-20,9.2736
2017-05-22,9.2369
2017-05-23,9.3285
2017-05-24,9.248
2017-05-25,9.3054
2017-05-26,9.2184
2017-05-29,9.2173
2017-05-30,9.1747
2017-05-31,9.1978
2017-06-01,9.242
2017-06-02,9.2576
2017-06-03,9.2576
2017-06-05,9.2497
2017-06-06,9.2578
2017-06-07,9.192
2017-06-08,9.2313
2017-06-09,9.1928
2017-06-12,9.1412
2017-06-13,9.1539
2017-06-14,9.2367
2017-06-15,9.1638
2017-06-16,9.1732
2017-06-19,9.1977
2017-06-20,9.1659
2017-06-21,9.1659
2017-06-22,9.2413
2017-06-23,9.2075
2017-06-24,9.2075
2017-06-25,9.207
2017-06-26,9.1819
2017-06-27,9.1203
2017-06-28,9.2153
2017-06-29,9.1042
2017-06-30,9.0639
2017-07-03,9.1503
2017-07-04,9.1041
2017-07-05,9.0082
2017-07-06,9.1
2017-07-07,9.02
2017-07-08,9.0392
2017-07-10,8.976
2017-07-11,8.8676
2017-07-12,8.9026
2017-07-13,8.8215
2017-07-14,8.7882
2017-07-17,8.7933
2017-07-18,8.8536
2017-07-19,8.8321
2017-07-20,8.6701
2017-07-21,8.7583
2017-07-24,8.7875
2017-07-25,8.7843
2017-07-26,8.7307
2017-07-27,8.8528
2017-07-28,8.8258
2017-07-31,8.7716
2017-08-01,8.9032
2017-08-02,8.9643
2017-08-03,9.0268
2017-08-04,9.0923
2017-08-07,9.0739
2017-08-08,8.9619
2017-08-09,8.8401
2017-08-10,8.8282
2017-08-11,8.8959
2017-08-14,8.9968
2017-08-15,8.9421
2017-08-16,8.9286
2017-08-17,8.957
2017-08-18,8.9585
2017-08-21,8.9358
2017-08-22,8.9765
2017-08-23,8.9571
2017-08-24,8.9372
2017-08-25,8.9282
2017-08-28,8.9882
2017-08-29,9.0711
2017-08-30,9.036
2017-08-31,9.0199
2017-09-01,9.094
2017-09-04,9.0921
2017-09-05,9.0772
2017-09-06,9.1039
2017-09-07,9.0818
2017-09-08,9.1396
2017-09-11,9.2627
2017-09-12,9.2152
2017-09-13,9.3894
2017-09-14,9.341
2017-09-15,9.5063
2017-09-18,9.5948
2017-09-19,9.6682
2017-09-20,9.5774
2017-09-21,9.3737
2017-09-22,9.4775
2017-09-25,9.4861
2017-09-26,9.5614
2017-09-27,9.5715
2017-09-28,9.6282
2017-09-29,9.681
2017-10-02,9.6737
2017-10-03,9.6771
2017-10-04,9.6463
2017-10-05,9.5896
2017-10-06,9.5439
2017-10-07,9.5411
2017-10-09,9.6067
2017-10-10,9.5851
2017-10-11,9.5528
2017-10-12,9.6213
2017-10-13,9.6474
2017-10-16,9.6603
2017-10-17,9.6357
2017-10-18,9.6985
2017-10-19,9.6898
2017-10-20,9.7109
2017-10-23,9.7784
2017-10-24,9.8143
2017-10-25,9.8501
2017-10-26,10.12
2017-10-27,9.9975
2017-10-30,9.9699
2017-10-31,9.9939
2017-11-01,10.001
2017-11-02,10.007
2017-11-03,10.027
2017-11-06,9.9936
2017-11-07,9.9666
2017-11-08,9.9244
2017-11-09,9.8811
2017-11-10,9.8006
2017-11-11,9.8006
2017-11-13,9.8697
2017-11-14,9.8931
2017-11-15,9.9423
2017-11-16,9.9769
2017-11-17,10.02
2017-11-18,10.02
2017-11-20,10.05
2017-11-21,10.03
2017-11-22,10.02
2017-11-23,10.081
2017-11-24,10.029
2017-11-27,10.125
2017-11-28,10.127
2017-11-29,10.035
2017-11-30,10.035
2017-12-01,10.136
2017-12-02,10.136
2017-12-04,10.115
2017-12-05,10.367
2017-12-06,10.377
2017-12-07,10.322
2017-12-08,10.201
2017-12-09,10.201
2017-12-11,10.18
2017-12-12,10.054
2017-12-13,9.9092
2017-12-14,9.7758
2017-12-15,9.9746
2017-12-18,9.8411
2017-12-19,9.6866
2017-12-20,9.7038
2017-12-21,9.7601
2017-12-22,9.7043
2017-12-25,9.6959
2017-12-26,9.7075
2017-12-27,9.8497
2017-12-28,9.8958
