"Date","Price","Open","High","Low","Vol.","Change %"
"08/04/2026","370.00","380.00","380.00","370.00","10.57K","3.64%"
"07/04/2026","357.00","368.00","368.00","357.00","0.52K","-1.64%"
"06/04/2026","362.95","364.00","364.00","352.00","2.17K","-0.43%"
"03/04/2026","364.50","367.00","367.00","360.00","18.84K","1.19%"
"02/04/2026","360.20","366.00","366.00","356.05","2.98K","-1.83%"
"01/04/2026","366.90","365.00","370.00","364.00","1.87K","0.91%"
"31/03/2026","363.60","369.95","369.95","352.50","2.88K","-0.11%"
"30/03/2026","364.00","365.00","365.00","359.00","0.77K","1.14%"
"27/03/2026","359.90","362.00","370.00","359.90","11.31K","-0.30%"
"26/03/2026","361.00","375.00","377.90","361.00","22.72K","-2.17%"
"25/03/2026","369.00","368.90","371.00","361.00","36.83K","2.22%"
"24/03/2026","361.00","389.50","389.50","361.00","6.43K","-2.43%"
"19/03/2026","370.00","373.00","385.00","370.00","2.82K","-3.90%"
"18/03/2026","385.00","376.10","385.00","376.10","0.46K","2.39%"
"17/03/2026","376.00","370.00","376.00","370.00","0.30K","1.90%"
"16/03/2026","369.00","369.90","369.90","360.00","0.67K","2.50%"
"13/03/2026","360.00","363.60","364.85","358.00","25.93K","0.00%"
"12/03/2026","360.00","370.00","375.90","360.00","2.09K","-1.11%"
"11/03/2026","364.05","378.95","378.95","364.05","1.50K","-0.26%"
"10/03/2026","365.00","388.50","388.50","365.00","12.19K","-2.41%"
"09/03/2026","374.00","375.00","383.00","367.00","2.34K","-1.58%"
"06/03/2026","380.00","392.80","392.80","374.00","19.54K","0.00%"
"05/03/2026","380.00","362.00","380.00","360.00","7.41K","5.03%"
"04/03/2026","361.80","355.00","373.00","355.00","20.97K","6.41%"
"03/03/2026","340.00","377.00","383.00","340.00","80.45K","-9.33%"
"02/03/2026","375.00","375.00","390.00","371.05","14.61K","-6.25%"
"27/02/2026","400.00","404.90","405.00","393.10","15.23K","-1.23%"
"26/02/2026","405.00","404.40","405.00","396.00","4.14K","1.76%"
"25/02/2026","398.00","396.10","404.70","396.10","8.97K","-0.50%"
"24/02/2026","400.00","404.95","405.00","395.00","17.94K","-1.23%"
"23/02/2026","405.00","396.05","406.90","396.05","0.29K","0.00%"
"20/02/2026","405.00","400.50","407.85","400.00","38.07K","0.00%"
"19/02/2026","405.00","401.00","407.90","395.00","27.86K","0.00%"
"18/02/2026","405.00","407.90","407.90","402.20","30.97K","-0.71%"
"17/02/2026","407.90","400.00","408.50","400.00","30.67K","-0.02%"
"16/02/2026","408.00","408.00","408.00","396.25","15.97K","0.02%"
"13/02/2026","407.90","400.00","407.90","396.00","15.33K","1.97%"
"12/02/2026","400.00","399.90","400.00","395.00","5.64K","0.03%"
"11/02/2026","399.90","400.00","400.00","390.00","0.40K","-0.03%"
"10/02/2026","400.00","390.00","400.00","386.25","3.91K","1.78%"
"09/02/2026","393.00","391.10","399.45","391.10","2.42K","-1.75%"
"06/02/2026","400.00","396.95","400.00","390.00","11.70K","0.86%"
"05/02/2026","396.60","397.00","397.00","394.00","0.17K","-0.09%"
"04/02/2026","396.95","386.10","397.40","386.10","1.66K","1.78%"
