"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"07/04/2026","1.830,00","1.860,00","1.879,00","1.802,00","0,38K","-1,61%"
"06/04/2026","1.860,00","1.850,00","1.860,00","1.820,00","0,04K","0,54%"
"03/04/2026","1.850,00","1.825,00","1.850,00","1.825,00","0,07K","0,00%"
"02/04/2026","1.850,00","1.853,00","1.890,00","1.850,00","0,16K","0,00%"
"01/04/2026","1.850,00","1.810,00","1.860,00","1.810,00","0,44K","2,78%"
"31/03/2026","1.800,00","1.820,00","1.820,00","1.775,00","1,60K","-0,50%"
"30/03/2026","1.809,00","1.809,00","1.816,00","1.809,00","0,11K","0,17%"
"27/03/2026","1.806,00","1.865,00","1.866,00","1.806,00","1,01K","-3,16%"
"26/03/2026","1.865,00","1.907,00","1.907,00","1.865,00","2,21K","-1,58%"
"25/03/2026","1.895,00","1.831,00","1.895,00","1.831,00","0,24K","3,50%"
"24/03/2026","1.831,00","1.907,00","1.907,00","1.831,00","0,24K","-2,09%"
"19/03/2026","1.870,00","1.869,00","1.870,00","1.840,00","4,12K","-0,53%"
"18/03/2026","1.880,00","1.873,00","1.910,00","1.873,00","0,91K","1,08%"
"17/03/2026","1.860,00","1.880,00","1.880,00","1.840,00","1,29K","0,54%"
"16/03/2026","1.850,00","1.851,00","1.899,00","1.850,00","0,50K","2,78%"
"13/03/2026","1.800,00","1.838,00","1.838,00","1.800,00","6,28K","-1,37%"
"12/03/2026","1.825,00","1.875,00","1.875,00","1.810,00","3,54K","0,83%"
"11/03/2026","1.810,00","1.890,00","1.890,00","1.810,00","1,84K","0,56%"
"10/03/2026","1.800,00","1.876,00","1.895,00","1.800,00","1,82K","-0,83%"
"09/03/2026","1.815,00","1.804,00","1.825,00","1.804,00","0,09K","-4,32%"
"06/03/2026","1.897,00","1.944,00","1.945,00","1.860,00","1,54K","-0,11%"
"05/03/2026","1.899,00","1.964,00","1.964,00","1.805,00","1,56K","5,44%"
"04/03/2026","1.801,00","1.719,00","1.838,00","1.719,00","0,55K","6,95%"
"03/03/2026","1.684,00","1.720,00","1.799,00","1.680,00","3,28K","-9,27%"
"02/03/2026","1.856,00","1.900,00","1.950,00","1.851,00","5,98K","-9,46%"
"27/02/2026","2.050,00","2.026,00","2.070,00","2.026,00","3,55K","-0,97%"
"26/02/2026","2.070,00","2.070,00","2.089,00","2.070,00","4,50K","-1,33%"
"25/02/2026","2.098,00","2.055,00","2.098,00","2.050,00","0,14K","1,35%"
"24/02/2026","2.070,00","2.100,00","2.100,00","2.070,00","2,01K","0,00%"
"23/02/2026","2.070,00","2.120,00","2.120,00","2.070,00","1,53K","-1,43%"
"20/02/2026","2.100,00","2.120,00","2.120,00","2.051,00","2,61K","0,24%"
"19/02/2026","2.095,00","2.119,00","2.128,00","2.070,00","1,09K","-0,19%"
"18/02/2026","2.099,00","2.003,00","2.099,00","2.000,00","0,37K","2,39%"
"17/02/2026","2.050,00","2.000,00","2.070,00","1.995,00","0,39K","-0,97%"
"16/02/2026","2.070,00","2.099,00","2.099,00","2.050,00","2,22K","0,00%"
"13/02/2026","2.070,00","2.076,00","2.076,00","2.069,00","1,08K","2,48%"
"12/02/2026","2.020,00","2.020,00","2.096,00","1.992,00","0,14K","1,51%"
"11/02/2026","1.990,00","1.996,00","2.020,00","1.990,00","0,25K","-1,49%"
"10/02/2026","2.020,00","1.999,00","2.030,00","1.991,00","0,96K","1,46%"
"09/02/2026","1.991,00","2.029,00","2.029,00","1.991,00","0,12K","0,30%"
"06/02/2026","1.985,00","2.000,00","2.000,00","1.985,00","1,59K","-1,68%"
"05/02/2026","2.019,00","2.097,00","2.097,00","2.019,00","0,36K","-1,99%"
"04/02/2026","2.060,00","2.098,00","2.098,00","2.050,00","0,08K","0,49%"
"03/02/2026","2.050,00","2.085,00","2.099,00","2.050,00","1,53K","-0,68%"
"02/02/2026","2.064,00","2.041,00","2.100,00","2.040,00","0,17K","1,67%"
"30/01/2026","2.030,00","2.165,00","2.165,00","2.030,00","0,72K","-6,41%"
"29/01/2026","2.169,00","2.175,00","2.175,00","2.067,00","0,07K","1,36%"
"28/01/2026","2.140,00","2.098,00","2.149,00","2.080,00","2,25K","3,38%"
"27/01/2026","2.070,00","2.100,00","2.110,00","2.060,00","0,28K","0,44%"
"26/01/2026","2.061,00","2.103,00","2.110,00","2.052,00","1,10K","-4,14%"
"23/01/2026","2.150,00","2.225,00","2.225,00","2.150,00","2,64K","-2,27%"
"22/01/2026","2.200,00","2.224,00","2.224,00","2.200,00","0,05K","0,36%"
"21/01/2026","2.192,00","2.191,00","2.249,00","2.191,00","0,03K","-3,44%"
"19/01/2026","2.270,00","2.202,00","2.293,00","2.171,00","1,03K","0,93%"
"16/01/2026","2.249,00","2.238,00","2.270,00","2.230,00","1,09K","-0,04%"
"15/01/2026","2.250,00","2.286,00","2.300,00","2.250,00","0,42K","-2,98%"
"13/01/2026","2.319,00","2.335,00","2.335,00","2.319,00","0,03K","0,00%"
"12/01/2026","2.319,00","2.339,00","2.339,00","2.270,00","0,71K","-0,04%"
"09/01/2026","2.320,00","2.319,00","2.320,00","2.300,00","0,03K","0,00%"
"08/01/2026","2.320,00","2.329,00","2.330,00","2.300,00","0,27K","-1,28%"
"07/01/2026","2.350,00","2.368,00","2.368,00","2.349,00","0,05K","-0,21%"
"06/01/2026","2.355,00","2.365,00","2.370,00","2.350,00","0,24K","0,21%"
"05/01/2026","2.350,00","2.280,00","2.350,00","2.280,00","0,20K","2,71%"
"02/01/2026","2.288,00","2.250,00","2.289,00","2.240,00","4,98K","2,74%"
"31/12/2025","2.227,00","2.295,00","2.295,00","2.221,00","2,89K","-2,28%"
"30/12/2025","2.279,00","2.203,00","2.280,00","2.203,00","3,36K","3,59%"
"29/12/2025","2.200,00","2.299,00","2.299,00","2.200,00","1,49K","0,00%"
"26/12/2025","2.200,00","2.335,00","2.335,00","2.200,00","3,85K","-3,51%"
"25/12/2025","2.280,00","2.302,00","2.302,00","2.280,00","4,81K","-0,87%"
"24/12/2025","2.300,00","2.355,00","2.355,00","2.288,00","1,21K","-0,43%"
"23/12/2025","2.310,00","2.368,00","2.368,00","2.290,00","1,90K","0,43%"
"22/12/2025","2.300,00","2.397,00","2.397,00","2.300,00","1,44K","-0,90%"
"19/12/2025","2.321,00","2.358,00","2.375,00","2.305,00","3,33K","-0,81%"
"18/12/2025","2.340,00","2.340,00","2.340,00","2.335,00","0,06K","1,69%"
"17/12/2025","2.301,00","2.278,00","2.340,00","2.278,00","0,98K","0,92%"
"16/12/2025","2.280,00","2.290,00","2.320,00","2.280,00","0,74K","-0,44%"
"15/12/2025","2.290,00","2.290,00","2.300,00","2.290,00","0,13K","-0,43%"
"12/12/2025","2.300,00","2.358,00","2.358,00","2.300,00","0,92K","-2,50%"
"11/12/2025","2.359,00","2.320,00","2.360,00","2.291,00","0,48K","0,00%"
"10/12/2025","2.359,00","2.359,00","2.359,00","2.359,00","0,00K","2,57%"
"09/12/2025","2.300,00","2.300,00","2.300,00","2.300,00","0,01K","0,00%"
"08/12/2025","2.300,00","2.287,00","2.338,00","2.286,00","0,05K","0,00%"
"05/12/2025","2.300,00","2.287,00","2.339,00","2.287,00","1,55K","0,00%"
"04/12/2025","2.300,00","2.340,00","2.340,00","2.300,00","0,30K","0,44%"
"03/12/2025","2.290,00","2.300,00","2.300,00","2.278,00","0,09K","-0,43%"
"02/12/2025","2.300,00","2.306,00","2.310,00","2.283,00","0,19K","-0,17%"
"01/12/2025","2.304,00","2.430,00","2.430,00","2.304,00","0,08K","0,04%"
"28/11/2025","2.303,00","2.330,00","2.330,00","2.302,00","1,97K","-1,16%"
"27/11/2025","2.330,00","2.300,00","2.340,00","2.300,00","4,43K","1,30%"
"26/11/2025","2.300,00","2.300,00","2.300,00","2.300,00","4,01K","0,52%"
"25/11/2025","2.288,00","2.270,00","2.300,00","2.270,00","4,79K","-2,14%"
"24/11/2025","2.338,00","2.270,00","2.338,00","2.270,00","0,02K","3,00%"
"21/11/2025","2.270,00","2.347,00","2.347,00","2.270,00","4,82K","-1,30%"
"20/11/2025","2.300,00","2.290,00","2.358,00","2.250,00","0,09K","1,77%"
"19/11/2025","2.260,00","2.301,00","2.360,00","2.252,00","1,50K","-2,80%"
"17/11/2025","2.325,00","2.333,00","2.333,00","2.325,00","0,07K","-0,34%"
"14/11/2025","2.333,00","2.400,00","2.400,00","2.333,00","2,31K","-2,79%"
"13/11/2025","2.400,00","2.400,00","2.400,00","2.400,00","1,05K","0,00%"
"12/11/2025","2.400,00","2.434,00","2.434,00","2.325,00","0,83K","-2,44%"
"11/11/2025","2.460,00","2.423,00","2.460,00","2.400,00","0,08K","0,41%"
"10/11/2025","2.450,00","2.421,00","2.450,00","2.421,00","0,08K","0,49%"
"07/11/2025","2.438,00","2.437,00","2.500,00","2.437,00","0,12K","-2,48%"
"05/11/2025","2.500,00","2.500,00","2.502,00","2.500,00","0,02K","-0,20%"
"04/11/2025","2.505,00","2.505,00","2.505,00","2.505,00","0,04K","-1,76%"
"03/11/2025","2.550,00","2.600,00","2.600,00","2.503,00","0,93K","2,00%"
"31/10/2025","2.500,00","2.460,00","2.500,00","2.420,00","3,53K","1,63%"
"30/10/2025","2.460,00","2.460,00","2.469,00","2.460,00","0,74K","0,00%"
"29/10/2025","2.460,00","2.426,00","2.460,00","2.415,00","0,25K","1,44%"
"28/10/2025","2.425,00","2.427,00","2.469,00","2.395,00","4,75K","-1,78%"
"27/10/2025","2.469,00","2.445,00","2.470,00","2.445,00","1,39K","-0,24%"
"24/10/2025","2.475,00","2.475,00","2.475,00","2.475,00","1,94K","1,02%"
"23/10/2025","2.450,00","2.499,00","2.499,00","2.410,00","0,53K","-0,81%"
"22/10/2025","2.470,00","2.440,00","2.500,00","2.440,00","0,78K","-1,20%"
"21/10/2025","2.500,00","2.440,00","2.500,00","2.440,00","0,74K","2,08%"
"20/10/2025","2.449,00","2.439,00","2.450,00","2.439,00","0,63K","1,41%"
"17/10/2025","2.415,00","2.350,00","2.415,00","2.350,00","0,82K","1,47%"
"16/10/2025","2.380,00","2.365,00","2.380,00","2.365,00","0,04K","1,28%"
"15/10/2025","2.350,00","2.357,00","2.380,00","2.314,00","0,20K","-1,26%"
"14/10/2025","2.380,00","2.362,00","2.400,00","2.357,00","3,06K","-1,86%"
"13/10/2025","2.425,00","2.425,00","2.425,00","2.357,00","3,21K","0,00%"
"10/10/2025","2.425,00","2.340,00","2.459,00","2.340,00","2,06K","1,46%"
"09/10/2025","2.390,00","2.420,00","2.440,00","2.385,00","1,71K","-0,42%"
"08/10/2025","2.400,00","2.455,00","2.455,00","2.400,00","0,44K","-0,46%"
"07/10/2025","2.411,00","2.401,00","2.439,00","2.401,00","0,43K","1,22%"
"06/10/2025","2.382,00","2.439,00","2.450,00","2.382,00","0,68K","-0,75%"
"03/10/2025","2.400,00","2.350,00","2.446,00","2.350,00","4,83K","3,45%"
"02/10/2025","2.320,00","2.320,00","2.350,00","2.205,00","2,42K","0,00%"
"01/10/2025","2.320,00","2.340,00","2.400,00","2.320,00","3,50K","-0,85%"
"30/09/2025","2.340,00","2.300,00","2.400,00","2.175,00","7,41K","1,74%"
"29/09/2025","2.300,00","2.400,00","2.450,00","2.300,00","6,32K","-4,37%"
"26/09/2025","2.405,00","2.446,00","2.447,00","2.405,00","5,59K","-1,84%"
"25/09/2025","2.450,00","2.505,00","2.505,00","2.426,00","3,35K","-2,78%"
"24/09/2025","2.520,00","2.599,00","2.599,00","2.520,00","0,21K","-0,83%"
"23/09/2025","2.541,00","2.589,00","2.589,00","2.523,00","0,19K","-1,13%"
"22/09/2025","2.570,00","2.679,00","2.679,00","2.550,00","1,09K","-1,15%"
"19/09/2025","2.600,00","2.705,00","2.744,00","2.600,00","4,89K","-1,33%"
"18/09/2025","2.635,00","2.550,00","2.640,00","2.550,00","3,55K","3,33%"
"17/09/2025","2.550,00","2.505,00","2.550,00","2.505,00","0,58K","1,11%"
"16/09/2025","2.522,00","2.530,00","2.589,00","2.510,00","6,00K","-0,16%"
"15/09/2025","2.526,00","2.552,00","2.605,00","2.526,00","0,62K","-1,10%"
"12/09/2025","2.554,00","2.595,00","2.610,00","2.554,00","0,28K","-1,47%"
"11/09/2025","2.592,00","2.551,00","2.595,00","2.532,00","0,78K","1,61%"
"10/09/2025","2.551,00","2.550,00","2.618,00","2.534,00","0,21K","0,04%"
"09/09/2025","2.550,00","2.610,00","2.630,00","2.550,00","0,97K","-1,92%"
"08/09/2025","2.600,00","2.561,00","2.625,00","2.550,00","1,36K","0,81%"
"04/09/2025","2.579,00","2.619,00","2.621,00","2.579,00","0,01K","-1,53%"
"03/09/2025","2.619,00","2.618,00","2.624,00","2.616,00","0,58K","0,04%"
"02/09/2025","2.618,00","2.600,00","2.624,00","2.550,00","0,48K","1,08%"
"01/09/2025","2.590,00","2.600,00","2.600,00","2.540,00","0,86K","-0,38%"
"29/08/2025","2.600,00","2.688,00","2.688,00","2.600,00","1,74K","-1,85%"
"28/08/2025","2.649,00","2.680,00","2.748,00","2.649,00","2,67K","-0,04%"
"27/08/2025","2.650,00","2.598,00","2.680,00","2.598,00","6,82K","1,92%"
"26/08/2025","2.600,00","2.466,00","2.600,00","2.466,00","3,59K","5,48%"
"25/08/2025","2.465,00","2.450,00","2.466,00","2.450,00","0,35K","-1,36%"
"22/08/2025","2.499,00","2.442,00","2.499,00","2.441,00","2,02K","2,33%"
"19/08/2025","2.442,00","2.450,00","2.455,00","2.442,00","0,10K","-0,12%"
"18/08/2025","2.445,00","2.450,00","2.455,00","2.445,00","0,05K","-0,29%"
"15/08/2025","2.452,00","2.425,00","2.489,00","2.425,00","0,61K","-0,77%"
"13/08/2025","2.471,00","2.455,00","2.490,00","2.450,00","0,65K","0,65%"
"12/08/2025","2.455,00","2.441,00","2.455,00","2.430,00","0,16K","0,00%"
"11/08/2025","2.455,00","2.449,00","2.458,00","2.409,00","0,68K","0,20%"
"08/08/2025","2.450,00","2.455,00","2.455,00","2.402,00","0,39K","0,16%"
"07/08/2025","2.446,00","2.405,00","2.458,00","2.401,00","1,04K","1,92%"
"06/08/2025","2.400,00","2.430,00","2.439,00","2.400,00","8,09K","-1,44%"
"05/08/2025","2.435,00","2.430,00","2.440,00","2.400,00","1,10K","1,04%"
"04/08/2025","2.410,00","2.430,00","2.480,00","2.410,00","0,99K","-2,82%"
"01/08/2025","2.480,00","2.456,00","2.480,00","2.430,00","1,71K","1,22%"
"31/07/2025","2.450,00","2.437,00","2.498,00","2.420,00","1,83K","0,00%"
"29/07/2025","2.450,00","2.490,00","2.500,00","2.450,00","2,37K","2,08%"
"28/07/2025","2.400,00","2.500,00","2.549,00","2.400,00","0,52K","-4,00%"
"25/07/2025","2.500,00","2.490,00","2.510,00","2.440,00","1,67K","2,04%"
"24/07/2025","2.450,00","2.523,00","2.523,00","2.416,00","1,01K","0,00%"
"23/07/2025","2.450,00","2.500,00","2.570,00","2.450,00","0,23K","-2,00%"
"22/07/2025","2.500,00","2.450,00","2.500,00","2.420,00","1,35K","3,31%"
"21/07/2025","2.420,00","2.420,00","2.420,00","2.400,00","0,19K","0,83%"
"18/07/2025","2.400,00","2.400,00","2.439,00","2.381,00","1,63K","-0,83%"
"17/07/2025","2.420,00","2.401,00","2.420,00","2.386,00","2,18K","1,68%"
"16/07/2025","2.380,00","2.460,00","2.460,00","2.380,00","0,39K","-2,30%"
