"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","26.28","26.28","26.28","26.28","17.99K","0.08%"
"03/25/2026","26.26","26.26","26.26","26.26","1.20K","0.04%"
"03/24/2026","26.25","26.25","26.25","26.25","41.51K","0.00%"
"03/23/2026","26.25","26.42","26.42","26.25","150.00K","-0.61%"
"03/20/2026","26.41","26.41","26.41","26.41","2.00K","0.04%"
"03/19/2026","26.40","26.40","26.40","26.40","3.79K","0.04%"
"03/17/2026","26.39","26.39","26.39","26.39","72.89K","0.04%"
"03/16/2026","26.38","26.37","26.38","26.37","70.30K","0.04%"
"03/13/2026","26.37","26.37","26.37","26.36","21.86K","0.04%"
"03/12/2026","26.36","26.36","26.36","26.36","0.60K","0.08%"
"03/10/2026","26.34","26.33","26.34","26.33","6.68K","0.08%"
"03/09/2026","26.32","26.32","26.32","26.32","10.50K","0.00%"
"03/03/2026","26.32","26.32","26.32","26.32","5.50K","0.00%"
"03/02/2026","26.32","26.32","26.32","26.32","0.50K","0.11%"
"02/25/2026","26.29","26.30","26.30","26.29","1.20K","0.04%"
"02/23/2026","26.28","26.28","26.28","26.28","16.60K","0.04%"
"02/20/2026","26.27","26.26","26.27","26.26","10.00K","0.08%"
"02/17/2026","26.25","26.25","26.25","26.25","6.41K","0.11%"
"02/11/2026","26.22","26.22","26.22","26.22","6.00K","0.04%"
"02/06/2026","26.21","26.21","26.21","26.21","1.00K","0.08%"
"02/04/2026","26.19","26.19","26.19","26.19","8.41K","0.11%"
"01/27/2026","26.16","26.16","26.16","26.16","1.00K","0.04%"
"01/26/2026","26.15","26.15","26.15","26.15","5.00K","0.08%"
"01/23/2026","26.13","26.13","26.13","26.13","1.00K","0.08%"
"01/22/2026","26.11","26.12","26.12","26.11","1.70K","0.00%"
"01/21/2026","26.11","26.11","26.11","26.11","0.95K","0.00%"
"01/16/2026","26.11","26.11","26.11","26.11","4.11K","0.15%"
"01/05/2026","26.07","26.05","26.07","26.05","7.76K","0.08%"
"12/29/2025","26.05","26.05","26.05","26.05","0.60K","0.04%"
"12/18/2025","26.04","26.05","26.05","26.04","2.30K","0.00%"
"12/17/2025","26.04","26.04","26.04","26.04","10.00K","0.08%"
"12/12/2025","26.02","26.02","26.02","26.02","0.50K","0.04%"
"12/09/2025","26.01","26.02","26.02","26.01","59.47K","0.00%"
"12/08/2025","26.01","26.01","26.01","26.01","9.60K","0.04%"
"12/05/2025","26.00","26.00","26.00","26.00","770.35K","12.55%"
"12/04/2025","23.10","23.10","23.10","23.09","20.47K","0.04%"
"11/25/2025","23.09","23.10","23.10","23.09","25.00K","0.00%"
"11/18/2025","23.09","23.09","23.09","23.09","0.62K","0.00%"
"11/12/2025","23.09","23.10","23.10","23.09","9.77K","0.00%"
"11/11/2025","23.09","23.09","23.09","23.09","7.49K","0.09%"
"11/10/2025","23.07","23.07","23.07","23.07","4.67K","0.00%"
"11/05/2025","23.07","23.07","23.07","23.07","0.67K","0.09%"
"10/27/2025","23.05","23.05","23.05","23.05","1.00K","0.04%"
"10/24/2025","23.04","23.03","23.04","23.03","8.30K","0.09%"
"10/14/2025","23.02","23.02","23.03","23.02","4.70K","0.00%"
"10/07/2025","23.02","23.02","23.02","23.02","2.20K","0.04%"
"10/06/2025","23.01","23.01","23.01","23.01","4.50K","3.65%"
"09/25/2025","22.20","22.20","22.20","22.20","2.90K","0.09%"
"09/18/2025","22.18","22.18","22.18","22.18","42.34K","0.09%"
"09/17/2025","22.16","22.18","22.18","22.16","11.50K","0.00%"
"09/11/2025","22.16","22.16","22.16","22.16","4.91K","0.05%"
"09/10/2025","22.15","22.15","22.15","22.15","1.67K","0.05%"
"09/09/2025","22.14","22.14","22.14","22.14","8.75K","0.14%"
"09/05/2025","22.11","22.11","22.11","22.11","13.08K","0.09%"
"09/02/2025","22.09","22.09","22.09","22.09","1.97K","0.09%"
