"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","4,361","4,330","4,494","4,290","343.01K","-0.25%"
"03/26/2026","4,372","4,420","4,451","4,336","236.86K","-1.06%"
"03/25/2026","4,419","4,300","4,436","4,300","210.60K","2.10%"
"03/24/2026","4,328","4,348","4,354","4,306","170.78K","-0.39%"
"03/23/2026","4,345","4,272","4,407","4,162","498.48K","2.24%"
"03/20/2026","4,250","4,245","4,359","4,245","1.75M","0.21%"
"03/19/2026","4,241","4,380","4,417","4,170","569.99K","-3.61%"
"03/18/2026","4,400","4,458","4,503","4,376","191.06K","0.00%"
"03/17/2026","4,400","4,335","4,439","4,335","385.11K","0.00%"
"03/16/2026","4,400","4,350","4,435","4,332","376.70K","0.99%"
"03/13/2026","4,357","4,449","4,482","4,343","198.95K","-2.07%"
"03/12/2026","4,449","4,480","4,539","4,437","392.20K","-2.22%"
"03/11/2026","4,550","4,444","4,592","4,444","265.58K","-0.85%"
"03/10/2026","4,589","4,572","4,655","4,388","345.94K","1.53%"
"03/09/2026","4,520","4,581","4,581","4,476","643.00K","-1.97%"
"03/06/2026","4,611","4,723","4,810","4,578","413.57K","-2.16%"
"03/05/2026","4,713","4,700","4,746","4,680","347.79K","0.15%"
"03/04/2026","4,706","4,601","4,706","4,570","494.92K","2.30%"
"03/03/2026","4,600","5,100","5,100","4,595","567.71K","-6.83%"
"03/02/2026","4,937","5,024","5,025","4,885","516.88K","-1.69%"
"02/27/2026","5,022","5,050","5,090","5,021","338.21K","-0.67%"
"02/26/2026","5,056","4,951","5,067","4,951","206.62K","1.69%"
"02/25/2026","4,972","5,001","5,045","4,972","292.80K","-1.07%"
"02/24/2026","5,026","5,005","5,040","4,981","223.28K","-0.26%"
"02/23/2026","5,039","5,039","5,087","5,006","259.20K","0.32%"
"02/20/2026","5,023","5,149","5,149","5,022","114.70K","-0.50%"
"02/19/2026","5,048","5,092","5,112","5,045","192.96K","-1.23%"
"02/18/2026","5,111","5,033","5,143","5,033","204.29K","1.23%"
"02/17/2026","5,049","5,020","5,082","5,020","256.31K","-0.57%"
"02/16/2026","5,078","5,024","5,155","4,989","337.88K","1.74%"
"02/13/2026","4,991","5,081","5,081","4,991","253.83K","-1.23%"
"02/12/2026","5,053","5,002","5,075","5,000","204.33K","0.56%"
"02/11/2026","5,025","5,057","5,081","4,981","371.23K","-0.87%"
"02/10/2026","5,069","5,138","5,138","5,025","171.61K","0.78%"
"02/09/2026","5,030","5,062","5,136","4,991","383.81K","-0.02%"
"02/06/2026","5,031","4,987","5,031","4,966","227.80K","0.30%"
"02/05/2026","5,016","4,989","5,094","4,988","166.93K","-0.20%"
"02/04/2026","5,026","5,115","5,115","4,988","590.12K","-1.64%"
"02/03/2026","5,110","5,209","5,209","5,103","453.24K","-0.54%"
"02/02/2026","5,138","4,964","5,138","4,930","306.98K","1.50%"
"01/30/2026","5,062","5,230","5,230","5,062","528.25K","-2.18%"
"01/29/2026","5,175","5,129","5,226","5,129","504.05K","0.74%"
"01/28/2026","5,137","5,155","5,200","5,086","393.08K","-0.02%"
"01/27/2026","5,138","5,175","5,187","5,109","815.70K","-0.39%"
"01/26/2026","5,158","5,080","5,162","5,037","337.28K","1.54%"
"01/23/2026","5,080","5,120","5,120","4,961","431.40K","-0.39%"
"01/22/2026","5,100","4,743","5,113","4,743","821.10K","6.87%"
"01/21/2026","4,772","4,728","4,789","4,715","323.18K","0.02%"
"01/20/2026","4,771","4,716","4,785","4,716","238.75K","-0.33%"
"01/19/2026","4,787","4,829","4,829","4,654","586.53K","-1.62%"
"01/16/2026","4,866","4,828","4,900","4,813","518.15K","0.81%"
"01/15/2026","4,827","4,760","4,829","4,750","495.92K","1.34%"
"01/14/2026","4,763","4,780","4,798","4,714","407.33K","-0.36%"
"01/13/2026","4,780","4,750","4,811","4,717","670.52K","-0.19%"
"01/12/2026","4,789","4,822","4,836","4,749","211.49K","-0.64%"
"01/09/2026","4,820","4,800","4,834","4,750","600.93K","1.45%"
"01/08/2026","4,751","4,776","4,788","4,717","320.21K","-0.63%"
"01/07/2026","4,781","4,800","4,800","4,740","238.36K","-0.06%"
"01/06/2026","4,784","4,768","4,872","4,750","678.65K","0.31%"
"01/05/2026","4,769","4,770","4,786","4,707","487.57K","0.82%"
"01/02/2026","4,730","4,700","4,730","4,619","537.47K","1.15%"
"12/31/2025","4,676","4,699","4,700","4,662","37.65K","-0.47%"
"12/30/2025","4,698","4,601","4,708","4,601","344.07K","-0.13%"
"12/29/2025","4,704","4,711","4,739","4,689","391.64K","-0.57%"
"12/24/2025","4,731","4,780","4,787","4,722","160.38K","-0.38%"
"12/23/2025","4,749","4,710","4,767","4,707","522.33K","0.49%"
"12/22/2025","4,726","4,720","4,734","4,664","259.55K","0.32%"
"12/19/2025","4,711","4,787","4,788","4,600","1.06M","-1.20%"
"12/18/2025","4,768","4,700","4,775","4,700","510.10K","1.45%"
"12/17/2025","4,700","4,670","4,713","4,633","579.90K","0.00%"
"12/15/2025","4,700","4,703","4,721","4,657","1.01M","0.36%"
"12/12/2025","4,683","4,668","4,704","4,626","689.28K","0.62%"
"12/11/2025","4,654","4,615","4,671","4,615","633.70K","1.09%"
"12/10/2025","4,604","4,700","4,700","4,576","282.40K","-0.39%"
"12/09/2025","4,622","4,550","4,635","4,509","724.78K","0.68%"
"12/08/2025","4,591","4,680","4,680","4,571","401.17K","0.13%"
"12/05/2025","4,585","4,600","4,669","4,580","876.45K","-1.50%"
"12/04/2025","4,655","4,630","4,655","4,576","329.80K","1.20%"
"12/03/2025","4,600","4,700","4,700","4,551","374.31K","-4.86%"
"12/02/2025","4,835","4,820","4,849","4,810","485.16K","0.37%"
"12/01/2025","4,817","4,808","4,837","4,758","485.64K","-0.04%"
"11/28/2025","4,819","4,725","4,823","4,725","592.11K","0.84%"
"11/27/2025","4,779","4,833","4,841","4,762","331.31K","-0.23%"
"11/26/2025","4,790","4,761","4,818","4,741","307.38K","1.48%"
"11/25/2025","4,720","4,760","4,773","4,700","358.42K","-0.92%"
"11/24/2025","4,764","4,744","4,764","4,696","1.24M","1.21%"
"11/21/2025","4,707","4,771","4,835","4,655","643.64K","-2.22%"
"11/20/2025","4,814","4,831","4,908","4,737","923.52K","-1.35%"
"11/19/2025","4,880","4,987","4,987","4,792","533.09K","1.35%"
"11/18/2025","4,815","4,845","4,933","4,805","497.34K","-2.51%"
"11/17/2025","4,939","4,850","4,963","4,840","368.41K","1.84%"
