"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2026","5.35","5.35","5.35","5.35","1.24K","0.00%"
"03/18/2026","5.35","5.36","5.36","5.35","15.20K","0.94%"
"03/02/2026","5.30","5.30","5.30","5.30","5.41K","0.38%"
"02/20/2026","5.28","5.28","5.28","5.28","0.94K","-0.19%"
"02/10/2026","5.29","5.28","5.29","5.28","1.47K","-0.19%"
"02/06/2026","5.30","5.26","5.30","5.26","21.10K","0.57%"
"01/29/2026","5.27","5.27","5.27","5.27","0.30K","-0.19%"
"01/26/2026","5.28","5.27","5.28","5.27","10.50K","0.00%"
"01/19/2026","5.28","5.28","5.28","5.28","40.69K","-0.19%"
"01/16/2026","5.29","5.29","5.29","5.29","1.00K","0.00%"
"12/29/2025","5.29","5.29","5.29","5.29","5.75K","0.19%"
"12/12/2025","5.28","5.28","5.28","5.28","5.20K","-0.19%"
"12/11/2025","5.29","5.29","5.29","5.29","9.35K","0.00%"
"12/01/2025","5.29","5.29","5.29","5.29","17.49K","0.00%"
"11/24/2025","5.29","5.29","5.29","5.29","18.74K","-0.19%"
"11/12/2025","5.30","5.29","5.30","5.29","49.85K","0.00%"
"11/10/2025","5.30","5.30","5.30","5.30","3.73K","-3.46%"
"10/28/2025","5.49","5.49","5.49","5.49","15.00K","0.00%"
"10/27/2025","5.49","5.49","5.49","5.49","0.20K","0.00%"
"10/23/2025","5.49","5.49","5.49","5.49","1.00K","0.00%"
"10/20/2025","5.49","5.50","5.50","5.49","11.94K","0.00%"
"10/13/2025","5.49","5.49","5.50","5.49","81.80K","-16.18%"
"09/18/2025","6.55","6.55","6.55","6.55","44.56K","-0.76%"
"09/15/2025","6.60","6.60","6.60","6.60","89.00K","-0.60%"
"09/08/2025","6.64","6.64","6.64","6.64","4.20K","0.00%"
"09/03/2025","6.64","6.64","6.64","6.64","14.93K","0.00%"
"09/02/2025","6.64","6.64","6.64","6.64","259.31K","0.00%"
"08/29/2025","6.64","6.64","6.64","6.64","5.50K","0.30%"
"08/13/2025","6.62","6.62","6.62","6.62","0.15K","0.00%"
"08/12/2025","6.62","6.63","6.63","6.62","1.24K","0.30%"
"08/06/2025","6.60","6.60","6.60","6.60","1.40K","0.00%"
"08/05/2025","6.60","6.60","6.60","6.60","9.11K","0.00%"
"07/29/2025","6.60","6.60","6.60","6.60","1.00K","0.00%"
"07/23/2025","6.60","6.60","6.60","6.60","52.45K","0.00%"
"07/16/2025","6.60","6.60","6.60","6.60","0.75K","0.00%"
"07/14/2025","6.60","6.60","6.60","6.60","18.22K","0.00%"
"07/11/2025","6.60","6.60","6.60","6.59","32.37K","0.00%"
"07/09/2025","6.60","6.61","6.65","6.60","100.00K","1.38%"
"07/07/2025","6.51","6.51","6.51","6.51","20.67K","0.00%"
"07/04/2025","6.51","6.51","6.51","6.51","0.50K","0.00%"
"06/26/2025","6.51","6.51","6.51","6.51","2.60K","0.00%"
"06/25/2025","6.51","6.51","6.51","6.51","3.86K","0.00%"
"06/18/2025","6.51","6.51","6.51","6.51","0.40K","0.15%"
"06/09/2025","6.50","6.50","6.50","6.50","2.60K","0.00%"
"06/04/2025","6.50","6.50","6.50","6.50","0.25K","0.00%"
"06/02/2025","6.50","6.17","6.50","6.17","65.45K","5.35%"
"05/27/2025","6.17","6.17","6.17","6.17","1.60K","0.33%"
"05/07/2025","6.15","6.15","6.15","6.15","0.90K","0.00%"
"04/24/2025","6.15","6.15","6.15","6.15","1.08K","0.00%"
"04/16/2025","6.15","6.15","6.15","6.15","2.38K","0.00%"
"04/14/2025","6.15","6.15","6.15","6.15","2.04K","0.00%"
"04/07/2025","6.15","6.16","6.16","6.15","41.25K","-0.16%"
"04/04/2025","6.16","6.16","6.16","6.16","0.30K","2.67%"
"03/24/2025","6.00","6.00","6.00","6.00","68.89K","9.09%"
"03/06/2025","5.50","5.50","5.50","5.50","91.32K","0.00%"
"03/05/2025","5.50","5.16","5.50","5.16","29.58K","6.80%"
