"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","9.29","9.29","9.29","9.28","274.06K","0.00%"
"03/25/2026","9.29","9.33","9.33","9.28","103.18K","0.00%"
"03/12/2026","9.29","9.29","9.29","9.29","1.00K","0.00%"
"03/10/2026","9.29","9.29","9.29","9.29","0.50K","0.11%"
"03/03/2026","9.28","9.28","9.28","9.28","6.90K","0.22%"
"03/02/2026","9.26","9.27","9.27","9.26","2.40K","-0.11%"
"02/26/2026","9.27","9.28","9.28","9.27","0.40K","0.00%"
"02/24/2026","9.27","9.27","9.27","9.27","25.70K","0.00%"
"02/18/2026","9.27","9.27","9.27","9.27","1.00K","0.11%"
"02/12/2026","9.26","9.26","9.26","9.26","1.64K","-0.22%"
"02/10/2026","9.28","9.28","9.28","9.28","2.94K","0.00%"
"02/09/2026","9.28","9.28","9.28","9.28","74.46K","0.22%"
"01/29/2026","9.26","9.26","9.26","9.26","5.00K","0.54%"
"01/26/2026","9.21","9.20","9.21","9.20","105.00K","0.22%"
"01/22/2026","9.19","9.19","9.19","9.19","0.30K","0.11%"
"01/09/2026","9.18","9.18","9.18","9.18","0.50K","0.00%"
"01/08/2026","9.18","9.18","9.18","9.18","2.84K","0.11%"
"01/05/2026","9.17","9.17","9.17","9.17","1.20K","0.00%"
"12/30/2025","9.17","9.17","9.17","9.17","0.36K","0.11%"
"12/23/2025","9.16","9.16","9.16","9.16","0.20K","0.00%"
"12/22/2025","9.16","9.17","9.17","9.16","2.00K","0.00%"
"12/17/2025","9.16","9.16","9.16","9.16","1.20K","0.00%"
"12/12/2025","9.16","9.16","9.16","9.16","1.49K","0.00%"
"12/08/2025","9.16","9.15","9.16","9.15","20.35K","0.11%"
"12/05/2025","9.15","9.15","9.15","9.15","35.30K","0.66%"
"12/01/2025","9.09","9.09","9.09","9.09","11.75K","0.00%"
"11/25/2025","9.09","9.09","9.09","9.09","0.50K","0.11%"
"11/21/2025","9.08","9.08","9.08","9.08","5.90K","0.22%"
"11/20/2025","9.06","9.06","9.06","9.06","7.00K","0.11%"
"11/18/2025","9.05","9.05","9.05","9.05","0.50K","0.56%"
"11/11/2025","9.00","9.01","9.01","9.00","15.30K","0.00%"
"11/06/2025","9.00","9.00","9.00","9.00","4.00K","0.00%"
"11/03/2025","9.00","9.00","9.00","9.00","4.16K","0.00%"
"10/31/2025","9.00","9.00","9.00","9.00","4.00K","3.21%"
"10/30/2025","8.72","8.72","8.72","8.72","6.10K","0.11%"
"10/27/2025","8.71","8.71","8.71","8.71","6.30K","0.00%"
"10/24/2025","8.71","8.70","8.71","8.70","11.93K","1.52%"
"10/21/2025","8.58","8.58","8.58","8.58","61.40K","0.00%"
"10/20/2025","8.58","8.58","8.58","8.58","0.60K","0.00%"
"10/14/2025","8.58","8.58","8.58","8.58","15.30K","0.00%"
"10/10/2025","8.58","8.58","8.58","8.58","0.60K","0.00%"
"10/09/2025","8.58","8.58","8.58","8.58","0.20K","0.23%"
"10/08/2025","8.56","8.57","8.57","8.56","0.80K","0.00%"
"09/29/2025","8.56","8.56","8.56","8.56","0.20K","0.00%"
"09/25/2025","8.56","8.56","8.56","8.56","0.50K","0.00%"
"09/22/2025","8.56","8.56","8.56","8.56","9.35K","0.00%"
"09/11/2025","8.56","8.55","8.56","8.55","6.13K","0.12%"
"09/09/2025","8.55","8.55","8.55","8.55","1.20K","-0.12%"
"09/05/2025","8.56","8.57","8.57","8.56","2.70K","-0.12%"
"09/02/2025","8.57","8.57","8.57","8.57","19.28K","0.12%"
"08/27/2025","8.56","8.60","8.60","8.56","8.30K","0.00%"
"08/18/2025","8.56","8.56","8.56","8.56","0.40K","0.00%"
"08/13/2025","8.56","8.56","8.56","8.56","0.97K","0.00%"
"07/29/2025","8.56","8.56","8.56","8.56","1.10K","0.00%"
"07/24/2025","8.56","8.56","8.56","8.56","5.00K","0.00%"
"07/17/2025","8.56","8.56","8.56","8.56","11.58K","0.00%"
"07/15/2025","8.56","8.56","8.56","8.56","69.73K","0.12%"
"07/08/2025","8.55","8.55","8.55","8.55","2.10K","-0.12%"
"07/03/2025","8.56","8.56","8.56","8.56","2.30K","0.71%"
"06/26/2025","8.50","8.50","8.50","8.50","10.58K","0.00%"
"06/24/2025","8.50","8.50","8.51","8.50","9.75K","0.00%"
"06/23/2025","8.50","8.51","8.51","8.50","52.16K","0.00%"
"06/19/2025","8.50","8.50","8.50","8.50","12.00K","1.07%"
"06/17/2025","8.41","8.41","8.41","8.41","6.00K","1.94%"
"06/09/2025","8.25","8.25","8.25","8.25","4.20K","0.00%"
"06/06/2025","8.25","8.24","8.25","8.24","1.30K","0.12%"
"06/05/2025","8.24","8.24","8.24","8.24","27.88K","-0.12%"
"06/04/2025","8.25","8.25","8.25","8.25","1.00K","0.00%"
"05/28/2025","8.25","8.25","8.25","8.25","5.33K","0.00%"
"05/26/2025","8.25","8.25","8.25","8.25","1.05K","0.00%"
"05/21/2025","8.25","8.23","8.25","8.23","92.21K","0.12%"
"05/14/2025","8.24","8.24","8.24","8.24","4.81K","0.00%"
"05/02/2025","8.24","8.24","8.24","8.24","0.47K","0.12%"
"04/30/2025","8.23","8.23","8.23","8.23","25.45K","-0.24%"
"04/23/2025","8.25","8.24","8.25","8.24","16.82K","1.85%"
"04/16/2025","8.10","8.10","8.10","8.10","65.09K","0.00%"
"04/15/2025","8.10","8.10","8.10","8.10","1.24K","-1.82%"
"04/10/2025","8.25","8.25","8.25","8.25","0.50K","0.12%"
"04/07/2025","8.24","8.24","8.24","8.24","16.50K","0.00%"
"04/04/2025","8.24","8.24","8.24","8.24","17.66K","-0.12%"
"03/31/2025","8.25","7.93","8.25","7.93","22.54K","0.00%"
"03/25/2025","8.25","8.25","8.25","8.25","3.50K","0.00%"
"03/24/2025","8.25","8.25","8.25","8.25","5.13K","0.00%"
"03/19/2025","8.25","8.25","8.25","8.25","14.13K","3.25%"
"03/14/2025","7.99","8.00","8.00","7.99","78.67K","-0.13%"
"03/13/2025","8.00","8.00","8.00","8.00","0.60K","0.63%"
"03/11/2025","7.95","7.95","7.95","7.94","1.00K","0.13%"
"03/10/2025","7.94","7.94","7.94","7.94","0.30K","0.00%"
"03/05/2025","7.94","7.94","7.94","7.94","12.00K","-99.00%"
"02/27/2025","793.00","793.00","793.00","793.00","0.60K","0.25%"
"02/17/2025","791.00","790.00","791.00","790.00","260.69K","0.13%"
"02/11/2025","790.00","790.00","790.00","790.00","2.90K","0.00%"
"02/10/2025","790.00","790.00","790.00","790.00","0.30K","0.00%"
"02/06/2025","790.00","790.00","790.00","790.00","1.00K","-0.13%"
