"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","30.31","30.31","30.31","30.31","53.65K","0.00%"
"03/25/2026","30.31","30.31","30.31","30.31","1.70K","0.00%"
"03/24/2026","30.31","30.31","30.31","30.31","6.03K","-0.03%"
"03/23/2026","30.32","30.35","30.35","30.32","72.98K","-0.03%"
"03/17/2026","30.33","30.33","30.33","30.33","0.48K","0.00%"
"03/16/2026","30.33","30.33","30.33","30.33","3.80K","0.10%"
"03/11/2026","30.30","30.30","30.30","30.30","0.50K","0.46%"
"02/27/2026","30.16","30.16","30.16","30.16","2.00K","0.00%"
"02/26/2026","30.16","30.16","30.16","30.16","0.10K","0.00%"
"02/25/2026","30.16","30.16","30.16","30.16","4.85K","0.00%"
"02/24/2026","30.16","30.16","30.16","30.16","20.70K","0.03%"
"02/11/2026","30.15","30.15","30.15","30.15","5.90K","0.00%"
"02/10/2026","30.15","30.15","30.15","30.15","14.66K","0.00%"
"02/04/2026","30.15","30.15","30.15","30.14","6.31K","0.30%"
"01/29/2026","30.06","30.05","30.06","30.05","14.40K","0.13%"
"01/26/2026","30.02","30.03","30.03","30.02","47.75K","-0.03%"
"01/23/2026","30.03","30.03","30.03","30.03","0.05K","0.10%"
"01/21/2026","30.00","30.00","30.00","30.00","16.99K","0.00%"
"01/13/2026","30.00","30.00","30.00","30.00","0.42K","-0.03%"
"01/12/2026","30.01","30.01","30.01","30.01","11.21K","0.03%"
"01/09/2026","30.00","30.01","30.01","30.00","0.83K","-0.03%"
"01/05/2026","30.01","30.01","30.01","30.01","0.05K","0.00%"
"12/30/2025","30.01","30.01","30.01","30.01","1.89K","0.00%"
"12/12/2025","30.01","30.01","30.01","30.00","14.10K","0.00%"
"12/08/2025","30.01","30.01","30.01","30.01","20.00K","0.00%"
"12/03/2025","30.01","30.01","30.01","30.01","1.00K","-0.03%"
"11/28/2025","30.02","30.02","30.02","30.02","2.72K","0.00%"
"11/24/2025","30.02","30.02","30.02","30.02","1.67K","0.00%"
"11/20/2025","30.02","30.02","30.02","30.02","15.49K","0.03%"
"11/13/2025","30.01","30.01","30.01","30.01","1.00K","3.30%"
"11/12/2025","29.05","29.05","29.05","29.05","0.18K","0.00%"
"11/06/2025","29.05","29.04","29.05","29.04","2.09K","0.00%"
"11/05/2025","29.05","29.05","29.05","29.05","0.75K","0.03%"
"11/04/2025","29.04","29.04","29.04","29.04","29.49K","0.00%"
"11/03/2025","29.04","29.04","29.04","29.04","12.16K","-0.03%"
"10/31/2025","29.05","29.05","29.05","29.05","0.72K","0.00%"
"10/30/2025","29.05","29.05","29.05","29.05","0.28K","0.00%"
"10/27/2025","29.05","29.05","29.05","29.05","0.32K","0.03%"
"10/24/2025","29.04","29.04","29.04","29.04","8.20K","0.00%"
"10/21/2025","29.04","29.04","29.04","29.04","15.67K","-0.03%"
"10/15/2025","29.05","29.05","29.05","29.05","40.00K","0.00%"
"10/14/2025","29.05","29.05","29.05","29.05","5.54K","0.00%"
"10/13/2025","29.05","29.05","29.05","29.05","1.47K","0.00%"
"10/09/2025","29.05","29.05","29.05","29.05","0.30K","0.00%"
"10/08/2025","29.05","29.05","29.05","29.05","31.39K","0.17%"
"09/23/2025","29.00","29.00","29.00","29.00","14.78K","0.35%"
"09/22/2025","28.90","28.90","28.90","28.90","15.60K","0.00%"
"09/18/2025","28.90","28.90","28.90","28.90","7.69K","0.03%"
"09/16/2025","28.89","28.89","28.89","28.89","0.72K","0.00%"
"09/10/2025","28.89","28.88","28.89","28.88","0.62K","0.03%"
"09/08/2025","28.88","28.88","28.88","28.88","0.95K","-0.03%"
"09/03/2025","28.89","28.89","28.89","28.89","0.27K","0.00%"
"08/18/2025","28.89","28.89","28.89","28.89","37.09K","0.00%"
"08/15/2025","28.89","28.89","28.89","28.89","0.50K","0.00%"
"08/14/2025","28.89","28.89","28.89","28.89","2.72K","0.00%"
"08/04/2025","28.89","28.89","28.89","28.89","0.98K","-0.10%"
"08/01/2025","28.92","28.92","28.92","28.92","1.00K","0.00%"
"07/30/2025","28.92","28.92","28.92","28.92","6.09K","0.00%"
"07/25/2025","28.92","28.92","28.92","28.92","12.13K","0.00%"
"07/21/2025","28.92","28.89","28.92","28.89","20.66K","0.10%"
