"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","12.78","12.78","12.78","12.78","13.79K","0.08%"
"03/24/2026","12.77","12.77","12.77","12.77","12.00K","-0.08%"
"03/23/2026","12.78","12.75","12.78","12.75","32.12K","0.24%"
"03/20/2026","12.75","12.75","12.75","12.75","3.75K","0.00%"
"03/19/2026","12.75","12.74","12.75","12.74","21.50K","0.08%"
"03/18/2026","12.74","12.73","12.74","12.73","25.50K","0.16%"
"03/17/2026","12.72","12.72","12.72","12.72","40.19K","0.00%"
"03/16/2026","12.72","12.70","12.72","12.70","112.45K","0.08%"
"03/13/2026","12.71","12.71","12.71","12.71","13.73K","0.00%"
"03/12/2026","12.71","12.71","12.71","12.71","1.05K","0.16%"
"03/11/2026","12.69","12.69","12.69","12.69","0.85K","0.00%"
"03/05/2026","12.69","12.69","12.69","12.69","5.78K","0.00%"
"03/03/2026","12.69","12.69","12.69","12.69","0.75K","0.00%"
"03/02/2026","12.69","12.69","12.69","12.69","0.25K","0.00%"
"02/27/2026","12.69","12.69","12.69","12.69","1.34K","0.16%"
"02/25/2026","12.67","12.68","12.68","12.67","15.90K","0.00%"
"02/23/2026","12.67","12.66","12.67","12.66","1.57K","0.24%"
"02/19/2026","12.64","12.64","12.64","12.64","3.37K","0.08%"
"02/18/2026","12.63","12.62","12.63","12.62","23.92K","0.08%"
"02/13/2026","12.62","12.62","12.62","12.62","1.00K","0.16%"
"02/11/2026","12.60","12.60","12.60","12.60","0.25K","0.80%"
"02/09/2026","12.50","12.50","12.50","12.50","1.50K","0.73%"
"02/05/2026","12.41","12.41","12.41","12.41","0.17K","0.49%"
"02/02/2026","12.35","12.35","12.35","12.35","1.07K","0.41%"
"01/27/2026","12.30","12.30","12.30","12.30","100.69K","0.08%"
"01/26/2026","12.29","12.29","12.29","12.29","4.85K","0.16%"
"01/23/2026","12.27","12.25","12.27","12.25","10.81K","0.33%"
"01/22/2026","12.23","12.23","12.23","12.23","4.79K","0.16%"
"01/21/2026","12.21","12.21","12.21","12.21","1.35K","0.16%"
"01/14/2026","12.19","12.19","12.19","12.19","3.00K","0.00%"
"01/09/2026","12.19","12.19","12.19","12.19","0.55K","0.08%"
"01/08/2026","12.18","12.17","12.18","12.17","16.93K","0.16%"
"01/06/2026","12.16","12.15","12.16","12.15","6.21K","0.08%"
"01/05/2026","12.15","12.13","12.15","12.13","23.94K","0.08%"
"01/02/2026","12.14","12.14","12.14","12.14","0.81K","0.00%"
"12/30/2025","12.14","12.14","12.14","12.14","2.67K","0.33%"
"12/17/2025","12.10","12.10","12.10","12.10","0.50K","0.25%"
"12/15/2025","12.07","12.07","12.07","12.07","15.82K","0.08%"
"12/11/2025","12.06","12.06","12.06","12.06","44.64K","0.08%"
"12/09/2025","12.05","12.05","12.05","12.05","1.95K","0.08%"
"12/05/2025","12.04","12.04","12.04","12.04","5.55K","0.17%"
"12/04/2025","12.02","12.04","12.04","12.02","50.31K","-0.08%"
"12/03/2025","12.03","12.03","12.03","12.03","2.25K","0.00%"
"12/01/2025","12.03","12.02","12.03","12.02","2.93K","0.08%"
"11/28/2025","12.02","12.01","12.02","12.01","32.13K","0.08%"
"11/27/2025","12.01","12.01","12.01","12.01","14.64K","0.00%"
"11/26/2025","12.01","12.01","12.01","12.01","12.56K","0.08%"
"11/25/2025","12.00","12.00","12.00","12.00","20.09K","-0.08%"
"11/24/2025","12.01","12.01","12.01","12.01","9.93K","0.08%"
"11/21/2025","12.00","12.00","12.00","12.00","40.32K","0.50%"
"11/19/2025","11.94","11.94","11.94","11.94","2.51K","0.00%"
"11/18/2025","11.94","11.93","11.94","11.93","3.25K","0.59%"
"11/17/2025","11.87","11.85","11.87","11.85","31.68K","0.17%"
"11/13/2025","11.85","11.85","11.85","11.85","0.25K","0.42%"
"11/10/2025","11.80","11.80","12.00","11.80","26.85K","1.29%"
"11/07/2025","11.65","11.64","11.65","11.64","82.24K","0.17%"
"11/06/2025","11.63","11.63","11.63","11.63","0.45K","0.09%"
"11/05/2025","11.62","11.61","11.62","11.61","45.37K","0.09%"
"11/04/2025","11.61","11.61","11.61","11.61","11.31K","0.17%"
"11/03/2025","11.59","11.59","11.59","11.59","30.70K","0.00%"
"10/31/2025","11.59","11.59","11.59","11.59","2.78K","0.17%"
"10/28/2025","11.57","11.57","11.57","11.57","19.44K","0.00%"
"10/27/2025","11.57","11.57","11.57","11.57","0.60K","0.00%"
"10/24/2025","11.57","11.58","11.58","11.57","51.99K","-0.09%"
"10/22/2025","11.58","11.58","11.58","11.58","45.02K","0.26%"
"10/17/2025","11.55","11.52","11.55","11.52","155.37K","0.26%"
"10/16/2025","11.52","11.52","11.52","11.52","11.25K","0.09%"
"10/10/2025","11.51","11.51","11.51","11.51","39.33K","0.00%"
