Date,Price,Volume
2026-03-24,107.2,42706252
2026-03-23,107.5,38172491
2026-03-18,110.0,54514255
2026-03-17,111.15,163107120
2026-03-16,103.0,59953105
2026-03-13,95.95,13751652
2026-03-12,93.15,27483007
2026-03-11,93.0,19095773
2026-03-10,93.15,35346999
2026-03-09,93.05,39723760
2026-03-06,93.0,39988755
2026-03-05,93.1,24340536
2026-03-04,92.0,47625643
2026-03-03,92.0,40861167
2026-03-02,91.95,24371857
2026-02-27,91.0,79357077
2026-02-26,89.0,45494042
2026-02-25,91.0,120666192
2026-02-24,93.0,67621333
2026-02-23,88.95,16130440
2026-02-20,86.5,43988813
2026-02-19,85.0,53224266
2026-02-18,83.7,30204964
2026-02-17,80.55,93097465
2026-02-16,89.5,69281117
2026-02-13,81.4,72599148
2026-02-12,78.0,42524843
2026-02-11,77.85,34764678
2026-02-10,76.1,52082729
2026-02-09,74.3,46242328
2026-02-06,74.0,32432961
2026-02-05,73.6,22085676
2026-02-04,73.8,14650136
2026-02-03,73.2,35424300
2026-02-02,71.5,40187862
2026-01-30,71.45,30547736
2026-01-29,71.35,21025585
2026-01-28,71.0,32422694
2026-01-27,70.9,14514911
2026-01-26,71.0,25976221
2026-01-23,71.0,49190450
2026-01-22,69.55,23404922
2026-01-21,72.0,38111195
2026-01-20,72.0,49101768
2026-01-19,71.4,22281150
2026-01-16,69.85,54545539
2026-01-15,69.0,72434019
2026-01-14,69.0,18096993
2026-01-13,68.0,23658755
2026-01-12,67.0,17083795
2026-01-09,67.0,17890677
2026-01-08,67.0,22387484
2026-01-07,67.0,22074779
2026-01-06,66.9,19891008
2026-01-05,67.0,53391499
2026-01-02,64.5,9942573
2025-12-31,61.8,58757731
2025-12-30,62.85,36108391
2025-12-29,62.7,50570185
2025-12-24,63.0,33930253
2025-12-23,62.5,19909904
2025-12-22,63.0,18086878
2025-12-19,63.3,19278423
2025-12-18,63.5,10498869
2025-12-17,63.5,32216654
2025-12-16,63.5,14286395
2025-12-15,64.05,8666344
2025-12-12,64.0,37673235
2025-12-11,64.45,20328514
2025-12-10,64.5,10595152
2025-12-09,64.5,16244175
2025-12-08,65.0,41989261
2025-12-05,62.2,59460875
2025-12-04,60.5,27101569
2025-12-03,60.0,52661797
2025-12-02,59.7,40334187
2025-12-01,60.0,25019107
2025-11-28,60.0,15065500
2025-11-27,60.0,24556546
2025-11-26,60.3,36127521
2025-11-25,59.75,9838752
2025-11-24,59.5,13126467
2025-11-21,59.75,91504530
2025-11-20,59.85,13719221
2025-11-19,59.5,34542971
2025-11-18,61.0,12123124
2025-11-17,62.95,13244096
2025-11-14,64.0,25502538
2025-11-13,64.4,40768870
2025-11-12,59.4,86805685
2025-11-11,54.0,41916809
2025-11-10,59.6,21936994
2025-11-07,60.0,22459245
2025-11-06,59.9,41887497
2025-11-05,60.8,53667313
2025-11-04,61.55,38275830
2025-11-03,63.0,31806677
2025-10-31,63.0,21540757
2025-10-30,63.0,13281131
2025-10-29,63.7,17015666
2025-10-28,63.4,28141691
2025-10-27,65.5,18176902
2025-10-24,67.2,15058376
2025-10-23,67.55,12091551
2025-10-22,67.55,23982726
2025-10-21,68.5,14218340
2025-10-20,68.6,14775478
2025-10-17,68.2,5147712
2025-10-16,68.05,25048100
2025-10-15,68.1,20845558
2025-10-14,68.0,17900174
2025-10-13,68.0,21102619
2025-10-10,68.5,18220135
2025-10-09,69.2,5824417
2025-10-08,69.0,18573241
2025-10-07,68.6,6772822
2025-10-06,69.0,16236578
2025-10-03,69.4,29871161
2025-10-02,69.0,47090688
2025-09-30,69.0,49407394
2025-09-29,69.6,18746312
2025-09-26,69.85,38966579
2025-09-25,69.45,45527302
2025-09-24,68.8,68994605
2025-09-23,67.9,104431797
2025-09-22,65.7,58602490
2025-09-19,64.0,27929341
2025-09-18,66.0,24269881
2025-09-17,66.95,9823852
2025-09-16,67.8,18442953
2025-09-15,68.0,17109809
2025-09-12,68.0,15958045
2025-09-11,67.0,27912337
2025-09-10,66.0,29059036
2025-09-09,66.0,9958133
2025-09-08,65.75,26733629
2025-09-04,64.9,26351035
2025-09-03,64.25,18174911
2025-09-02,65.0,19201256
2025-09-01,64.4,16787192
2025-08-29,66.0,17349095
2025-08-28,69.0,6672810
2025-08-27,69.9,7692950
2025-08-26,70.6,8647972
2025-08-25,70.0,10177489
2025-08-22,70.0,10059997
2025-08-21,68.3,9097630
2025-08-20,68.0,18311774
2025-08-19,67.05,12784995
2025-08-18,72.3,13674904
2025-08-15,72.4,13810061
2025-08-14,72.0,15853787
2025-08-13,72.55,25399169
2025-08-12,74.0,27389790
2025-08-11,74.0,16048971
2025-08-08,74.65,28814577
2025-08-07,74.7,38329460
2025-08-06,74.4,60350698
2025-08-05,75.9,16143660
2025-08-04,76.9,23995500
2025-08-01,76.5,38605633
2025-07-31,76.5,15826781
2025-07-30,75.0,20575230
2025-07-29,73.0,25608944
2025-07-28,72.7,31032831
2025-07-25,74.0,16958037
2025-07-24,73.2,22504965
2025-07-22,70.75,26526536
2025-07-21,71.0,24603893
2025-07-18,72.0,50704817
2025-07-17,75.0,83356558
2025-07-16,76.0,66280491
2025-07-14,71.5,43882555
2025-07-11,69.7,55149602
2025-07-10,63.4,32527624
2025-07-09,59.0,23119721
2025-07-08,57.3,17133750
2025-07-07,57.55,24728011
2025-07-04,57.5,17514465
2025-07-03,58.0,16270272
2025-07-02,57.0,17387875
2025-07-01,56.05,18340901
2025-06-30,56.95,21819687
2025-06-27,58.0,30545302
2025-06-26,58.3,60300696
2025-06-25,58.0,60624836
2025-06-24,53.0,34211315
2025-06-23,50.85,46255345
2025-06-20,49.9,24853632
2025-06-19,49.95,37552571
2025-06-18,48.5,149923099
2025-06-17,46.05,96226537
2025-06-16,47.0,76847808
2025-06-13,50.2,34722936
2025-06-11,50.1,28666334
2025-06-10,50.3,49330444
2025-06-05,50.75,62816787
2025-06-04,48.8,12838605
2025-06-03,48.6,8391535
2025-06-02,48.95,14447460
2025-05-30,49.0,29928179
2025-05-29,48.5,27696352
2025-05-28,48.45,17591185
2025-05-27,48.5,27431968
2025-05-26,48.25,17941321
2025-05-23,47.4,11614640
2025-05-22,47.6,13104726
2025-05-21,47.95,20148753
2025-05-20,48.05,12656649
2025-05-19,48.0,13233245
2025-05-16,48.4,15245940
2025-05-15,48.5,24052442
2025-05-14,48.5,27351584
2025-05-13,48.0,20698825
2025-05-12,48.8,24316985
2025-05-09,48.9,21796892
2025-05-08,49.0,19987838
2025-05-07,49.0,38471894
2025-05-06,48.0,26184008
2025-05-05,46.95,14427369
2025-05-02,47.5,24481513
2025-04-30,47.8,20706376
2025-04-29,47.75,12693773
2025-04-28,46.4,6478414
2025-04-25,46.5,22935274
2025-04-24,45.5,12301252
2025-04-23,45.1,17096558
2025-04-22,45.0,23734020
2025-04-17,44.0,15577254
2025-04-16,44.0,13962750
2025-04-15,49.8,23120006
2025-04-14,50.0,55428192
2025-04-11,49.95,33348790
2025-04-10,49.2,30204574
2025-04-09,47.3,32325680
2025-04-08,47.0,17976879
2025-04-07,45.5,31672384
2025-04-04,47.9,22864438
2025-04-03,47.05,34934642
2025-04-02,47.0,28635846
2025-03-28,47.0,23195678
2025-03-27,47.8,41504490
2025-03-26,48.9,21491065
2025-03-25,49.45,20137006
2025-03-24,47.9,55062709
2025-03-21,45.6,22677318
2025-03-20,46.85,22905741
2025-03-19,47.5,21630923
2025-03-18,47.75,19563009
2025-03-17,47.55,25976111
2025-03-14,47.8,18558745
2025-03-13,48.0,28733235
2025-03-12,47.75,22810165
2025-03-11,47.5,22359726
2025-03-10,48.0,27643761
2025-03-07,47.8,42150286
