company,country,exchange,currency,sector,industry,isin,ticker,notes
ABSA,SOUTH AFRICA,,,,,,,
ABSA BANK BOTSWANA,BOTSWANA,,,,,,,
ABSA BANK KENYA,KENYA,,,,,,,
ABU DHABI ISLAMIC BANK EGYPT,EGYPT,,,,,,,
ABU QIR FERTILIZERS EGYPT,EGYPT,,,,,,,
ACCESS BANK GHANA,GHANA,,,,,,,
AECI MINING EXPLOSIVES ZAMBIA,ZAMBIA,,,,,,,
AFRICA GLOBAL LOGISTICS IVORY COAST,IVORY COAST,,,,,,,
AFRICAN RAINBOW MINERALS,SOUTH AFRICA,,,,,,,
AGRICULTURAL DEVELOPMENT BANK GHANA,GHANA,,,,,,,
AIICO INSURANCE NIGERIA,NIGERIA,,,,,,,
AIRTEL AFRICA NIGERIA,NIGERIA,,,,,,,
AIRTEL NETWORKS ZAMBIA,ZAMBIA,,,,,,,
AIRTEL UGANDA,UGANDA,,,,,,,
ALEXANDRIA MINERAL OILS EGYPT,EGYPT,,,,,,,
ALIOS FINANCE IVORY COAST,IVORY COAST,,,,,,,
AMEN BANK TUNISIA,TUNISIA,,,,,,,
ANGLO AMERICAN,SOUTH AFRICA,,,,,,,
ANGLOGOLD ASHANTI ADR,SOUTH AFRICA,,,,,,,
ARADEL HOLDINGS NIGERIA,NIGERIA,,,,,,,
ASPEN PHARMACARE HOLDINGS,SOUTH AFRICA,,,,,,,
ATLANTASANAD MOROCCO,MOROCCO,,,,,,,
ATTIJARI BANK TUNISIA,TUNISIA,,,,,,,
ATTIJARIWAFA BANK MOROCCO,MOROCCO,,,,,,,
AVI,SOUTH AFRICA,,,,,,,
AXA MANSARD NIGERIA,NIGERIA,,,,,,,
BANK OF AFRICA BENIN,BENIN,,,,,,,
BANK OF AFRICA BUKINA FASO,BURKINA FASO,,,,,,,
BANK OF AFRICA IVORY COAST,IVORY COAST,,,,,,,
BANK OF AFRICA MALI,MALI,,,,,,,
BANK OF AFRICA MOROCCO,MOROCCO,,,,,,,
BANK OF AFRICA NIGER,NIGER,,,,,,,
BANK OF AFRICA SENEGAL,SENEGAL,,,,,,,
