"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","24,197","24,300","24,305","23,864","2.08M","-0.89%"
"03/25/2026","24,414","23,640","24,450","23,640","3.17M","3.65%"
"03/24/2026","23,554","24,129","24,129","23,060","2.03M","0.43%"
"03/23/2026","23,452","23,000","23,964","22,630","2.08M","-0.24%"
"03/20/2026","23,509","23,445","24,209","23,434","5.79M","0.49%"
"03/19/2026","23,395","23,200","23,395","22,514","9.69M","1.15%"
"03/18/2026","23,129","23,500","24,280","23,050","5.09M","-1.44%"
"03/17/2026","23,467","23,140","23,467","22,816","3.35M","1.76%"
"03/16/2026","23,061","23,240","23,497","22,939","5.44M","0.00%"
"03/13/2026","23,061","23,150","23,429","22,540","2.50M","-0.59%"
"03/12/2026","23,198","23,865","23,937","23,026","3.33M","-2.75%"
"03/11/2026","23,853","24,100","24,239","23,150","3.49M","-0.58%"
"03/10/2026","23,992","24,700","25,653","23,828","5.11M","-1.27%"
"03/09/2026","24,300","23,196","24,300","22,500","5.11M","3.54%"
"03/06/2026","23,470","25,022","25,022","23,340","4.93M","-5.68%"
"03/05/2026","24,883","25,210","26,242","24,730","3.48M","-1.02%"
"03/04/2026","25,139","25,046","25,327","24,609","4.57M","0.77%"
"03/03/2026","24,947","26,336","26,969","24,947","3.98M","-5.56%"
"03/02/2026","26,417","26,826","26,826","26,138","2.58M","-2.63%"
"02/27/2026","27,130","27,514","27,514","26,982","3.68M","-0.27%"
"02/26/2026","27,203","26,851","27,812","26,851","2.11M","0.91%"
"02/25/2026","26,959","26,770","27,220","26,769","1.91M","-0.74%"
"02/24/2026","27,159","26,626","27,200","26,607","1.78M","0.92%"
"02/23/2026","26,911","26,998","27,210","26,684","1.89M","0.25%"
"02/20/2026","26,843","26,601","27,041","26,601","1.84M","-0.56%"
"02/19/2026","26,995","27,099","27,265","26,710","2.83M","-0.14%"
"02/18/2026","27,034","26,308","27,220","26,308","3.40M","2.76%"
"02/17/2026","26,308","26,200","26,680","26,200","1.89M","-0.92%"
"02/16/2026","26,553","26,121","26,699","26,116","1.77M","1.44%"
"02/13/2026","26,175","26,129","26,620","26,100","2.30M","-1.44%"
"02/12/2026","26,557","26,100","26,724","26,018","2.65M","1.75%"
"02/11/2026","26,100","26,110","26,268","25,669","2.11M","0.50%"
"02/10/2026","25,969","25,710","25,991","25,366","1.84M","1.23%"
"02/09/2026","25,654","25,946","26,017","25,501","1.36M","0.02%"
"02/06/2026","25,650","25,375","25,650","25,300","1.60M","0.49%"
"02/05/2026","25,526","25,252","25,686","25,252","1.83M","-0.20%"
"02/04/2026","25,577","25,665","26,088","25,489","2.83M","-1.85%"
"02/03/2026","26,060","26,355","26,626","25,917","3.59M","-0.13%"
"02/02/2026","26,095","25,000","26,108","24,758","2.93M","2.45%"
"01/30/2026","25,471","25,200","25,833","25,002","3.35M","0.31%"
"01/29/2026","25,393","25,000","25,749","25,000","2.20M","0.56%"
"01/28/2026","25,251","25,225","25,499","25,097","2.06M","-0.99%"
"01/27/2026","25,504","24,600","25,701","24,600","2.33M","1.45%"
"01/26/2026","25,140","24,579","25,226","24,501","2.47M","0.72%"
"01/23/2026","24,960","25,275","25,457","24,873","2.55M","-1.25%"
"01/22/2026","25,275","24,599","25,323","24,373","3.39M","3.05%"
"01/21/2026","24,526","24,700","24,844","24,226","3.31M","-0.84%"
"01/20/2026","24,733","24,555","24,733","24,315","1.87M","1.07%"
"01/19/2026","24,471","24,486","24,613","24,341","1.65M","-0.12%"
"01/16/2026","24,500","24,350","24,746","24,030","3.00M","0.84%"
"01/15/2026","24,297","24,132","24,525","24,049","3.49M","1.48%"
"01/14/2026","23,942","23,736","24,077","23,502","2.36M","0.52%"
"01/13/2026","23,817","23,901","24,158","23,424","2.32M","-1.59%"
"01/12/2026","24,203","24,400","24,415","24,011","1.77M","-1.08%"
"01/09/2026","24,467","24,455","24,618","24,287","1.46M","-0.48%"
"01/08/2026","24,584","24,290","24,634","24,071","1.47M","1.21%"
"01/07/2026","24,290","24,324","24,600","24,023","2.47M","-0.21%"
"01/06/2026","24,341","23,800","24,493","23,800","2.16M","1.80%"
"01/05/2026","23,911","24,196","24,196","23,737","1.13M","-0.52%"
"01/02/2026","24,035","23,936","24,154","23,599","956.29K","0.41%"
"12/31/2025","23,936","23,760","23,936","23,590","648.73K","0.74%"
"12/30/2025","23,760","23,670","23,862","23,590","1.04M","0.04%"
"12/29/2025","23,751","23,889","23,955","23,581","774.11K","0.27%"
"12/24/2025","23,688","23,600","23,892","23,590","284.79K","0.11%"
"12/23/2025","23,662","23,321","23,699","23,321","791.55K","0.55%"
"12/22/2025","23,533","23,555","23,727","23,234","1.47M","-0.97%"
"12/19/2025","23,764","23,774","23,934","23,109","5.06M","-0.28%"
"12/18/2025","23,830","23,604","23,948","23,572","7.87M","1.01%"
"12/17/2025","23,591","23,055","23,865","22,884","3.99M","1.69%"
"12/15/2025","23,200","22,688","23,430","22,688","2.42M","1.77%"
"12/12/2025","22,796","22,739","23,211","22,573","2.31M","0.78%"
"12/11/2025","22,619","22,578","22,878","22,450","2.76M","-0.08%"
"12/10/2025","22,637","22,726","22,763","22,451","2.40M","0.34%"
"12/09/2025","22,560","22,499","22,821","22,184","3.89M","1.58%"
"12/08/2025","22,210","22,313","22,690","22,171","4.32M","2.54%"
"12/05/2025","21,659","21,600","21,772","21,341","2.08M","0.27%"
"12/04/2025","21,600","21,621","22,066","21,457","3.07M","-0.47%"
"12/03/2025","21,703","21,374","21,840","21,100","3.55M","2.57%"
"12/02/2025","21,160","20,900","21,472","20,900","2.37M","0.25%"
"12/01/2025","21,108","20,650","21,151","20,560","2.67M","1.34%"
"11/28/2025","20,828","20,967","21,015","20,743","5.00M","0.23%"
"11/27/2025","20,780","21,219","21,219","20,780","2.16M","-0.97%"
"11/26/2025","20,984","20,743","21,176","20,743","1.69M","1.16%"
"11/25/2025","20,743","20,635","20,799","20,324","2.28M","0.65%"
"11/24/2025","20,609","21,277","21,277","20,511","3.61M","-1.16%"
"11/21/2025","20,850","20,777","21,092","20,635","2.66M","-1.24%"
"11/20/2025","21,111","20,846","21,295","20,846","2.62M","1.27%"
"11/19/2025","20,846","20,911","20,911","20,625","1.88M","0.77%"
"11/18/2025","20,687","20,830","20,919","20,479","3.90M","-1.29%"
"11/17/2025","20,957","20,807","21,258","20,720","3.96M","1.16%"
"11/14/2025","20,716","20,783","20,961","20,577","3.76M","-0.85%"
"11/13/2025","20,894","20,600","21,312","20,512","3.40M","2.14%"
"11/12/2025","20,457","19,905","20,556","19,905","2.45M","2.29%"
"11/11/2025","20,000","19,925","20,300","19,925","2.23M","0.01%"
"11/10/2025","19,998","19,700","20,137","19,671","2.49M","1.65%"
"11/07/2025","19,673","19,558","19,776","19,427","1.71M","-0.42%"
"11/06/2025","19,756","19,750","19,958","19,432","2.29M","0.49%"
"11/05/2025","19,659","19,459","19,699","19,097","2.87M","1.28%"
"11/04/2025","19,410","19,480","19,621","19,210","2.38M","-0.78%"
"11/03/2025","19,562","19,300","19,606","19,299","1.58M","0.92%"
"10/31/2025","19,384","19,250","19,605","19,205","2.05M","-0.03%"
"10/30/2025","19,389","19,580","19,761","19,242","1.34M","-0.96%"
"10/29/2025","19,576","19,575","19,867","19,500","1.15M","0.03%"
"10/28/2025","19,571","19,125","19,879","19,125","3.51M","1.63%"
"10/27/2025","19,258","19,405","19,542","19,011","3.17M","-0.68%"
"10/24/2025","19,390","19,405","19,600","19,174","2.07M","-0.17%"
"10/23/2025","19,423","19,200","19,423","18,964","1.79M","0.85%"
"10/22/2025","19,260","19,140","19,350","19,085","2.13M","1.01%"
"10/21/2025","19,067","19,390","19,466","18,966","2.99M","-0.85%"
"10/20/2025","19,231","19,400","19,521","19,170","1.74M","0.30%"
"10/17/2025","19,174","19,172","19,297","18,875","1.72M","-0.28%"
"10/16/2025","19,227","19,130","19,480","19,066","1.25M","0.51%"
"10/15/2025","19,130","19,650","19,650","19,130","2.54M","-1.08%"
"10/14/2025","19,338","19,400","19,526","19,263","1.44M","-0.55%"
"10/13/2025","19,444","19,420","19,472","19,182","891.61K","-0.08%"
"10/10/2025","19,460","18,950","19,665","18,950","2.53M","0.95%"
"10/09/2025","19,277","19,216","19,310","18,950","1.76M","0.42%"
"10/08/2025","19,197","18,955","19,307","18,773","1.85M","1.06%"
"10/07/2025","18,995","19,000","19,189","18,911","2.00M","-0.42%"
"10/06/2025","19,075","19,000","19,233","18,803","2.50M","1.01%"
"10/03/2025","18,885","18,590","18,955","18,530","2.27M","1.77%"
"10/02/2025","18,556","18,400","18,644","18,385","2.87M","1.39%"
"10/01/2025","18,301","18,199","18,380","17,979","2.72M","1.06%"
"09/30/2025","18,109","18,045","18,215","17,850","3.15M","0.53%"
"09/29/2025","18,014","18,320","18,320","17,880","2.37M","-0.48%"
"09/26/2025","18,100","18,000","18,270","17,834","1.67M","0.39%"
"09/25/2025","18,029","18,323","18,341","17,944","3.29M","-1.84%"
"09/23/2025","18,367","18,218","18,450","17,979","1.73M","1.47%"
"09/22/2025","18,101","18,446","18,454","17,905","2.41M","-1.58%"
"09/19/2025","18,392","18,599","18,635","18,289","3.05M","-0.97%"
"09/18/2025","18,572","18,312","18,635","18,309","5.33M","0.54%"
"09/17/2025","18,472","18,305","18,472","18,287","2.21M","0.17%"
"09/16/2025","18,441","18,500","18,500","18,208","1.92M","0.47%"
"09/15/2025","18,355","18,400","18,568","18,267","1.34M","-0.61%"
"09/12/2025","18,468","18,205","18,628","18,113","2.61M","0.86%"
"09/11/2025","18,310","18,280","18,400","17,864","2.37M","1.46%"
"09/10/2025","18,046","18,265","18,353","17,800","2.22M","-4.45%"
"09/09/2025","18,886","18,975","19,056","18,828","2.62M","-0.15%"
"09/08/2025","18,915","18,800","18,936","18,608","2.38M","1.72%"
"09/05/2025","18,595","18,700","18,771","18,511","1.72M","0.77%"
"09/04/2025","18,452","18,401","18,660","18,311","2.58M","-0.26%"
"09/03/2025","18,500","18,827","18,908","18,418","2.24M","-1.44%"
"09/02/2025","18,771","18,990","18,990","18,624","2.24M","-0.47%"
"09/01/2025","18,859","19,199","19,199","18,785","1.44M","-0.11%"
"08/29/2025","18,880","19,004","19,200","18,863","1.75M","-1.51%"
"08/28/2025","19,169","18,999","19,183","18,782","2.72M","2.19%"
"08/27/2025","18,758","18,907","18,943","18,688","1.97M","-0.62%"
"08/26/2025","18,875","19,000","19,047","18,827","3.86M","-1.87%"
"08/25/2025","19,235","19,451","19,451","19,235","2.61M","-0.42%"
"08/22/2025","19,316","18,800","19,317","18,676","3.75M","3.18%"
"08/21/2025","18,721","18,735","18,850","18,600","1.73M","-0.13%"
"08/20/2025","18,745","18,721","18,942","18,720","1.53M","-0.45%"
"08/19/2025","18,830","18,830","19,041","18,619","1.93M","-0.45%"
"08/18/2025","18,915","19,570","19,570","18,714","2.99M","-0.82%"
"08/15/2025","19,072","19,069","19,251","18,947","2.16M","0.02%"
"08/14/2025","19,068","18,750","19,225","18,695","3.52M","1.10%"
"08/13/2025","18,860","18,390","18,864","18,317","3.21M","2.57%"
"08/12/2025","18,387","18,088","18,387","18,088","2.08M","1.74%"
"08/11/2025","18,073","17,899","18,172","17,794","2.60M","1.79%"
"08/08/2025","17,756","17,684","17,903","17,658","3.09M","-0.01%"
"08/07/2025","17,757","17,927","17,927","17,576","1.83M","-0.24%"
"08/06/2025","17,799","17,782","17,912","17,704","1.35M","0.16%"
"08/05/2025","17,770","17,938","18,090","17,690","2.19M","-0.96%"
"08/04/2025","17,943","18,101","18,101","17,771","2.44M","0.41%"
"08/01/2025","17,870","17,945","18,088","17,608","2.32M","-0.97%"
"07/31/2025","18,045","17,750","18,073","17,601","2.32M","0.91%"
"07/30/2025","17,882","17,820","17,957","17,630","1.82M","0.55%"
"07/29/2025","17,784","17,639","17,874","17,595","1.91M","0.82%"
"07/28/2025","17,639","17,730","17,730","17,351","1.71M","0.90%"
"07/25/2025","17,481","17,769","17,769","17,403","1.56M","-0.96%"
"07/24/2025","17,650","17,650","17,753","17,574","1.53M","0.63%"
"07/23/2025","17,539","17,431","17,626","17,338","2.18M","0.63%"
"07/22/2025","17,430","17,824","17,824","17,360","1.79M","-1.25%"
"07/21/2025","17,650","17,600","17,899","17,546","1.60M","-0.71%"
"07/18/2025","17,776","17,401","17,836","17,401","3.28M","1.31%"
"07/17/2025","17,546","17,599","17,639","17,421","2.85M","0.14%"
"07/16/2025","17,521","17,492","17,544","17,282","3.61M","0.12%"
"07/15/2025","17,500","17,449","17,622","17,413","1.99M","0.75%"
"07/14/2025","17,369","17,598","17,598","17,201","2.32M","-0.41%"
"07/11/2025","17,440","17,630","17,701","17,311","3.10M","-1.77%"
"07/10/2025","17,754","17,949","17,949","17,646","2.05M","-0.05%"
"07/09/2025","17,762","17,750","17,926","17,602","1.95M","0.07%"
"07/08/2025","17,750","17,800","17,912","17,511","2.11M","-0.11%"
"07/07/2025","17,770","17,800","17,971","17,695","1.47M","-1.06%"
"07/04/2025","17,960","18,050","18,050","17,807","1.34M","-0.50%"
"07/03/2025","18,050","17,780","18,060","17,693","2.95M","2.56%"
"07/02/2025","17,600","17,886","17,900","17,473","2.29M","-0.95%"
"07/01/2025","17,769","17,780","17,858","17,523","2.17M","0.96%"
"06/30/2025","17,600","17,740","17,786","17,500","2.13M","-0.56%"
"06/27/2025","17,700","17,200","17,700","17,180","3.93M","3.65%"
"06/26/2025","17,076","17,499","17,499","16,947","2.46M","-1.18%"
"06/25/2025","17,280","17,685","17,716","17,196","2.62M","-2.17%"
"06/24/2025","17,664","17,350","17,840","17,345","1.50M","3.45%"
"06/23/2025","17,075","17,280","17,436","16,953","1.90M","-1.21%"
"06/20/2025","17,284","17,440","17,574","17,180","5.19M","-0.32%"
"06/19/2025","17,339","17,100","17,371","17,080","4.37M","0.31%"
"06/18/2025","17,286","17,500","17,500","17,079","1.43M","-0.50%"
