"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","22,496","23,054","23,054","21,804","318.41K","-0.31%"
"03/26/2026","22,565","22,890","23,097","22,323","732.53K","-1.78%"
"03/25/2026","22,975","22,150","22,975","22,150","442.16K","4.28%"
"03/24/2026","22,033","21,500","22,106","21,337","260.78K","2.18%"
"03/23/2026","21,562","20,550","21,763","20,175","671.14K","-1.44%"
"03/20/2026","21,878","20,631","21,928","20,631","2.65M","3.05%"
"03/19/2026","21,231","21,984","22,193","20,630","1.47M","-5.14%"
"03/18/2026","22,381","23,001","23,249","22,026","443.93K","-2.23%"
"03/17/2026","22,892","22,464","22,892","21,786","308.11K","2.95%"
"03/16/2026","22,237","22,200","22,331","21,585","432.09K","2.95%"
"03/13/2026","21,600","22,099","22,099","21,212","629.09K","-1.82%"
"03/12/2026","22,000","22,464","22,464","21,604","346.15K","-0.79%"
"03/11/2026","22,176","21,200","22,311","21,200","555.53K","0.13%"
"03/10/2026","22,147","20,920","22,371","20,920","419.49K","5.87%"
"03/09/2026","20,920","21,425","21,653","20,475","531.46K","-2.36%"
"03/06/2026","21,425","22,501","22,999","21,191","411.64K","-6.39%"
"03/05/2026","22,888","22,900","23,652","22,684","282.74K","-2.75%"
"03/04/2026","23,535","22,500","23,921","22,500","279.79K","4.75%"
"03/03/2026","22,467","24,950","24,950","22,344","456.01K","-9.21%"
"03/02/2026","24,745","25,210","26,219","24,620","418.97K","-0.76%"
"02/27/2026","24,935","24,271","24,996","24,210","423.30K","4.16%"
"02/26/2026","23,940","24,100","24,486","23,885","317.73K","-2.09%"
"02/25/2026","24,450","23,500","24,596","23,396","541.49K","5.44%"
"02/24/2026","23,189","22,815","23,462","22,810","374.95K","0.45%"
"02/23/2026","23,085","22,751","23,198","22,608","369.80K","1.70%"
"02/20/2026","22,700","21,662","22,860","21,662","275.88K","3.36%"
"02/19/2026","21,962","22,155","22,162","21,559","334.76K","0.57%"
"02/18/2026","21,837","21,857","22,123","20,909","620.25K","1.70%"
"02/17/2026","21,471","21,809","22,080","21,471","506.49K","-3.40%"
"02/16/2026","22,226","21,701","22,344","21,701","361.01K","-0.04%"
"02/13/2026","22,235","22,850","23,159","21,811","911.98K","-2.95%"
"02/12/2026","22,910","23,136","23,540","22,900","422.86K","-1.45%"
"02/11/2026","23,248","22,940","23,455","22,749","475.91K","2.52%"
"02/10/2026","22,677","22,859","22,859","22,228","263.31K","-1.23%"
"02/09/2026","22,960","22,200","22,982","22,200","263.65K","0.63%"
"02/06/2026","22,816","22,996","23,050","22,242","404.60K","-2.43%"
"02/05/2026","23,384","24,201","24,202","22,921","762.37K","-4.64%"
"02/04/2026","24,522","23,667","24,831","23,667","623.09K","3.61%"
"02/03/2026","23,667","23,360","24,173","23,360","679.22K","2.63%"
"02/02/2026","23,060","22,500","23,064","21,051","1.13M","-3.88%"
"01/30/2026","23,992","25,700","25,700","23,501","1.34M","-10.45%"
"01/29/2026","26,792","26,850","27,668","26,616","1.42M","1.72%"
"01/28/2026","26,340","25,101","26,457","25,101","710.93K","4.49%"
"01/27/2026","25,207","25,400","25,735","24,942","659.65K","-1.42%"
"01/26/2026","25,569","24,550","25,959","24,550","1.07M","5.23%"
"01/23/2026","24,299","23,031","24,394","23,031","825.96K","5.51%"
"01/22/2026","23,030","22,499","23,252","22,391","941.16K","1.57%"
"01/21/2026","22,674","21,893","22,998","21,893","316.09K","3.56%"
"01/20/2026","21,894","21,955","22,128","21,619","220.32K","0.50%"
"01/19/2026","21,786","21,800","21,857","21,497","227.23K","0.97%"
"01/16/2026","21,577","21,700","22,265","21,369","525.59K","-0.73%"
"01/15/2026","21,736","21,555","21,889","21,097","347.69K","0.84%"
"01/14/2026","21,555","20,670","21,723","20,670","459.03K","1.33%"
"01/13/2026","21,272","21,111","21,348","20,880","296.21K","0.06%"
"01/12/2026","21,260","20,222","21,358","20,222","299.44K","5.67%"
"01/09/2026","20,120","19,680","20,142","19,680","467.78K","2.23%"
"01/08/2026","19,682","20,503","20,555","19,623","252.42K","-3.81%"
"01/07/2026","20,462","20,500","20,586","20,126","316.38K","-0.23%"
"01/06/2026","20,510","20,138","20,510","19,672","400.99K","1.85%"
"01/05/2026","20,138","20,400","20,400","19,793","243.76K","0.75%"
"01/02/2026","19,988","19,749","20,272","19,749","197.89K","0.49%"
"12/31/2025","19,890","19,565","19,890","19,565","51.97K","0.05%"
"12/30/2025","19,880","19,551","20,096","19,511","278.21K","1.68%"
"12/29/2025","19,551","20,000","20,029","19,551","374.21K","-2.15%"
"12/24/2025","19,980","19,994","20,265","19,568","104.42K","-0.10%"
"12/23/2025","19,999","19,555","19,999","19,555","143.10K","1.78%"
"12/22/2025","19,650","19,300","19,997","19,300","320.74K","2.08%"
"12/19/2025","19,249","19,126","19,445","18,957","851.64K","0.34%"
"12/18/2025","19,184","19,004","19,389","18,904","260.24K","0.81%"
"12/17/2025","19,029","19,037","19,415","18,901","591.80K","2.01%"
"12/15/2025","18,654","19,290","19,290","18,654","185.88K","-2.71%"
"12/12/2025","19,173","18,799","19,250","18,799","527.00K","2.44%"
"12/11/2025","18,717","18,351","18,765","18,351","141.77K","0.68%"
"12/10/2025","18,591","18,333","18,591","18,333","135.49K","1.82%"
"12/09/2025","18,258","18,351","18,484","18,000","319.78K","-1.57%"
"12/08/2025","18,549","18,701","18,802","18,549","469.69K","-0.81%"
"12/05/2025","18,701","18,599","18,913","18,583","216.86K","1.21%"
"12/04/2025","18,478","18,399","18,599","18,185","562.72K","0.44%"
"12/03/2025","18,397","18,031","18,400","17,972","233.46K","2.02%"
"12/02/2025","18,032","18,000","18,298","17,913","272.90K","-2.34%"
"12/01/2025","18,465","17,925","18,564","17,861","455.89K","3.01%"
"11/28/2025","17,926","17,245","17,926","17,245","927.39K","3.27%"
"11/27/2025","17,359","17,299","17,650","17,298","452.81K","-0.21%"
"11/26/2025","17,395","17,114","17,629","17,113","380.21K","1.78%"
"11/25/2025","17,090","16,769","17,325","16,769","342.39K","1.12%"
"11/24/2025","16,900","17,170","17,170","16,638","452.91K","1.89%"
"11/21/2025","16,587","16,600","16,843","16,310","609.02K","-4.23%"
"11/20/2025","17,319","17,483","17,708","17,206","315.25K","0.05%"
"11/19/2025","17,310","17,360","17,360","16,776","319.20K","4.00%"
"11/18/2025","16,645","16,801","17,122","16,537","375.14K","-4.17%"
"11/17/2025","17,370","17,231","17,528","17,054","229.51K","1.12%"
"11/14/2025","17,178","17,300","17,400","16,926","374.11K","-2.61%"
"11/13/2025","17,639","18,184","18,600","17,633","578.12K","-3.69%"
"11/12/2025","18,315","17,744","18,315","17,457","705.23K","3.42%"
"11/11/2025","17,710","17,849","17,857","17,607","712.13K","0.48%"
"11/10/2025","17,626","17,355","18,079","17,355","869.94K","3.18%"
"11/07/2025","17,082","17,011","17,363","16,583","1.20M","-0.54%"
"11/06/2025","17,175","16,526","17,256","16,526","1.06M","2.84%"
"11/05/2025","16,701","16,700","16,771","16,411","1.99M","0.45%"
"11/04/2025","16,626","17,316","17,316","16,519","754.86K","-2.20%"
"11/03/2025","17,000","17,001","17,446","16,921","324.94K","-1.45%"
"10/31/2025","17,250","17,434","17,434","17,024","460.10K","-0.47%"
"10/30/2025","17,331","17,700","17,700","17,114","283.41K","-2.12%"
"10/29/2025","17,706","16,975","17,886","16,975","669.72K","4.29%"
"10/28/2025","16,977","16,891","17,083","16,517","559.02K","0.62%"
"10/27/2025","16,872","17,433","17,635","16,630","510.27K","-3.72%"
"10/24/2025","17,523","18,164","18,164","17,307","345.15K","-2.58%"
