"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","151,503","152,243","151,509","150,277","0.29K","0.41%"
"03/26/2026","150,882","148,499","152,358","145,144","1.13M","-1.64%"
"03/25/2026","153,390","150,773","156,973","149,165","1.69M","5.65%"
"03/24/2026","145,182","142,722","146,000","139,904","1.37M","1.75%"
"03/23/2026","142,684","126,554","143,993","125,500","2.37M","-0.07%"
"03/20/2026","142,782","143,042","150,499","141,481","3.36M","-0.19%"
"03/19/2026","143,060","150,088","152,034","135,101","5.20M","-6.67%"
"03/18/2026","153,283","160,000","160,901","148,772","2.36M","-4.28%"
"03/17/2026","160,145","159,049","161,912","158,139","1.98M","-0.22%"
"03/16/2026","160,491","160,000","162,476","154,049","1.37M","-1.06%"
"03/13/2026","162,216","171,700","172,204","162,216","1.66M","-5.03%"
"03/12/2026","170,812","168,605","175,235","168,202","993.47K","-0.04%"
"03/11/2026","170,876","174,500","174,504","164,607","1.01M","-3.73%"
"03/10/2026","177,500","177,224","180,704","175,936","1.23M","1.92%"
"03/09/2026","174,162","171,900","177,610","170,088","1.24M","0.69%"
"03/06/2026","172,972","179,800","181,281","171,821","873.78K","-3.66%"
"03/05/2026","179,551","186,373","187,368","177,036","1.25M","-2.68%"
"03/04/2026","184,500","189,921","192,800","184,500","1.23M","0.06%"
"03/03/2026","184,390","203,525","205,133","183,256","1.64M","-9.40%"
"03/02/2026","203,525","207,300","214,673","200,712","1.33M","1.36%"
"02/27/2026","200,789","199,065","200,789","194,510","1.50M","3.61%"
"02/26/2026","193,798","199,500","199,500","191,912","731.54K","-3.43%"
"02/25/2026","200,685","199,501","202,641","196,451","1.09M","4.63%"
"02/24/2026","191,811","190,500","193,416","185,606","1.04M","-0.19%"
"02/23/2026","192,180","183,900","192,800","178,785","1.27M","7.30%"
"02/20/2026","179,102","172,800","181,061","168,676","1.30M","4.64%"
"02/19/2026","171,155","175,001","175,453","167,597","850.24K","-0.75%"
"02/18/2026","172,447","171,995","173,750","165,042","990.41K","4.20%"
"02/17/2026","165,501","169,000","170,152","164,500","777.54K","-3.83%"
"02/16/2026","172,100","171,500","176,432","170,700","568.03K","0.58%"
"02/13/2026","171,100","170,123","174,095","168,455","870.27K","-3.06%"
"02/12/2026","176,500","176,001","179,361","175,500","603.61K","0.38%"
"02/11/2026","175,828","173,145","178,500","173,145","812.08K","3.38%"
"02/10/2026","170,082","167,649","172,207","165,300","662.76K","1.48%"
"02/09/2026","167,601","169,210","169,933","162,815","683.52K","0.10%"
"02/06/2026","167,438","157,506","168,408","157,506","830.47K","4.67%"
