"Date","Price","Open","High","Low","Vol.","Change %"
"2026/04/08","137","141","141","135","46.45K","-1.44%"
"2026/04/07","139","140","141","135","221.79K","-1.42%"
"2026/04/02","141","141","141","136","53.27K","0.00%"
"2026/04/01","141","143","144","136","272.76K","-0.70%"
"2026/03/31","142","143","143","136","1.02M","0.00%"
"2026/03/30","142","139","142","136","557.10K","1.43%"
"2026/03/27","140","145","145","135","605.15K","-2.10%"
"2026/03/26","143","128","146","128","1.70M","6.72%"
"2026/03/25","134","129","134","127","834.35K","4.69%"
"2026/03/24","128","120","129","120","1.29M","4.92%"
"2026/03/23","122","113","122","113","375.18K","6.09%"
"2026/03/20","115","117","124","115","1.25M","-1.71%"
"2026/03/19","117","120","120","113","122.81K","0.00%"
"2026/03/18","117","110","120","109","771.34K","2.63%"
"2026/03/17","114","105","114","105","779.96K","3.64%"
"2026/03/16","110","113","113","106","695.01K","-2.65%"
"2026/03/13","113","108","113","108","416.82K","0.00%"
"2026/03/12","113","115","115","107","674.85K","-1.74%"
"2026/03/11","115","115","115","111","138.17K","-0.86%"
"2026/03/10","116","117","117","110","678.17K","0.87%"
"2026/03/09","115","112","118","110","685.64K","-2.54%"
"2026/03/06","118","116","119","113","580.85K","-0.84%"
"2026/03/05","119","118","119","112","1.04M","3.48%"
"2026/03/04","115","120","120","114","482.97K","-4.17%"
"2026/03/03","120","122","122","115","313.26K","0.84%"
"2026/03/02","119","118","123","118","934.16K","3.48%"
"2026/02/27","115","126","128","115","2.81M","-9.45%"
"2026/02/26","127","129","130","125","580.86K","-1.55%"
"2026/02/25","129","139","143","129","2.38M","-7.19%"
"2026/02/24","139","145","145","136","1.10M","-3.47%"
"2026/02/23","144","140","146","140","259.51K","0.00%"
"2026/02/20","144","144","145","141","169.59K","-0.69%"
"2026/02/19","145","145","147","140","420.31K","-0.68%"
"2026/02/18","146","144","148","140","616.08K","1.39%"
"2026/02/17","144","143","151","140","2.15M","-0.69%"
"2026/02/16","145","136","148","132","2.33M","9.85%"
"2026/02/13","132","128","133","127","711.40K","1.54%"
"2026/02/12","130","137","137","128","195.23K","-4.41%"
"2026/02/11","136","131","136","130","1.04M","0.74%"
"2026/02/10","135","130","138","127","898.48K","3.85%"
"2026/02/09","130","132","132","126","123.94K","-1.52%"
"2026/02/06","132","123","132","123","1.18M","6.45%"
"2026/02/05","124","126","129","122","394.79K","-1.59%"
"2026/02/04","126","124","126","120","962.99K","1.61%"
"2026/02/03","124","132","132","124","643.53K","-4.62%"
"2026/02/02","130","136","136","126","1.61M","-3.70%"
"2026/01/30","135","129","136","125","1.15M","5.47%"
"2026/01/29","128","130","130","124","192.97K","-1.54%"
"2026/01/28","130","130","130","124","211.43K","0.00%"
"2026/01/27","130","133","136","124","910.65K","-5.11%"
"2026/01/26","137","142","142","132","499.87K","-1.44%"
"2026/01/23","139","143","146","136","370.83K","-2.11%"
"2026/01/22","142","150","158","140","2.02M","0.71%"
"2026/01/21","141","137","146","133","2.25M","2.92%"
"2026/01/20","137","133","140","130","716.20K","-2.14%"
"2026/01/19","140","141","141","134","92.74K","-0.71%"
"2026/01/16","141","132","142","132","941.87K","3.68%"
"2026/01/15","136","137","137","132","82.90K","-0.73%"
"2026/01/14","137","147","147","131","955.91K","-6.16%"
"2026/01/13","146","137","146","129","1.15M","6.57%"
"2026/01/12","137","130","138","123","731.02K","5.38%"
"2026/01/09","130","129","131","125","313.38K","0.78%"
"2026/01/08","129","118","130","118","1.26M","7.50%"
"2026/01/07","120","117","131","116","2.38M","0.84%"
"2026/01/06","119","116","122","116","757.28K","1.71%"
"2026/01/05","117","128","128","117","431.80K","-8.59%"
"2026/01/02","128","128","128","122","50.62K","0.79%"
"2025/12/31","127","125","128","120","226.74K","1.60%"
"2025/12/30","125","118","125","118","343.41K","5.93%"
"2025/12/29","118","117","118","113","45.74K","1.72%"
"2025/12/24","116","115","117","115","245.33K","0.87%"
"2025/12/23","115","119","119","110","278.62K","0.00%"
"2025/12/22","115","117","119","115","153.46K","0.00%"
"2025/12/19","115","112","117","111","114.01K","0.00%"
"2025/12/18","115","120","120","111","792.47K","-0.86%"
"2025/12/17","116","110","121","105","1.15M","5.45%"
"2025/12/15","110","124","124","110","826.71K","-12.00%"
"2025/12/12","125","119","125","118","159.74K","0.81%"
"2025/12/11","124","118","124","118","36.71K","-0.80%"
"2025/12/10","125","121","125","119","344.55K","0.00%"
"2025/12/09","125","122","125","121","30.52K","0.00%"
"2025/12/08","125","125","125","121","38.33K","2.46%"
"2025/12/05","122","125","125","121","204.27K","-2.40%"
"2025/12/04","125","124","125","122","250.86K","0.81%"
"2025/12/03","124","130","130","124","763.39K","-2.36%"
"2025/12/02","127","126","130","126","104.92K","-2.31%"
"2025/12/01","130","129","131","126","521.94K","-0.76%"
"2025/11/28","131","133","133","130","523.51K","-6.43%"
"2025/11/27","140","140","140","132","280.14K","3.70%"
"2025/11/26","135","131","141","131","1.17M","2.27%"
"2025/11/25","132","132","132","123","638.26K","1.54%"
"2025/11/24","130","135","138","127","451.37K","-3.70%"
"2025/11/21","135","138","139","131","610.36K","-2.17%"
"2025/11/20","138","129","139","122","2.30M","10.40%"
"2025/11/19","125","128","132","122","1.01M","1.63%"
"2025/11/18","123","124","127","116","973.14K","-3.91%"
"2025/11/17","128","129","130","125","422.60K","-0.78%"
"2025/11/14","129","130","130","127","145.18K","0.78%"
"2025/11/13","128","131","133","128","476.32K","-0.78%"
"2025/11/12","129","137","137","125","1.01M","-5.15%"
"2025/11/11","136","149","154","127","2.33M","-8.72%"
"2025/11/10","149","136","153","133","782.67K","11.19%"
"2025/11/07","134","136","139","130","513.97K","-2.19%"
"2025/11/06","137","135","138","127","696.76K","-2.14%"
"2025/11/05","140","139","141","132","584.54K","-0.71%"
"2025/11/04","141","137","146","137","191.37K","-2.08%"
"2025/11/03","144","148","148","132","1.65M","-3.36%"
"2025/10/31","149","149","154","141","1.28M","-3.25%"
"2025/10/30","154","153","156","151","25.37K","-1.28%"
"2025/10/29","156","150","156","149","158.70K","0.00%"
"2025/10/28","156","148","156","146","303.93K","1.30%"
"2025/10/27","154","155","158","149","129.99K","2.67%"
"2025/10/24","150","160","160","149","825.21K","-6.25%"
"2025/10/23","160","148","160","148","257.96K","6.67%"
"2025/10/22","150","150","156","148","328.65K","-4.46%"
"2025/10/21","157","166","166","144","534.52K","-3.68%"
"2025/10/20","163","182","188","158","2.86M","-6.32%"
"2025/10/17","174","165","183","165","3.75M","4.19%"
"2025/10/16","167","145","175","143","2.64M","13.61%"
"2025/10/15","147","130","150","130","2.39M","13.08%"
"2025/10/14","130","124","137","119","1.64M","0.78%"
"2025/10/13","129","132","137","124","522.37K","-6.52%"
"2025/10/10","138","140","144","130","782.39K","-1.43%"
"2025/10/09","140","139","146","136","354.01K","-2.78%"
"2025/10/08","144","143","148","139","524.22K","-1.37%"
"2025/10/07","146","149","150","142","281.67K","-2.67%"
"2025/10/06","150","140","150","140","1.39M","11.11%"
"2025/10/03","135","142","147","135","735.26K","-8.78%"
"2025/10/02","148","144","148","138","407.90K","4.23%"
"2025/10/01","142","141","148","139","285.89K","-2.07%"
"2025/09/30","145","141","152","132","3.21M","5.84%"
"2025/09/29","137","123","153","116","6.04M","14.17%"
"2025/09/26","120","121","125","116","752.89K","0.00%"
"2025/09/25","120","120","120","115","439.27K","4.35%"
"2025/09/23","115","117","122","115","278.19K","-5.74%"
"2025/09/22","122","129","129","118","902.86K","-3.94%"
"2025/09/19","127","128","129","122","497.15K","-0.78%"
"2025/09/18","128","126","129","120","897.44K","2.40%"
"2025/09/17","125","121","125","114","890.99K","2.46%"
"2025/09/16","122","116","132","116","1.66M","1.67%"
"2025/09/15","120","108","120","108","2.87M","9.09%"
"2025/09/12","110","109","112","107","320.74K","0.00%"
"2025/09/11","110","106","110","105","190.64K","0.92%"
"2025/09/10","109","111","111","106","411.17K","0.00%"
"2025/09/09","109","109","114","107","433.44K","-2.68%"
"2025/09/08","112","107","112","107","332.51K","0.00%"
"2025/09/05","112","115","115","107","490.25K","-2.61%"
"2025/09/04","115","115","118","108","1.83M","4.55%"
"2025/09/03","110","105","118","105","2.05M","0.92%"
"2025/09/02","109","104","110","101","1.95M","7.92%"
"2025/09/01","101","100","109","96","2.80M","-2.88%"
"2025/08/29","104","100","105","99","341.60K","-0.95%"
"2025/08/28","105","102","109","99","1.87M","-0.94%"
"2025/08/27","106","107","110","101","600.52K","-3.64%"
"2025/08/26","110","118","125","104","4.06M","-5.98%"
"2025/08/25","117","100","119","100","9.02M","18.18%"
"2025/08/22","99","93","100","89","2.62M","6.45%"
"2025/08/21","93","90","93","87","1.58M","0.00%"
"2025/08/20","93","90","93","88","462.06K","0.00%"
"2025/08/19","93","90","93","89","311.79K","0.00%"
"2025/08/18","93","91","93","87","194.00K","2.20%"
"2025/08/15","91","93","93","86","787.39K","0.00%"
"2025/08/14","91","92","93","89","254.95K","-2.15%"
"2025/08/13","93","93","93","89","282.82K","0.00%"
"2025/08/12","93","90","93","89","802.56K","3.33%"
"2025/08/11","90","90","93","90","162.19K","-2.17%"
"2025/08/08","92","91","93","88","1.95M","2.22%"
"2025/08/07","90","90","98","88","1.80M","-3.23%"
"2025/08/06","93","89","93","85","864.75K","1.09%"
"2025/08/05","92","93","93","89","774.49K","-1.08%"
"2025/08/04","93","102","102","91","949.77K","-9.71%"
"2025/08/01","103","106","106","95","508.96K","0.98%"
"2025/07/31","102","107","107","100","560.74K","-5.56%"
"2025/07/30","108","95","110","89","2.42M","14.89%"
"2025/07/29","94","92","94","86","743.21K","3.30%"
"2025/07/28","91","90","92","86","851.75K","1.11%"
"2025/07/25","90","91","93","86","666.27K","-3.23%"
"2025/07/24","93","90","94","89","539.95K","0.00%"
"2025/07/23","93","92","94","86","559.88K","0.00%"
"2025/07/22","93","96","96","91","271.38K","-1.06%"
"2025/07/21","94","97","97","93","752.41K","-2.08%"
"2025/07/18","96","96","99","95","894.41K","0.00%"
"2025/07/17","96","98","99","96","160.16K","-3.03%"
"2025/07/16","99","97","100","96","451.02K","1.02%"
"2025/07/15","98","106","110","95","2.13M","-6.67%"
"2025/07/14","105","115","117","100","1.70M","-7.89%"
"2025/07/11","114","105","120","103","3.18M","9.62%"
"2025/07/10","104","99","106","99","2.05M","5.05%"
"2025/07/09","99","97","101","97","42.52K","-1.98%"
"2025/07/08","101","100","101","98","713.50K","1.00%"
"2025/07/07","100","99","100","95","662.75K","1.01%"
"2025/07/04","99","98","99","96","348.36K","1.02%"
"2025/07/03","98","98","101","84","876.11K","-3.92%"
"2025/07/02","102","100","104","98","635.36K","-1.92%"
"2025/07/01","104","103","104","101","381.33K","-0.95%"
"2025/06/30","105","102","105","99","419.97K","2.94%"
"2025/06/27","102","103","105","101","399.23K","-0.97%"
"2025/06/26","103","104","105","101","106.00K","0.00%"
"2025/06/25","103","105","105","101","451.32K","-1.90%"
"2025/06/24","105","104","107","103","291.23K","-1.87%"
"2025/06/23","107","103","107","103","54.59K","0.00%"
"2025/06/20","107","103","107","103","174.27K","3.88%"
"2025/06/19","103","102","107","102","280.45K","0.00%"
"2025/06/18","103","103","107","103","133.38K","0.00%"
"2025/06/17","103","107","110","103","717.22K","-3.74%"
"2025/06/13","107","111","112","104","428.40K","-2.73%"
"2025/06/12","110","113","115","108","214.34K","-2.65%"
"2025/06/11","113","108","114","105","436.38K","2.73%"
"2025/06/10","110","108","111","108","40.22K","-0.90%"
"2025/06/09","111","112","112","109","153.14K","1.83%"
"2025/06/06","109","110","113","109","119.79K","-3.54%"
"2025/06/05","113","114","114","109","121.04K","-0.88%"
"2025/06/04","114","113","114","110","54.42K","0.00%"
"2025/06/03","114","112","116","110","518.19K","2.70%"
"2025/06/02","111","114","117","110","542.07K","-4.31%"
"2025/05/30","116","107","118","106","1.58M","9.43%"
"2025/05/29","106","104","106","100","641.35K","4.95%"
"2025/05/28","101","107","107","100","1.12M","-3.81%"
"2025/05/27","105","108","108","103","247.69K","-3.67%"
"2025/05/26","109","107","110","104","238.46K","-1.80%"
"2025/05/23","111","111","111","104","516.22K","1.83%"
"2025/05/22","109","114","115","105","691.02K","-5.22%"
"2025/05/21","115","114","116","109","633.06K","0.00%"
"2025/05/20","115","117","118","109","446.82K","-1.71%"
"2025/05/19","117","109","117","108","293.79K","5.41%"
"2025/05/16","111","111","115","110","123.07K","-3.48%"
"2025/05/15","115","115","115","111","41.85K","-0.86%"
"2025/05/14","116","115","116","109","150.98K","0.00%"
"2025/05/13","116","110","116","107","220.42K","1.75%"
"2025/05/12","114","109","118","108","958.00K","4.59%"
"2025/05/09","109","119","119","108","2.11M","-6.03%"
"2025/05/08","116","115","119","114","72.53K","-2.52%"
"2025/05/07","119","114","121","114","232.36K","5.31%"
"2025/05/06","113","118","118","112","565.26K","-4.24%"
"2025/05/05","118","121","128","114","824.41K","-2.48%"
"2025/05/02","121","117","133","117","1.90M","8.04%"
"2025/04/30","112","112","116","110","199.87K","-1.75%"
"2025/04/29","114","117","118","112","103.89K","-0.87%"
"2025/04/25","115","118","118","111","224.80K","-2.54%"
"2025/04/24","118","120","120","113","777.50K","0.85%"
"2025/04/23","117","111","120","111","636.50K","2.63%"
"2025/04/22","114","115","116","108","983.84K","-1.72%"
"2025/04/17","116","119","119","113","1.78M","-3.33%"
"2025/04/16","120","125","129","116","1.52M","-5.51%"
"2025/04/15","127","123","132","123","276.97K","2.42%"
"2025/04/14","124","116","132","116","2.12M","5.98%"
"2025/04/11","117","113","124","110","574.14K","7.34%"
