"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","12,794","12,800","13,091","12,700","745.11K","-1.71%"
"03/26/2026","13,017","12,822","13,332","12,822","726.32K","-1.34%"
"03/25/2026","13,194","13,020","13,194","12,961","515.86K","1.49%"
"03/24/2026","13,000","12,849","13,024","12,750","623.33K","1.24%"
"03/23/2026","12,841","12,800","13,114","12,518","766.31K","-2.28%"
"03/20/2026","13,141","13,102","13,349","13,000","1.88M","0.31%"
"03/19/2026","13,100","13,033","13,100","12,865","1.13M","-0.29%"
"03/18/2026","13,138","13,451","13,451","13,073","825.32K","-0.91%"
"03/17/2026","13,259","13,161","13,259","13,000","1.19M","0.74%"
"03/16/2026","13,161","13,236","13,377","12,890","1.16M","-0.69%"
"03/13/2026","13,252","13,500","13,752","13,227","1.19M","-3.75%"
"03/12/2026","13,769","13,501","13,810","13,501","1.14M","-0.22%"
"03/11/2026","13,800","13,965","14,024","13,430","1.14M","-0.82%"
"03/10/2026","13,914","13,978","14,270","13,851","1.82M","-0.42%"
"03/09/2026","13,973","13,600","14,325","13,504","1.78M","1.23%"
"03/06/2026","13,803","14,195","14,197","13,762","1.62M","-3.26%"
"03/05/2026","14,268","14,255","14,458","14,020","1.81M","0.13%"
"03/04/2026","14,249","13,401","14,361","13,302","2.65M","5.55%"
"03/03/2026","13,500","13,400","13,723","13,100","1.82M","0.45%"
"03/02/2026","13,440","13,674","13,674","13,011","1.15M","-0.75%"
"02/27/2026","13,541","13,500","13,717","13,383","1.52M","-0.08%"
"02/26/2026","13,552","13,150","13,552","13,101","1.39M","2.89%"
"02/25/2026","13,171","12,990","13,249","12,761","1.18M","1.41%"
"02/24/2026","12,988","12,990","12,990","12,681","913.81K","1.27%"
"02/23/2026","12,825","12,548","12,948","12,548","1.48M","2.00%"
"02/20/2026","12,574","12,500","12,818","12,500","860.97K","-0.69%"
"02/19/2026","12,661","12,506","12,769","12,421","1.25M","1.29%"
"02/18/2026","12,500","12,400","12,586","12,312","903.82K","0.81%"
"02/17/2026","12,400","12,400","12,472","12,223","1.60M","0.81%"
"02/16/2026","12,300","12,500","12,641","12,245","913.66K","-1.72%"
"02/13/2026","12,515","11,865","12,626","11,673","1.23M","6.43%"
"02/12/2026","11,759","10,905","11,844","10,905","1.25M","7.83%"
"02/11/2026","10,905","10,925","11,049","10,646","1.03M","-0.18%"
"02/10/2026","10,925","10,950","11,066","10,906","639.01K","-0.55%"
"02/09/2026","10,985","10,802","11,205","10,802","646.14K","-1.25%"
"02/06/2026","11,124","11,000","11,234","10,928","624.80K","1.95%"
"02/05/2026","10,911","10,972","11,168","10,911","798.63K","-0.81%"
"02/04/2026","11,000","10,900","11,118","10,858","503.52K","0.11%"
"02/03/2026","10,988","10,625","11,093","10,625","971.55K","1.28%"
"02/02/2026","10,849","10,750","10,872","10,438","556.50K","0.90%"
"01/30/2026","10,752","10,898","11,101","10,752","813.16K","-1.73%"
"01/29/2026","10,941","11,020","11,148","10,884","760.85K","-1.12%"
"01/28/2026","11,065","11,200","11,271","11,065","486.38K","-1.35%"
"01/27/2026","11,216","11,250","11,351","11,200","645.23K","-0.48%"
"01/26/2026","11,270","11,341","11,414","11,187","557.90K","-0.19%"
"01/23/2026","11,291","11,432","11,482","11,178","560.15K","-0.93%"
"01/22/2026","11,397","11,399","11,568","11,278","577.91K","1.06%"
"01/21/2026","11,278","11,574","11,645","11,258","963.13K","-2.62%"
"01/20/2026","11,581","11,570","11,738","11,478","594.20K","-0.52%"
"01/19/2026","11,642","12,101","12,452","11,600","1.03M","-3.78%"
"01/16/2026","12,099","12,500","12,599","11,959","1.97M","-2.88%"
