"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","10,262","10,445","10,445","10,127","450.48K","-0.37%"
"03/26/2026","10,300","10,368","10,528","10,262","779.43K","-0.71%"
"03/25/2026","10,374","10,350","10,500","10,350","455.39K","0.23%"
"03/24/2026","10,350","10,180","10,378","10,164","515.87K","1.00%"
"03/23/2026","10,248","10,300","10,435","10,137","483.91K","-0.31%"
"03/20/2026","10,280","10,500","10,500","10,280","915.58K","-1.23%"
"03/19/2026","10,408","10,405","10,445","10,220","387.95K","-0.77%"
"03/18/2026","10,489","10,680","10,683","10,412","431.33K","-0.74%"
"03/17/2026","10,567","10,650","10,650","10,404","579.06K","0.82%"
"03/16/2026","10,481","10,486","10,546","10,343","424.92K","0.73%"
"03/13/2026","10,405","10,690","10,690","10,354","570.15K","-0.12%"
"03/12/2026","10,418","10,426","10,498","10,285","661.81K","-0.31%"
"03/11/2026","10,450","10,700","10,700","10,320","647.43K","0.76%"
"03/10/2026","10,371","10,359","10,814","10,228","721.58K","0.76%"
"03/09/2026","10,293","10,300","10,395","10,150","1.03M","-1.01%"
"03/06/2026","10,398","10,727","10,796","10,369","792.49K","-3.21%"
"03/05/2026","10,743","10,619","11,008","10,619","641.89K","-1.58%"
"03/04/2026","10,916","11,200","11,200","10,500","546.86K","2.19%"
"03/03/2026","10,682","11,094","11,131","10,643","976.14K","-4.22%"
"03/02/2026","11,153","11,380","11,525","10,829","802.25K","-0.62%"
"02/27/2026","11,223","11,302","11,414","11,094","1.01M","-0.99%"
"02/26/2026","11,335","11,398","11,628","11,335","771.29K","-1.17%"
"02/25/2026","11,469","11,402","11,546","11,383","432.33K","-0.42%"
"02/24/2026","11,517","11,424","11,542","11,364","355.01K","0.53%"
"02/23/2026","11,456","11,302","11,539","11,302","298.35K","0.12%"
"02/20/2026","11,442","11,300","11,490","11,300","1.08M","0.10%"
"02/19/2026","11,431","11,221","11,536","11,221","541.86K","-0.38%"
"02/18/2026","11,475","11,500","11,530","11,327","286.68K","1.33%"
"02/17/2026","11,324","11,445","11,445","11,212","597.32K","-0.93%"
"02/16/2026","11,430","11,396","11,433","11,306","419.67K","0.92%"
"02/13/2026","11,326","11,211","11,390","11,141","509.35K","1.03%"
"02/12/2026","11,211","11,340","11,340","11,140","370.11K","0.14%"
"02/11/2026","11,195","10,955","11,295","10,955","610.65K","1.52%"
"02/10/2026","11,027","11,165","11,165","10,955","517.46K","0.15%"
"02/09/2026","11,011","10,930","11,155","10,929","533.77K","-0.35%"
"02/06/2026","11,050","10,811","11,050","10,811","432.26K","1.24%"
"02/05/2026","10,915","11,200","11,200","10,843","949.40K","-0.66%"
"02/04/2026","10,988","10,855","11,155","10,855","891.75K","-1.48%"
"02/03/2026","11,153","10,820","11,153","10,820","1.17M","1.62%"
"02/02/2026","10,975","10,650","10,980","10,634","1.42M","2.09%"
"01/30/2026","10,750","10,840","10,927","10,739","958.76K","-0.32%"
"01/29/2026","10,784","10,779","10,796","10,538","1.09M","0.90%"
"01/28/2026","10,688","10,981","10,981","10,641","1.05M","-1.17%"
"01/27/2026","10,815","10,821","10,978","10,646","1.05M","-0.76%"
"01/26/2026","10,898","10,785","10,930","10,727","579.81K","0.17%"
"01/23/2026","10,879","11,175","11,175","10,774","967.99K","-0.21%"
"01/22/2026","10,902","10,944","11,157","10,731","1.05M","-0.33%"
"01/21/2026","10,938","10,875","10,950","10,845","730.05K","0.72%"
"01/20/2026","10,860","10,870","10,916","10,727","526.68K","0.80%"
"01/19/2026","10,774","10,832","10,873","10,770","542.08K","-0.54%"
"01/16/2026","10,832","10,700","10,924","10,700","582.50K","-0.35%"
"01/15/2026","10,870","10,700","10,925","10,700","486.81K","0.65%"
"01/14/2026","10,800","11,002","11,002","10,727","464.11K","-1.23%"
"01/13/2026","10,934","10,920","11,003","10,727","771.77K","0.32%"
"01/12/2026","10,899","11,019","11,065","10,848","348.20K","-0.83%"
"01/09/2026","10,990","11,010","11,092","10,952","440.63K","-0.47%"
"01/08/2026","11,042","10,920","11,135","10,810","615.54K","1.62%"
"01/07/2026","10,866","10,740","10,904","10,668","696.82K","1.51%"
"01/06/2026","10,704","10,256","10,900","10,256","1.10M","1.19%"
"01/05/2026","10,578","10,710","10,710","10,512","352.09K","-0.49%"
"01/02/2026","10,630","10,556","10,662","10,480","601.74K","0.76%"
"12/31/2025","10,550","10,458","10,563","10,409","88.36K","1.03%"
"12/30/2025","10,442","10,434","10,560","10,432","380.13K","-0.55%"
"12/29/2025","10,500","10,151","10,533","10,151","232.73K","0.82%"
"12/24/2025","10,415","10,439","10,462","10,199","77.18K","0.01%"
"12/23/2025","10,414","10,110","10,489","10,110","204.51K","0.62%"
"12/22/2025","10,350","10,100","10,584","10,100","208.89K","-0.42%"
"12/19/2025","10,394","10,472","10,550","10,340","1.08M","-0.70%"
"12/18/2025","10,467","10,463","10,623","10,341","624.68K","0.44%"
"12/17/2025","10,421","10,000","10,421","10,000","427.90K","0.88%"
"12/15/2025","10,330","10,158","10,407","10,158","231.61K","1.10%"
"12/12/2025","10,218","10,183","10,309","10,169","637.22K","-0.23%"
"12/11/2025","10,242","10,000","10,248","10,000","476.97K","0.15%"
"12/10/2025","10,227","10,287","10,311","10,165","305.23K","-0.73%"
"12/09/2025","10,302","10,306","10,446","10,288","671.47K","-0.72%"
"12/08/2025","10,377","10,535","10,535","10,309","247.34K","-1.03%"
"12/05/2025","10,485","10,489","10,521","10,344","324.91K","-0.19%"
"12/04/2025","10,505","10,352","10,561","10,333","409.91K","1.01%"
"12/03/2025","10,400","10,304","10,400","10,304","176.44K","0.53%"
"12/02/2025","10,345","10,371","10,400","10,224","653.10K","-0.16%"
"12/01/2025","10,362","10,346","10,364","10,113","386.40K","-0.09%"
"11/28/2025","10,371","10,300","10,374","10,256","1.10M","0.62%"
"11/27/2025","10,307","10,352","10,354","10,176","780.91K","0.16%"
"11/26/2025","10,291","9,974","10,387","9,974","1.13M","2.10%"
"11/25/2025","10,079","10,164","10,216","10,000","449.02K","-1.04%"
"11/24/2025","10,185","10,254","10,356","10,154","684.32K","-0.36%"
"11/21/2025","10,222","10,398","10,398","10,076","428.50K","-0.82%"
"11/20/2025","10,306","10,020","10,342","10,020","287.63K","0.99%"
"11/19/2025","10,205","10,100","10,218","10,036","375.64K","0.70%"
"11/18/2025","10,134","10,398","10,398","10,100","650.65K","-0.72%"
"11/17/2025","10,208","10,240","10,240","10,109","457.38K","0.21%"
"11/14/2025","10,187","10,390","10,429","10,165","534.31K","-2.28%"
"11/13/2025","10,425","10,300","10,500","10,227","785.62K","-0.10%"
"11/12/2025","10,435","10,375","10,435","10,044","1.14M","0.44%"
"11/11/2025","10,389","9,811","10,426","9,638","1.23M","6.22%"
"11/10/2025","9,781","9,841","9,878","9,658","457.34K","-0.15%"
"11/07/2025","9,796","9,931","9,947","9,655","425.89K","-1.36%"
"11/06/2025","9,931","9,721","9,931","9,666","661.96K","2.47%"
"11/05/2025","9,692","9,550","9,693","9,513","366.10K","1.12%"
"11/04/2025","9,585","9,721","9,783","9,523","453.05K","-0.79%"
"11/03/2025","9,661","9,693","9,804","9,623","265.44K","0.11%"
"10/31/2025","9,650","9,700","9,700","9,570","556.96K","0.21%"
"10/30/2025","9,630","9,601","9,785","9,501","499.08K","-0.04%"
"10/29/2025","9,634","9,700","9,723","9,582","527.65K","-0.73%"
"10/28/2025","9,705","9,601","9,790","9,525","802.11K","1.09%"
"10/27/2025","9,600","9,734","9,753","9,591","533.04K","-0.95%"
"10/24/2025","9,692","9,600","9,766","9,599","539.47K","-0.14%"
"10/23/2025","9,706","9,550","9,706","9,550","436.77K","0.53%"
"10/22/2025","9,655","9,585","9,719","9,508","794.79K","0.84%"
"10/21/2025","9,575","9,735","9,820","9,575","973.37K","-1.41%"
"10/20/2025","9,712","9,621","9,772","9,621","558.87K","0.54%"
"10/17/2025","9,660","9,533","9,684","9,466","558.17K","1.33%"
"10/16/2025","9,533","9,650","9,659","9,489","1.82M","-0.89%"
"10/15/2025","9,619","9,730","9,773","9,570","1.44M","-4.45%"
"10/14/2025","10,067","10,000","10,171","10,000","402.27K","-0.21%"
"10/13/2025","10,088","10,185","10,185","9,846","367.03K","-0.20%"
"10/10/2025","10,108","9,848","10,147","9,783","953.09K","3.22%"
"10/09/2025","9,793","9,775","9,849","9,604","705.67K","0.18%"
"10/08/2025","9,775","9,730","9,799","9,628","638.20K","0.23%"
"10/07/2025","9,753","9,800","9,856","9,753","501.72K","-0.18%"
"10/06/2025","9,771","9,800","9,882","9,743","513.19K","-0.30%"
"10/03/2025","9,800","9,828","9,870","9,743","741.44K","-0.27%"
"10/02/2025","9,827","9,850","9,998","9,804","795.53K","-0.44%"
"10/01/2025","9,870","9,826","10,022","9,826","992.32K","-0.22%"
"09/30/2025","9,892","9,850","9,895","9,774","965.13K","0.34%"
"09/29/2025","9,858","9,866","9,977","9,801","665.49K","-0.50%"
"09/26/2025","9,908","9,970","9,979","9,876","398.42K","-0.47%"
"09/25/2025","9,955","10,139","10,139","9,757","921.92K","-1.63%"
"09/23/2025","10,120","10,036","10,192","10,027","647.87K","0.54%"
"09/22/2025","10,066","10,120","10,299","10,027","442.50K","-1.48%"
"09/19/2025","10,217","10,387","10,387","10,145","1.14M","0.19%"
"09/18/2025","10,198","10,015","10,323","10,015","957.26K","0.29%"
"09/17/2025","10,169","10,200","10,200","9,952","1.32M","1.33%"
"09/16/2025","10,036","9,980","10,119","9,959","1.07M","1.12%"
"09/15/2025","9,925","9,826","9,983","9,826","1.09M","0.52%"
"09/12/2025","9,874","9,846","9,915","9,785","642.96K","0.51%"
"09/11/2025","9,824","9,592","9,842","9,574","1.36M","2.57%"
"09/10/2025","9,578","9,311","9,749","9,311","1.10M","2.99%"
"09/09/2025","9,300","9,347","9,404","9,228","1.68M","-1.07%"
"09/08/2025","9,401","9,200","9,513","9,064","786.26K","2.20%"
"09/05/2025","9,199","9,044","9,203","8,986","854.70K","1.65%"
"09/04/2025","9,050","9,400","9,400","8,897","911.90K","1.08%"
"09/03/2025","8,953","9,156","9,210","8,953","826.92K","-2.20%"
"09/02/2025","9,154","9,500","9,500","9,154","744.88K","-1.94%"
"09/01/2025","9,335","9,300","9,432","9,247","690.30K","-0.17%"
"08/29/2025","9,351","9,300","9,365","9,300","372.73K","0.09%"
"08/28/2025","9,343","9,347","9,380","9,280","321.35K","0.27%"
"08/27/2025","9,318","9,470","9,470","9,276","262.65K","-0.55%"
"08/26/2025","9,370","9,496","9,520","9,347","407.00K","-1.05%"
"08/25/2025","9,469","9,517","9,517","9,431","223.47K","-0.35%"
"08/22/2025","9,502","9,352","9,539","9,352","191.28K","1.24%"
"08/21/2025","9,386","9,477","9,477","9,378","618.19K","-0.89%"
"08/20/2025","9,470","9,352","9,488","9,332","269.65K","1.25%"
"08/19/2025","9,353","9,373","9,488","9,345","727.28K","-0.43%"
"08/18/2025","9,393","9,469","9,503","9,383","252.12K","-0.53%"
"08/15/2025","9,443","9,332","9,487","9,313","601.84K","-0.08%"
"08/14/2025","9,451","9,500","9,534","9,349","575.89K","-0.89%"
"08/13/2025","9,536","9,500","9,561","9,453","338.38K","0.53%"
"08/12/2025","9,486","9,435","9,499","9,415","499.44K","0.76%"
"08/11/2025","9,414","9,400","9,458","9,392","477.53K","0.29%"
"08/08/2025","9,387","9,300","9,414","9,300","610.88K","0.07%"
"08/07/2025","9,380","9,424","9,438","9,350","966.85K","-0.20%"
"08/06/2025","9,399","9,300","9,400","9,300","325.73K","0.17%"
"08/05/2025","9,383","9,337","9,429","9,300","946.06K","0.48%"
"08/04/2025","9,338","9,423","9,453","9,268","413.98K","0.09%"
"08/01/2025","9,330","9,382","9,409","9,290","402.81K","-0.64%"
"07/31/2025","9,390","9,402","9,500","9,307","831.73K","0.09%"
"07/30/2025","9,382","9,300","9,439","9,300","463.37K","0.12%"
"07/29/2025","9,371","9,400","9,400","9,302","428.56K","0.40%"
"07/28/2025","9,334","9,241","9,621","9,241","480.32K","-0.44%"
"07/25/2025","9,375","9,426","9,465","9,290","705.00K","-0.44%"
"07/24/2025","9,416","9,550","9,550","9,407","285.31K","-0.64%"
"07/23/2025","9,477","9,460","9,512","9,413","613.29K","0.61%"
"07/22/2025","9,420","9,650","9,650","9,390","414.18K","-0.15%"
"07/21/2025","9,434","9,500","9,644","9,406","797.29K","-1.07%"
"07/18/2025","9,536","9,536","9,631","9,493","1.15M","0.20%"
"07/17/2025","9,517","9,678","9,678","9,467","900.27K","0.11%"
"07/16/2025","9,507","9,375","9,566","9,374","778.23K","1.14%"
"07/15/2025","9,400","9,409","9,584","9,377","775.69K","0.00%"
"07/14/2025","9,400","9,494","9,494","9,387","350.89K","-0.30%"
"07/11/2025","9,428","9,460","9,466","9,380","548.26K","-0.54%"
"07/10/2025","9,479","9,402","9,482","9,400","1.05M","0.58%"
"07/09/2025","9,424","9,544","9,544","9,379","834.68K","0.16%"
"07/08/2025","9,409","9,842","9,842","9,409","1.08M","-2.86%"
"07/07/2025","9,686","9,800","9,800","9,653","546.65K","-0.87%"
"07/04/2025","9,771","9,800","9,800","9,680","335.67K","0.37%"
"07/03/2025","9,735","9,597","9,794","9,493","624.81K","2.47%"
"07/02/2025","9,500","9,472","9,590","9,390","945.20K","0.51%"
"07/01/2025","9,452","9,420","9,523","9,374","601.71K","0.41%"
"06/30/2025","9,413","9,123","9,567","9,123","987.53K","-0.66%"
"06/27/2025","9,476","9,409","9,512","9,349","629.19K","0.97%"
"06/26/2025","9,385","9,000","9,420","9,000","826.76K","0.52%"
"06/25/2025","9,336","9,344","9,400","9,271","995.80K","0.39%"
"06/24/2025","9,300","9,061","9,331","8,898","867.96K","1.77%"
"06/23/2025","9,138","9,157","9,189","9,095","1.06M","-0.61%"
"06/20/2025","9,194","9,020","9,218","9,019","1.35M","0.55%"
"06/19/2025","9,144","9,000","9,342","8,806","534.95K","-0.37%"
"06/18/2025","9,178","9,200","9,230","8,876","1.23M","2.17%"
"06/17/2025","8,983","9,102","9,105","8,807","1.23M","2.99%"
"06/13/2025","8,722","9,014","9,014","8,716","1.11M","-3.47%"
"06/12/2025","9,036","9,155","9,312","9,036","674.48K","-1.13%"
"06/11/2025","9,139","9,099","9,218","9,020","952.70K","1.39%"
"06/10/2025","9,014","9,060","9,136","8,977","1.31M","-0.79%"
"06/09/2025","9,086","9,350","9,380","9,086","668.63K","-2.73%"
"06/06/2025","9,341","9,263","9,367","9,263","686.99K","0.58%"
"06/05/2025","9,287","9,397","9,397","9,226","1.00M","-0.57%"
"06/04/2025","9,340","9,301","9,377","9,301","625.11K","0.42%"
"06/03/2025","9,301","9,400","9,400","9,247","500.66K","-0.23%"
"06/02/2025","9,322","9,430","9,456","9,287","633.77K","-1.30%"
"05/30/2025","9,445","9,350","9,477","9,273","1.05M","1.55%"
"05/29/2025","9,301","9,328","9,379","9,231","718.72K","0.00%"
"05/28/2025","9,301","9,320","9,470","9,279","974.50K","-0.52%"
"05/27/2025","9,350","9,371","9,400","9,266","503.03K","0.20%"
"05/26/2025","9,331","9,234","9,400","9,234","237.20K","0.06%"
"05/23/2025","9,325","9,302","9,400","9,220","620.95K","0.87%"
"05/22/2025","9,245","9,300","9,300","9,141","780.38K","0.09%"
"05/21/2025","9,237","9,399","9,400","9,134","474.53K","0.83%"
"05/20/2025","9,161","9,200","9,269","9,134","940.96K","-0.42%"
"05/19/2025","9,200","9,400","9,400","9,140","367.76K","-0.99%"
"05/16/2025","9,292","9,342","9,390","9,227","524.90K","0.11%"
"05/15/2025","9,282","9,300","9,400","9,253","963.27K","-1.24%"
"05/14/2025","9,399","9,342","9,399","9,154","1.57M","2.30%"
"05/13/2025","9,188","9,390","9,390","9,124","933.73K","-0.48%"
"05/12/2025","9,232","9,283","9,355","9,173","989.84K","0.26%"
"05/09/2025","9,208","9,250","9,250","9,018","714.40K","1.75%"
"05/08/2025","9,050","9,470","9,470","9,038","873.18K","-2.69%"
"05/07/2025","9,300","9,408","9,496","9,290","938.89K","-0.67%"
"05/06/2025","9,363","9,420","9,420","9,268","771.03K","0.40%"
"05/05/2025","9,326","9,300","9,405","9,260","1.70M","0.15%"
"05/02/2025","9,312","9,000","9,369","8,982","555.85K","3.01%"
"04/30/2025","9,040","8,950","9,128","8,816","953.66K","0.47%"
"04/29/2025","8,998","8,965","9,103","8,725","926.95K","0.30%"
"04/25/2025","8,971","9,020","9,159","8,904","1.15M","-0.50%"
"04/24/2025","9,016","8,880","9,166","8,880","603.27K","-1.00%"
"04/23/2025","9,107","8,976","9,221","8,976","657.10K","0.85%"
"04/22/2025","9,030","8,970","9,228","8,944","705.88K","-0.43%"
"04/17/2025","9,069","9,050","9,297","9,003","556.06K","-1.10%"
"04/16/2025","9,170","9,300","9,391","9,163","585.91K","-1.71%"
"04/15/2025","9,330","9,314","9,503","9,265","1.29M","0.63%"
"04/14/2025","9,272","8,711","9,300","8,711","1.11M","2.82%"
"04/11/2025","9,018","9,125","9,200","8,637","1.38M","-0.01%"
"04/10/2025","9,019","8,777","9,041","8,757","1.22M","4.90%"
"04/09/2025","8,598","8,698","8,737","8,374","1.08M","-3.28%"
"04/08/2025","8,890","8,255","8,949","8,255","1.99M","3.67%"
"04/07/2025","8,575","8,280","8,666","7,930","2.39M","2.81%"
"04/04/2025","8,341","8,515","8,515","8,223","1.96M","-2.04%"
"04/03/2025","8,515","8,867","8,867","8,484","1.10M","-4.22%"
"04/02/2025","8,890","9,023","9,135","8,857","926.90K","-1.77%"
"04/01/2025","9,050","8,866","9,053","8,850","1.01M","2.08%"
"03/31/2025","8,866","8,982","9,094","8,858","1.09M","-1.49%"
"03/28/2025","9,000","9,199","9,199","8,987","603.24K","-0.73%"
"03/27/2025","9,066","9,067","9,106","8,993","600.97K","-0.17%"
"03/26/2025","9,081","9,198","9,198","8,921","674.72K","1.03%"
"03/25/2025","8,988","9,025","9,171","8,926","772.56K","0.04%"
"03/24/2025","8,984","9,200","9,200","8,906","966.41K","-1.29%"
"03/20/2025","9,101","8,914","9,188","8,865","1.95M","0.79%"
"03/19/2025","9,030","8,916","9,083","8,844","1.01M","1.62%"
"03/18/2025","8,886","8,956","9,015","8,823","1.05M","0.59%"
"03/17/2025","8,834","8,715","8,904","8,715","859.50K","1.37%"
"03/14/2025","8,715","8,747","8,874","8,709","899.51K","-0.27%"
"03/13/2025","8,739","8,741","8,875","8,667","846.46K","-0.94%"
"03/12/2025","8,822","8,807","8,949","8,741","759.43K","-0.09%"
"03/11/2025","8,830","9,052","9,052","8,791","977.43K","-2.37%"
"03/10/2025","9,044","9,400","9,599","8,928","1.28M","-4.83%"
"03/07/2025","9,503","9,551","9,626","9,492","709.80K","-0.28%"
"03/06/2025","9,530","9,410","9,700","9,342","1.80M","1.90%"
"03/05/2025","9,352","9,898","9,898","9,352","1.37M","-1.42%"
"03/04/2025","9,487","9,227","9,692","9,142","941.78K","2.45%"
"03/03/2025","9,260","9,340","9,403","9,224","768.78K","-0.86%"
"02/28/2025","9,340","9,275","9,527","9,270","1.37M","-0.21%"
"02/27/2025","9,360","9,350","9,404","9,163","559.14K","0.00%"
"02/26/2025","9,360","9,200","9,409","9,140","714.95K","1.74%"
"02/25/2025","9,200","9,155","9,278","9,104","498.81K","0.50%"
"02/24/2025","9,154","9,252","9,304","9,132","469.92K","-1.46%"
"02/21/2025","9,290","9,680","9,680","9,152","539.57K","0.43%"
"02/20/2025","9,250","9,346","9,346","9,190","660.40K","-1.09%"
"02/19/2025","9,352","9,440","9,548","9,349","552.60K","-1.53%"
"02/18/2025","9,497","9,975","9,975","9,320","440.52K","0.40%"
"02/17/2025","9,459","9,465","9,504","9,391","518.11K","-0.08%"
"02/14/2025","9,467","9,410","9,658","9,410","229.14K","-1.22%"
"02/13/2025","9,584","9,576","9,598","9,416","805.86K","0.67%"
"02/12/2025","9,520","9,626","9,650","9,496","681.22K","-1.33%"
"02/11/2025","9,648","9,505","9,665","9,457","1.11M","1.88%"
"02/10/2025","9,470","9,697","9,702","9,470","1.13M","-2.34%"
"02/07/2025","9,697","9,583","9,810","9,512","1.66M","1.81%"
"02/06/2025","9,525","9,706","9,802","9,525","1.30M","-2.15%"
"02/05/2025","9,734","10,001","10,012","9,709","622.67K","-2.07%"
"02/04/2025","9,940","9,948","10,053","9,826","1.40M","-0.36%"
"02/03/2025","9,976","9,802","10,189","9,717","2.16M","1.26%"
"01/31/2025","9,852","10,019","10,432","9,852","980.04K","-3.72%"
"01/30/2025","10,233","10,294","10,335","10,214","216.54K","-0.29%"
"01/29/2025","10,263","10,424","10,424","10,263","307.52K","-1.08%"
"01/28/2025","10,375","10,200","10,499","9,888","1.01M","1.67%"
"01/27/2025","10,205","10,370","10,375","10,201","524.30K","-1.64%"
"01/24/2025","10,375","10,230","10,537","10,230","405.26K","1.45%"
"01/23/2025","10,227","10,414","10,709","10,227","486.98K","-2.60%"
"01/22/2025","10,500","10,402","10,527","10,332","829.47K","0.63%"
"01/21/2025","10,434","10,200","10,528","10,200","398.76K","0.23%"
"01/20/2025","10,410","10,742","10,742","10,340","430.39K","-2.08%"
"01/17/2025","10,631","10,461","10,763","10,461","637.48K","1.60%"
"01/16/2025","10,464","10,466","10,592","10,413","508.64K","0.47%"
"01/15/2025","10,415","10,360","10,466","10,183","567.53K","0.97%"
"01/14/2025","10,315","10,001","10,500","10,001","596.51K","0.69%"
"01/13/2025","10,244","10,450","10,470","10,164","781.81K","-2.07%"
"01/10/2025","10,460","10,565","10,644","10,460","452.24K","-0.94%"
"01/09/2025","10,559","10,696","10,696","10,541","123.89K","-0.67%"
"01/08/2025","10,630","10,600","10,932","10,518","424.53K","-0.87%"
"01/07/2025","10,723","10,900","10,960","10,649","267.46K","-0.02%"
"01/06/2025","10,725","10,836","10,912","10,604","504.22K","-0.59%"
"01/03/2025","10,789","10,739","10,870","10,636","250.44K","0.03%"
"01/02/2025","10,786","10,701","11,043","10,701","329.07K","-1.70%"
"12/31/2024","10,972","10,839","11,090","10,748","277.14K","1.70%"
"12/30/2024","10,789","10,753","10,850","10,701","173.68K","-0.58%"
"12/27/2024","10,852","10,786","10,964","10,777","159.32K","-0.22%"
"12/24/2024","10,876","10,856","10,940","10,835","69.12K","0.11%"
"12/23/2024","10,864","10,974","10,974","10,794","120.45K","-1.01%"
