"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","58,428.00","59,300.00","59,481.00","58,307.00","335.79K","-1.94%"
"03/25/2026","59,582.00","58,608.00","59,939.00","58,608.00","544.76K","2.41%"
"03/24/2026","58,182.00","56,737.00","58,389.00","56,737.00","666.10K","1.73%"
"03/23/2026","57,194.00","55,008.00","57,451.00","54,425.00","1.12M","3.54%"
"03/20/2026","55,236.00","56,000.00","57,097.00","55,236.00","1.99M","-1.45%"
"03/19/2026","56,048.00","57,700.00","57,700.00","55,226.00","1.92M","-3.87%"
"03/18/2026","58,304.00","58,860.00","59,492.00","57,973.00","709.45K","-1.12%"
"03/17/2026","58,966.00","58,350.00","59,235.00","58,194.00","607.03K","1.08%"
"03/16/2026","58,338.00","58,000.00","59,084.00","57,663.00","694.00K","0.37%"
"03/13/2026","58,122.00","59,000.00","59,291.00","58,122.00","523.53K","-1.74%"
"03/12/2026","59,150.00","60,499.00","60,872.00","59,150.00","522.08K","-1.44%"
"03/11/2026","60,012.00","60,336.00","60,393.00","59,600.00","472.98K","-0.54%"
"03/10/2026","60,336.00","58,990.00","60,461.00","58,751.00","419.46K","3.62%"
"03/09/2026","58,226.00","59,100.00","59,281.00","57,602.00","420.94K","-3.17%"
"03/06/2026","60,131.00","61,842.00","61,892.00","59,913.00","506.37K","-2.91%"
"03/05/2026","61,934.00","63,340.00","64,031.00","61,289.00","322.71K","-1.24%"
"03/04/2026","62,712.00","62,647.00","64,417.00","62,647.00","449.84K","-1.84%"
"03/03/2026","63,890.00","65,247.00","65,426.00","63,416.00","672.05K","-2.61%"
"03/02/2026","65,600.00","66,274.00","67,786.00","65,233.00","501.95K","0.58%"
"02/27/2026","65,224.00","64,788.00","65,950.00","64,788.00","587.28K","2.23%"
"02/26/2026","63,800.00","65,001.00","65,100.00","63,800.00","494.54K","-1.10%"
"02/25/2026","64,507.00","63,229.00","65,243.00","63,229.00","559.44K","2.42%"
"02/24/2026","62,984.00","61,684.00","63,171.00","61,524.00","464.28K","1.72%"
"02/23/2026","61,920.00","60,684.00","62,303.00","60,612.00","838.83K","2.52%"
"02/20/2026","60,400.00","60,250.00","60,880.00","59,862.00","719.60K","2.37%"
"02/19/2026","59,000.00","59,800.00","60,794.00","58,755.00","1.13M","-1.18%"
"02/18/2026","59,704.00","58,410.00","59,971.00","58,410.00","1.11M","3.39%"
"02/17/2026","57,744.00","59,168.00","60,827.00","57,744.00","689.31K","0.33%"
"02/16/2026","57,554.00","57,172.00","57,823.00","56,742.00","505.75K","0.05%"
"02/13/2026","57,525.00","58,007.00","58,293.00","56,430.00","479.94K","-2.27%"
"02/12/2026","58,864.00","58,724.00","59,865.00","58,724.00","339.68K","0.01%"
"02/11/2026","58,858.00","57,180.00","59,324.00","57,180.00","599.48K","2.75%"
"02/10/2026","57,282.00","56,895.00","57,593.00","56,103.00","367.82K","1.36%"
"02/09/2026","56,514.00","55,999.00","56,681.00","55,335.00","340.71K","1.93%"
"02/06/2026","55,446.00","55,499.00","55,845.00","54,962.00","326.36K","-1.88%"
"02/05/2026","56,506.00","56,811.00","57,164.00","55,969.00","755.32K","-2.99%"
"02/04/2026","58,250.00","58,070.00","59,870.00","58,066.00","1.18M","1.49%"
"02/03/2026","57,395.00","56,870.00","57,799.00","55,592.00","799.63K","3.68%"
"02/02/2026","55,360.00","54,540.00","56,110.00","54,300.00","784.94K","-1.32%"
"01/30/2026","56,098.00","55,868.00","56,476.00","55,129.00","582.97K","-2.84%"
"01/29/2026","57,739.00","57,319.00","58,501.00","56,960.00","657.93K","3.08%"
"01/28/2026","56,016.00","55,241.00","56,234.00","55,241.00","447.27K","1.94%"
"01/27/2026","54,951.00","54,999.00","55,564.00","54,431.00","576.29K","-0.13%"
"01/26/2026","55,020.00","54,500.00","55,189.00","54,000.00","713.82K","1.78%"
"01/23/2026","54,060.00","53,071.00","54,245.00","53,010.00","532.25K","2.91%"
"01/22/2026","52,530.00","53,780.00","53,780.00","52,228.00","883.69K","-2.51%"
"01/21/2026","53,880.00","53,171.00","54,326.00","53,146.00","298.56K","3.17%"
"01/20/2026","52,224.00","53,155.00","53,155.00","52,053.00","510.53K","-2.07%"
"01/19/2026","53,328.00","53,500.00","53,550.00","52,948.00","321.81K","0.34%"
"01/16/2026","53,149.00","53,694.00","53,694.00","52,698.00","482.36K","-1.35%"
"01/15/2026","53,875.00","53,510.00","54,386.00","53,466.00","494.76K","1.15%"
"01/14/2026","53,265.00","52,447.00","53,378.00","52,394.00","1.25M","1.46%"
"01/13/2026","52,500.00","52,770.00","52,940.00","51,902.00","340.26K","1.78%"
"01/12/2026","51,581.00","52,009.00","52,009.00","50,852.00","384.32K","0.82%"
"01/09/2026","51,159.00","52,501.00","53,200.00","50,753.00","752.16K","-0.93%"
