"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","40,603","40,328","40,640","40,000","652.35K","0.44%"
"03/25/2026","40,426","39,740","40,426","39,512","726.39K","1.02%"
"03/24/2026","40,018","40,153","40,453","39,747","722.45K","-1.09%"
"03/23/2026","40,461","40,329","41,589","40,327","901.82K","-1.33%"
"03/20/2026","41,006","40,156","41,632","40,156","2.02M","0.38%"
"03/19/2026","40,851","40,400","40,939","39,612","3.19M","0.55%"
"03/18/2026","40,628","40,844","41,382","40,493","874.24K","-0.54%"
"03/17/2026","40,850","40,829","41,145","40,674","984.22K","0.05%"
"03/16/2026","40,828","40,688","41,111","40,306","1.55M","1.06%"
"03/13/2026","40,400","40,717","40,875","40,136","1.13M","-0.02%"
"03/12/2026","40,410","42,400","42,400","40,410","1.05M","-2.63%"
"03/11/2026","41,500","42,500","42,664","41,281","692.86K","-2.09%"
"03/10/2026","42,386","41,639","42,461","41,639","611.08K","1.72%"
"03/09/2026","41,671","41,950","42,226","41,390","449.16K","-0.56%"
"03/06/2026","41,904","42,075","42,516","41,657","742.87K","-1.05%"
"03/05/2026","42,349","42,600","42,660","41,927","637.02K","0.11%"
"03/04/2026","42,302","41,401","42,550","41,352","725.50K","1.09%"
"03/03/2026","41,844","42,275","42,600","41,457","926.41K","-1.31%"
"03/02/2026","42,401","41,400","42,542","41,200","565.28K","0.92%"
"02/27/2026","42,014","42,600","42,600","41,406","1.86M","-0.32%"
"02/26/2026","42,150","42,901","43,321","41,710","885.25K","-1.74%"
"02/25/2026","42,898","43,456","44,600","42,850","1.65M","-3.58%"
"02/24/2026","44,491","43,750","44,700","43,657","525.14K","0.94%"
"02/23/2026","44,076","43,400","44,315","43,386","936.38K","1.61%"
"02/20/2026","43,377","43,100","43,857","43,100","574.13K","-0.25%"
"02/19/2026","43,485","43,581","43,674","42,949","720.20K","0.63%"
"02/18/2026","43,211","43,000","43,473","42,401","757.85K","1.15%"
"02/17/2026","42,719","41,801","43,015","41,801","855.11K","1.08%"
"02/16/2026","42,264","42,320","42,656","42,197","376.89K","0.15%"
"02/13/2026","42,200","41,800","42,581","41,795","504.49K","-0.26%"
"02/12/2026","42,310","41,999","42,494","41,800","722.05K","1.25%"
"02/11/2026","41,786","42,000","42,000","41,443","847.77K","-0.20%"
"02/10/2026","41,868","42,372","42,372","41,472","681.52K","0.08%"
"02/09/2026","41,834","43,259","43,259","41,723","877.17K","-2.60%"
"02/06/2026","42,950","41,350","43,034","41,350","1.42M","2.54%"
"02/05/2026","41,887","40,501","41,948","40,501","989.84K","2.39%"
"02/04/2026","40,909","40,623","41,235","40,319","598.15K","0.53%"
"02/03/2026","40,693","41,469","41,950","40,503","717.00K","-1.88%"
"02/02/2026","41,474","40,250","41,474","40,006","1.06M","2.58%"
"01/30/2026","40,430","40,250","41,356","40,250","1.27M","-0.30%"
"01/29/2026","40,550","40,601","41,388","40,441","487.67K","-0.13%"
"01/28/2026","40,602","40,397","40,692","40,056","587.00K","0.51%"
"01/27/2026","40,396","40,255","40,844","40,255","822.35K","-0.35%"
"01/26/2026","40,536","40,405","40,718","40,251","469.34K","0.25%"
"01/23/2026","40,436","41,030","41,030","40,313","585.73K","-0.88%"
"01/22/2026","40,796","40,270","41,013","40,270","640.67K","0.68%"
