"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","22,825","22,408","22,825","22,364","616.58K","0.20%"
"03/25/2026","22,779","22,500","22,779","22,384","690.66K","0.35%"
"03/24/2026","22,700","23,199","23,199","22,290","833.91K","0.23%"
"03/23/2026","22,649","22,245","23,374","22,034","892.40K","-0.11%"
"03/20/2026","22,673","22,100","23,168","22,100","1.70M","0.93%"
"03/19/2026","22,464","22,875","22,875","22,007","2.59M","-1.80%"
"03/18/2026","22,875","23,080","23,761","22,605","804.42K","-0.89%"
"03/17/2026","23,080","23,113","23,407","22,923","1.54M","-0.06%"
"03/16/2026","23,093","23,000","23,459","22,910","948.85K","1.06%"
"03/13/2026","22,850","23,364","23,364","22,668","520.11K","-1.35%"
"03/12/2026","23,162","23,999","23,999","22,688","613.71K","-1.37%"
"03/11/2026","23,484","23,800","23,800","22,935","790.91K","-0.40%"
"03/10/2026","23,578","23,820","24,072","23,285","928.30K","0.83%"
"03/09/2026","23,383","23,509","23,649","23,208","398.30K","-0.54%"
"03/06/2026","23,509","24,755","24,755","23,397","1.06M","-3.48%"
"03/05/2026","24,356","24,011","24,805","24,011","819.19K","-0.44%"
"03/04/2026","24,464","23,996","24,615","23,675","783.59K","2.34%"
"03/03/2026","23,904","25,200","25,235","23,753","1.70M","-5.68%"
"03/02/2026","25,344","24,722","26,000","24,637","915.53K","0.38%"
"02/27/2026","25,249","25,200","25,461","24,804","970.15K","0.06%"
"02/26/2026","25,233","24,567","25,383","24,567","716.18K","2.06%"
"02/25/2026","24,724","24,960","24,960","24,320","574.43K","-0.40%"
"02/24/2026","24,823","24,489","24,823","24,176","468.68K","1.46%"
"02/23/2026","24,467","24,800","24,981","24,279","729.80K","-0.61%"
"02/20/2026","24,618","24,882","24,882","24,520","505.23K","0.01%"
"02/19/2026","24,615","24,950","24,950","24,261","950.42K","0.65%"
"02/18/2026","24,456","24,097","24,507","24,030","929.30K","1.48%"
"02/17/2026","24,100","24,700","24,700","23,977","749.02K","-0.22%"
"02/16/2026","24,154","24,111","24,600","24,111","598.77K","0.33%"
"02/13/2026","24,075","23,945","24,851","23,938","1.06M","-1.26%"
"02/12/2026","24,383","24,400","24,473","23,996","378.63K","0.72%"
"02/11/2026","24,208","24,225","24,291","23,773","619.19K","-0.07%"
"02/10/2026","24,225","24,337","24,367","23,856","541.01K","0.36%"
"02/09/2026","24,138","24,495","24,496","23,585","653.47K","-0.80%"
"02/06/2026","24,332","24,500","24,501","24,146","490.23K","-0.66%"
"02/05/2026","24,494","24,349","24,494","23,912","697.77K","1.43%"
"02/04/2026","24,148","24,163","24,215","23,506","458.86K","1.17%"
"02/03/2026","23,869","23,828","24,211","23,721","883.33K","0.17%"
"02/02/2026","23,829","23,560","24,040","23,016","899.93K","1.59%"
"01/30/2026","23,456","23,999","24,102","23,272","1.29M","-0.48%"
"01/29/2026","23,570","23,200","23,750","23,029","988.29K","0.77%"
"01/28/2026","23,389","23,120","23,523","23,011","1.30M","-0.57%"
"01/27/2026","23,523","23,559","23,834","23,225","1.10M","-0.70%"
"01/26/2026","23,688","24,175","24,360","23,648","974.61K","-2.58%"
"01/23/2026","24,315","24,317","24,717","24,151","1.24M","-0.76%"
"01/22/2026","24,500","25,029","25,029","24,366","1.35M","0.00%"
"01/21/2026","24,500","24,000","25,210","24,000","1.59M","-0.39%"
"01/20/2026","24,597","24,103","24,625","24,001","801.45K","1.46%"
"01/19/2026","24,242","24,418","24,427","24,100","557.77K","-1.02%"
"01/16/2026","24,492","24,799","24,982","24,388","943.04K","-0.71%"
"01/15/2026","24,667","24,455","24,905","24,208","1.21M","1.69%"
"01/14/2026","24,258","24,973","24,973","24,241","742.63K","-1.89%"
"01/13/2026","24,725","25,244","25,244","24,562","516.45K","-0.76%"
"01/12/2026","24,914","25,400","25,400","24,580","555.94K","-0.85%"
"01/09/2026","25,128","24,500","25,390","24,374","1.04M","2.25%"
"01/08/2026","24,574","24,600","24,800","24,337","611.07K","0.72%"
"01/07/2026","24,399","24,105","24,633","24,105","1.06M","-0.04%"
"01/06/2026","24,408","24,450","24,683","23,899","782.40K","2.49%"
"01/05/2026","23,815","23,401","24,365","23,401","616.88K","1.76%"
"01/02/2026","23,403","23,749","23,789","23,151","264.53K","-1.46%"
"12/31/2025","23,749","23,759","23,776","23,500","156.70K","0.79%"
"12/30/2025","23,562","23,729","23,828","23,562","326.65K","-0.51%"
"12/29/2025","23,682","23,500","23,727","23,386","259.34K","1.21%"
"12/24/2025","23,400","23,729","23,729","23,125","164.40K","0.85%"
"12/23/2025","23,202","23,000","23,296","22,955","590.57K","0.99%"
"12/22/2025","22,974","22,550","23,444","22,550","326.63K","-0.73%"
"12/19/2025","23,143","23,729","23,729","22,649","2.01M","-0.98%"
"12/18/2025","23,372","22,907","23,682","22,907","2.64M","1.36%"
"12/17/2025","23,058","22,677","23,277","22,554","602.95K","1.20%"
"12/15/2025","22,784","22,942","23,063","22,682","579.65K","0.31%"
"12/12/2025","22,714","22,526","23,250","22,526","587.15K","0.20%"
"12/11/2025","22,669","22,700","22,925","22,309","645.93K","0.44%"
"12/10/2025","22,570","22,275","22,765","22,275","291.36K","-0.26%"
"12/09/2025","22,629","22,274","22,847","22,274","471.10K","0.64%"
"12/08/2025","22,484","22,950","23,274","22,410","547.97K","-1.39%"
"12/05/2025","22,802","22,601","23,004","22,601","466.18K","-0.17%"
"12/04/2025","22,840","23,099","23,300","22,833","457.82K","-0.89%"
"12/03/2025","23,046","22,869","23,144","22,780","603.00K","0.77%"
"12/02/2025","22,869","22,848","23,065","22,598","592.03K","0.45%"
"12/01/2025","22,766","22,850","22,949","22,274","465.84K","-0.36%"
"11/28/2025","22,848","23,177","23,346","22,765","1.05M","-1.42%"
"11/27/2025","23,178","23,869","23,869","23,178","545.65K","-1.76%"
"11/26/2025","23,593","23,192","23,947","23,192","507.68K","1.52%"
"11/25/2025","23,239","23,352","23,485","22,928","692.51K","-0.48%"
"11/24/2025","23,352","23,400","23,878","23,135","1.12M","0.46%"
"11/21/2025","23,244","23,000","23,922","23,000","441.67K","-1.18%"
"11/20/2025","23,522","23,011","24,074","23,011","779.91K","0.50%"
"11/19/2025","23,406","23,060","23,493","23,010","475.89K","1.50%"
"11/18/2025","23,060","23,683","23,683","23,060","624.92K","-1.54%"
"11/17/2025","23,420","23,325","23,900","23,325","509.98K","0.19%"
"11/14/2025","23,376","23,900","23,900","23,310","518.53K","-2.19%"
"11/13/2025","23,900","23,500","24,388","23,090","1.45M","2.38%"
"11/12/2025","23,345","22,892","23,499","22,635","703.92K","2.98%"
"11/11/2025","22,670","22,706","22,974","22,624","550.28K","0.21%"
"11/10/2025","22,623","22,768","22,874","22,444","502.42K","0.56%"
"11/07/2025","22,496","22,833","22,833","22,405","531.60K","-0.93%"
"11/06/2025","22,708","22,454","22,859","22,308","578.25K","1.09%"
"11/05/2025","22,464","22,800","22,800","21,937","842.77K","0.29%"
"11/04/2025","22,400","22,333","22,400","21,866","683.03K","0.30%"
"11/03/2025","22,333","22,500","22,774","22,204","528.61K","-0.73%"
"10/31/2025","22,498","22,777","22,777","22,219","791.07K","-0.26%"
"10/30/2025","22,556","22,640","22,657","22,025","709.26K","0.78%"
"10/29/2025","22,382","22,652","22,951","22,325","363.28K","-1.25%"
"10/28/2025","22,665","22,535","23,249","22,535","867.93K","0.55%"
"10/27/2025","22,541","22,675","22,978","22,446","657.80K","-0.60%"
"10/24/2025","22,677","22,450","22,957","22,401","603.33K","-0.11%"
"10/23/2025","22,703","22,625","22,860","22,520","927.98K","-0.21%"
"10/22/2025","22,750","22,145","22,934","22,145","731.93K","1.34%"
"10/21/2025","22,450","22,350","22,749","22,191","1.03M","0.48%"
"10/20/2025","22,342","22,538","22,663","22,077","482.38K","0.58%"
"10/17/2025","22,214","22,127","22,434","21,740","576.50K","0.15%"
"10/16/2025","22,180","21,822","22,205","21,822","657.82K","0.35%"
"10/15/2025","22,102","22,001","22,276","22,001","1.44M","0.61%"
"10/14/2025","21,968","21,875","21,986","21,697","634.32K","-0.48%"
"10/13/2025","22,073","22,560","22,560","21,778","451.86K","-0.07%"
"10/10/2025","22,089","22,041","22,565","22,041","651.95K","0.18%"
"10/09/2025","22,049","21,511","22,097","21,511","693.95K","1.66%"
"10/08/2025","21,688","21,895","21,895","21,430","528.08K","0.34%"
"10/07/2025","21,614","21,811","21,961","21,606","673.89K","-0.36%"
"10/06/2025","21,693","21,830","21,931","21,650","712.52K","-0.56%"
"10/03/2025","21,815","21,810","21,815","21,310","996.91K","1.48%"
"10/02/2025","21,497","21,426","21,760","21,297","1.18M","0.33%"
"10/01/2025","21,426","21,182","21,480","21,085","905.82K","1.15%"
"09/30/2025","21,182","21,147","21,412","20,969","995.38K","0.27%"
"09/29/2025","21,125","21,106","21,424","21,091","737.45K","-1.05%"
"09/26/2025","21,350","21,518","21,518","21,034","550.01K","0.00%"
"09/25/2025","21,350","21,755","21,755","20,751","1.14M","0.00%"
"09/23/2025","21,350","21,700","21,709","21,295","946.76K","-3.03%"
"09/22/2025","22,017","22,299","22,299","21,706","784.24K","0.05%"
"09/19/2025","22,006","21,844","22,098","21,646","2.07M","0.85%"
"09/18/2025","21,821","21,715","22,305","21,596","2.66M","0.49%"
"09/17/2025","21,715","21,395","21,769","21,158","1.24M","2.21%"
"09/16/2025","21,245","21,499","21,499","20,895","1.13M","-0.36%"
"09/15/2025","21,322","21,585","21,585","21,156","914.07K","-0.81%"
"09/12/2025","21,497","21,745","21,747","21,302","832.05K","-0.77%"
"09/11/2025","21,663","21,557","21,796","21,245","1.01M","0.47%"
"09/10/2025","21,561","21,600","21,744","21,300","526.01K","-0.49%"
"09/09/2025","21,667","21,943","21,950","21,538","887.92K","-0.66%"
"09/08/2025","21,812","21,623","21,986","21,623","537.54K","0.83%"
"09/05/2025","21,632","21,799","21,930","21,602","532.99K","0.20%"
"09/04/2025","21,589","21,572","21,925","21,389","1.17M","-0.63%"
"09/03/2025","21,726","21,276","21,733","20,730","1.50M","2.93%"
"09/02/2025","21,107","22,694","22,694","21,107","1.89M","-5.31%"
"09/01/2025","22,290","23,003","23,754","22,036","1.87M","-5.91%"
"08/29/2025","23,690","24,199","24,199","23,415","758.28K","-1.04%"
"08/28/2025","23,938","23,510","24,259","23,510","718.65K","0.63%"
"08/27/2025","23,789","23,400","23,811","23,300","721.27K","1.65%"
"08/26/2025","23,402","24,000","24,228","23,402","1.67M","-3.91%"
"08/25/2025","24,355","24,347","24,700","24,045","627.72K","-0.76%"
"08/22/2025","24,542","23,987","24,542","23,697","1.18M","3.21%"
"08/21/2025","23,778","23,939","24,095","23,683","366.42K","-0.83%"
"08/20/2025","23,977","23,757","24,150","23,757","534.11K","-0.58%"
"08/19/2025","24,118","23,775","24,289","23,583","424.66K","2.08%"
"08/18/2025","23,626","23,766","23,917","23,568","411.56K","-0.59%"
"08/15/2025","23,766","23,573","23,850","23,573","555.15K","0.82%"
"08/14/2025","23,573","24,040","24,142","23,429","969.54K","-1.90%"
"08/13/2025","24,029","23,950","24,214","23,732","625.18K","0.53%"
"08/12/2025","23,903","23,000","24,325","23,000","1.66M","3.10%"
"08/11/2025","23,184","23,380","23,380","22,942","546.67K","0.47%"
"08/08/2025","23,075","22,957","23,075","22,745","561.18K","0.79%"
"08/07/2025","22,895","23,450","23,450","22,765","665.46K","-0.24%"
"08/06/2025","22,951","23,061","23,177","22,805","355.19K","-0.48%"
"08/05/2025","23,061","22,999","23,169","22,801","780.24K","0.51%"
"08/04/2025","22,945","23,493","23,750","22,783","500.09K","-2.33%"
"08/01/2025","23,493","24,100","24,100","23,032","669.80K","-1.26%"
"07/31/2025","23,793","23,400","24,057","23,400","1.59M","0.40%"
"07/30/2025","23,698","23,910","23,912","23,499","536.69K","0.12%"
"07/29/2025","23,670","23,576","23,909","23,504","594.14K","0.40%"
"07/28/2025","23,576","23,950","23,950","23,260","462.34K","1.28%"
"07/25/2025","23,279","23,620","23,725","23,279","623.21K","-2.02%"
"07/24/2025","23,760","24,020","24,335","23,660","530.09K","-1.08%"
"07/23/2025","24,020","23,755","24,655","23,450","1.64M","1.71%"
"07/22/2025","23,617","23,300","23,663","23,189","848.42K","1.50%"
"07/21/2025","23,267","23,850","23,938","23,189","289.85K","-2.20%"
"07/18/2025","23,791","23,272","23,808","23,154","862.11K","3.02%"
"07/17/2025","23,094","22,750","23,094","22,703","640.66K","1.29%"
"07/16/2025","22,800","23,200","23,200","22,580","1.11M","-0.18%"
"07/15/2025","22,842","23,120","23,239","22,821","771.46K","0.05%"
"07/14/2025","22,831","23,151","23,200","22,831","774.65K","-1.48%"
"07/11/2025","23,174","23,822","23,940","23,146","957.97K","-3.35%"
"07/10/2025","23,978","23,701","24,373","23,701","669.17K","-0.04%"
"07/09/2025","23,987","23,500","24,107","23,500","866.11K","1.62%"
"07/08/2025","23,604","23,550","23,657","23,320","762.59K","0.08%"
"07/07/2025","23,584","23,768","23,889","23,550","459.03K","-1.22%"
"07/04/2025","23,875","23,999","23,999","23,694","263.34K","0.32%"
"07/03/2025","23,800","24,023","24,023","23,504","395.61K","0.84%"
"07/02/2025","23,602","23,576","23,812","23,272","836.56K","0.29%"
"07/01/2025","23,534","23,470","23,722","23,306","833.41K","0.78%"
"06/30/2025","23,352","23,623","23,740","23,352","938.99K","-1.01%"
"06/27/2025","23,591","23,515","23,604","23,020","577.63K","1.70%"
"06/26/2025","23,197","23,369","23,688","23,197","805.97K","-0.74%"
"06/25/2025","23,369","23,848","23,889","23,154","534.23K","-0.49%"
"06/24/2025","23,484","23,401","24,099","23,334","734.06K","1.40%"
"06/23/2025","23,160","23,439","23,479","22,830","790.63K","-0.61%"
"06/20/2025","23,301","22,859","23,387","22,859","1.74M","1.34%"
"06/19/2025","22,993","22,850","23,032","22,659","1.68M","0.63%"
"06/18/2025","22,850","23,000","23,000","22,449","914.55K","0.21%"
"06/17/2025","22,802","22,553","23,087","22,553","1.39M","0.28%"
"06/13/2025","22,738","24,047","24,047","22,738","1.70M","-4.61%"
"06/12/2025","23,836","24,669","24,669","23,394","874.87K","-0.49%"
"06/11/2025","23,954","24,974","24,974","23,817","923.42K","-1.76%"
"06/10/2025","24,384","25,199","25,199","24,368","1.48M","-1.64%"
"06/09/2025","24,791","24,200","25,080","24,111","789.03K","1.30%"
"06/06/2025","24,472","23,850","24,499","23,814","685.13K","3.04%"
"06/05/2025","23,750","23,950","24,188","23,619","1.07M","-1.04%"
"06/04/2025","24,000","24,099","24,490","23,888","539.46K","-0.22%"
"06/03/2025","24,053","23,521","24,089","23,521","672.24K","0.97%"
"06/02/2025","23,823","24,800","24,800","23,683","620.43K","-2.20%"
"05/30/2025","24,359","24,690","24,690","24,303","2.76M","-0.70%"
"05/29/2025","24,531","23,894","24,744","23,894","725.30K","2.67%"
"05/28/2025","23,894","23,551","24,293","23,551","552.84K","-0.44%"
"05/27/2025","23,999","23,520","24,223","23,520","525.83K","0.46%"
"05/26/2025","23,888","23,965","24,175","23,420","442.81K","1.80%"
"05/23/2025","23,465","23,840","23,876","23,241","345.29K","0.16%"
"05/22/2025","23,427","24,020","24,021","22,915","1.10M","-1.72%"
"05/21/2025","23,838","24,000","24,000","23,651","719.68K","0.18%"
"05/20/2025","23,796","23,505","24,044","23,505","410.17K","0.21%"
"05/19/2025","23,747","23,900","23,900","23,361","665.58K","-0.94%"
"05/16/2025","23,973","24,297","24,297","23,850","295.48K","-0.42%"
"05/15/2025","24,075","23,899","24,315","23,756","725.43K","-0.24%"
"05/14/2025","24,132","24,316","24,316","23,847","1.17M","0.74%"
"05/13/2025","23,954","24,299","24,299","23,591","878.42K","0.52%"
"05/12/2025","23,830","24,199","24,348","23,552","648.22K","1.55%"
"05/09/2025","23,467","23,300","23,747","23,145","946.24K","1.55%"
