"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","850","888","888","844","1.67M","-2.19%"
"03/26/2026","869","888","888","869","1.23M","-1.81%"
"03/25/2026","885","878","887","869","1.06M","1.96%"
"03/24/2026","868","878","878","848","1.65M","2.00%"
"03/23/2026","851","840","869","836","2.69M","-0.35%"
"03/20/2026","854","855","875","846","2.51M","0.12%"
"03/19/2026","853","900","914","844","3.14M","-5.43%"
"03/18/2026","902","909","919","896","1.46M","-3.53%"
"03/17/2026","935","937","952","933","1.98M","-0.21%"
"03/16/2026","937","932","953","930","895.25K","0.43%"
"03/13/2026","933","909","947","909","2.10M","2.87%"
"03/12/2026","907","940","948","907","2.89M","-4.73%"
"03/11/2026","952","970","975","936","2.74M","-1.86%"
"03/10/2026","970","967","997","959","1.85M","1.25%"
"03/09/2026","958","982","992","950","3.39M","-2.84%"
"03/06/2026","986","1,015","1,015","982","1.66M","-1.30%"
"03/05/2026","999","990","1,013","982","1.69M","1.22%"
"03/04/2026","987","1,000","1,005","980","2.25M","-1.30%"
"03/03/2026","1,000","1,015","1,024","991","2.34M","-2.15%"
"03/02/2026","1,022","1,030","1,059","1,007","2.21M","-3.04%"
"02/27/2026","1,054","981","1,054","981","6.26M","7.44%"
"02/26/2026","981","1,020","1,050","973","3.26M","-4.48%"
"02/25/2026","1,027","955","1,034","945","4.27M","12.00%"
"02/24/2026","917","925","933","916","3.15M","-1.40%"
"02/23/2026","930","945","956","930","1.64M","-1.80%"
"02/20/2026","947","977","977","940","2.42M","-1.35%"
"02/19/2026","960","990","992","947","3.26M","-3.13%"
"02/18/2026","991","985","994","975","1.41M","2.06%"
"02/17/2026","971","982","1,002","971","2.01M","-2.71%"
"02/16/2026","998","978","1,001","975","1.42M","1.53%"
"02/13/2026","983","1,015","1,026","963","3.14M","-4.38%"
"02/12/2026","1,028","1,014","1,032","1,013","1.90M","1.28%"
"02/11/2026","1,015","1,008","1,019","1,000","1.41M","0.69%"
"02/10/2026","1,008","1,008","1,018","996","2.05M","0.90%"
"02/09/2026","999","982","999","976","881.11K","1.01%"
"02/06/2026","989","945","989","933","2.10M","5.32%"
"02/05/2026","939","996","998","939","1.74M","-5.63%"
"02/04/2026","995","987","1,006","979","1.44M","-0.10%"
"02/03/2026","996","962","998","957","1.90M","3.97%"
"02/02/2026","958","945","960","930","910.81K","0.00%"
"01/30/2026","958","961","978","951","965.23K","-1.24%"
"01/29/2026","970","968","970","953","1.53M","1.04%"
"01/28/2026","960","951","968","951","1.05M","-0.10%"
"01/27/2026","961","981","981","955","1.08M","-0.93%"
"01/26/2026","970","983","985","966","2.48M","-0.31%"
"01/23/2026","973","979","986","957","1.49M","-0.51%"
"01/22/2026","978","967","984","957","2.04M","1.03%"
"01/21/2026","968","982","983","950","1.78M","-1.73%"
"01/20/2026","985","1,024","1,024","981","1.10M","-2.28%"
"01/19/2026","1,008","1,036","1,047","1,007","1.07M","-3.54%"
"01/16/2026","1,045","1,069","1,073","1,038","1.33M","-2.34%"
"01/15/2026","1,070","1,039","1,086","1,032","4.12M","2.98%"
"01/14/2026","1,039","1,025","1,039","1,017","811.68K","1.56%"
"01/13/2026","1,023","1,026","1,039","1,017","644.47K","-0.68%"
"01/12/2026","1,030","1,022","1,042","1,016","709.09K","1.58%"
"01/09/2026","1,014","1,022","1,023","1,004","769.82K","0.60%"
"01/08/2026","1,008","1,013","1,029","988","1.33M","-0.40%"
"01/07/2026","1,012","1,049","1,049","1,012","720.03K","-1.27%"
"01/06/2026","1,025","1,025","1,040","1,018","1.32M","0.49%"
"01/05/2026","1,020","1,032","1,051","1,017","1.40M","-1.73%"
"01/02/2026","1,038","1,045","1,047","1,011","1.21M","-1.52%"
"12/31/2025","1,054","1,033","1,064","1,033","811.14K","0.96%"
"12/30/2025","1,044","1,052","1,052","1,035","431.89K","0.00%"
"12/29/2025","1,044","1,053","1,053","1,025","625.06K","0.97%"
"12/24/2025","1,034","1,023","1,035","1,023","179.92K","0.49%"
"12/23/2025","1,029","1,022","1,038","1,019","1.09M","0.88%"
"12/22/2025","1,020","1,045","1,053","1,018","1.13M","-2.67%"
"12/19/2025","1,048","1,060","1,067","1,046","6.86M","-0.47%"
"12/18/2025","1,053","1,051","1,073","1,042","4.15M","0.00%"
"12/17/2025","1,053","1,030","1,055","1,011","3.55M","2.93%"
"12/15/2025","1,023","1,034","1,034","1,014","878.67K","0.49%"
"12/12/2025","1,018","1,030","1,045","1,015","1.13M","-1.64%"
"12/11/2025","1,035","1,061","1,061","1,020","1.74M","-2.17%"
"12/10/2025","1,058","1,026","1,065","1,019","4.14M","3.52%"
"12/09/2025","1,022","1,012","1,031","995","1.53M","1.39%"
"12/08/2025","1,008","1,043","1,045","1,000","1.29M","-2.80%"
"12/05/2025","1,037","1,020","1,060","1,013","3.45M","2.67%"
"12/04/2025","1,010","1,006","1,010","996","1.50M","0.90%"
"12/03/2025","1,001","1,000","1,019","995","2.41M","0.40%"
"12/02/2025","997","994","1,016","986","2.58M","0.71%"
"12/01/2025","990","999","999","976","2.01M","0.30%"
"11/28/2025","987","970","995","956","3.86M","1.86%"
"11/27/2025","969","989","989","948","3.43M","-2.02%"
"11/26/2025","989","935","990","935","7.10M","5.32%"
"11/25/2025","939","995","996","934","4.23M","-5.63%"
"11/24/2025","995","990","1,005","960","4.54M","0.30%"
"11/21/2025","992","1,060","1,060","968","4.88M","-5.52%"
"11/20/2025","1,050","1,050","1,054","1,001","3.28M","2.04%"
"11/19/2025","1,029","1,085","1,091","1,012","3.86M","-5.34%"
"11/18/2025","1,087","1,100","1,111","1,084","3.99M","-1.90%"
"11/17/2025","1,108","1,107","1,116","1,084","2.25M","0.18%"
"11/14/2025","1,106","1,100","1,106","1,021","4.15M","1.94%"
"11/13/2025","1,085","1,152","1,188","1,075","5.52M","-5.16%"
"11/12/2025","1,144","1,183","1,183","1,137","2.70M","-2.22%"
"11/11/2025","1,170","1,220","1,230","1,151","4.22M","-3.39%"
"11/10/2025","1,211","1,270","1,270","1,211","2.06M","-3.04%"
"11/07/2025","1,249","1,311","1,311","1,248","2.16M","-4.44%"
"11/06/2025","1,307","1,344","1,346","1,301","1.37M","-1.58%"
"11/05/2025","1,328","1,262","1,345","1,257","6.65M","5.31%"
"11/04/2025","1,261","1,260","1,284","1,249","2.44M","-0.47%"
"11/03/2025","1,267","1,238","1,271","1,210","1.80M","2.34%"
"10/31/2025","1,238","1,234","1,240","1,213","2.13M","1.06%"
"10/30/2025","1,225","1,278","1,278","1,221","1.35M","-2.47%"
"10/29/2025","1,256","1,260","1,279","1,255","1.21M","-0.32%"
"10/28/2025","1,260","1,250","1,263","1,239","1.93M","1.53%"
"10/27/2025","1,241","1,211","1,241","1,210","1.75M","2.73%"
"10/24/2025","1,208","1,229","1,230","1,205","1.63M","-0.66%"
"10/23/2025","1,216","1,225","1,232","1,202","1.45M","-0.65%"
"10/22/2025","1,224","1,240","1,241","1,204","1.51M","-1.05%"
"10/21/2025","1,237","1,225","1,241","1,215","4.15M","2.23%"
"10/20/2025","1,210","1,146","1,210","1,146","4.61M","4.40%"
"10/17/2025","1,159","1,174","1,175","1,146","849.02K","-1.86%"
"10/16/2025","1,181","1,180","1,184","1,130","1.12M","-0.25%"
"10/15/2025","1,184","1,181","1,201","1,165","3.84M","1.81%"
"10/14/2025","1,163","1,226","1,226","1,125","2.84M","-5.14%"
"10/13/2025","1,226","1,224","1,257","1,207","922.10K","0.57%"
"10/10/2025","1,219","1,232","1,232","1,199","1.65M","0.58%"
"10/09/2025","1,212","1,245","1,263","1,212","2.12M","-2.02%"
"10/08/2025","1,237","1,218","1,265","1,213","2.53M","1.31%"
"10/07/2025","1,221","1,261","1,261","1,209","2.38M","-2.63%"
"10/06/2025","1,254","1,342","1,342","1,241","2.63M","-5.14%"
"10/03/2025","1,322","1,295","1,340","1,273","3.25M","3.12%"
