"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","98,700","98,950","99,208","97,515","600.06K","0.66%"
"03/26/2026","98,050","96,994","98,362","96,994","349.52K","0.90%"
"03/25/2026","97,172","97,300","97,450","96,238","447.66K","-1.15%"
"03/24/2026","98,300","95,151","98,887","95,151","435.37K","2.23%"
"03/23/2026","96,159","97,382","97,953","95,500","814.18K","-1.01%"
"03/20/2026","97,138","97,351","99,000","97,138","2.36M","-0.22%"
"03/19/2026","97,350","98,000","98,967","96,921","2.18M","-0.65%"
"03/18/2026","97,991","100,508","101,768","97,991","1.04M","-3.10%"
"03/17/2026","101,128","101,200","102,700","100,521","710.98K","-1.16%"
"03/16/2026","102,313","99,500","102,740","99,500","615.14K","1.80%"
"03/13/2026","100,507","97,551","100,901","97,551","591.17K","1.14%"
"03/12/2026","99,379","95,796","99,686","95,352","749.96K","3.41%"
"03/11/2026","96,104","97,000","97,081","95,822","417.68K","-0.30%"
"03/10/2026","96,392","94,949","96,697","94,117","596.49K","0.69%"
"03/09/2026","95,728","93,601","96,474","93,601","498.94K","0.60%"
"03/06/2026","95,160","96,500","97,226","94,947","375.88K","-2.41%"
"03/05/2026","97,514","99,054","99,431","97,514","686.25K","-1.52%"
"03/04/2026","99,015","99,871","100,400","97,821","728.73K","-1.23%"
"03/03/2026","100,250","98,950","100,673","98,800","689.87K","-0.07%"
"03/02/2026","100,316","99,241","100,649","98,635","566.45K","0.72%"
"02/27/2026","99,600","99,000","99,799","97,307","637.84K","0.35%"
"02/26/2026","99,250","98,965","99,615","98,606","371.95K","0.77%"
"02/25/2026","98,490","98,440","99,099","97,329","331.37K","-0.01%"
"02/24/2026","98,503","98,800","99,728","97,271","279.19K","-1.33%"
"02/23/2026","99,832","99,300","99,832","97,678","352.06K","0.58%"
"02/20/2026","99,259","96,825","99,799","96,825","309.75K","3.10%"
"02/19/2026","96,278","95,100","96,681","94,170","608.21K","1.88%"
"02/18/2026","94,500","94,799","95,112","93,822","530.25K","0.11%"
"02/17/2026","94,400","93,150","94,862","93,136","428.65K","0.98%"
"02/16/2026","93,480","93,500","95,380","92,608","515.05K","-1.44%"
"02/13/2026","94,845","94,881","98,248","94,052","942.95K","0.36%"
"02/12/2026","94,508","96,279","97,404","92,412","1.11M","-1.34%"
"02/11/2026","95,790","95,108","96,279","94,711","569.19K","0.64%"
"02/10/2026","95,180","98,620","98,620","94,893","542.65K","-2.29%"
"02/09/2026","97,409","99,500","100,547","97,409","427.65K","-2.95%"
"02/06/2026","100,367","97,720","101,163","97,720","601.75K","1.00%"
"02/05/2026","99,374","98,101","99,870","97,527","404.61K","-0.03%"
"02/04/2026","99,399","97,150","100,175","97,150","421.62K","1.57%"
"02/03/2026","97,858","96,223","98,570","96,223","398.64K","0.48%"
"02/02/2026","97,394","96,050","98,379","96,000","1.29M","1.69%"
"01/30/2026","95,780","93,150","96,299","93,150","931.10K","0.96%"
"01/29/2026","94,865","94,799","95,236","93,496","520.16K","-0.08%"
"01/28/2026","94,940","95,100","95,418","94,339","448.71K","-0.43%"
"01/27/2026","95,350","94,999","95,816","93,611","538.01K","0.81%"
"01/26/2026","94,580","93,650","95,449","93,650","505.39K","0.15%"
"01/23/2026","94,440","93,411","94,690","92,679","653.82K","0.77%"
"01/22/2026","93,718","92,321","95,000","92,321","715.61K","1.42%"
"01/21/2026","92,403","92,281","94,334","92,122","920.00K","-0.27%"
"01/20/2026","92,650","95,441","96,268","92,650","693.98K","-3.44%"
"01/19/2026","95,948","93,601","96,409","93,601","717.79K","1.12%"
"01/16/2026","94,886","94,041","96,202","94,041","779.33K","0.41%"
"01/15/2026","94,500","92,401","95,015","92,401","818.72K","2.44%"
"01/14/2026","92,250","91,850","93,285","91,559","1.18M","0.95%"
"01/13/2026","91,380","90,601","91,966","90,601","477.48K","1.31%"
"01/12/2026","90,200","89,920","91,241","89,920","518.91K","1.19%"
"01/09/2026","89,138","89,480","89,480","88,190","324.97K","-0.29%"
"01/08/2026","89,400","88,960","89,414","87,360","288.58K","1.71%"
"01/07/2026","87,895","88,889","89,966","87,806","552.47K","-1.63%"
"01/06/2026","89,355","90,393","90,400","89,121","367.29K","-0.62%"
"01/05/2026","89,908","92,549","92,948","89,908","712.12K","-2.78%"
"01/02/2026","92,479","96,420","96,420","91,216","211.62K","-1.75%"
"12/31/2025","94,122","93,500","94,307","93,341","52.03K","0.63%"
"12/30/2025","93,532","97,000","97,000","93,357","129.81K","-0.36%"
