"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","426,113","423,998","427,176","416,313","237.73K","0.33%"
"03/25/2026","424,730","416,999","424,760","412,229","225.31K","3.57%"
"03/24/2026","410,100","408,711","410,100","403,097","211.80K","-0.03%"
"03/23/2026","410,211","405,001","419,664","399,682","247.27K","-0.24%"
"03/20/2026","411,206","410,200","427,349","410,200","461.84K","-0.67%"
"03/19/2026","413,964","419,000","419,000","406,000","664.67K","-1.20%"
"03/18/2026","419,000","420,437","430,000","415,003","246.48K","-0.34%"
"03/17/2026","420,437","421,998","422,150","412,502","329.18K","0.10%"
"03/16/2026","420,022","416,311","420,750","410,002","331.65K","1.56%"
"03/13/2026","413,585","421,186","421,186","413,502","297.17K","-1.51%"
"03/12/2026","419,915","426,566","427,994","418,215","152.63K","-2.15%"
"03/11/2026","429,150","434,000","434,010","419,782","283.59K","-1.12%"
"03/10/2026","434,000","431,444","441,356","430,132","320.10K","1.60%"
"03/09/2026","427,169","418,311","429,889","413,400","272.70K","1.47%"
"03/06/2026","421,000","453,900","453,900","420,797","511.75K","-5.89%"
"03/05/2026","447,360","456,900","457,790","445,252","206.39K","-0.64%"
"03/04/2026","450,235","444,026","453,222","440,826","221.29K","0.65%"
"03/03/2026","447,349","467,499","467,499","443,598","348.51K","-3.76%"
"03/02/2026","464,846","470,999","470,999","460,022","278.93K","-2.00%"
"02/27/2026","474,354","482,399","482,399","470,497","253.17K","-0.11%"
"02/26/2026","474,872","469,097","477,584","467,400","192.18K","1.58%"
"02/25/2026","467,500","473,746","479,097","465,528","223.61K","-1.41%"
"02/24/2026","474,200","469,346","478,205","465,005","152.26K","0.31%"
"02/23/2026","472,720","472,786","478,890","469,537","135.92K","-0.01%"
"02/20/2026","472,787","480,262","480,262","471,260","156.88K","-0.47%"
"02/19/2026","475,013","483,100","483,332","470,944","206.20K","-0.80%"
"02/18/2026","478,822","467,119","479,109","465,004","181.47K","2.49%"
"02/17/2026","467,191","467,449","469,952","462,478","114.39K","-0.06%"
"02/16/2026","467,474","468,413","471,739","465,004","151.71K","0.57%"
"02/13/2026","464,811","469,350","474,929","464,010","237.55K","-0.54%"
"02/12/2026","467,328","461,000","468,582","456,884","196.43K","1.57%"
"02/11/2026","460,100","459,999","462,467","451,800","328.05K","0.50%"
"02/10/2026","457,822","457,500","460,467","450,802","214.98K","1.23%"
"02/09/2026","452,267","449,832","452,267","442,913","198.67K","1.58%"
"02/06/2026","445,245","438,541","446,915","438,158","157.83K","0.66%"
"02/05/2026","442,318","440,488","445,082","435,117","166.66K","-0.07%"
"02/04/2026","442,625","447,658","447,658","438,230","188.12K","-0.62%"
"02/03/2026","445,394","450,000","450,025","443,735","237.16K","0.13%"
"02/02/2026","444,810","428,906","444,810","424,161","219.03K","2.23%"
"01/30/2026","435,122","443,900","446,136","433,395","323.17K","-1.98%"
"01/29/2026","443,900","443,107","448,601","440,527","193.43K","1.08%"
"01/28/2026","439,140","444,062","444,062","434,615","191.25K","-0.19%"
"01/27/2026","439,994","430,100","442,465","430,100","254.94K","1.63%"
"01/26/2026","432,947","439,999","440,006","429,649","205.72K","-0.67%"
"01/23/2026","435,858","434,829","439,937","430,138","230.75K","0.24%"
"01/22/2026","434,829","429,047","438,562","426,125","253.00K","1.53%"
"01/21/2026","428,293","422,703","431,211","420,013","212.67K","0.85%"
"01/20/2026","424,691","426,644","427,352","421,732","187.78K","-0.12%"
"01/19/2026","425,219","431,700","433,311","423,000","176.97K","-1.41%"
"01/16/2026","431,289","425,008","437,767","425,008","276.08K","0.92%"
"01/15/2026","427,358","419,938","430,064","417,860","343.86K","2.06%"
"01/14/2026","418,720","416,016","419,574","413,523","210.79K","0.37%"
"01/13/2026","417,189","419,325","419,638","413,381","236.88K","-0.57%"
"01/12/2026","419,587","420,076","427,269","415,880","167.31K","0.24%"
"01/09/2026","418,589","421,000","425,786","416,237","117.96K","-0.40%"
"01/08/2026","420,275","417,307","422,668","413,145","134.47K","0.53%"
