"Date","Price","Open","High","Low","Vol.","Change %"
"04/07/2026","177","182","182","161","10.86K","-3.28%"
"04/02/2026","183","181","183","161","75.67K","1.10%"
"04/01/2026","181","179","181","163","7.33K","0.56%"
"03/31/2026","180","183","183","161","6.33K","-2.17%"
"03/30/2026","184","155","184","155","36.79K","2.22%"
"03/27/2026","180","179","180","155","44.19K","-1.10%"
"03/26/2026","182","165","184","149","18.79K","-1.62%"
"03/25/2026","185","197","197","165","9.00K","-6.57%"
"03/24/2026","198","190","198","149","45.12K","0.51%"
"03/23/2026","197","199","199","185","2.69K","-0.51%"
"03/20/2026","198","195","199","194","20.96K","2.06%"
"03/19/2026","194","198","199","194","33.86K","-2.51%"
"03/18/2026","199","199","199","150","33.95K","-0.50%"
"03/17/2026","200","200","200","200","1.19K","0.00%"
"03/16/2026","200","200","200","199","3.69K","0.00%"
"03/13/2026","200","198","200","190","12.00K","1.01%"
"03/12/2026","198","199","199","191","19.19K","-3.88%"
"03/11/2026","206","200","206","206","","0.00%"
"03/10/2026","206","200","207","198","113.11K","18.39%"
"03/09/2026","174","170","174","135","50.97K","2.35%"
"03/06/2026","170","186","193","155","49.67K","-12.37%"
"03/05/2026","194","198","198","181","31.17K","2.11%"
"03/04/2026","190","181","190","181","4.23K","3.26%"
"03/03/2026","184","194","194","181","80.76K","-6.60%"
"03/02/2026","197","208","208","190","21.32K","-5.29%"
"02/27/2026","208","200","210","190","67.28K","-2.80%"
"02/26/2026","214","217","228","205","66.69K","-7.36%"
"02/25/2026","231","217","231","217","7.51K","-2.12%"
"02/24/2026","236","217","237","217","23.24K","-0.42%"
"02/23/2026","237","216","237","216","2.89K","0.00%"
"02/20/2026","237","238","238","216","38.14K","-0.42%"
"02/19/2026","238","223","238","220","8.33K","-0.83%"
"02/18/2026","240","227","240","227","9.78K","5.73%"
"02/17/2026","227","227","227","216","7.96K","0.00%"
"02/16/2026","227","232","232","213","17.50K","-1.30%"
"02/13/2026","230","235","235","212","6.01K","-2.54%"
"02/12/2026","236","236","236","236","2.06K","0.00%"
"02/11/2026","236","220","237","213","34.36K","-1.67%"
"02/10/2026","240","225","240","214","98.46K","0.00%"
"02/09/2026","240","252","254","230","33.25K","-4.00%"
"02/06/2026","250","230","250","230","5.98K","0.00%"
"02/05/2026","250","241","250","232","46.82K","-0.79%"
"02/04/2026","252","255","255","242","52.60K","3.28%"
"02/03/2026","244","250","255","234","86.26K","-4.31%"
"02/02/2026","255","245","255","225","46.78K","0.00%"
"01/30/2026","255","246","269","246","44.98K","-5.56%"
"01/29/2026","270","270","270","269","6.30K","0.00%"
"01/28/2026","270","264","273","253","135.18K","2.27%"
"01/27/2026","264","265","265","245","66.08K","-0.38%"
"01/26/2026","265","285","285","257","82.45K","-1.12%"
"01/23/2026","268","256","268","252","75.02K","4.69%"
"01/22/2026","256","255","274","255","337.23K","-8.57%"
"01/21/2026","280","280","284","250","170.92K","-4.11%"
"01/20/2026","292","285","299","285","58.19K","2.46%"
"01/19/2026","285","300","309","283","142.44K","-5.00%"
"01/16/2026","300","285","300","250","259.88K","3.45%"
"01/15/2026","290","362","362","252","802.76K","-21.62%"
"01/14/2026","370","400","400","354","146.06K","-5.13%"
"01/13/2026","390","465","465","370","446.24K","-14.29%"
"01/12/2026","455","540","540","425","198.94K","-6.76%"
"01/09/2026","488","400","550","398","705.42K","22.61%"
"01/08/2026","398","754","754","321","1.11M","-46.93%"
"01/07/2026","750","751","753","731","362.85K","-3.85%"
"01/06/2026","780","770","780","710","879.27K","1.96%"
"01/05/2026","765","795","795","616","1.04M","-3.77%"
"01/02/2026","795","792","795","745","281.62K","0.25%"
"12/31/2025","793","745","793","742","549.20K","2.32%"
"12/30/2025","775","759","775","715","243.24K","3.33%"
"12/29/2025","750","755","755","707","461.25K","-1.06%"
"12/24/2025","758","748","799","725","337.76K","3.55%"
"12/23/2025","732","635","800","620","523.64K","17.31%"
"12/22/2025","624","574","625","558","364.78K","8.52%"
"12/19/2025","575","544","575","520","572.02K","5.50%"
"12/18/2025","545","522","545","522","113.86K","1.87%"
"12/17/2025","535","520","535","510","175.01K","2.88%"
"12/15/2025","520","545","550","500","163.20K","1.96%"
"12/12/2025","510","500","600","480","306.30K","4.51%"
"12/11/2025","488","450","498","450","634.63K","8.44%"
"12/10/2025","450","450","500","445","149.57K","0.00%"
"12/09/2025","450","410","450","350","710.67K","7.14%"
"12/08/2025","420","420","439","409","181.81K","0.48%"
"12/05/2025","418","414","418","390","479.17K","0.72%"
"12/04/2025","415","425","425","405","99.13K","-2.35%"
"12/03/2025","425","439","439","410","216.17K","7.59%"
"12/02/2025","395","450","450","395","318.68K","-1.25%"
"12/01/2025","400","450","450","383","254.90K","-0.74%"
"11/28/2025","403","385","403","385","170.31K","4.68%"
"11/27/2025","385","380","385","374","53.59K","1.32%"
"11/26/2025","380","370","380","365","138.30K","2.70%"
"11/25/2025","370","360","370","360","167.69K","2.78%"
"11/24/2025","360","350","360","344","169.73K","2.86%"
"11/21/2025","350","340","350","335","122.61K","2.94%"
"11/20/2025","340","335","340","335","68.90K","1.49%"
"11/19/2025","335","320","335","316","160.99K","4.69%"
"11/18/2025","320","320","325","320","342.49K","-1.54%"
"11/17/2025","325","315","325","312","433.65K","2.52%"
"11/14/2025","317","308","317","301","467.94K","2.26%"
"11/13/2025","310","305","310","290","148.81K","1.64%"
"11/12/2025","305","298","305","285","124.05K","2.69%"
"11/11/2025","297","290","298","281","102.19K","2.41%"
"11/10/2025","290","283","290","278","118.78K","3.20%"
"11/07/2025","281","279","283","265","130.41K","0.36%"
"11/06/2025","280","275","280","255","122.18K","2.56%"
"11/05/2025","273","270","275","265","58.82K","-0.73%"
"11/04/2025","275","280","280","268","23.76K","0.00%"
"11/03/2025","275","268","275","260","170.63K","2.61%"
"10/31/2025","268","262","269","250","253.97K","3.08%"
"10/30/2025","260","220","260","220","181.64K","0.00%"
"10/29/2025","260","245","260","240","182.55K","4.00%"
"10/28/2025","250","239","250","234","1.35M","4.17%"
"10/27/2025","240","249","249","235","365.43K","-4.00%"
"10/24/2025","250","239","250","239","1.96K","0.00%"
"10/23/2025","250","250","250","235","22.75K","0.00%"
"10/22/2025","250","249","250","235","19.79K","0.00%"
"10/21/2025","250","245","250","230","143.75K","0.40%"
"10/20/2025","249","249","249","225","62.07K","-0.40%"
"10/17/2025","250","250","250","230","49.71K","0.00%"
"10/16/2025","250","250","250","250","0.66K","0.00%"
"10/15/2025","250","250","250","240","25.15K","-0.79%"
"10/14/2025","252","247","252","244","94.26K","0.80%"
"10/13/2025","250","235","250","232","62.35K","0.00%"
"10/10/2025","250","245","250","233","33.47K","2.04%"
"10/09/2025","245","239","245","239","66.50K","2.51%"
"10/08/2025","239","225","247","224","202.84K","6.22%"
"10/07/2025","225","220","225","219","37.79K","2.27%"
"10/06/2025","220","214","220","205","133.92K","2.80%"
"10/03/2025","214","198","214","192","217.73K","7.54%"
"10/02/2025","199","200","200","188","59.99K","-0.50%"
"10/01/2025","200","190","200","188","488.09K","1.01%"
"09/30/2025","198","195","198","188","311.09K","1.54%"
"09/29/2025","195","188","195","185","263.54K","0.52%"
"09/26/2025","194","184","194","184","61.93K","-0.51%"
"09/25/2025","195","184","198","184","283.41K","2.63%"
"09/23/2025","190","190","190","154","143.11K","-5.00%"
"09/22/2025","200","195","200","185","31.28K","2.56%"
"09/19/2025","195","190","195","185","67.75K","2.63%"
"09/18/2025","190","190","190","175","25.10K","2.15%"
"09/17/2025","186","176","186","175","322.41K","0.54%"
"09/16/2025","185","190","190","180","68.14K","0.00%"
"09/15/2025","185","185","186","180","58.17K","0.00%"
"09/12/2025","185","185","185","181","27.44K","0.00%"
"09/11/2025","185","185","185","185","12.51K","0.00%"
"09/10/2025","185","179","185","179","119.72K","-1.07%"
"09/09/2025","187","186","188","177","14.48K","1.63%"
"09/08/2025","184","179","184","172","66.04K","2.22%"
"09/05/2025","180","172","180","171","37.11K","6.51%"
"09/04/2025","169","167","169","164","71.63K","0.60%"
"09/03/2025","168","155","168","155","28.34K","1.82%"
"09/02/2025","165","165","165","155","12.74K","0.00%"
"09/01/2025","165","169","169","160","21.81K","-1.79%"
"08/29/2025","168","164","170","160","9.93K","1.82%"
"08/28/2025","165","153","165","153","1.84K","4.43%"
"08/27/2025","158","162","162","151","29.19K","-2.47%"
"08/26/2025","162","165","165","155","47.91K","-1.82%"
"08/25/2025","165","165","165","160","8.63K","0.00%"
"08/22/2025","165","150","165","150","32.07K","6.45%"
"08/21/2025","155","160","160","155","15.11K","0.65%"
"08/20/2025","154","160","160","154","17.90K","-2.53%"
"08/19/2025","158","160","160","155","71.27K","-1.25%"
"08/18/2025","160","160","160","150","19.69K","0.00%"
"08/15/2025","160","159","160","154","29.68K","0.63%"
"08/14/2025","159","162","162","154","17.45K","0.00%"
"08/13/2025","159","159","159","159","0.62K","0.00%"
