"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","29,381","30,030","30,030","28,977","653.08K","-0.40%"
"03/26/2026","29,498","29,481","29,707","28,991","1.14M","0.28%"
"03/25/2026","29,417","28,650","29,455","28,650","1.34M","3.36%"
"03/24/2026","28,461","28,851","29,476","28,461","751.53K","-1.57%"
"03/23/2026","28,914","29,149","29,684","28,502","649.97K","-0.81%"
"03/20/2026","29,149","29,131","29,985","29,090","1.99M","0.21%"
"03/19/2026","29,089","29,205","29,477","28,757","1.68M","-0.49%"
"03/18/2026","29,231","29,104","29,829","29,027","523.53K","0.44%"
"03/17/2026","29,104","29,824","29,824","29,104","1.05M","-0.90%"
"03/16/2026","29,369","29,571","29,749","29,189","687.33K","1.11%"
"03/13/2026","29,047","28,668","29,806","28,524","806.45K","0.53%"
"03/12/2026","28,895","29,583","29,583","28,752","1.07M","-2.33%"
"03/11/2026","29,583","30,450","30,450","29,389","701.11K","-0.93%"
"03/10/2026","29,862","29,500","30,320","29,500","486.12K","0.90%"
"03/09/2026","29,595","29,550","30,015","29,010","607.80K","-0.27%"
"03/06/2026","29,674","30,202","30,964","29,674","1.22M","-3.40%"
"03/05/2026","30,719","30,500","30,946","30,301","777.79K","1.15%"
"03/04/2026","30,371","29,921","30,502","29,553","663.53K","1.50%"
"03/03/2026","29,922","31,201","31,520","29,922","864.56K","-5.49%"
"03/02/2026","31,659","31,531","31,659","31,005","900.22K","-0.51%"
"02/27/2026","31,821","32,000","32,000","31,530","1.39M","0.12%"
"02/26/2026","31,782","32,480","32,480","31,424","795.04K","-0.06%"
"02/25/2026","31,800","32,000","32,500","31,750","829.96K","-1.11%"
"02/24/2026","32,157","31,811","32,329","31,799","718.63K","0.55%"
"02/23/2026","31,980","32,200","32,363","31,776","731.92K","-1.02%"
"02/20/2026","32,309","32,804","33,147","32,309","730.16K","-1.80%"
"02/19/2026","32,900","33,266","33,266","32,802","398.80K","-0.27%"
"02/18/2026","32,988","32,900","33,297","32,900","514.93K","0.14%"
"02/17/2026","32,943","32,891","33,186","32,626","677.34K","0.16%"
"02/16/2026","32,891","32,361","33,022","32,000","870.66K","1.86%"
"02/13/2026","32,289","31,885","32,643","31,885","657.96K","-0.02%"
"02/12/2026","32,297","32,000","32,426","31,752","643.14K","0.61%"
"02/11/2026","32,100","32,000","32,367","31,603","452.99K","0.31%"
"02/10/2026","32,000","32,700","32,700","31,723","549.41K","-1.15%"
"02/09/2026","32,372","32,810","32,810","32,229","636.50K","-0.58%"
"02/06/2026","32,560","32,007","32,560","31,899","766.74K","1.37%"
"02/05/2026","32,120","32,940","33,453","32,073","755.49K","-1.15%"
"02/04/2026","32,493","33,199","33,199","32,406","502.26K","-0.63%"
"02/03/2026","32,700","33,200","33,200","32,655","1.17M","0.05%"
"02/02/2026","32,685","32,500","33,186","31,970","1.23M","0.42%"
"01/30/2026","32,548","32,230","33,310","32,000","1.97M","0.96%"
"01/29/2026","32,240","32,449","32,550","31,900","1.16M","0.84%"
"01/28/2026","31,970","32,200","32,449","31,810","817.29K","-0.86%"
"01/27/2026","32,246","31,475","32,407","31,239","1.44M","4.02%"
"01/26/2026","31,000","32,026","32,026","31,000","1.10M","-1.49%"
"01/23/2026","31,470","32,466","32,697","31,470","1.39M","-3.01%"
"01/22/2026","32,447","35,465","35,768","32,121","2.71M","-6.34%"
"01/21/2026","34,645","34,793","34,949","34,345","580.88K","-1.45%"
"01/20/2026","35,154","35,143","35,500","34,861","579.84K","0.03%"
"01/19/2026","35,143","35,300","36,147","34,379","565.08K","1.38%"
"01/16/2026","34,665","34,700","35,340","34,596","706.78K","-0.19%"
"01/15/2026","34,730","34,222","34,992","34,222","570.96K","1.37%"
"01/14/2026","34,261","34,550","34,798","34,066","383.55K","-1.15%"
"01/13/2026","34,660","34,999","34,999","34,508","565.99K","-0.25%"
"01/12/2026","34,748","34,565","34,955","34,262","661.09K","0.66%"
"01/09/2026","34,519","33,736","34,860","33,711","672.93K","2.28%"
"01/08/2026","33,751","33,849","33,849","33,425","338.56K","0.27%"
"01/07/2026","33,660","33,736","33,843","33,430","470.80K","-0.23%"
"01/06/2026","33,736","33,000","33,747","32,768","542.08K","2.23%"
"01/05/2026","33,000","33,100","33,304","32,684","353.37K","-0.58%"
"01/02/2026","33,194","33,500","33,869","32,995","298.42K","-1.38%"
"12/31/2025","33,657","33,500","33,683","33,342","157.52K","0.43%"
"12/30/2025","33,514","33,911","33,911","33,514","353.15K","-0.74%"
"12/29/2025","33,763","33,300","33,816","33,300","269.72K","1.21%"
"12/24/2025","33,359","33,497","33,704","33,264","127.13K","-0.14%"
"12/23/2025","33,405","33,055","33,600","33,055","282.90K","-0.13%"
"12/22/2025","33,450","33,052","33,450","32,666","655.75K","1.20%"
"12/19/2025","33,053","33,520","33,993","33,016","2.91M","-2.13%"
"12/18/2025","33,774","33,629","34,241","33,592","2.31M","-0.20%"
"12/17/2025","33,840","33,511","34,305","33,511","766.00K","-0.47%"
"12/15/2025","34,000","33,156","34,104","33,156","421.98K","1.78%"
"12/12/2025","33,406","33,161","33,740","33,161","465.55K","-0.01%"
"12/11/2025","33,410","33,492","33,727","33,229","448.86K","-0.24%"
"12/10/2025","33,492","33,501","33,619","33,026","684.54K","-0.04%"
"12/09/2025","33,504","33,850","33,917","33,432","441.15K","-0.69%"
"12/08/2025","33,737","34,399","34,519","33,701","353.11K","-1.87%"
"12/05/2025","34,380","34,432","34,786","34,232","323.95K","-0.01%"
"12/04/2025","34,385","35,119","35,119","34,385","351.60K","-0.63%"
"12/03/2025","34,603","34,252","34,794","34,240","524.24K","0.94%"
"12/02/2025","34,281","34,250","34,720","34,245","671.14K","-0.32%"
"12/01/2025","34,391","34,500","34,898","34,184","520.30K","-0.95%"
"11/28/2025","34,720","34,644","35,572","34,644","1.35M","-1.58%"
"11/27/2025","35,277","35,152","35,803","35,040","909.03K","0.36%"
"11/26/2025","35,151","34,660","35,255","34,455","533.11K","2.09%"
"11/25/2025","34,431","34,550","35,289","33,997","820.40K","-0.57%"
"11/24/2025","34,629","36,249","36,249","34,401","1.62M","-0.49%"
"11/21/2025","34,800","35,425","35,425","34,518","477.69K","-1.81%"
"11/20/2025","35,443","34,750","35,978","34,750","544.70K","0.31%"
"11/19/2025","35,334","35,101","35,606","34,751","299.54K","0.34%"
"11/18/2025","35,213","35,915","36,005","35,173","589.95K","-1.86%"
"11/17/2025","35,880","36,455","36,455","35,462","610.39K","-0.01%"
"11/14/2025","35,883","35,865","36,231","35,659","650.08K","-0.95%"
"11/13/2025","36,226","36,330","36,400","35,727","792.54K","0.73%"
"11/12/2025","35,965","35,311","36,078","35,265","665.21K","0.94%"
"11/11/2025","35,629","35,400","35,863","35,395","484.13K","0.03%"
"11/10/2025","35,620","35,900","36,054","35,360","379.77K","-0.51%"
"11/07/2025","35,801","36,300","36,300","35,590","675.57K","-0.58%"
"11/06/2025","36,010","35,474","36,083","34,947","859.03K","1.20%"
"11/05/2025","35,582","35,144","35,582","34,501","956.19K","1.65%"
"11/04/2025","35,004","36,062","36,190","34,358","1.55M","-2.93%"
"11/03/2025","36,062","36,964","36,964","36,062","559.26K","-1.21%"
"10/31/2025","36,504","36,027","36,898","36,027","855.64K","0.27%"
"10/30/2025","36,405","36,550","37,299","36,030","814.15K","-1.12%"
"10/29/2025","36,819","37,250","37,325","36,551","726.79K","-1.08%"
