"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","3,667","3,727","3,754","3,646","1.20M","-1.61%"
"03/26/2026","3,727","3,714","3,760","3,661","1.60M","0.35%"
"03/25/2026","3,714","3,480","3,750","3,480","2.24M","6.75%"
"03/24/2026","3,479","3,348","3,479","3,342","1.38M","2.29%"
"03/23/2026","3,401","3,388","3,418","3,313","439.95K","0.74%"
"03/20/2026","3,376","3,350","3,437","3,349","1.87M","0.78%"
"03/19/2026","3,350","3,320","3,366","3,290","961.26K","0.06%"
"03/18/2026","3,348","3,405","3,436","3,337","474.04K","-1.53%"
"03/17/2026","3,400","3,350","3,415","3,350","592.60K","0.00%"
"03/16/2026","3,400","3,363","3,424","3,363","482.80K","2.13%"
"03/13/2026","3,329","3,371","3,389","3,329","527.75K","-0.72%"
"03/12/2026","3,353","3,412","3,414","3,353","1.25M","-2.47%"
"03/11/2026","3,438","3,526","3,526","3,400","422.12K","-1.77%"
"03/10/2026","3,500","3,455","3,503","3,449","960.71K","1.86%"
"03/09/2026","3,436","3,410","3,498","3,410","422.19K","-0.75%"
"03/06/2026","3,462","3,534","3,600","3,462","2.16M","-2.09%"
"03/05/2026","3,536","3,519","3,545","3,496","1.20M","0.60%"
"03/04/2026","3,515","3,460","3,530","3,420","693.73K","1.56%"
"03/03/2026","3,461","3,605","3,625","3,445","1.73M","-4.81%"
"03/02/2026","3,636","3,620","3,658","3,612","1.25M","-1.73%"
"02/27/2026","3,700","3,680","3,720","3,667","914.67K","0.54%"
"02/26/2026","3,680","3,688","3,728","3,661","2.67M","-0.05%"
"02/25/2026","3,682","3,682","3,709","3,654","1.47M","-0.08%"
"02/24/2026","3,685","3,729","3,735","3,649","1.30M","-1.18%"
"02/23/2026","3,729","3,815","3,815","3,727","1.52M","-1.87%"
"02/20/2026","3,800","3,677","3,846","3,593","3.00M","3.91%"
"02/19/2026","3,657","3,655","3,691","3,635","526.32K","-0.03%"
"02/18/2026","3,658","3,622","3,678","3,622","1.52M","0.69%"
"02/17/2026","3,633","3,607","3,662","3,598","655.93K","-0.38%"
"02/16/2026","3,647","3,613","3,670","3,613","447.10K","1.05%"
"02/13/2026","3,609","3,613","3,644","3,587","1.11M","-0.80%"
"02/12/2026","3,638","3,550","3,650","3,550","344.51K","-0.16%"
"02/11/2026","3,644","3,666","3,666","3,615","932.95K","-0.16%"
"02/10/2026","3,650","3,510","3,650","3,510","1.02M","0.86%"
"02/09/2026","3,619","3,565","3,662","3,553","875.29K","0.47%"
"02/06/2026","3,602","3,534","3,605","3,533","240.05K","1.95%"
"02/05/2026","3,533","3,583","3,630","3,519","532.98K","-1.40%"
"02/04/2026","3,583","3,699","3,699","3,583","824.45K","-0.83%"
"02/03/2026","3,613","3,675","3,675","3,597","605.60K","-1.04%"
"02/02/2026","3,651","3,528","3,673","3,528","592.14K","0.72%"
"01/30/2026","3,625","3,629","3,655","3,566","1.99M","0.00%"
"01/29/2026","3,625","3,533","3,625","3,520","700.93K","2.40%"
"01/28/2026","3,540","3,560","3,562","3,504","798.73K","-0.56%"
"01/27/2026","3,560","3,486","3,560","3,486","567.15K","1.57%"
"01/26/2026","3,505","3,600","3,619","3,495","529.10K","-2.26%"
"01/23/2026","3,586","3,499","3,586","3,488","665.89K","2.17%"
"01/22/2026","3,510","3,586","3,662","3,471","2.14M","-2.01%"
"01/21/2026","3,582","3,578","3,593","3,518","277.49K","1.02%"
"01/20/2026","3,546","3,588","3,588","3,520","825.46K","-0.28%"
"01/19/2026","3,556","3,558","3,581","3,488","664.45K","-0.89%"
"01/16/2026","3,588","3,595","3,652","3,588","1.09M","-0.33%"
"01/15/2026","3,600","3,587","3,624","3,582","663.80K","0.45%"
"01/14/2026","3,584","3,584","3,643","3,543","1.09M","-1.10%"
"01/13/2026","3,624","3,632","3,643","3,584","546.75K","-0.14%"
"01/12/2026","3,629","3,637","3,643","3,561","716.91K","0.78%"
"01/09/2026","3,601","3,589","3,668","3,535","1.19M","0.73%"
"01/08/2026","3,575","3,587","3,598","3,553","450.58K","0.03%"
"01/07/2026","3,574","3,579","3,594","3,546","355.38K","0.31%"
"01/06/2026","3,563","3,557","3,595","3,533","363.71K","0.68%"
"01/05/2026","3,539","3,543","3,575","3,511","448.34K","0.06%"
"01/02/2026","3,537","3,470","3,541","3,470","268.25K","1.06%"
"12/31/2025","3,500","3,488","3,513","3,465","105.32K","0.66%"
"12/30/2025","3,477","3,509","3,509","3,477","138.50K","-0.52%"
"12/29/2025","3,495","3,550","3,550","3,479","144.52K","0.34%"
"12/24/2025","3,483","3,460","3,488","3,452","36.22K","0.61%"
"12/23/2025","3,462","3,550","3,550","3,423","198.14K","1.32%"
"12/22/2025","3,417","3,553","3,556","3,417","1.16M","-3.83%"
"12/19/2025","3,553","3,522","3,563","3,495","2.15M","1.51%"
"12/18/2025","3,500","3,499","3,519","3,476","771.35K","0.29%"
"12/17/2025","3,490","3,490","3,524","3,475","623.81K","-0.63%"
"12/15/2025","3,512","3,480","3,520","3,466","621.93K","0.34%"
"12/12/2025","3,500","3,534","3,549","3,487","983.75K","-0.96%"
"12/11/2025","3,534","3,558","3,580","3,500","615.40K","-0.65%"
"12/10/2025","3,557","3,527","3,557","3,478","2.40M","0.85%"
