"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","25,329","25,329","25,329","25,329","0.00K","-0.30%"
"03/26/2026","25,405","25,599","25,599","25,143","879.38K","-0.98%"
"03/25/2026","25,656","24,613","25,656","24,612","1.41M","2.91%"
"03/24/2026","24,931","25,724","25,724","24,574","2.09M","0.07%"
"03/23/2026","24,913","25,119","25,297","24,283","1.41M","-0.08%"
"03/20/2026","24,934","25,300","25,713","24,934","3.33M","-1.07%"
"03/19/2026","25,204","24,680","25,557","24,299","6.44M","1.83%"
"03/18/2026","24,750","24,721","24,998","24,306","1.88M","0.12%"
"03/17/2026","24,721","24,256","24,800","24,224","1.64M","0.49%"
"03/16/2026","24,600","24,730","25,000","24,430","1.64M","-0.53%"
"03/13/2026","24,730","24,302","25,059","24,302","1.71M","-0.79%"
"03/12/2026","24,928","25,499","25,499","24,882","1.74M","-1.61%"
"03/11/2026","25,335","25,500","25,500","24,850","1.61M","0.24%"
"03/10/2026","25,274","25,200","25,596","25,030","2.26M","2.13%"
"03/09/2026","24,746","25,499","25,499","24,476","1.54M","-2.39%"
"03/06/2026","25,352","26,069","26,289","24,983","2.01M","-2.35%"
"03/05/2026","25,963","25,928","26,629","25,844","2.13M","0.58%"
"03/04/2026","25,812","25,921","26,101","25,302","1.76M","-0.43%"
"03/03/2026","25,924","25,805","26,505","25,588","2.98M","0.46%"
"03/02/2026","25,805","26,299","26,299","25,450","1.49M","-1.27%"
"02/27/2026","26,136","26,300","26,496","25,820","2.62M","-0.36%"
"02/26/2026","26,230","24,950","26,581","24,781","2.14M","7.64%"
"02/25/2026","24,368","24,232","24,534","24,026","870.41K","-0.26%"
"02/24/2026","24,432","23,862","24,500","23,825","825.64K","1.26%"
"02/23/2026","24,128","24,071","24,755","23,964","668.46K","0.15%"
"02/20/2026","24,093","24,160","24,219","23,796","798.18K","0.29%"
"02/19/2026","24,023","24,023","24,410","23,908","1.03M","-0.77%"
"02/18/2026","24,209","23,557","24,254","23,557","973.95K","2.15%"
"02/17/2026","23,699","23,500","23,848","23,422","677.37K","-0.03%"
"02/16/2026","23,706","23,200","23,800","23,200","513.82K","1.32%"
"02/13/2026","23,397","24,100","24,100","23,322","1.41M","-2.27%"
"02/12/2026","23,940","24,100","24,100","23,737","1.16M","-0.41%"
"02/11/2026","24,039","24,360","24,360","23,934","543.90K","-0.99%"
"02/10/2026","24,280","23,700","24,280","23,504","1.80M","2.85%"
"02/09/2026","23,607","24,099","24,099","23,382","1.16M","-0.81%"
"02/06/2026","23,800","23,501","23,800","23,253","1.77M","0.69%"
"02/05/2026","23,637","23,170","23,857","23,170","1.00M","-0.21%"
"02/04/2026","23,687","23,551","23,953","23,395","1.03M","-1.02%"
"02/03/2026","23,931","23,873","24,032","23,522","2.15M","0.49%"
"02/02/2026","23,814","23,104","23,949","22,779","1.64M","1.25%"
"01/30/2026","23,521","23,100","23,940","23,060","2.55M","0.52%"
"01/29/2026","23,400","23,114","23,661","22,822","1.39M","2.13%"
"01/28/2026","22,911","22,954","23,249","22,626","1.59M","-0.37%"
"01/27/2026","22,995","23,200","23,200","22,843","1.46M","0.71%"
"01/26/2026","22,833","23,005","23,143","22,654","659.23K","-0.96%"
"01/23/2026","23,054","23,204","23,204","22,551","1.86M","-0.06%"
"01/22/2026","23,068","22,643","23,408","22,635","1.35M","2.08%"
"01/21/2026","22,597","22,401","22,765","22,179","1.14M","-0.09%"
"01/20/2026","22,618","22,603","22,630","22,327","1.36M","-0.18%"
"01/19/2026","22,658","22,750","22,861","22,462","494.91K","-0.56%"
"01/16/2026","22,785","22,363","22,895","22,279","1.79M","1.72%"
"01/15/2026","22,400","22,000","22,589","22,000","1.65M","0.40%"
"01/14/2026","22,311","22,338","22,409","22,018","782.79K","-0.13%"
"01/13/2026","22,339","22,452","22,452","22,049","875.95K","-0.65%"
"01/12/2026","22,486","22,588","22,588","21,965","879.78K","-0.45%"
"01/09/2026","22,588","22,826","22,912","22,296","1.56M","-1.45%"
"01/08/2026","22,920","22,450","23,181","22,450","586.78K","0.15%"
"01/07/2026","22,886","23,379","23,379","22,423","1.30M","-0.71%"
"01/06/2026","23,050","22,871","23,183","22,659","1.15M","1.72%"
"01/05/2026","22,660","22,750","22,755","22,345","504.10K","-0.18%"
"01/02/2026","22,700","22,650","22,856","22,320","844.97K","-0.25%"
"12/31/2025","22,758","22,651","22,871","22,624","473.02K","-0.48%"
"12/30/2025","22,867","22,995","23,063","22,714","456.68K","-0.15%"
"12/29/2025","22,901","22,779","23,022","22,486","636.52K","0.39%"
"12/24/2025","22,811","22,658","23,104","22,641","336.17K","0.53%"
"12/23/2025","22,691","22,900","23,107","22,538","1.27M","-0.89%"
"12/22/2025","22,895","22,985","23,020","22,582","596.65K","-0.39%"
"12/19/2025","22,985","23,174","23,486","22,525","2.46M","-0.89%"
"12/18/2025","23,191","22,445","23,280","22,445","5.73M","1.09%"
"12/17/2025","22,940","23,198","23,218","22,481","1.95M","0.73%"
"12/15/2025","22,774","22,435","22,900","22,430","1.03M","1.55%"
"12/12/2025","22,426","23,200","23,200","22,325","1.57M","-1.18%"
"12/11/2025","22,694","23,198","23,198","22,607","1.72M","-0.76%"
"12/10/2025","22,868","23,097","23,261","22,722","1.26M","-0.68%"
"12/09/2025","23,025","22,873","23,170","22,744","1.50M","0.92%"
"12/08/2025","22,816","23,049","23,049","22,816","1.30M","-0.31%"
"12/05/2025","22,886","22,680","22,913","22,430","1.68M","2.09%"
"12/04/2025","22,417","22,000","22,620","22,000","1.59M","-0.22%"
"12/03/2025","22,466","22,579","22,579","21,952","1.27M","1.30%"
"12/02/2025","22,178","22,126","22,292","21,876","918.85K","0.09%"
"12/01/2025","22,157","21,900","22,157","21,434","1.30M","0.93%"
"11/28/2025","21,952","22,100","22,100","21,605","2.39M","0.92%"
"11/27/2025","21,751","22,143","22,143","21,492","1.38M","-1.77%"
"11/26/2025","22,143","21,601","22,362","21,601","733.90K","0.65%"
"11/25/2025","22,001","22,200","22,274","21,689","1.69M","-0.69%"
"11/24/2025","22,153","23,020","23,020","22,153","4.95M","-1.53%"
"11/21/2025","22,498","23,000","23,000","22,155","1.51M","-1.45%"
"11/20/2025","22,828","22,550","23,182","22,500","1.02M","0.21%"
"11/19/2025","22,780","22,750","22,839","22,607","947.66K","0.24%"
"11/18/2025","22,725","22,860","23,186","22,725","805.69K","-1.94%"
"11/17/2025","23,175","23,029","23,175","22,694","1.31M","2.03%"
"11/14/2025","22,713","22,976","22,976","22,439","847.00K","-1.14%"
"11/13/2025","22,975","22,599","23,132","22,434","1.20M","1.88%"
"11/12/2025","22,550","22,009","22,650","21,939","1.07M","2.45%"
"11/11/2025","22,011","22,010","22,276","21,854","950.74K","-0.02%"
"11/10/2025","22,016","21,858","22,149","21,759","637.08K","0.72%"
"11/07/2025","21,858","21,820","21,920","21,536","834.26K","0.17%"
"11/06/2025","21,821","22,200","22,200","21,585","1.46M","-0.61%"
"11/05/2025","21,955","21,500","22,076","21,500","1.15M","0.15%"
"11/04/2025","21,923","21,884","21,990","21,512","744.61K","-0.07%"
"11/03/2025","21,939","21,700","22,241","21,668","883.40K","0.73%"
"10/31/2025","21,779","21,901","22,200","21,731","971.46K","-1.51%"
"10/30/2025","22,114","22,499","22,499","21,846","706.86K","-0.55%"
"10/29/2025","22,236","22,685","22,685","22,154","899.27K","-1.51%"
"10/28/2025","22,576","21,802","22,861","21,802","1.77M","1.92%"
"10/27/2025","22,151","22,680","22,680","22,051","976.69K","-0.27%"
"10/24/2025","22,211","22,011","22,667","22,011","1.08M","-0.60%"
"10/23/2025","22,345","22,150","22,412","22,037","945.37K","0.70%"
"10/22/2025","22,189","21,529","22,280","21,529","1.39M","1.88%"
"10/21/2025","21,779","21,300","21,965","21,300","1.32M","0.94%"
"10/20/2025","21,576","21,685","21,858","21,461","880.06K","0.59%"
"10/17/2025","21,449","21,721","21,721","21,096","1.29M","-1.54%"
"10/16/2025","21,785","21,625","21,918","21,557","1.29M","0.74%"
"10/15/2025","21,625","21,399","21,669","21,233","1.84M","0.83%"
"10/14/2025","21,446","21,200","21,552","21,094","1.71M","0.73%"
"10/13/2025","21,290","21,098","21,350","20,670","1.14M","0.90%"
"10/10/2025","21,100","20,800","21,415","20,754","1.77M","1.94%"
"10/09/2025","20,699","20,006","20,762","19,834","2.31M","3.13%"
"10/08/2025","20,071","20,450","20,450","19,654","1.07M","0.03%"
"10/07/2025","20,065","20,450","20,450","19,968","1.61M","-0.72%"
"10/06/2025","20,210","20,179","20,299","19,979","1.31M","0.55%"
"10/03/2025","20,100","19,431","20,168","19,431","1.94M","1.14%"
"10/02/2025","19,874","19,950","20,190","19,764","2.30M","-0.11%"
"10/01/2025","19,895","19,800","19,914","19,329","2.07M","0.99%"
"09/30/2025","19,700","19,667","19,940","19,468","2.65M","1.11%"
"09/29/2025","19,483","19,600","19,600","18,983","1.16M","1.42%"
"09/26/2025","19,210","19,143","19,449","18,701","1.87M","1.20%"
"09/25/2025","18,983","19,609","19,610","18,959","2.52M","-3.19%"
"09/23/2025","19,609","19,600","19,700","19,431","1.14M","0.24%"
"09/22/2025","19,562","19,909","19,909","19,279","2.02M","-1.74%"
"09/19/2025","19,909","20,000","20,194","19,434","2.09M","-1.03%"
"09/18/2025","20,116","20,057","20,309","19,863","5.02M","0.05%"
"09/17/2025","20,106","20,307","20,484","20,043","1.81M","-1.02%"
"09/16/2025","20,313","21,000","21,000","20,268","1.91M","-3.02%"
"09/15/2025","20,946","21,000","21,412","20,856","1.24M","0.14%"
"09/12/2025","20,917","20,597","21,166","20,214","3.23M","2.27%"
"09/11/2025","20,453","21,601","22,892","20,431","4.34M","-9.56%"
"09/10/2025","22,616","22,612","22,886","22,355","997.75K","-0.15%"
"09/09/2025","22,650","22,300","22,700","22,300","1.65M","1.30%"
"09/08/2025","22,360","22,224","22,407","22,032","877.28K","0.61%"
"09/05/2025","22,224","22,590","22,590","21,680","982.72K","0.97%"
"09/04/2025","22,011","22,200","22,555","21,905","1.70M","-0.85%"
"09/03/2025","22,200","22,021","22,680","21,430","2.90M","4.49%"
"09/02/2025","21,246","21,511","21,511","21,000","1.33M","-0.66%"
"09/01/2025","21,388","21,900","21,900","21,288","757.43K","-1.44%"
"08/29/2025","21,700","21,600","21,843","21,600","838.08K","-0.07%"
"08/28/2025","21,716","21,650","22,010","21,650","637.16K","0.28%"
"08/27/2025","21,656","21,692","21,692","21,328","574.94K","-0.17%"
"08/26/2025","21,692","21,676","21,786","21,520","1.31M","-0.32%"
"08/25/2025","21,761","21,899","22,125","21,670","848.11K","-0.24%"
