"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","21,400","21,276","21,649","21,082","1.35M","0.63%"
"03/26/2026","21,266","21,793","21,878","21,091","679.66K","-0.86%"
"03/25/2026","21,451","22,100","22,100","21,003","840.69K","-3.08%"
"03/24/2026","22,132","21,381","22,214","21,381","965.16K","1.61%"
"03/23/2026","21,781","22,355","22,355","21,200","1.40M","-0.99%"
"03/20/2026","21,999","21,551","22,319","21,551","2.86M","2.08%"
"03/19/2026","21,550","21,300","21,830","21,295","1.63M","1.17%"
"03/18/2026","21,300","21,000","21,496","21,000","1.04M","0.73%"
"03/17/2026","21,145","21,370","21,370","21,000","708.03K","-0.26%"
"03/16/2026","21,200","20,966","21,317","20,945","561.17K","1.22%"
"03/13/2026","20,945","20,662","21,042","20,358","1.12M","1.37%"
"03/12/2026","20,662","20,600","20,769","20,310","765.80K","1.66%"
"03/11/2026","20,325","20,500","20,598","20,140","679.11K","-0.22%"
"03/10/2026","20,369","19,600","20,404","19,600","1.20M","2.07%"
"03/09/2026","19,956","19,942","20,594","19,651","549.07K","0.07%"
"03/06/2026","19,942","20,756","20,832","19,942","735.79K","-3.48%"
"03/05/2026","20,662","20,662","20,757","20,413","685.92K","1.10%"
"03/04/2026","20,438","20,500","20,880","20,100","900.71K","-0.36%"
"03/03/2026","20,512","20,592","21,447","20,490","1.05M","-0.16%"
"03/02/2026","20,545","19,950","20,671","19,812","714.41K","3.87%"
"02/27/2026","19,780","19,363","19,937","19,300","729.09K","2.15%"
"02/26/2026","19,364","19,634","19,715","19,337","250.84K","-0.39%"
"02/25/2026","19,440","19,573","19,577","19,213","277.42K","0.50%"
"02/24/2026","19,343","19,399","19,399","19,097","464.40K","-0.08%"
"02/23/2026","19,359","19,363","19,400","19,168","322.88K","1.09%"
"02/20/2026","19,150","19,307","19,400","19,003","365.08K","-0.47%"
"02/19/2026","19,241","18,999","19,544","18,999","687.44K","1.39%"
"02/18/2026","18,977","19,000","19,000","18,771","171.24K","0.93%"
"02/17/2026","18,802","18,604","18,927","18,600","320.69K","0.62%"
"02/16/2026","18,687","18,859","19,006","18,621","392.71K","0.02%"
"02/13/2026","18,683","18,990","19,031","18,626","590.85K","-1.85%"
"02/12/2026","19,035","19,499","19,499","19,001","437.50K","-1.78%"
"02/11/2026","19,379","19,196","19,592","19,140","515.90K","1.63%"
"02/10/2026","19,068","19,890","19,890","19,068","277.78K","-3.26%"
"02/09/2026","19,710","19,600","19,958","19,500","538.24K","0.19%"
"02/06/2026","19,673","19,421","19,673","19,272","230.81K","1.50%"
"02/05/2026","19,383","19,800","19,800","19,208","409.88K","-2.26%"
"02/04/2026","19,832","19,398","19,987","19,233","335.59K","2.24%"
"02/03/2026","19,398","18,947","19,561","18,947","491.14K","2.38%"
"02/02/2026","18,947","18,440","18,957","17,802","474.25K","2.76%"
"01/30/2026","18,439","19,400","19,400","18,439","801.73K","-2.95%"
"01/29/2026","19,000","19,200","19,499","18,965","753.30K","-0.40%"
"01/28/2026","19,077","18,840","19,093","18,674","584.46K","1.26%"
"01/27/2026","18,839","19,000","19,015","18,482","608.99K","-0.85%"
"01/26/2026","19,000","18,996","19,183","18,786","590.89K","0.85%"
"01/23/2026","18,840","18,688","18,871","18,512","555.14K","0.49%"
"01/22/2026","18,748","18,750","18,774","18,242","527.75K","0.80%"
"01/21/2026","18,600","18,500","19,097","18,489","639.44K","0.81%"
"01/20/2026","18,451","18,500","18,619","18,102","658.68K","-0.21%"
"01/19/2026","18,489","18,200","18,596","18,200","192.29K","-0.14%"
"01/16/2026","18,515","18,973","18,973","18,264","486.19K","-1.11%"
"01/15/2026","18,722","19,100","19,100","18,500","601.15K","-1.46%"
"01/14/2026","19,000","18,999","19,075","18,491","192.42K","0.67%"
"01/13/2026","18,873","19,073","19,073","18,641","224.50K","-0.88%"
"01/12/2026","19,040","18,800","19,069","18,641","278.48K","0.74%"
"01/09/2026","18,900","18,800","19,065","18,771","300.30K","1.02%"
"01/08/2026","18,710","18,001","18,753","18,001","341.24K","-0.52%"
"01/07/2026","18,807","18,799","18,863","18,376","392.45K","1.56%"
"01/06/2026","18,518","18,476","18,787","18,200","523.31K","0.23%"
"01/05/2026","18,475","18,299","18,499","18,022","345.61K","1.99%"
"01/02/2026","18,114","18,200","18,260","17,713","157.70K","1.20%"
"12/31/2025","17,900","17,825","18,145","17,703","116.97K","0.78%"
"12/30/2025","17,761","17,950","18,015","17,612","181.51K","-0.63%"
"12/29/2025","17,873","17,481","18,088","17,481","175.84K","0.66%"
"12/24/2025","17,756","17,480","17,830","17,480","24.38K","0.14%"
"12/23/2025","17,731","17,227","17,731","17,227","161.17K","1.65%"
"12/22/2025","17,443","17,332","17,535","17,260","123.26K","0.64%"
"12/19/2025","17,332","17,400","17,548","17,003","1.50M","-0.18%"
"12/18/2025","17,364","17,365","17,402","17,147","356.83K","1.27%"
"12/17/2025","17,147","17,188","17,319","16,916","505.48K","0.37%"
"12/15/2025","17,084","17,396","17,396","17,084","283.38K","-1.79%"
"12/12/2025","17,396","17,000","17,602","17,000","320.57K","1.13%"
"12/11/2025","17,202","16,869","17,337","16,869","280.20K","0.49%"
"12/10/2025","17,118","17,285","17,285","16,864","259.38K","1.22%"
"12/09/2025","16,912","17,069","17,220","16,833","625.94K","-1.45%"
"12/08/2025","17,160","16,910","17,218","16,910","297.73K","0.06%"
"12/05/2025","17,150","17,000","17,536","16,924","804.81K","-0.98%"
"12/04/2025","17,320","17,784","17,784","17,314","506.04K","-2.61%"
"12/03/2025","17,784","17,229","17,784","17,220","504.09K","3.23%"
"12/02/2025","17,228","17,200","17,583","16,422","835.84K","-1.68%"
"12/01/2025","17,523","17,555","17,580","17,240","1.14M","0.75%"
"11/28/2025","17,392","17,702","17,748","17,201","1.15M","-2.01%"
"11/27/2025","17,749","17,808","17,868","17,656","402.26K","-0.33%"
"11/26/2025","17,808","17,999","18,399","17,402","481.29K","0.62%"
"11/25/2025","17,698","17,618","17,860","17,458","676.16K","0.52%"
"11/24/2025","17,607","18,000","18,411","17,501","924.11K","-2.47%"
"11/21/2025","18,052","18,366","18,613","17,990","589.36K","-4.10%"
"11/20/2025","18,823","18,301","18,849","18,301","746.27K","2.94%"
"11/19/2025","18,286","17,811","18,317","17,811","230.23K","2.40%"
"11/18/2025","17,857","18,200","18,200","17,708","419.97K","-2.43%"
"11/17/2025","18,301","18,195","18,392","18,195","422.36K","-0.27%"
"11/14/2025","18,350","18,100","18,574","18,100","246.50K","-1.20%"
"11/13/2025","18,572","18,750","18,833","18,551","238.99K","-0.68%"
"11/12/2025","18,700","18,650","18,750","18,449","634.51K","0.73%"
