"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","8,804","8,940","8,962","8,771","15.43M","-2.30%"
"03/25/2026","9,011","8,775","9,011","8,708","12.77M","4.19%"
"03/24/2026","8,649","8,748","8,771","8,581","10.47M","-1.55%"
"03/23/2026","8,785","8,600","9,027","8,475","14.35M","0.68%"
"03/20/2026","8,726","8,705","8,994","8,703","25.77M","0.06%"
"03/19/2026","8,721","8,850","8,899","8,576","35.11M","-1.56%"
"03/18/2026","8,859","8,985","9,185","8,772","12.35M","-1.75%"
"03/17/2026","9,017","8,930","9,017","8,825","20.68M","1.14%"
"03/16/2026","8,915","8,765","8,942","8,750","15.52M","1.31%"
"03/13/2026","8,800","8,795","8,885","8,680","11.72M","-0.01%"
"03/12/2026","8,801","8,967","8,967","8,771","11.16M","-2.41%"
"03/11/2026","9,018","9,079","9,178","8,862","20.64M","-0.66%"
"03/10/2026","9,078","8,971","9,165","8,963","25.62M","2.73%"
"03/09/2026","8,837","8,596","8,837","8,506","19.50M","1.62%"
"03/06/2026","8,696","9,274","9,300","8,620","18.24M","-6.23%"
"03/05/2026","9,274","9,499","9,526","9,206","16.36M","0.11%"
"03/04/2026","9,264","9,172","9,344","9,110","15.49M","1.00%"
"03/03/2026","9,172","9,608","9,647","9,172","15.76M","-4.36%"
"03/02/2026","9,590","9,715","9,782","9,523","13.60M","-3.32%"
"02/27/2026","9,919","10,011","10,084","9,836","18.40M","-0.33%"
"02/26/2026","9,952","9,700","10,002","9,500","10.06M","2.31%"
"02/25/2026","9,727","9,875","9,920","9,708","8.25M","-1.46%"
"02/24/2026","9,871","9,895","9,895","9,632","8.59M","1.31%"
"02/23/2026","9,743","9,785","9,954","9,711","8.89M","-0.62%"
"02/20/2026","9,804","9,762","9,847","9,741","8.15M","0.32%"
"02/19/2026","9,773","9,827","9,868","9,660","12.75M","-0.35%"
"02/18/2026","9,807","9,535","9,867","9,535","12.26M","2.90%"
"02/17/2026","9,531","9,520","9,596","9,474","7.04M","-0.59%"
"02/16/2026","9,588","9,500","9,638","9,464","7.75M","0.93%"
"02/13/2026","9,500","9,519","9,672","9,429","12.91M","-0.44%"
"02/12/2026","9,542","9,500","9,550","9,440","7.74M","0.34%"
"02/11/2026","9,510","9,425","9,551","9,371","13.19M","0.40%"
"02/10/2026","9,472","9,420","9,521","9,310","12.37M","1.19%"
"02/09/2026","9,361","9,450","9,540","9,305","11.07M","-0.68%"
"02/06/2026","9,425","9,301","9,452","9,301","9.27M","0.88%"
"02/05/2026","9,343","9,399","9,436","9,288","8.17M","-0.03%"
"02/04/2026","9,346","9,413","9,421","9,272","10.18M","-0.71%"
"02/03/2026","9,413","9,417","9,549","9,230","15.88M","0.11%"
"02/02/2026","9,403","9,106","9,459","8,951","16.56M","1.61%"
"01/30/2026","9,254","9,250","9,438","9,190","26.12M","-0.53%"
"01/29/2026","9,303","9,275","9,424","9,184","10.06M","1.28%"
"01/28/2026","9,185","9,316","9,316","9,100","12.58M","-1.15%"
"01/27/2026","9,292","9,191","9,292","9,150","12.47M","1.87%"
"01/26/2026","9,121","9,110","9,182","9,011","7.33M","-0.25%"
"01/23/2026","9,144","9,390","9,390","9,081","11.50M","-1.53%"
"01/22/2026","9,286","9,050","9,348","9,050","11.95M","2.65%"
"01/21/2026","9,046","9,034","9,074","8,935","11.11M","0.18%"
"01/20/2026","9,030","9,099","9,099","8,977","8.27M","-0.63%"
"01/19/2026","9,087","8,976","9,115","8,976","2.85M","-0.32%"
"01/16/2026","9,116","9,150","9,198","9,059","17.26M","-0.19%"
"01/15/2026","9,133","8,931","9,133","8,931","10.83M","1.37%"
"01/14/2026","9,010","9,004","9,095","8,911","8.32M","-0.32%"
"01/13/2026","9,039","9,071","9,116","9,000","8.21M","-0.67%"
"01/12/2026","9,100","9,074","9,119","8,885","9.57M","0.00%"
"01/09/2026","9,100","9,160","9,264","9,100","10.59M","-1.27%"
"01/08/2026","9,217","9,158","9,260","9,110","8.01M","0.64%"
"01/07/2026","9,158","9,230","9,277","9,135","14.39M","-0.49%"
"01/06/2026","9,203","8,955","9,264","8,955","10.62M","2.27%"
"01/05/2026","8,999","9,025","9,092","8,918","6.46M","-0.71%"
"01/02/2026","9,063","9,011","9,098","8,926","4.31M","-0.13%"
"12/31/2025","9,075","9,100","9,100","9,016","2.56M","0.28%"
"12/30/2025","9,050","9,100","9,142","9,044","5.34M","-0.12%"
"12/29/2025","9,061","9,015","9,162","9,000","3.77M","-0.02%"
"12/24/2025","9,063","9,000","9,077","8,921","1.92M","1.07%"
"12/23/2025","8,967","8,751","8,988","8,751","3.71M","1.79%"
"12/22/2025","8,809","8,940","8,951","8,758","5.98M","-1.71%"
"12/19/2025","8,962","8,860","8,987","8,818","30.32M","0.29%"
"12/18/2025","8,936","8,928","9,094","8,896","44.88M","0.09%"
"12/17/2025","8,928","8,792","8,950","8,671","12.15M","2.05%"
"12/15/2025","8,749","8,571","8,777","8,571","9.24M","1.86%"
"12/12/2025","8,589","8,639","8,781","8,589","11.83M","-1.12%"
"12/11/2025","8,686","8,695","8,855","8,661","11.55M","-0.02%"
"12/10/2025","8,688","8,613","8,688","8,599","6.32M","0.53%"
"12/09/2025","8,642","8,560","8,687","8,551","9.13M","0.96%"
"12/08/2025","8,560","8,686","8,688","8,536","6.29M","-1.31%"
"12/05/2025","8,674","8,650","8,730","8,590","9.15M","0.64%"
"12/04/2025","8,619","8,537","8,623","8,481","13.16M","1.13%"
"12/03/2025","8,523","8,221","8,550","8,221","11.16M","2.26%"
"12/02/2025","8,335","8,147","8,437","8,147","8.70M","1.65%"
"12/01/2025","8,200","8,122","8,214","8,052","12.98M","0.65%"
"11/28/2025","8,147","8,125","8,166","8,089","18.69M","0.58%"
"11/27/2025","8,100","8,175","8,349","8,076","6.59M","-2.00%"
"11/26/2025","8,265","8,193","8,349","8,161","8.12M","1.91%"
"11/25/2025","8,110","8,194","8,200","8,059","10.34M","-0.67%"
"11/24/2025","8,165","8,250","8,250","8,068","20.47M","0.16%"
"11/21/2025","8,152","8,158","8,178","8,040","17.02M","-0.86%"
"11/20/2025","8,223","8,250","8,429","8,200","12.46M","0.10%"
"11/19/2025","8,215","8,211","8,283","8,197","7.18M","0.06%"
"11/18/2025","8,210","8,400","8,436","8,210","10.88M","-2.84%"
"11/17/2025","8,450","8,393","8,495","8,387","11.01M","1.23%"
"11/14/2025","8,347","8,315","8,464","8,291","10.54M","-0.80%"
"11/13/2025","8,414","8,200","8,549","8,148","16.13M","3.18%"
"11/12/2025","8,155","8,020","8,198","7,969","12.84M","1.61%"
"11/11/2025","8,026","8,076","8,174","8,026","13.77M","-0.80%"
"11/10/2025","8,091","8,055","8,143","8,027","10.63M","0.63%"
"11/07/2025","8,040","8,043","8,103","7,833","13.09M","-0.81%"
"11/06/2025","8,106","8,250","8,250","7,915","24.67M","-1.66%"
"11/05/2025","8,243","8,135","8,243","8,050","10.19M","1.09%"
"11/04/2025","8,154","8,200","8,235","8,034","7.47M","-1.15%"
"11/03/2025","8,249","8,230","8,303","8,215","6.08M","0.32%"
"10/31/2025","8,223","8,231","8,275","8,101","10.45M","-0.06%"
"10/30/2025","8,228","8,440","8,440","8,195","9.46M","-1.44%"
"10/29/2025","8,348","8,399","8,474","8,267","13.78M","0.22%"
"10/28/2025","8,330","8,164","8,400","8,127","17.64M","2.03%"
"10/27/2025","8,164","8,305","8,364","8,117","11.72M","-1.57%"
"10/24/2025","8,294","8,290","8,381","8,200","11.57M","-0.24%"
"10/23/2025","8,314","8,295","8,322","8,175","12.53M","-0.31%"
"10/22/2025","8,340","8,150","8,371","8,150","23.83M","1.46%"
"10/21/2025","8,220","8,115","8,276","8,115","20.53M","0.64%"
"10/20/2025","8,168","8,005","8,185","7,995","13.29M","2.16%"
"10/17/2025","7,995","7,900","8,059","7,855","10.89M","0.46%"
"10/16/2025","7,958","7,982","8,071","7,940","8.76M","-0.38%"
"10/15/2025","7,988","8,063","8,100","7,977","13.12M","-0.57%"
"10/14/2025","8,034","8,020","8,110","7,980","14.26M","-0.81%"
"10/13/2025","8,100","8,150","8,150","7,992","9.49M","-0.36%"
"10/10/2025","8,129","8,033","8,200","8,013","17.23M","0.63%"
"10/09/2025","8,078","7,760","8,100","7,717","16.76M","3.31%"
"10/08/2025","7,819","7,925","8,011","7,709","18.82M","-3.59%"
"10/07/2025","8,110","8,130","8,149","8,003","15.47M","0.17%"
"10/06/2025","8,096","7,978","8,179","7,905","12.94M","1.66%"
"10/03/2025","7,964","7,810","7,964","7,798","8.80M","1.97%"
"10/02/2025","7,810","7,781","7,874","7,769","10.77M","0.45%"
"10/01/2025","7,775","7,766","7,837","7,716","13.24M","0.12%"
"09/30/2025","7,766","7,755","7,804","7,696","17.61M","-0.06%"
"09/29/2025","7,771","7,810","7,831","7,728","11.66M","-0.78%"
"09/26/2025","7,832","7,866","7,928","7,762","9.99M","-0.55%"
"09/25/2025","7,875","8,013","8,050","7,847","16.92M","-1.88%"
"09/23/2025","8,026","7,933","8,043","7,933","11.25M","0.75%"
"09/22/2025","7,966","8,090","8,095","7,887","12.14M","-1.64%"
"09/19/2025","8,099","8,177","8,198","7,962","22.45M","-0.50%"
"09/18/2025","8,140","7,960","8,172","7,960","37.57M","1.67%"
"09/17/2025","8,006","8,026","8,026","7,924","8.92M","-0.29%"
"09/16/2025","8,029","7,925","8,035","7,851","8.67M","1.16%"
"09/15/2025","7,937","8,091","8,135","7,937","9.80M","-2.01%"
"09/12/2025","8,100","7,915","8,145","7,830","18.61M","2.44%"
"09/11/2025","7,907","7,530","7,978","7,526","17.59M","6.38%"
"09/10/2025","7,433","7,400","7,474","7,399","7.41M","0.30%"
"09/09/2025","7,411","7,413","7,464","7,398","12.21M","-0.03%"
"09/08/2025","7,413","7,422","7,433","7,325","8.89M","0.72%"
"09/05/2025","7,360","7,273","7,404","7,235","10.45M","2.35%"
"09/04/2025","7,191","7,250","7,344","7,191","18.11M","-0.83%"
"09/03/2025","7,251","7,440","7,445","7,200","13.39M","-1.83%"
"09/02/2025","7,386","7,479","7,479","7,330","12.55M","-0.67%"
"09/01/2025","7,436","7,473","7,560","7,419","7.81M","-0.07%"
"08/29/2025","7,441","7,565","7,660","7,441","12.57M","-2.31%"
"08/28/2025","7,617","7,500","7,645","7,500","8.67M","1.14%"
"08/27/2025","7,531","7,482","7,541","7,433","8.06M","0.65%"
"08/26/2025","7,482","7,650","7,717","7,482","20.64M","-2.89%"
"08/25/2025","7,705","7,810","7,840","7,688","5.65M","-1.31%"
"08/22/2025","7,807","7,685","7,807","7,685","8.07M","1.63%"
