"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","6,918","7,000","7,196","6,802","1.52M","-3.27%"
"03/26/2026","7,152","7,204","7,251","7,034","1.24M","-0.96%"
"03/25/2026","7,221","7,119","7,245","6,961","1.09M","2.57%"
"03/24/2026","7,040","7,046","7,108","6,916","1.04M","0.34%"
"03/23/2026","7,016","7,193","7,193","6,677","1.73M","0.23%"
"03/20/2026","7,000","6,676","7,167","6,676","4.04M","2.17%"
"03/19/2026","6,851","6,652","6,851","6,561","1.89M","1.27%"
"03/18/2026","6,765","6,916","7,116","6,710","902.94K","-2.07%"
"03/17/2026","6,908","7,149","7,149","6,904","1.61M","-2.39%"
"03/16/2026","7,077","7,329","7,369","7,077","2.25M","-3.28%"
"03/13/2026","7,317","7,523","7,696","7,317","1.92M","-5.57%"
"03/12/2026","7,749","7,511","7,821","7,401","2.36M","-0.42%"
"03/11/2026","7,782","7,854","7,854","7,537","1.33M","0.54%"
"03/10/2026","7,740","7,543","7,780","7,397","1.72M","4.85%"
"03/09/2026","7,382","7,395","7,476","7,234","1.72M","-1.65%"
"03/06/2026","7,506","7,901","7,901","7,425","1.90M","-4.05%"
"03/05/2026","7,823","7,900","8,111","7,730","949.33K","-0.36%"
"03/04/2026","7,851","7,880","8,118","7,835","1.40M","-0.43%"
"03/03/2026","7,885","8,360","8,458","7,885","2.90M","-7.02%"
"03/02/2026","8,480","8,530","8,598","8,372","1.67M","-2.77%"
"02/27/2026","8,722","8,588","8,815","8,342","1.85M","2.18%"
"02/26/2026","8,536","8,174","8,578","8,174","1.23M","3.20%"
"02/25/2026","8,271","8,468","8,468","8,210","785.26K","-1.27%"
"02/24/2026","8,377","8,100","8,482","8,100","741.77K","-0.79%"
"02/23/2026","8,444","8,100","8,477","8,100","1.79M","3.48%"
"02/20/2026","8,160","8,208","8,209","8,030","657.63K","0.32%"
"02/19/2026","8,134","8,322","8,322","8,134","595.59K","-0.99%"
"02/18/2026","8,215","8,094","8,235","8,071","638.95K","1.51%"
"02/17/2026","8,093","8,126","8,147","8,024","363.78K","0.16%"
"02/16/2026","8,080","8,249","8,331","8,045","682.07K","-1.75%"
"02/13/2026","8,224","7,885","8,380","7,885","1.54M","0.54%"
"02/12/2026","8,180","7,885","8,180","7,885","695.61K","2.63%"
"02/11/2026","7,970","8,005","8,033","7,830","1.13M","-0.67%"
"02/10/2026","8,024","8,120","8,120","8,023","1.35M","-0.69%"
"02/09/2026","8,080","8,161","8,245","8,037","2.02M","-0.82%"
"02/06/2026","8,147","8,185","8,187","8,049","1.75M","-0.43%"
"02/05/2026","8,182","8,318","8,585","8,072","3.23M","-2.72%"
"02/04/2026","8,411","8,490","8,588","8,138","4.16M","-1.52%"
"02/03/2026","8,541","8,550","8,630","8,362","3.01M","-0.02%"
"02/02/2026","8,543","8,323","8,598","8,255","2.98M","1.18%"
"01/30/2026","8,443","8,408","8,800","8,310","2.25M","0.81%"
"01/29/2026","8,375","8,599","8,895","8,375","2.03M","-2.66%"
"01/28/2026","8,604","8,433","8,632","8,409","1.28M","1.58%"
"01/27/2026","8,470","8,360","8,597","8,360","934.78K","0.36%"
"01/26/2026","8,440","8,609","8,700","8,424","1.36M","-1.91%"
"01/23/2026","8,604","8,890","9,223","8,604","1.68M","-3.28%"
"01/22/2026","8,896","8,997","9,277","8,896","3.06M","0.16%"
"01/21/2026","8,882","8,661","9,048","8,541","2.42M","2.50%"
"01/20/2026","8,665","8,520","8,671","8,359","1.95M","2.86%"
"01/19/2026","8,424","8,451","8,518","8,311","1.15M","-1.05%"
"01/16/2026","8,513","8,474","8,578","8,440","1.19M","0.47%"
"01/15/2026","8,473","8,499","8,644","8,440","2.06M","0.27%"
"01/14/2026","8,450","8,400","8,515","8,311","2.25M","0.17%"
"01/13/2026","8,436","8,421","8,476","8,360","748.43K","-0.09%"
"01/12/2026","8,444","8,465","8,568","8,400","913.34K","-0.71%"
"01/09/2026","8,504","8,321","8,610","8,321","1.21M","2.16%"
"01/08/2026","8,324","8,505","8,541","8,321","1.01M","-2.07%"
"01/07/2026","8,500","8,380","8,562","8,305","1.17M","2.25%"
"01/06/2026","8,313","8,385","8,385","8,200","936.43K","1.08%"
"01/05/2026","8,224","8,335","8,376","8,135","895.12K","-1.40%"
"01/02/2026","8,341","8,349","8,431","8,205","404.41K","-0.64%"
"12/31/2025","8,395","8,400","8,461","8,350","376.95K","0.62%"
"12/30/2025","8,343","8,301","8,419","8,234","1.03M","-1.21%"
"12/29/2025","8,445","8,408","8,471","8,362","697.14K","1.44%"
"12/24/2025","8,325","8,285","8,399","8,285","69.42K","0.42%"
"12/23/2025","8,290","8,334","8,377","8,262","729.46K","-0.49%"
"12/22/2025","8,331","8,438","8,456","8,258","1.14M","-1.27%"
"12/19/2025","8,438","8,596","8,596","8,306","2.38M","-1.53%"
"12/18/2025","8,569","8,447","8,692","8,364","2.31M","2.16%"
"12/17/2025","8,388","8,237","8,453","8,182","1.03M","1.06%"
"12/15/2025","8,300","8,145","8,335","8,136","1.34M","1.90%"
"12/12/2025","8,145","7,921","8,175","7,921","1.50M","2.07%"
"12/11/2025","7,980","8,020","8,020","7,826","1.14M","0.62%"
"12/10/2025","7,931","8,200","8,200","7,901","1.40M","-2.46%"
"12/09/2025","8,131","8,188","8,243","8,110","1.73M","-0.84%"
"12/08/2025","8,200","8,251","8,328","8,150","880.61K","-1.13%"
"12/05/2025","8,294","8,401","8,419","8,275","856.91K","-0.53%"
"12/04/2025","8,338","8,380","8,433","8,259","1.11M","0.01%"
"12/03/2025","8,337","8,150","8,382","8,150","1.00M","1.86%"
"12/02/2025","8,185","8,320","8,364","8,178","1.07M","-0.90%"
"12/01/2025","8,259","8,439","8,439","8,108","2.03M","-1.15%"
"11/28/2025","8,355","8,480","8,519","8,323","996.38K","-1.60%"
"11/27/2025","8,491","8,502","8,670","8,420","1.06M","-0.11%"
"11/26/2025","8,500","8,450","8,693","8,395","1.95M","2.10%"
"11/25/2025","8,325","8,229","8,400","8,155","1.65M","1.18%"
"11/24/2025","8,228","8,360","8,528","8,117","1.96M","-2.63%"
"11/21/2025","8,450","8,747","8,841","8,400","2.01M","-3.35%"
"11/20/2025","8,743","8,552","8,812","8,552","1.22M","2.26%"
"11/19/2025","8,550","8,576","8,697","8,474","2.24M","-0.29%"
"11/18/2025","8,575","8,622","8,777","8,536","2.37M","-1.23%"
"11/17/2025","8,682","8,799","8,799","8,546","1.49M","0.70%"
"11/14/2025","8,622","8,800","8,803","8,498","1.73M","-1.96%"
"11/13/2025","8,794","8,420","8,794","8,286","2.81M","4.43%"
"11/12/2025","8,421","8,479","8,487","8,248","2.26M","0.21%"
"11/11/2025","8,403","8,692","8,692","8,333","1.75M","-1.36%"
"11/10/2025","8,519","8,693","8,693","8,412","1.80M","0.77%"
"11/07/2025","8,454","8,900","9,066","8,270","3.83M","-6.42%"
"11/06/2025","9,034","9,000","9,125","8,954","2.09M","-0.64%"
"11/05/2025","9,092","8,601","9,092","8,521","6.23M","5.21%"
"11/04/2025","8,642","8,930","8,938","8,558","4.43M","-3.44%"
"11/03/2025","8,950","9,212","9,309","8,938","1.66M","-2.82%"
"10/31/2025","9,210","9,357","9,418","9,210","2.34M","-1.57%"
"10/30/2025","9,357","9,840","9,840","9,328","2.72M","-1.30%"
"10/29/2025","9,480","9,540","9,699","9,450","2.10M","-0.63%"
"10/28/2025","9,540","9,686","9,846","9,540","2.95M","-1.56%"
"10/27/2025","9,691","9,950","10,145","9,691","3.22M","-2.29%"
"10/24/2025","9,918","9,837","10,058","9,715","1.94M","0.82%"
"10/23/2025","9,837","9,985","10,045","9,633","3.69M","-0.45%"
"10/22/2025","9,881","10,108","10,369","9,881","5.18M","-2.20%"
"10/21/2025","10,103","12,000","12,387","9,675","13.76M","-16.64%"
"10/20/2025","12,119","12,069","12,194","11,951","1.66M","1.93%"
"10/17/2025","11,890","11,790","12,033","11,689","1.65M","0.81%"
"10/16/2025","11,794","11,687","11,873","11,687","796.96K","0.92%"
"10/15/2025","11,687","11,600","11,816","11,600","999.61K","1.01%"
"10/14/2025","11,570","11,900","11,900","11,430","1.46M","0.09%"
"10/13/2025","11,560","11,550","11,638","11,353","708.59K","0.23%"
"10/10/2025","11,533","11,498","12,000","11,367","1.84M","0.29%"
"10/09/2025","11,500","11,191","11,555","11,191","1.36M","2.29%"
"10/08/2025","11,242","11,445","11,445","11,117","915.67K","0.40%"
"10/07/2025","11,197","11,199","11,393","11,166","712.50K","-0.56%"
"10/06/2025","11,260","11,122","11,295","11,035","1.06M","1.62%"
"10/03/2025","11,081","10,837","11,126","10,837","1.13M","1.74%"
"10/02/2025","10,891","10,881","11,160","10,819","1.44M","-1.08%"
"10/01/2025","11,010","10,700","11,010","10,700","1.55M","0.91%"
"09/30/2025","10,911","10,813","11,060","10,797","1.80M","-0.32%"
"09/29/2025","10,946","10,800","11,187","10,800","1.45M","-0.70%"
"09/26/2025","11,023","11,315","11,315","10,935","1.21M","-0.13%"
"09/25/2025","11,037","11,166","11,169","10,881","1.59M","-1.16%"
"09/23/2025","11,166","11,000","11,211","11,000","758.72K","0.89%"
"09/22/2025","11,068","11,452","11,452","11,043","823.76K","-2.08%"
"09/19/2025","11,303","10,930","11,398","10,930","3.77M","-0.08%"
"09/18/2025","11,312","11,515","11,515","11,180","2.68M","0.55%"
"09/17/2025","11,250","11,499","11,499","10,902","971.04K","1.27%"
"09/16/2025","11,109","11,300","11,300","10,997","818.15K","-0.93%"
"09/15/2025","11,213","11,119","11,457","11,119","1.44M","-0.56%"
"09/12/2025","11,276","11,020","11,389","10,980","1.80M","2.32%"
"09/11/2025","11,020","10,601","11,020","10,601","1.36M","2.14%"
"09/10/2025","10,789","10,610","10,812","10,555","1.26M","0.58%"
"09/09/2025","10,727","10,794","10,877","10,645","1.20M","-0.48%"
"09/08/2025","10,779","10,500","10,860","10,500","734.25K","1.53%"
"09/05/2025","10,617","10,486","10,758","10,486","888.03K","0.60%"
"09/04/2025","10,554","10,370","10,630","10,370","771.09K","1.49%"
"09/03/2025","10,399","10,424","10,520","10,267","835.03K","-0.29%"
"09/02/2025","10,429","10,600","10,695","10,419","1.05M","-1.94%"
"09/01/2025","10,635","10,770","10,862","10,635","1.03M","-2.27%"
"08/29/2025","10,882","11,000","11,000","10,770","857.64K","0.13%"
"08/28/2025","10,868","10,875","11,050","10,820","1.34M","-0.62%"
"08/27/2025","10,936","11,084","11,084","10,835","637.68K","0.62%"
"08/26/2025","10,869","10,910","11,005","10,800","1.77M","-0.59%"
"08/25/2025","10,934","11,182","11,223","10,904","682.31K","-1.91%"
"08/22/2025","11,147","11,118","11,192","11,014","868.28K","0.28%"
"08/21/2025","11,116","11,001","11,193","11,001","1.17M","-0.24%"
"08/20/2025","11,143","10,801","11,181","10,801","2.35M","1.29%"
"08/19/2025","11,001","10,900","11,073","10,771","1.51M","2.35%"
"08/18/2025","10,748","10,831","10,916","10,644","1.29M","-0.76%"
"08/15/2025","10,830","10,800","10,867","10,704","1.73M","0.28%"
"08/14/2025","10,800","10,903","10,963","10,759","1.37M","-0.94%"
"08/13/2025","10,903","10,901","11,022","10,847","1.85M","0.28%"
"08/12/2025","10,873","10,700","10,895","10,700","2.90M","1.07%"
"08/11/2025","10,758","11,100","11,101","10,609","5.04M","-3.08%"
"08/08/2025","11,100","11,200","11,215","10,998","3.38M","-1.38%"
"08/07/2025","11,255","11,450","11,637","10,872","4.86M","-5.72%"
"08/06/2025","11,938","11,921","12,032","11,800","1.05M","-0.02%"
"08/05/2025","11,940","12,100","12,271","11,919","1.70M","-0.16%"
"08/04/2025","11,959","12,240","12,240","11,838","1.15M","-0.34%"
"08/01/2025","12,000","12,310","12,312","11,945","2.57M","-2.45%"
"07/31/2025","12,301","12,313","12,637","12,146","3.43M","-1.65%"
"07/30/2025","12,508","12,300","12,694","12,271","1.95M","1.28%"
"07/29/2025","12,350","12,300","12,464","12,196","1.62M","1.22%"
"07/28/2025","12,201","12,389","12,389","12,111","1.40M","0.01%"
"07/25/2025","12,200","12,520","12,585","12,161","2.03M","-2.92%"
"07/24/2025","12,567","12,649","12,855","12,536","1.29M","-0.66%"
"07/23/2025","12,650","12,750","12,930","12,530","2.12M","-0.99%"
"07/22/2025","12,776","12,900","13,513","12,641","1.67M","0.20%"
"07/21/2025","12,750","13,150","13,334","12,550","1.67M","-3.54%"
"07/18/2025","13,218","12,860","13,230","12,860","626.04K","1.61%"
"07/17/2025","13,008","13,050","13,050","12,842","660.24K","0.02%"
"07/16/2025","13,006","12,764","13,021","12,442","983.09K","0.78%"
"07/15/2025","12,905","12,700","13,116","12,700","1.21M","0.43%"
"07/14/2025","12,850","13,049","13,161","12,772","745.55K","-2.28%"
"07/11/2025","13,150","13,400","13,400","13,011","2.32M","-1.08%"
"07/10/2025","13,293","13,289","13,400","13,240","1.05M","-0.22%"
"07/09/2025","13,322","13,158","13,399","13,143","499.23K","0.85%"
"07/08/2025","13,210","13,519","13,519","13,037","932.36K","-0.29%"
"07/07/2025","13,249","13,125","13,700","13,125","1.40M","-3.36%"
"07/04/2025","13,709","12,910","13,801","12,910","1.67M","2.28%"
"07/03/2025","13,404","12,900","13,477","12,900","2.28M","3.11%"
"07/02/2025","13,000","13,361","13,424","12,869","1.81M","-2.32%"
"07/01/2025","13,309","13,020","13,350","12,642","1.70M","3.23%"
"06/30/2025","12,892","12,915","12,982","12,749","1.20M","1.37%"
"06/27/2025","12,718","12,914","12,914","12,412","1.14M","1.50%"
"06/26/2025","12,530","12,722","12,813","12,499","995.69K","-1.18%"
"06/25/2025","12,680","12,915","12,915","12,627","1.51M","-0.64%"
"06/24/2025","12,762","12,600","12,889","12,495","605.99K","2.99%"
"06/23/2025","12,391","12,484","12,513","12,251","1.47M","-0.90%"
"06/20/2025","12,503","12,379","12,537","12,299","2.27M","1.65%"
"06/19/2025","12,300","12,520","12,520","12,225","3.51M","-1.08%"
"06/18/2025","12,434","12,311","12,463","11,930","1.56M","3.02%"
"06/17/2025","12,070","12,300","12,479","12,000","2.39M","-2.21%"
"06/13/2025","12,343","13,080","13,080","12,287","3.69M","-5.48%"
"06/12/2025","13,059","13,095","13,147","12,782","1.37M","-0.16%"
"06/11/2025","13,080","13,104","13,213","12,950","2.24M","1.33%"
"06/10/2025","12,908","13,400","13,400","12,836","1.77M","-1.86%"
"06/09/2025","13,152","13,737","13,872","13,103","2.80M","-4.83%"
"06/06/2025","13,820","13,553","14,070","13,351","2.93M","3.13%"
"06/05/2025","13,400","13,327","13,577","13,211","1.69M","0.42%"
"06/04/2025","13,344","13,650","13,650","13,253","686.39K","0.29%"
"06/03/2025","13,306","13,346","13,565","13,212","948.31K","-0.30%"
"06/02/2025","13,346","13,497","13,558","13,058","908.62K","-0.69%"
"05/30/2025","13,439","13,440","13,583","13,315","1.04M","-0.01%"
"05/29/2025","13,440","13,354","13,637","13,205","2.01M","1.10%"
"05/28/2025","13,294","13,051","13,545","13,051","1.04M","0.03%"
"05/27/2025","13,290","13,350","13,489","13,254","1.03M","1.05%"
"05/26/2025","13,152","12,995","13,168","12,930","1.69M","1.87%"
"05/23/2025","12,911","12,986","13,174","12,871","1.27M","-0.25%"
"05/22/2025","12,944","13,120","13,120","12,851","1.19M","-0.58%"
"05/21/2025","13,019","12,900","13,202","12,887","1.30M","0.15%"
"05/20/2025","13,000","13,350","13,447","12,942","1.32M","-2.62%"
"05/19/2025","13,350","13,468","13,487","13,245","895.27K","-1.41%"
"05/16/2025","13,541","13,668","13,750","13,424","852.52K","-0.83%"
"05/15/2025","13,654","13,600","13,747","13,504","978.28K","0.18%"
"05/14/2025","13,630","13,800","13,800","13,465","932.14K","0.05%"
"05/13/2025","13,623","13,650","13,650","13,426","1.51M","1.66%"
"05/12/2025","13,400","13,300","13,738","13,300","1.18M","1.98%"
"05/09/2025","13,140","13,155","13,266","13,014","855.70K","1.12%"
"05/08/2025","12,995","12,925","13,182","12,880","1.20M","0.54%"
"05/07/2025","12,925","12,880","13,068","12,834","960.96K","0.44%"
"05/06/2025","12,868","13,180","13,180","12,567","1.65M","-1.26%"
"05/05/2025","13,032","13,504","13,504","12,898","1.08M","-1.95%"
"05/02/2025","13,291","12,931","13,482","12,931","997.46K","2.82%"
"04/30/2025","12,927","12,800","13,244","12,800","929.72K","-0.65%"
"04/29/2025","13,012","12,900","13,099","12,632","1.09M","1.58%"
"04/25/2025","12,810","13,018","13,069","12,696","971.76K","-0.86%"
"04/24/2025","12,921","11,910","13,031","11,910","2.90M","5.91%"
"04/23/2025","12,200","11,992","12,389","11,985","769.02K","2.40%"
"04/22/2025","11,914","11,710","12,281","11,709","743.85K","0.35%"
"04/17/2025","11,873","11,701","12,241","11,660","792.36K","0.70%"
"04/16/2025","11,790","12,220","12,220","11,677","1.08M","-2.42%"
"04/15/2025","12,082","12,200","12,275","11,981","1.20M","-0.85%"
"04/14/2025","12,185","11,609","12,185","11,572","1.03M","5.03%"
"04/11/2025","11,601","11,511","11,898","11,400","1.21M","-0.63%"
"04/10/2025","11,674","11,655","12,062","11,488","2.37M","5.03%"
"04/09/2025","11,115","11,580","11,580","10,975","2.44M","-4.19%"
"04/08/2025","11,601","11,287","11,730","10,773","3.15M","6.40%"
"04/07/2025","10,903","10,555","11,259","10,245","3.70M","-0.17%"
"04/04/2025","10,922","11,976","11,976","10,922","3.16M","-6.55%"
"04/03/2025","11,687","11,959","11,959","11,477","4.06M","-3.61%"
"04/02/2025","12,125","12,667","12,667","11,550","2.18M","-3.00%"
"04/01/2025","12,500","12,432","12,704","12,431","1.31M","0.55%"
"03/31/2025","12,432","12,680","12,756","12,299","1.98M","-1.96%"
"03/28/2025","12,681","12,795","12,935","12,681","1.70M","-0.90%"
"03/27/2025","12,796","13,000","13,001","12,628","1.68M","-1.47%"
"03/26/2025","12,987","13,138","13,191","12,979","2.25M","-0.48%"
"03/25/2025","13,050","12,783","13,133","12,706","1.86M","1.75%"
"03/24/2025","12,825","12,600","13,140","12,515","1.82M","1.62%"
"03/20/2025","12,621","13,010","13,184","12,573","2.89M","-3.05%"
"03/19/2025","13,018","12,625","13,200","12,501","3.21M","3.11%"
"03/18/2025","12,625","12,700","12,988","12,536","1.74M","-1.59%"
"03/17/2025","12,829","12,650","12,879","12,650","1.28M","1.15%"
"03/14/2025","12,683","12,509","12,898","12,509","1.34M","0.76%"
"03/13/2025","12,587","12,758","12,986","12,557","1.45M","-1.26%"
"03/12/2025","12,748","12,500","12,859","12,500","1.59M","0.97%"
"03/11/2025","12,625","12,851","12,926","12,519","2.49M","-1.97%"
"03/10/2025","12,879","12,851","13,124","12,851","1.20M","-1.58%"
"03/07/2025","13,086","12,969","13,181","12,802","2.06M","1.14%"
"03/06/2025","12,938","13,317","13,410","12,907","2.22M","-2.72%"
"03/05/2025","13,300","13,500","13,745","13,262","2.66M","-1.59%"
"03/04/2025","13,515","13,552","13,700","13,490","2.42M","-1.49%"
"03/03/2025","13,720","13,617","13,830","13,468","1.35M","1.01%"
"02/28/2025","13,583","13,312","13,770","13,288","1.76M","1.55%"
"02/27/2025","13,376","13,490","13,502","13,030","1.67M","0.87%"
"02/26/2025","13,260","13,447","13,598","13,180","1.86M","-0.73%"
"02/25/2025","13,357","13,257","13,587","13,101","2.20M","0.62%"
"02/24/2025","13,275","13,450","13,817","13,122","2.48M","-0.86%"
"02/21/2025","13,390","13,551","13,699","13,351","1.51M","-1.19%"
"02/20/2025","13,551","13,712","13,812","13,482","1.61M","-1.68%"
"02/19/2025","13,782","14,050","14,247","13,765","2.02M","-3.07%"
"02/18/2025","14,218","14,295","14,571","14,200","1.00M","0.15%"
"02/17/2025","14,197","14,400","14,483","14,031","1.47M","-1.31%"
"02/14/2025","14,386","14,351","14,523","14,131","1.02M","0.60%"
"02/13/2025","14,300","14,684","14,974","14,253","2.15M","-1.54%"
"02/12/2025","14,524","14,158","14,524","14,151","1.26M","2.51%"
"02/11/2025","14,169","14,499","14,499","13,938","837.61K","0.48%"
"02/10/2025","14,101","14,099","14,305","13,981","626.79K","-0.63%"
"02/07/2025","14,190","13,981","14,379","13,981","1.16M","0.52%"
"02/06/2025","14,116","14,011","14,243","13,949","1.37M","1.24%"
"02/05/2025","13,943","14,000","14,254","13,910","754.75K","-0.54%"
"02/04/2025","14,019","13,814","14,116","13,812","1.66M","1.34%"
"02/03/2025","13,833","14,072","14,144","13,800","1.45M","-2.67%"
"01/31/2025","14,213","14,417","14,469","14,176","1.23M","-1.09%"
"01/30/2025","14,369","14,360","14,520","14,320","658.09K","-0.62%"
"01/29/2025","14,459","14,441","14,778","14,441","711.88K","-0.15%"
"01/28/2025","14,481","14,226","14,736","14,150","1.17M","1.34%"
"01/27/2025","14,290","14,741","14,769","14,284","1.57M","-3.77%"
"01/24/2025","14,850","15,750","15,939","14,505","2.54M","-3.75%"
"01/23/2025","15,428","16,275","16,275","15,427","592.38K","-1.73%"
"01/22/2025","15,700","15,800","16,099","15,364","681.74K","-1.38%"
"01/21/2025","15,920","15,500","16,021","15,462","1.26M","2.29%"
"01/20/2025","15,564","16,027","16,027","15,564","1.37M","-2.71%"
"01/17/2025","15,997","15,950","16,150","15,650","501.55K","0.33%"
"01/16/2025","15,945","16,069","16,449","15,749","1.21M","-0.36%"
"01/15/2025","16,003","15,900","16,065","15,617","1.38M","2.09%"
"01/14/2025","15,675","15,550","16,000","15,550","973.58K","-0.95%"
"01/13/2025","15,825","16,250","16,371","15,647","1.17M","-3.13%"
"01/10/2025","16,337","16,664","16,669","16,266","734.00K","-1.38%"
"01/09/2025","16,566","16,650","16,820","16,450","765.17K","-0.96%"
"01/08/2025","16,726","16,577","16,880","16,539","1.05M","-1.61%"
"01/07/2025","17,000","17,350","17,350","16,726","901.64K","1.80%"
"01/06/2025","16,700","16,840","16,906","16,492","524.35K","-0.29%"
"01/03/2025","16,748","17,250","17,250","16,414","319.41K","-0.01%"
"01/02/2025","16,750","17,535","17,535","16,593","395.26K","-0.30%"
"12/31/2024","16,800","16,819","16,905","16,551","422.16K","0.59%"
"12/30/2024","16,702","16,648","16,953","16,576","422.20K","-0.36%"
"12/27/2024","16,762","16,884","17,189","16,601","478.88K","-2.11%"
"12/24/2024","17,123","17,132","17,534","16,821","136.28K","0.22%"
"12/23/2024","17,085","17,240","17,282","16,989","454.30K","-0.90%"
"12/20/2024","17,240","16,800","17,240","16,800","2.01M","1.48%"
"12/19/2024","16,988","16,700","17,070","16,602","1.33M","0.38%"
"12/18/2024","16,924","16,770","17,120","16,717","1.08M","0.67%"
"12/17/2024","16,811","17,100","17,626","16,786","1.24M","-2.80%"
"12/13/2024","17,295","17,035","17,370","16,743","1.39M","1.83%"
"12/12/2024","16,985","17,289","17,368","16,985","846.85K","-1.70%"
"12/11/2024","17,279","16,870","17,279","16,753","940.52K","2.19%"
"12/10/2024","16,908","16,858","17,310","16,750","1.12M","-0.38%"
"12/09/2024","16,973","17,002","17,746","16,858","1.21M","-1.08%"
"12/06/2024","17,159","17,000","17,454","17,000","1.40M","-0.74%"
"12/05/2024","17,287","17,400","17,601","17,248","1.01M","-0.80%"
"12/04/2024","17,427","17,420","17,644","17,218","1.20M","-0.10%"
"12/03/2024","17,445","17,120","17,867","17,120","1.48M","0.86%"
"12/02/2024","17,297","17,046","17,297","16,919","714.70K","1.47%"
"11/29/2024","17,046","17,033","17,072","16,700","965.29K","0.72%"
"11/28/2024","16,924","16,715","17,337","16,628","643.30K","1.32%"
"11/27/2024","16,704","16,967","17,026","16,540","694.30K","-1.12%"
"11/26/2024","16,893","16,407","16,956","16,396","1.30M","2.13%"
"11/25/2024","16,541","16,900","17,066","16,541","2.43M","-3.08%"
"11/22/2024","17,066","17,300","17,424","16,800","1.91M","-1.01%"
"11/21/2024","17,240","16,643","17,554","16,643","2.27M","3.06%"
