"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","12,071","12,076","12,369","11,907","5.59M","-2.02%"
"03/25/2026","12,320","11,970","12,320","11,970","4.39M","3.06%"
"03/24/2026","11,954","11,625","11,954","11,514","4.30M","1.69%"
"03/23/2026","11,755","11,500","11,876","11,173","11.23M","1.23%"
"03/20/2026","11,612","11,550","11,902","11,550","8.79M","-0.51%"
"03/19/2026","11,672","11,632","11,714","11,352","15.05M","-0.58%"
"03/18/2026","11,740","11,755","11,919","11,648","4.74M","-0.28%"
"03/17/2026","11,773","11,594","11,810","11,474","4.44M","1.21%"
"03/16/2026","11,632","11,689","11,694","11,480","3.89M","0.00%"
"03/13/2026","11,632","11,863","11,863","11,632","6.18M","-0.75%"
"03/12/2026","11,720","11,460","11,858","11,385","3.78M","1.72%"
"03/11/2026","11,522","11,480","11,535","11,142","3.92M","0.47%"
"03/10/2026","11,468","11,115","11,497","11,115","2.02M","3.35%"
"03/09/2026","11,096","10,967","11,445","10,853","6.06M","1.23%"
"03/06/2026","10,961","11,416","11,547","10,947","2.86M","-5.15%"
"03/05/2026","11,556","11,697","11,777","11,447","1.92M","-0.32%"
"03/04/2026","11,593","11,404","11,789","11,404","4.56M","1.56%"
"03/03/2026","11,415","11,500","11,507","11,168","7.61M","-0.83%"
"03/02/2026","11,510","11,700","11,776","11,462","2.53M","0.52%"
"02/27/2026","11,450","11,400","11,580","11,288","3.25M","2.03%"
"02/26/2026","11,222","11,435","11,480","11,222","1.78M","-1.86%"
"02/25/2026","11,435","11,004","11,489","11,004","2.53M","2.56%"
"02/24/2026","11,150","10,984","11,182","10,984","1.43M","-0.45%"
"02/23/2026","11,200","10,980","11,220","10,907","2.83M","1.89%"
"02/20/2026","10,992","10,860","11,037","10,859","2.03M","1.31%"
"02/19/2026","10,850","11,096","11,096","10,697","2.41M","-1.54%"
"02/18/2026","11,020","10,595","11,053","10,550","3.59M","6.39%"
"02/17/2026","10,358","10,562","10,775","10,358","1.81M","-2.59%"
"02/16/2026","10,633","10,833","10,833","10,509","1.50M","-1.09%"
"02/13/2026","10,750","10,800","10,950","10,579","1.91M","-0.57%"
"02/12/2026","10,812","10,989","11,054","10,792","2.19M","-1.61%"
"02/11/2026","10,989","10,730","11,064","10,730","4.78M","1.90%"
"02/10/2026","10,784","10,826","10,901","10,756","2.99M","0.02%"
"02/09/2026","10,782","10,500","10,791","10,391","3.31M","2.20%"
"02/06/2026","10,550","10,394","10,662","10,129","8.46M","-2.43%"
"02/05/2026","10,813","11,498","11,498","10,741","5.50M","-5.27%"
"02/04/2026","11,414","11,255","11,636","11,255","5.67M","2.46%"
"02/03/2026","11,140","11,025","11,249","11,025","4.19M","1.79%"
"02/02/2026","10,944","10,699","11,008","10,189","7.52M","-0.46%"
"01/30/2026","10,995","11,065","11,346","10,716","7.49M","-3.81%"
"01/29/2026","11,431","11,200","11,597","11,102","6.82M","2.34%"
"01/28/2026","11,170","11,130","11,170","10,922","2.81M","1.49%"
"01/27/2026","11,006","11,122","11,122","10,853","2.24M","-0.40%"
"01/26/2026","11,050","11,000","11,099","10,894","3.24M","0.89%"
"01/23/2026","10,952","10,772","10,952","10,552","3.43M","2.42%"
"01/22/2026","10,693","10,984","11,021","10,650","4.33M","-2.18%"
"01/21/2026","10,931","10,553","11,000","10,553","4.92M","2.83%"
"01/20/2026","10,630","10,786","10,786","10,481","4.00M","0.28%"
"01/19/2026","10,600","10,769","10,769","10,439","3.93M","0.57%"
"01/16/2026","10,540","10,898","10,898","10,490","5.16M","-1.79%"
"01/15/2026","10,732","10,700","10,849","10,596","5.78M","0.34%"
"01/14/2026","10,696","10,296","10,700","10,284","4.22M","3.71%"
"01/13/2026","10,313","10,357","10,524","10,223","2.92M","-0.66%"
"01/12/2026","10,381","10,090","10,605","10,003","3.01M","2.97%"
