"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","71,480","71,100","71,480","71,100","3.54K","0.28%"
"03/26/2026","71,280","70,200","72,124","68,509","1.86M","-2.02%"
"03/25/2026","72,747","72,522","74,549","70,730","3.00M","5.44%"
"03/24/2026","68,996","66,500","69,604","66,456","2.76M","2.01%"
"03/23/2026","67,634","62,500","68,664","59,728","3.58M","1.50%"
"03/20/2026","66,632","68,893","71,526","66,550","6.01M","-2.63%"
"03/19/2026","68,430","70,605","71,257","64,479","10.50M","-5.77%"
"03/18/2026","72,620","78,836","78,836","70,953","3.24M","-7.87%"
"03/17/2026","78,826","78,551","79,408","76,884","2.63M","0.29%"
"03/16/2026","78,595","78,375","79,809","75,807","2.44M","0.73%"
"03/13/2026","78,027","83,430","84,684","78,027","2.82M","-5.93%"
"03/12/2026","82,947","80,100","84,217","79,279","2.50M","3.49%"
"03/11/2026","80,147","82,758","82,758","78,173","2.14M","-5.24%"
"03/10/2026","84,582","85,347","86,361","84,351","2.49M","0.90%"
"03/09/2026","83,827","81,009","84,214","79,757","3.05M","5.50%"
"03/06/2026","79,456","82,422","82,846","78,486","2.32M","-2.64%"
"03/05/2026","81,615","82,680","83,874","80,571","1.93M","-0.55%"
"03/04/2026","82,063","84,103","86,605","82,063","1.90M","-1.13%"
"03/03/2026","83,000","92,105","92,192","82,973","3.13M","-9.88%"
"03/02/2026","92,097","96,500","99,148","91,491","2.13M","-0.81%"
"02/27/2026","92,847","92,979","93,700","90,336","2.68M","4.21%"
"02/26/2026","89,097","92,800","93,034","89,097","1.78M","-3.78%"
"02/25/2026","92,600","90,851","93,676","90,500","1.61M","5.03%"
"02/24/2026","88,166","90,070","91,292","86,486","1.14M","-1.53%"
"02/23/2026","89,537","86,504","90,700","85,879","1.54M","4.42%"
"02/20/2026","85,750","85,311","87,431","84,500","1.98M","1.82%"
"02/19/2026","84,215","86,505","88,200","81,700","1.89M","-0.18%"
"02/18/2026","84,371","83,699","84,425","81,080","1.90M","3.34%"
"02/17/2026","81,645","85,201","85,868","81,645","1.57M","-5.88%"
"02/16/2026","86,744","85,863","87,983","84,478","899.56K","0.38%"
"02/13/2026","86,413","85,174","86,964","83,692","1.88M","-2.49%"
"02/12/2026","88,616","89,300","90,729","88,309","1.10M","-1.13%"
"02/11/2026","89,632","88,805","91,212","88,618","1.18M","2.01%"
"02/10/2026","87,869","87,324","88,824","86,350","1.39M","1.27%"
"02/09/2026","86,767","88,099","88,696","84,674","1.10M","0.24%"
"02/06/2026","86,560","81,060","87,755","80,177","2.00M","4.63%"
"02/05/2026","82,732","83,000","84,990","80,478","1.83M","-3.08%"
"02/04/2026","85,358","85,892","88,155","84,937","1.95M","2.65%"
"02/03/2026","83,158","82,080","84,083","81,544","2.65M","4.18%"
"02/02/2026","79,821","71,100","82,291","70,409","3.38M","-6.06%"
"01/30/2026","84,971","86,000","88,616","83,800","4.98M","-9.23%"
"01/29/2026","93,610","98,650","99,113","91,121","2.82M","0.39%"
"01/28/2026","93,248","91,250","94,000","90,117","3.21M","8.09%"
"01/27/2026","86,265","89,615","90,900","86,265","2.26M","-6.23%"
"01/26/2026","92,000","87,899","92,017","87,054","1.90M","8.04%"
"01/23/2026","85,151","84,690","86,165","83,772","2.08M","2.70%"
"01/22/2026","82,915","85,299","86,803","82,201","2.74M","-4.76%"
"01/21/2026","87,057","89,426","90,499","87,057","2.54M","0.93%"
"01/20/2026","86,253","84,251","87,747","83,596","1.75M","3.57%"
"01/19/2026","83,278","84,527","84,870","82,015","1.10M","1.74%"
"01/16/2026","81,850","81,474","82,563","80,850","1.94M","0.09%"
"01/15/2026","81,778","81,500","83,045","80,699","2.69M","-0.31%"
"01/14/2026","82,036","82,520","84,132","81,871","2.21M","0.14%"
"01/13/2026","81,919","78,894","81,999","78,428","1.86M","3.70%"
