"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","1,801","1,800","1,815","1,745","430.63K","-0.50%"
"03/26/2026","1,810","1,810","1,810","1,786","147.67K","0.44%"
"03/25/2026","1,802","1,775","1,846","1,775","394.87K","-0.11%"
"03/24/2026","1,804","1,802","1,826","1,766","151.77K","0.00%"
"03/23/2026","1,804","1,750","1,849","1,750","387.82K","-1.58%"
"03/20/2026","1,833","1,776","1,856","1,776","1.05M","1.89%"
"03/19/2026","1,799","1,814","1,814","1,756","910.03K","-1.15%"
"03/18/2026","1,820","1,757","1,825","1,757","816.77K","1.96%"
"03/17/2026","1,785","1,774","1,812","1,770","824.68K","-0.72%"
"03/16/2026","1,798","1,725","1,808","1,725","817.43K","2.92%"
"03/13/2026","1,747","1,775","1,775","1,700","748.99K","1.51%"
"03/12/2026","1,721","1,720","1,760","1,712","440.04K","-2.49%"
"03/11/2026","1,765","1,727","1,765","1,710","816.14K","2.20%"
"03/10/2026","1,727","1,631","1,727","1,631","523.08K","5.89%"
"03/09/2026","1,631","1,610","1,683","1,578","606.19K","1.62%"
"03/06/2026","1,605","1,760","1,799","1,603","2.78M","-7.97%"
"03/05/2026","1,744","1,727","1,760","1,727","347.67K","-0.23%"
"03/04/2026","1,748","1,725","1,760","1,690","447.89K","1.04%"
"03/03/2026","1,730","1,824","1,825","1,725","892.69K","-6.49%"
"03/02/2026","1,850","1,839","1,863","1,805","405.09K","-0.54%"
"02/27/2026","1,860","1,859","1,869","1,830","892.43K","0.92%"
"02/26/2026","1,843","1,822","1,851","1,805","291.01K","1.54%"
"02/25/2026","1,815","1,811","1,850","1,811","377.22K","-1.36%"
"02/24/2026","1,840","1,825","1,840","1,801","150.28K","0.77%"
"02/23/2026","1,826","1,834","1,862","1,826","272.35K","0.61%"
"02/20/2026","1,815","1,820","1,832","1,771","194.45K","-0.93%"
"02/19/2026","1,832","1,874","1,879","1,829","227.25K","-2.24%"
"02/18/2026","1,874","1,825","1,920","1,781","1.80M","6.24%"
"02/17/2026","1,764","1,758","1,771","1,728","437.28K","0.23%"
"02/16/2026","1,760","1,760","1,778","1,750","101.50K","0.06%"
"02/13/2026","1,759","1,760","1,782","1,736","347.21K","-2.22%"
"02/12/2026","1,799","1,775","1,800","1,767","394.02K","0.50%"
