"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2026","1,740","1,670","1,744","1,672","4.60M","7.54%"
"04/07/2026","1,618","1,622","1,630","1,595","5.50M","-0.37%"
"04/02/2026","1,624","1,620","1,624","1,593","5.48M","-0.12%"
"04/01/2026","1,626","1,665","1,665","1,617","8.28M","0.56%"
"03/31/2026","1,617","1,611","1,644","1,594","9.01M","0.37%"
"03/30/2026","1,611","1,623","1,624","1,591","7.02M","-0.19%"
"03/27/2026","1,614","1,637","1,637","1,593","7.52M","-1.41%"
"03/26/2026","1,637","1,650","1,650","1,607","9.46M","-0.67%"
"03/25/2026","1,648","1,632","1,658","1,630","7.56M","1.35%"
"03/24/2026","1,626","1,649","1,649","1,595","12.98M","0.87%"
"03/23/2026","1,612","1,665","1,665","1,574","21.05M","-1.77%"
"03/20/2026","1,641","1,633","1,663","1,620","24.11M","1.05%"
"03/19/2026","1,624","1,610","1,634","1,578","30.45M","0.25%"
"03/18/2026","1,620","1,665","1,685","1,620","14.21M","-1.82%"
"03/17/2026","1,650","1,620","1,653","1,620","11.65M","0.30%"
"03/16/2026","1,645","1,607","1,647","1,607","11.22M","1.86%"
"03/13/2026","1,615","1,647","1,647","1,585","13.23M","-0.31%"
"03/12/2026","1,620","1,678","1,678","1,605","9.44M","-3.40%"
"03/11/2026","1,677","1,750","1,750","1,653","12.88M","-2.22%"
"03/10/2026","1,715","1,700","1,735","1,700","21.32M","1.48%"
"03/09/2026","1,690","1,705","1,710","1,651","24.25M","-1.52%"
"03/06/2026","1,716","1,771","1,786","1,711","10.05M","-3.38%"
"03/05/2026","1,776","1,798","1,798","1,768","11.69M","-0.39%"
"03/04/2026","1,783","1,771","1,790","1,765","10.54M","-0.22%"
"03/03/2026","1,787","1,830","1,846","1,770","12.81M","-3.14%"
"03/02/2026","1,845","1,844","1,875","1,838","11.18M","-1.91%"
"02/27/2026","1,881","1,885","1,885","1,833","22.06M","2.17%"
"02/26/2026","1,841","1,849","1,861","1,841","9.01M","-0.43%"
"02/25/2026","1,849","1,901","1,901","1,836","3.70M","-0.48%"
"02/24/2026","1,858","1,890","1,890","1,836","4.76M","0.00%"
"02/23/2026","1,858","1,862","1,873","1,852","4.85M","0.11%"
"02/20/2026","1,856","1,885","1,888","1,848","8.48M","-1.54%"
"02/19/2026","1,885","1,890","1,892","1,866","6.24M","0.43%"
"02/18/2026","1,877","1,880","1,890","1,865","4.45M","0.54%"
"02/17/2026","1,867","1,850","1,879","1,845","6.11M","0.43%"
"02/16/2026","1,859","1,848","1,885","1,838","6.03M","1.31%"
"02/13/2026","1,835","1,850","1,883","1,835","6.55M","-2.13%"
"02/12/2026","1,875","1,850","1,877","1,847","7.51M","0.54%"
"02/11/2026","1,865","1,843","1,869","1,831","8.29M","0.97%"
"02/10/2026","1,847","1,875","1,875","1,831","8.28M","-0.38%"
"02/09/2026","1,854","1,880","1,889","1,854","10.63M","-0.75%"
"02/06/2026","1,868","1,849","1,882","1,826","10.79M","2.02%"
"02/05/2026","1,831","1,793","1,831","1,791","11.67M","1.61%"
"02/04/2026","1,802","1,854","1,854","1,799","10.60M","-1.58%"
"02/03/2026","1,831","1,790","1,847","1,774","14.71M","2.29%"
"02/02/2026","1,790","1,739","1,796","1,712","13.34M","1.13%"
"01/30/2026","1,770","1,750","1,794","1,749","11.80M","-0.11%"
"01/29/2026","1,772","1,752","1,772","1,741","7.66M","1.72%"
