"Date","Price","Open","High","Low","Vol.","Change %"
"2026/04/07","5,410","5,481","5,481","5,334","480.95K","-0.33%"
"2026/04/02","5,428","5,338","5,428","5,246","538.51K","0.52%"
"2026/04/01","5,400","5,396","5,459","5,393","1.83M","0.52%"
"2026/03/31","5,372","5,327","5,433","5,304","1.30M","0.21%"
"2026/03/30","5,361","5,388","5,399","5,333","1.77M","-0.50%"
"2026/03/27","5,388","5,466","5,466","5,220","1.85M","-1.12%"
"2026/03/26","5,449","5,561","5,580","5,414","1.27M","-2.30%"
"2026/03/25","5,577","5,449","5,605","5,449","545.79K","0.65%"
"2026/03/24","5,541","5,511","5,541","5,451","491.65K","0.22%"
"2026/03/23","5,529","5,420","5,599","5,420","908.89K","-0.93%"
"2026/03/20","5,581","5,420","5,683","5,420","2.18M","0.83%"
"2026/03/19","5,535","5,593","5,593","5,476","913.93K","-1.48%"
"2026/03/18","5,618","5,542","5,750","5,542","1.26M","0.61%"
"2026/03/17","5,584","5,504","5,596","5,456","1.79M","1.79%"
"2026/03/16","5,486","5,751","5,751","5,374","1.54M","-0.25%"
"2026/03/13","5,500","5,620","5,620","5,492","1.19M","-2.14%"
"2026/03/12","5,620","5,672","5,672","5,561","1.28M","-1.40%"
"2026/03/11","5,700","5,774","5,810","5,686","2.58M","-1.04%"
"2026/03/10","5,760","5,842","5,951","5,695","1.28M","-0.52%"
"2026/03/09","5,790","5,960","5,960","5,676","1.82M","-2.87%"
"2026/03/06","5,961","6,117","6,135","5,961","1.61M","-2.82%"
"2026/03/05","6,134","6,135","6,148","6,072","314.67K","0.57%"
"2026/03/04","6,099","6,173","6,173","6,095","528.97K","-0.42%"
"2026/03/03","6,125","6,314","6,345","6,094","679.71K","-3.09%"
"2026/03/02","6,320","6,394","6,408","6,314","727.23K","-1.86%"
"2026/02/27","6,440","6,425","6,440","6,230","1.00M","2.11%"
"2026/02/26","6,307","6,313","6,366","6,245","563.21K","0.35%"
"2026/02/25","6,285","6,337","6,337","6,238","302.59K","-0.57%"
"2026/02/24","6,321","6,303","6,360","6,275","165.13K","-0.38%"
"2026/02/23","6,345","6,328","6,388","6,321","664.85K","0.87%"
"2026/02/20","6,290","6,318","6,322","6,285","419.12K","0.24%"
"2026/02/19","6,275","6,218","6,310","6,218","426.92K","0.43%"
"2026/02/18","6,248","6,198","6,279","6,160","538.41K","1.25%"
"2026/02/17","6,171","6,174","6,190","6,102","530.75K","0.18%"
"2026/02/16","6,160","6,104","6,244","6,104","399.90K","0.98%"
"2026/02/13","6,100","6,095","6,132","6,074","450.06K","-0.31%"
"2026/02/12","6,119","6,046","6,119","6,032","589.43K","1.01%"
"2026/02/11","6,058","6,009","6,074","5,911","1.15M","1.61%"
"2026/02/10","5,962","5,976","6,022","5,939","475.67K","-1.01%"
"2026/02/09","6,023","5,991","6,094","5,986","347.72K","0.38%"
"2026/02/06","6,000","5,954","6,027","5,932","387.19K","1.04%"
"2026/02/05","5,938","5,870","5,950","5,854","418.88K","0.93%"
"2026/02/04","5,883","5,940","5,988","5,870","604.74K","-0.61%"
"2026/02/03","5,919","5,774","5,919","5,773","1.29M","3.50%"
"2026/02/02","5,719","5,580","5,720","5,579","453.93K","0.33%"
"2026/01/30","5,700","5,940","5,940","5,658","633.51K","-0.19%"
"2026/01/29","5,711","5,730","5,768","5,711","365.46K","-0.10%"
"2026/01/28","5,717","5,684","5,758","5,662","471.34K","0.78%"
"2026/01/27","5,673","5,760","5,820","5,673","430.72K","-2.14%"
"2026/01/26","5,797","5,767","5,811","5,760","550.71K","0.82%"
"2026/01/23","5,750","5,817","5,817","5,667","446.53K","-0.47%"
"2026/01/22","5,777","5,775","5,865","5,727","980.22K","0.70%"
"2026/01/21","5,737","5,705","5,763","5,650","254.16K","0.23%"
"2026/01/20","5,724","5,581","5,766","5,581","467.92K","0.49%"
"2026/01/19","5,696","5,681","5,755","5,655","340.35K","0.28%"
"2026/01/16","5,680","5,796","5,796","5,628","508.17K","0.11%"
"2026/01/15","5,674","5,662","5,772","5,661","225.36K","0.12%"
"2026/01/14","5,667","5,787","5,848","5,659","414.50K","-1.87%"
"2026/01/13","5,775","5,699","5,851","5,680","828.20K","0.82%"
"2026/01/12","5,728","5,787","5,805","5,679","104.62K","-1.41%"
"2026/01/09","5,810","5,847","5,880","5,795","156.03K","-0.63%"
"2026/01/08","5,847","5,890","5,928","5,830","205.21K","-0.73%"
"2026/01/07","5,890","5,815","5,899","5,782","451.76K","1.45%"
"2026/01/06","5,806","5,650","5,849","5,650","683.59K","1.17%"
"2026/01/05","5,739","5,706","5,739","5,666","532.73K","1.06%"
"2026/01/02","5,679","5,717","5,795","5,607","257.67K","-0.40%"
"2025/12/31","5,702","5,716","5,727","5,665","44.09K","-0.11%"
"2025/12/30","5,708","5,607","5,787","5,607","267.37K","0.83%"
"2025/12/29","5,661","5,618","5,685","5,604","141.63K","1.11%"
"2025/12/24","5,599","5,542","5,656","5,542","170.14K","0.65%"
"2025/12/23","5,563","5,420","5,607","5,420","280.58K","0.05%"
"2025/12/22","5,560","5,544","5,595","5,498","341.52K","0.29%"
"2025/12/19","5,544","5,431","5,623","5,370","2.13M","-1.04%"
"2025/12/18","5,602","5,576","5,691","5,576","1.03M","0.25%"
"2025/12/17","5,588","5,475","5,588","5,446","770.60K","1.36%"
"2025/12/15","5,513","5,516","5,550","5,496","609.19K","0.04%"
"2025/12/12","5,511","5,480","5,538","5,480","847.77K","0.73%"
"2025/12/11","5,471","5,482","5,491","5,421","575.81K","-0.13%"
"2025/12/10","5,478","5,482","5,533","5,458","345.13K","-0.07%"
"2025/12/09","5,482","5,588","5,609","5,480","564.57K","-1.88%"
"2025/12/08","5,587","5,652","5,652","5,575","277.88K","-1.12%"
"2025/12/05","5,650","5,650","5,815","5,642","1.19M","-0.41%"
"2025/12/04","5,673","5,540","5,700","5,525","1.83M","0.27%"
"2025/12/03","5,658","5,594","5,658","5,577","948.08K","1.42%"
"2025/12/02","5,579","5,639","5,652","5,562","534.78K","-0.73%"
"2025/12/01","5,620","5,679","5,679","5,567","688.41K","-0.85%"
"2025/11/28","5,668","5,732","5,748","5,647","601.90K","-1.03%"
"2025/11/27","5,727","5,707","5,748","5,685","676.08K","0.47%"
"2025/11/26","5,700","5,639","5,740","5,622","748.00K","1.79%"
"2025/11/25","5,600","5,600","5,600","5,532","222.04K","0.27%"
"2025/11/24","5,585","5,552","5,607","5,538","620.32K","0.72%"
"2025/11/21","5,545","5,554","5,559","5,458","564.14K","0.23%"
"2025/11/20","5,532","5,320","5,609","5,320","747.00K","1.92%"
"2025/11/19","5,428","5,373","5,433","5,338","918.53K","1.04%"
"2025/11/18","5,372","5,391","5,529","5,370","903.80K","-1.79%"
"2025/11/17","5,470","5,397","5,494","5,385","832.55K","1.79%"
"2025/11/14","5,374","5,366","5,467","5,290","352.56K","-1.09%"
"2025/11/13","5,433","5,304","5,488","5,285","843.94K","2.74%"
"2025/11/12","5,288","5,148","5,295","5,146","1.67M","2.60%"
"2025/11/11","5,154","5,204","5,213","5,144","245.68K","-0.88%"
"2025/11/10","5,200","5,203","5,203","5,130","315.11K","0.48%"
"2025/11/07","5,175","5,176","5,210","5,145","574.58K","-0.35%"
"2025/11/06","5,193","5,169","5,215","5,150","311.46K","0.64%"
"2025/11/05","5,160","5,070","5,199","5,070","1.08M","0.19%"
"2025/11/04","5,150","5,130","5,224","5,098","1.70M","-0.02%"
"2025/11/03","5,151","5,157","5,191","5,125","639.20K","0.35%"
"2025/10/31","5,133","5,134","5,345","5,128","1.23M","0.41%"
"2025/10/30","5,112","4,950","5,131","4,950","627.29K","0.73%"
"2025/10/29","5,075","5,103","5,155","5,065","718.64K","-0.02%"
"2025/10/28","5,076","4,996","5,118","4,927","2.89M","1.72%"
"2025/10/27","4,990","4,950","5,012","4,925","1.12M","1.40%"
"2025/10/24","4,921","4,923","4,955","4,852","1.29M","0.43%"
"2025/10/23","4,900","4,842","4,948","4,842","554.17K","1.01%"
"2025/10/22","4,851","4,823","4,882","4,800","941.06K","0.64%"
"2025/10/21","4,820","4,822","4,849","4,786","201.19K","0.00%"
"2025/10/20","4,820","4,772","4,850","4,769","433.85K","0.69%"
"2025/10/17","4,787","4,721","4,800","4,681","346.14K","1.16%"
"2025/10/16","4,732","4,660","4,733","4,660","1.47M","0.15%"
"2025/10/15","4,725","4,799","4,799","4,653","6.05M","-0.04%"
"2025/10/14","4,727","4,701","4,758","4,700","977.97K","-0.34%"
"2025/10/13","4,743","4,705","4,790","4,687","1.08M","0.23%"
"2025/10/10","4,732","4,643","4,732","4,643","1.36M","2.00%"
"2025/10/09","4,639","4,501","4,639","4,501","1.03M","0.54%"
"2025/10/08","4,614","4,502","4,614","4,502","1.71M","-4.07%"
"2025/10/07","4,810","4,840","4,868","4,790","1.84M","-1.05%"
"2025/10/06","4,861","4,801","4,876","4,769","850.43K","1.31%"
"2025/10/03","4,798","4,704","4,798","4,697","697.74K","2.48%"
"2025/10/02","4,682","4,709","4,719","4,622","880.31K","-0.17%"
"2025/10/01","4,690","4,681","4,742","4,660","474.61K","0.34%"
"2025/09/30","4,674","4,643","4,694","4,621","767.41K","0.52%"
"2025/09/29","4,650","4,659","4,676","4,615","490.98K","-0.02%"
"2025/09/26","4,651","4,738","4,738","4,597","611.60K","-1.44%"
"2025/09/25","4,719","4,759","4,759","4,629","1.05M","-0.30%"
"2025/09/23","4,733","4,759","4,831","4,725","444.63K","-0.65%"
"2025/09/22","4,764","4,820","4,820","4,726","490.45K","-1.04%"
"2025/09/19","4,814","4,830","4,830","4,725","2.76M","0.50%"
"2025/09/18","4,790","4,812","4,870","4,760","589.81K","-1.03%"
"2025/09/17","4,840","4,903","4,904","4,807","635.90K","0.02%"
"2025/09/16","4,839","4,810","4,849","4,584","1.08M","1.77%"
"2025/09/15","4,755","4,742","4,810","4,740","350.24K","0.11%"
"2025/09/12","4,750","4,673","4,783","4,660","577.32K","1.63%"
"2025/09/11","4,674","4,597","4,699","4,597","361.81K","0.84%"
"2025/09/10","4,635","4,639","4,647","4,611","167.26K","0.06%"
"2025/09/09","4,632","4,602","4,641","4,591","440.07K","0.70%"
"2025/09/08","4,600","4,570","4,640","4,570","431.62K","0.39%"
"2025/09/05","4,582","4,576","4,621","4,559","866.94K","0.24%"
"2025/09/04","4,571","4,528","4,591","4,521","1.08M","1.08%"
"2025/09/03","4,522","4,696","4,696","4,520","592.03K","-1.46%"
"2025/09/02","4,589","4,751","4,751","4,573","778.38K","-1.31%"
"2025/09/01","4,650","4,683","4,711","4,600","489.82K","-0.60%"
"2025/08/29","4,678","4,680","4,696","4,658","432.31K","-0.30%"
"2025/08/28","4,692","4,695","4,758","4,653","221.08K","-0.06%"
"2025/08/27","4,695","4,730","4,744","4,676","578.96K","-0.21%"
"2025/08/26","4,705","4,755","4,770","4,698","745.35K","-1.47%"
"2025/08/25","4,775","4,800","4,800","4,751","249.90K","0.53%"
"2025/08/22","4,750","4,746","4,774","4,717","338.38K","0.11%"
"2025/08/21","4,745","4,799","4,815","4,734","1.03M","0.42%"
"2025/08/20","4,725","4,646","4,739","4,645","316.86K","1.68%"
"2025/08/19","4,647","4,610","4,661","4,601","436.72K","0.93%"
"2025/08/18","4,604","4,585","4,620","4,570","279.60K","0.50%"
"2025/08/15","4,581","4,578","4,593","4,528","413.98K","0.31%"
"2025/08/14","4,567","4,580","4,593","4,538","672.02K","-0.28%"
"2025/08/13","4,580","4,559","4,607","4,537","452.05K","0.57%"
"2025/08/12","4,554","4,497","4,561","4,449","455.79K","1.31%"
"2025/08/11","4,495","4,429","4,499","4,429","264.23K","1.01%"
"2025/08/08","4,450","4,397","4,459","4,397","185.47K","0.50%"
"2025/08/07","4,428","4,430","4,444","4,392","581.87K","-0.61%"
"2025/08/06","4,455","4,462","4,486","4,421","211.36K","0.11%"
"2025/08/05","4,450","4,380","4,486","4,380","602.30K","1.34%"
