"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","24,465","25,000","25,000","23,914","2.25M","-0.59%"
"03/26/2026","24,609","24,553","24,801","23,698","3.03M","-1.96%"
"03/25/2026","25,100","24,790","25,697","24,323","5.28M","5.90%"
"03/24/2026","23,701","23,500","24,450","23,056","2.58M","-0.82%"
"03/23/2026","23,898","21,650","24,156","21,352","7.12M","2.32%"
"03/20/2026","23,355","22,992","24,375","22,808","9.20M","2.57%"
"03/19/2026","22,770","24,255","24,255","21,829","9.23M","-9.05%"
"03/18/2026","25,035","26,940","26,949","24,314","3.39M","-6.98%"
"03/17/2026","26,915","25,555","27,148","25,186","7.42M","5.32%"
"03/16/2026","25,555","25,551","25,848","24,769","2.89M","-0.53%"
"03/13/2026","25,690","27,000","27,000","25,290","4.01M","-5.43%"
"03/12/2026","27,164","27,632","28,124","27,056","3.96M","-2.29%"
"03/11/2026","27,800","32,400","32,400","26,888","4.73M","-11.07%"
"03/10/2026","31,260","31,368","31,860","30,921","1.87M","2.17%"
"03/09/2026","30,595","31,919","33,315","29,835","3.13M","-3.82%"
"03/06/2026","31,811","32,971","33,240","31,715","1.50M","-3.23%"
"03/05/2026","32,872","33,850","34,792","32,738","2.21M","-3.01%"
"03/04/2026","33,893","34,370","35,118","33,801","1.45M","1.66%"
"03/03/2026","33,338","36,999","36,999","33,338","2.57M","-7.91%"
"03/02/2026","36,202","38,699","38,799","36,147","2.53M","0.89%"
"02/27/2026","35,883","35,595","36,179","35,094","2.84M","5.76%"
"02/26/2026","33,929","34,511","34,518","33,656","1.46M","-1.23%"
"02/25/2026","34,351","34,600","34,906","34,079","2.42M","1.23%"
"02/24/2026","33,935","34,701","35,100","33,413","1.43M","-3.59%"
"02/23/2026","35,199","33,905","35,493","33,474","2.34M","5.70%"
"02/20/2026","33,300","32,800","33,581","32,699","2.01M","2.15%"
"02/19/2026","32,600","32,900","33,082","31,749","1.45M","0.19%"
"02/18/2026","32,539","32,260","32,539","31,400","1.33M","4.59%"
"02/17/2026","31,110","32,125","32,427","31,110","2.48M","-5.02%"
"02/16/2026","32,755","32,905","33,599","32,699","1.17M","-1.16%"
"02/13/2026","33,140","32,825","33,140","31,921","2.54M","-2.62%"
"02/12/2026","34,030","34,132","34,767","33,937","1.11M","0.19%"
"02/11/2026","33,964","34,550","35,350","33,913","1.72M","0.10%"
"02/10/2026","33,930","33,780","34,549","33,339","1.78M","0.01%"
"02/09/2026","33,926","33,790","34,140","32,822","1.66M","2.62%"
"02/06/2026","33,060","31,876","33,316","31,555","2.27M","0.22%"
"02/05/2026","32,989","33,574","34,058","31,816","2.38M","-4.92%"
"02/04/2026","34,696","35,349","35,525","34,696","2.59M","0.75%"
"02/03/2026","34,439","35,280","35,578","33,935","2.77M","1.75%"
"02/02/2026","33,848","31,500","34,908","31,001","5.06M","-6.94%"
"01/30/2026","36,372","36,400","37,255","34,900","4.44M","-9.07%"
"01/29/2026","40,000","42,300","42,888","38,695","2.47M","-2.06%"
"01/28/2026","40,841","38,419","41,010","38,419","2.79M","9.49%"
"01/27/2026","37,300","38,426","38,947","37,300","1.54M","-5.47%"
"01/26/2026","39,460","39,200","39,487","38,400","2.09M","3.66%"
"01/23/2026","38,067","37,550","38,638","37,123","2.46M","4.46%"
"01/22/2026","36,440","36,950","37,723","35,905","2.25M","-3.42%"
"01/21/2026","37,732","38,500","39,239","37,732","2.67M","0.64%"
"01/20/2026","37,491","37,853","38,441","37,171","1.54M","0.63%"
"01/19/2026","37,257","37,599","37,997","36,918","1.00M","1.75%"
"01/16/2026","36,616","35,943","37,029","35,828","2.28M","1.51%"
"01/15/2026","36,072","35,551","36,400","35,433","1.60M","-0.82%"
"01/14/2026","36,370","37,013","37,764","36,212","1.78M","-3.37%"
"01/13/2026","37,638","36,795","37,896","36,589","1.57M","1.03%"
"01/12/2026","37,254","35,112","37,254","35,112","2.33M","9.61%"
"01/09/2026","33,988","34,382","34,795","33,738","1.00M","1.34%"
"01/08/2026","33,540","33,498","34,380","33,350","1.08M","-0.41%"
"01/07/2026","33,678","34,575","34,744","33,438","1.67M","-3.06%"
