"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","22,500","22,820","22,942","22,500","40.73K","-0.11%"
"03/26/2026","22,524","22,595","22,595","21,415","3.04M","-3.18%"
"03/25/2026","23,263","22,920","23,614","22,361","4.23M","5.09%"
"03/24/2026","22,136","22,477","22,931","21,696","5.26M","-2.05%"
"03/23/2026","22,600","20,687","22,951","19,700","6.99M","2.81%"
"03/20/2026","21,983","22,620","23,571","21,981","8.64M","-1.55%"
"03/19/2026","22,329","23,950","24,288","21,127","11.51M","-10.02%"
"03/18/2026","24,815","26,770","26,860","24,563","4.43M","-7.29%"
"03/17/2026","26,765","25,501","27,041","25,244","3.90M","4.19%"
"03/16/2026","25,689","24,888","25,863","24,270","5.69M","6.89%"
"03/13/2026","24,034","26,500","27,149","24,034","5.20M","-11.31%"
"03/12/2026","27,100","26,800","27,668","26,525","3.00M","-0.93%"
"03/11/2026","27,355","28,000","28,000","26,475","3.70M","-1.53%"
"03/10/2026","27,781","27,723","28,001","26,803","3.34M","5.22%"
"03/09/2026","26,403","26,699","26,940","25,036","6.44M","-1.11%"
"03/06/2026","26,700","27,500","28,400","26,315","4.45M","-1.95%"
"03/05/2026","27,230","29,456","30,224","26,406","5.48M","-7.56%"
"03/04/2026","29,456","29,200","30,633","28,912","4.74M","2.95%"
"03/03/2026","28,611","33,900","33,900","28,252","6.17M","-16.90%"
"03/02/2026","34,428","35,614","36,514","34,094","3.38M","-2.66%"
"02/27/2026","35,367","35,000","35,859","34,074","5.81M","5.06%"
"02/26/2026","33,665","32,600","33,836","32,309","3.22M","4.23%"
"02/25/2026","32,300","31,639","32,924","31,639","3.30M","4.69%"
"02/24/2026","30,852","30,399","31,449","30,000","3.93M","1.26%"
"02/23/2026","30,469","29,500","30,469","29,200","2.87M","5.15%"
"02/20/2026","28,978","27,901","29,419","27,901","2.26M","4.15%"
"02/19/2026","27,822","28,419","28,809","27,278","1.80M","-2.49%"
