"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","13,000","13,070","13,226","12,925","717.08K","-1.27%"
"03/26/2026","13,167","13,599","13,599","12,956","555.38K","-0.02%"
"03/25/2026","13,170","13,200","13,265","12,851","631.67K","2.32%"
"03/24/2026","12,872","12,287","13,031","12,287","734.30K","-0.30%"
"03/23/2026","12,911","12,600","12,911","12,287","1.05M","1.85%"
"03/20/2026","12,676","12,740","13,244","12,621","2.04M","-0.50%"
"03/19/2026","12,740","12,797","12,867","12,537","3.05M","-2.20%"
"03/18/2026","13,026","12,985","13,341","12,974","1.60M","-0.02%"
"03/17/2026","13,029","13,033","13,083","12,751","1.52M","0.80%"
"03/16/2026","12,925","12,770","12,985","12,770","1.24M","0.99%"
"03/13/2026","12,798","12,951","12,951","12,610","855.63K","-1.41%"
"03/12/2026","12,981","13,240","13,244","12,947","1.04M","-2.28%"
"03/11/2026","13,284","13,534","13,534","13,170","899.06K","-1.16%"
"03/10/2026","13,440","12,925","13,548","12,925","1.18M","1.74%"
"03/09/2026","13,210","13,101","13,343","13,001","1.76M","-1.03%"
"03/06/2026","13,347","13,772","13,772","13,270","2.39M","-2.53%"
"03/05/2026","13,694","13,701","13,881","13,488","910.05K","1.57%"
"03/04/2026","13,482","13,455","13,563","13,105","1.08M","1.13%"
"03/03/2026","13,331","13,287","13,543","13,155","1.29M","-1.78%"
"03/02/2026","13,572","13,751","13,890","13,179","809.71K","-1.30%"
"02/27/2026","13,751","13,908","13,965","13,700","673.00K","-1.01%"
"02/26/2026","13,891","13,718","13,965","13,718","389.81K","1.25%"
"02/25/2026","13,719","13,837","13,900","13,618","617.38K","-1.09%"
"02/24/2026","13,870","13,757","13,871","13,635","255.75K","0.02%"
"02/23/2026","13,867","14,006","14,006","13,748","725.48K","0.19%"
"02/20/2026","13,841","13,656","13,919","13,656","626.98K","0.07%"
"02/19/2026","13,832","13,840","14,058","13,747","477.82K","-0.46%"
"02/18/2026","13,896","14,125","14,125","13,683","644.67K","1.92%"
"02/17/2026","13,634","13,500","13,669","13,409","323.55K","0.61%"
"02/16/2026","13,551","13,668","13,847","13,516","515.49K","-0.57%"
"02/13/2026","13,628","13,535","13,853","13,526","507.65K","-0.08%"
