"Date","Price","Open","High","Low","Vol.","Change %"
"2026/04/08","216","223","228","216","3.09M","0.00%"
"2026/04/07","216","219","226","212","4.87M","2.37%"
"2026/04/02","211","210","219","207","2.20M","-0.94%"
"2026/04/01","213","203","215","200","4.02M","4.41%"
"2026/03/31","204","198","204","192","5.11M","4.08%"
"2026/03/30","196","188","197","183","2.61M","5.95%"
"2026/03/27","185","185","187","181","4.48M","-0.54%"
"2026/03/26","186","185","188","180","1.82M","2.20%"
"2026/03/25","182","179","184","175","1.68M","4.60%"
"2026/03/24","174","176","181","173","5.09M","-1.69%"
"2026/03/23","177","192","192","177","4.92M","-5.85%"
"2026/03/20","188","191","199","188","7.16M","-3.59%"
"2026/03/19","195","185","195","183","7.56M","4.28%"
"2026/03/18","187","187","196","183","4.88M","-0.53%"
"2026/03/17","188","183","189","180","7.31M","1.62%"
"2026/03/16","185","180","189","179","2.38M","2.78%"
"2026/03/13","180","181","184","180","3.44M","0.00%"
"2026/03/12","180","180","185","178","3.83M","-0.55%"
"2026/03/11","181","187","187","177","5.56M","-3.21%"
"2026/03/10","187","188","193","187","3.31M","-0.53%"
"2026/03/09","188","190","190","177","4.40M","3.87%"
"2026/03/06","181","194","195","179","3.25M","-4.74%"
"2026/03/05","190","188","200","185","5.84M","2.15%"
"2026/03/04","186","191","191","184","5.51M","-2.11%"
"2026/03/03","190","205","206","190","4.59M","-7.32%"
"2026/03/02","205","215","215","196","3.51M","-5.09%"
"2026/02/27","216","239","239","216","4.87M","-9.62%"
"2026/02/26","239","238","241","232","5.42M","0.42%"
"2026/02/25","238","232","239","226","3.33M","1.28%"
"2026/02/24","235","234","235","230","5.42M","0.00%"
"2026/02/23","235","233","237","230","1.47M","2.17%"
"2026/02/20","230","226","230","225","649.52K","0.00%"
"2026/02/19","230","217","233","217","4.27M","1.32%"
"2026/02/18","227","216","227","209","2.62M","5.09%"
"2026/02/17","216","225","230","213","2.81M","-4.00%"
"2026/02/16","225","228","242","225","2.52M","-3.43%"
"2026/02/13","233","218","233","217","4.51M","3.56%"
"2026/02/12","225","210","225","210","4.60M","4.65%"
"2026/02/11","215","209","217","198","4.05M","3.37%"
"2026/02/10","208","214","214","204","1.47M","1.46%"
"2026/02/09","205","215","215","205","1.78M","-1.91%"
"2026/02/06","209","223","223","206","1.62M","-4.13%"
"2026/02/05","218","226","226","216","1.62M","-2.68%"
"2026/02/04","224","225","227","224","1.26M","-1.32%"
"2026/02/03","227","228","229","224","1.89M","0.89%"
"2026/02/02","225","220","226","218","1.90M","0.90%"
"2026/01/30","223","229","229","222","4.83M","-2.62%"
"2026/01/29","229","226","235","225","2.36M","1.33%"
"2026/01/28","226","237","237","226","910.75K","-3.00%"
"2026/01/27","233","226","236","225","925.40K","3.10%"
"2026/01/26","226","233","233","225","1.91M","-2.16%"
"2026/01/23","231","236","236","225","1.46M","-1.70%"
"2026/01/22","235","229","235","225","1.12M","2.62%"
"2026/01/21","229","228","229","220","1.80M","1.78%"
"2026/01/20","225","229","229","219","3.46M","-1.75%"
