"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","30,967","31,200","31,200","30,558","326.95K","-0.52%"
"03/26/2026","31,129","31,100","31,249","30,508","527.72K","0.03%"
"03/25/2026","31,120","30,300","31,199","30,299","628.18K","2.38%"
"03/24/2026","30,396","30,240","30,396","29,606","379.41K","2.45%"
"03/23/2026","29,669","29,690","30,240","28,800","556.72K","-1.97%"
"03/20/2026","30,266","31,030","31,522","30,250","642.88K","-2.46%"
"03/19/2026","31,030","31,757","31,886","30,351","517.92K","-3.18%"
"03/18/2026","32,048","32,463","32,789","31,913","401.96K","-1.56%"
"03/17/2026","32,557","31,875","32,761","31,605","460.81K","2.04%"
"03/16/2026","31,906","32,100","32,192","31,250","289.70K","0.93%"
"03/13/2026","31,611","32,821","33,145","31,500","295.49K","-3.09%"
"03/12/2026","32,619","32,699","33,272","31,000","581.62K","1.22%"
"03/11/2026","32,226","32,760","32,760","31,890","274.85K","-5.22%"
"03/10/2026","34,000","33,528","34,299","33,221","577.59K","2.94%"
"03/09/2026","33,029","34,256","34,505","32,419","635.12K","-3.92%"
"03/06/2026","34,375","35,488","35,495","34,201","349.82K","-2.37%"
"03/05/2026","35,208","36,435","36,435","35,208","224.01K","-0.84%"
"03/04/2026","35,507","35,600","36,454","35,464","359.30K","1.34%"
"03/03/2026","35,038","36,394","36,596","34,832","459.48K","-3.73%"
"03/02/2026","36,394","36,720","37,392","36,394","544.98K","-0.99%"
"02/27/2026","36,758","36,101","36,964","36,100","359.51K","2.17%"
"02/26/2026","35,977","36,899","36,899","35,833","546.87K","-0.78%"
"02/25/2026","36,259","35,929","36,899","35,929","404.92K","0.92%"
"02/24/2026","35,929","35,835","36,766","35,711","385.62K","-1.48%"
"02/23/2026","36,470","36,509","36,595","35,651","346.33K","1.31%"
"02/20/2026","36,000","35,000","36,400","35,000","412.73K","2.86%"
"02/19/2026","35,000","36,119","37,125","34,275","554.93K","-4.41%"
"02/18/2026","36,615","37,099","37,178","36,375","363.49K","0.30%"
"02/17/2026","36,504","36,300","36,955","36,300","165.09K","-0.94%"
"02/16/2026","36,850","36,334","37,259","36,235","201.01K","1.17%"
"02/13/2026","36,423","37,000","37,764","36,134","321.02K","-4.94%"
"02/12/2026","38,316","38,867","38,997","38,260","235.90K","-1.42%"
