"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","1,123","1,150","1,150","1,113","3.19M","-0.53%"
"03/26/2026","1,129","1,130","1,149","1,126","2.55M","-1.05%"
"03/25/2026","1,141","1,080","1,142","1,080","3.92M","2.24%"
"03/24/2026","1,116","1,088","1,116","1,082","3.87M","2.76%"
"03/23/2026","1,086","1,077","1,098","1,057","2.69M","0.93%"
"03/20/2026","1,076","1,070","1,109","1,070","10.60M","-0.19%"
"03/19/2026","1,078","1,101","1,118","1,051","13.69M","-3.14%"
"03/18/2026","1,113","1,105","1,134","1,105","2.37M","-0.54%"
"03/17/2026","1,119","1,118","1,126","1,107","2.62M","0.09%"
"03/16/2026","1,118","1,115","1,125","1,106","2.09M","0.36%"
"03/13/2026","1,114","1,115","1,122","1,104","3.90M","-0.45%"
"03/12/2026","1,119","1,125","1,125","1,090","3.19M","0.27%"
"03/11/2026","1,116","1,118","1,134","1,100","2.71M","-1.67%"
"03/10/2026","1,135","1,109","1,144","1,109","6.37M","1.70%"
"03/09/2026","1,116","1,115","1,119","1,104","4.42M","-1.50%"
"03/06/2026","1,133","1,147","1,162","1,118","3.98M","-2.07%"
"03/05/2026","1,157","1,140","1,157","1,115","7.00M","2.39%"
"03/04/2026","1,130","1,174","1,174","1,111","10.55M","0.00%"
"03/03/2026","1,130","1,184","1,186","1,130","6.43M","-4.56%"
"03/02/2026","1,184","1,219","1,219","1,169","5.93M","-2.31%"
"02/27/2026","1,212","1,229","1,230","1,197","6.43M","-1.30%"
"02/26/2026","1,228","1,205","1,228","1,195","2.95M","1.91%"
"02/25/2026","1,205","1,215","1,215","1,189","7.22M","1.01%"
"02/24/2026","1,193","1,209","1,215","1,188","5.38M","-1.32%"
"02/23/2026","1,209","1,195","1,210","1,188","4.58M","1.77%"
"02/20/2026","1,188","1,170","1,201","1,168","6.35M","0.59%"
"02/19/2026","1,181","1,172","1,192","1,161","4.76M","0.68%"
"02/18/2026","1,173","1,135","1,173","1,123","4.81M","3.26%"
"02/17/2026","1,136","1,145","1,145","1,118","4.21M","0.26%"
"02/16/2026","1,133","1,131","1,141","1,121","7.21M","0.18%"
"02/13/2026","1,131","1,123","1,142","1,110","6.52M","0.71%"
"02/12/2026","1,123","1,100","1,125","1,087","9.15M","2.09%"
"02/11/2026","1,100","1,115","1,115","1,094","5.48M","-0.99%"
"02/10/2026","1,111","1,094","1,113","1,088","6.40M","1.46%"
"02/09/2026","1,095","1,122","1,122","1,079","3.91M","-0.09%"
"02/06/2026","1,096","1,100","1,111","1,077","10.97M","-1.62%"
"02/05/2026","1,114","1,100","1,126","1,081","5.71M","1.55%"
"02/04/2026","1,097","1,115","1,118","1,095","4.51M","-2.32%"
"02/03/2026","1,123","1,111","1,125","1,111","4.18M","1.08%"
"02/02/2026","1,111","1,095","1,125","1,084","6.04M","-0.09%"
"01/30/2026","1,112","1,123","1,134","1,106","9.89M","-1.59%"
"01/29/2026","1,130","1,131","1,142","1,125","8.58M","-0.26%"
