"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","19,936","20,071","20,419","19,786","3.64M","-2.13%"
"03/25/2026","20,370","19,996","20,454","19,946","6.49M","2.34%"
"03/24/2026","19,905","19,466","19,905","19,197","7.02M","3.23%"
"03/23/2026","19,282","18,511","19,615","18,511","4.56M","0.66%"
"03/20/2026","19,155","19,601","20,207","19,155","13.46M","-3.41%"
"03/19/2026","19,832","19,856","19,874","18,881","16.71M","0.22%"
"03/18/2026","19,788","19,223","20,308","19,223","7.57M","1.14%"
"03/17/2026","19,564","19,500","19,650","18,972","7.71M","-0.04%"
"03/16/2026","19,572","18,733","19,859","18,721","7.91M","7.00%"
"03/13/2026","18,291","18,610","18,610","17,942","5.73M","-0.57%"
"03/12/2026","18,396","18,170","18,654","18,133","3.79M","-1.41%"
"03/11/2026","18,660","18,805","18,941","18,219","4.54M","-1.56%"
"03/10/2026","18,955","19,100","19,437","18,784","4.91M","-0.09%"
"03/09/2026","18,973","18,950","19,154","18,560","4.05M","-1.18%"
"03/06/2026","19,200","19,931","20,345","18,986","5.43M","-4.79%"
"03/05/2026","20,165","19,970","20,371","19,504","6.18M","0.97%"
"03/04/2026","19,972","20,234","20,234","19,502","5.52M","-0.38%"
"03/03/2026","20,048","20,777","21,398","19,771","7.10M","-4.07%"
"03/02/2026","20,898","20,801","21,150","20,135","4.61M","0.68%"
"02/27/2026","20,757","20,800","21,257","20,403","7.94M","1.79%"
"02/26/2026","20,391","20,523","20,700","20,281","3.36M","-0.88%"
"02/25/2026","20,573","19,855","20,618","19,603","4.79M","3.95%"
"02/24/2026","19,792","19,472","19,872","19,333","3.05M","1.41%"
"02/23/2026","19,517","19,750","19,897","19,517","2.18M","-1.15%"
"02/20/2026","19,745","20,000","20,000","19,444","2.20M","1.47%"
"02/19/2026","19,458","19,715","20,201","19,300","3.79M","-2.49%"
"02/18/2026","19,955","19,600","20,076","19,600","5.33M","2.19%"
"02/17/2026","19,527","19,500","19,596","19,295","2.78M","0.08%"
"02/16/2026","19,511","19,327","19,742","19,256","3.42M","1.46%"
"02/13/2026","19,230","19,467","19,600","19,078","4.88M","-1.50%"
"02/12/2026","19,522","19,065","19,558","19,065","4.34M","1.62%"
"02/11/2026","19,210","19,003","19,546","18,907","4.37M","0.18%"
"02/10/2026","19,176","18,990","19,425","18,924","6.37M","1.88%"
"02/09/2026","18,823","18,410","18,880","18,200","5.11M","2.21%"
"02/06/2026","18,416","17,880","18,580","17,452","5.59M","4.66%"
"02/05/2026","17,596","18,500","18,526","17,451","7.37M","-5.76%"
"02/04/2026","18,671","18,750","18,852","18,279","3.29M","-0.19%"
"02/03/2026","18,706","18,548","18,928","18,420","5.98M","1.22%"
"02/02/2026","18,480","17,780","18,534","17,350","4.33M","2.14%"
"01/30/2026","18,093","17,800","18,526","17,720","8.11M","0.18%"
"01/29/2026","18,060","18,225","18,578","18,049","4.17M","0.48%"
"01/28/2026","17,974","18,278","18,472","17,942","4.42M","-1.78%"
"01/27/2026","18,300","18,399","18,646","18,163","5.38M","0.46%"
"01/26/2026","18,216","17,459","18,216","17,401","3.75M","3.39%"
"01/23/2026","17,618","18,121","18,427","17,568","5.30M","-3.99%"
"01/22/2026","18,350","17,441","18,664","17,242","5.23M","5.88%"
"01/21/2026","17,331","17,489","17,714","16,981","4.64M","-1.87%"
"01/20/2026","17,662","17,500","17,944","17,412","3.98M","0.00%"
"01/19/2026","17,662","17,784","18,002","17,501","2.59M","-1.43%"
"01/16/2026","17,918","17,541","17,961","17,402","4.57M","1.96%"
"01/15/2026","17,573","17,125","17,629","16,939","5.76M","2.26%"
"01/14/2026","17,184","17,600","17,807","17,080","4.69M","-2.36%"
"01/13/2026","17,600","17,461","17,778","17,405","4.05M","0.46%"
"01/12/2026","17,519","17,599","17,839","17,255","3.12M","-0.35%"
"01/09/2026","17,580","17,859","17,859","17,469","2.54M","-0.73%"
"01/08/2026","17,709","17,559","17,734","17,086","2.22M","1.03%"
"01/07/2026","17,528","17,720","17,720","17,195","4.62M","-0.30%"
"01/06/2026","17,581","16,872","17,738","16,872","4.13M","2.74%"
"01/05/2026","17,112","16,728","17,164","16,728","3.45M","0.71%"
"01/02/2026","16,992","17,000","17,272","16,766","1.79M","0.25%"
"12/31/2025","16,950","16,899","17,063","16,782","1.33M","0.24%"
"12/30/2025","16,909","16,886","17,068","16,698","1.26M","0.55%"
"12/29/2025","16,817","16,789","16,995","16,580","1.99M","1.07%"
"12/24/2025","16,639","16,502","16,741","16,478","713.05K","0.98%"
"12/23/2025","16,478","16,248","16,550","16,104","1.68M","2.09%"
"12/22/2025","16,140","15,901","16,218","15,731","2.39M","1.41%"
"12/19/2025","15,916","15,735","16,096","15,441","11.65M","0.35%"
"12/18/2025","15,860","16,450","16,689","15,716","14.88M","-3.29%"
"12/17/2025","16,399","15,719","16,399","15,622","5.70M","3.94%"
"12/15/2025","15,778","15,575","15,890","15,419","3.12M","0.99%"
"12/12/2025","15,623","14,950","15,949","14,950","3.06M","-0.99%"
"12/11/2025","15,780","15,750","15,971","15,494","4.52M","0.36%"
"12/10/2025","15,723","15,667","15,757","15,571","1.76M","-0.17%"
"12/09/2025","15,750","15,734","15,819","15,541","2.71M","0.10%"
"12/08/2025","15,734","15,899","15,978","15,641","3.08M","-0.42%"
"12/05/2025","15,801","15,720","15,970","15,720","2.19M","0.48%"
"12/04/2025","15,725","15,954","15,995","15,479","2.81M","-1.84%"
"12/03/2025","16,020","15,633","16,052","15,575","2.26M","1.39%"
"12/02/2025","15,800","15,834","15,907","15,472","2.09M","1.46%"
"12/01/2025","15,572","15,800","15,801","15,350","5.99M","-1.37%"
"11/28/2025","15,788","16,350","16,399","15,788","7.93M","-2.62%"
"11/27/2025","16,212","16,820","16,850","16,105","3.93M","-3.60%"
"11/26/2025","16,818","17,063","17,218","16,786","1.93M","-0.05%"
"11/25/2025","16,827","16,445","16,978","16,445","3.42M","2.07%"
"11/24/2025","16,486","16,866","17,136","16,419","9.89M","-2.74%"
"11/21/2025","16,951","16,612","17,131","16,612","3.52M","-1.46%"
"11/20/2025","17,203","17,000","17,543","16,906","3.34M","1.13%"
"11/19/2025","17,010","16,690","17,089","16,544","2.47M","1.89%"
"11/18/2025","16,695","16,505","16,898","16,478","2.55M","-0.39%"
"11/17/2025","16,760","17,115","17,115","16,338","2.96M","-0.50%"
"11/14/2025","16,845","16,640","17,039","16,640","3.09M","-0.43%"
"11/13/2025","16,918","16,273","17,069","16,273","3.87M","3.10%"
"11/12/2025","16,410","16,790","16,800","16,273","5.10M","-2.32%"
"11/11/2025","16,800","16,750","17,230","16,750","4.34M","-0.37%"
"11/10/2025","16,863","16,511","17,074","16,511","3.23M","2.36%"
"11/07/2025","16,474","16,500","16,820","16,208","3.56M","-0.51%"
"11/06/2025","16,558","17,230","17,230","16,558","4.35M","-2.79%"
"11/05/2025","17,034","16,980","17,212","16,639","4.81M","1.33%"
"11/04/2025","16,810","17,300","17,392","16,810","4.69M","-2.94%"
"11/03/2025","17,320","16,955","17,450","16,955","3.58M","0.16%"
"10/31/2025","17,293","17,200","17,577","17,040","5.32M","1.65%"
"10/30/2025","17,013","16,830","17,096","16,765","3.00M","0.62%"
"10/29/2025","16,908","17,337","17,358","16,687","3.80M","-1.70%"
"10/28/2025","17,200","16,600","17,422","16,600","5.83M","2.99%"
"10/27/2025","16,700","16,502","16,834","16,502","3.95M","0.18%"
"10/24/2025","16,670","16,350","16,967","16,350","3.46M","-0.17%"
"10/23/2025","16,699","16,620","16,777","16,465","3.39M","0.15%"
"10/22/2025","16,674","16,210","16,739","16,026","6.07M","2.77%"
"10/21/2025","16,225","16,057","16,498","15,931","4.98M","-0.68%"
"10/20/2025","16,336","16,700","16,780","16,257","2.33M","-1.49%"
"10/17/2025","16,583","16,120","16,694","15,874","6.22M","1.90%"
"10/16/2025","16,274","16,510","16,700","16,000","3.94M","-1.44%"
"10/15/2025","16,512","15,230","16,512","15,230","8.55M","8.03%"
"10/14/2025","15,284","15,350","15,350","15,041","3.17M","-0.48%"
"10/13/2025","15,357","15,304","15,459","15,092","3.04M","-0.78%"
"10/10/2025","15,477","15,350","15,598","15,119","3.36M","1.41%"
"10/09/2025","15,262","15,050","15,349","14,779","4.26M","0.39%"
"10/08/2025","15,202","14,729","15,405","14,729","5.55M","2.39%"
"10/07/2025","14,847","14,420","14,868","14,283","6.15M","3.31%"
"10/06/2025","14,372","14,585","14,747","14,240","3.16M","-1.88%"
"10/03/2025","14,647","14,315","14,661","14,281","4.18M","2.32%"
"10/02/2025","14,315","14,700","14,748","14,173","5.82M","-2.87%"
"10/01/2025","14,738","14,488","14,849","14,211","7.17M","1.64%"
"09/30/2025","14,500","13,799","14,500","13,741","10.31M","5.07%"
"09/29/2025","13,800","13,945","13,945","13,711","4.05M","-0.30%"
"09/26/2025","13,841","13,507","13,868","13,316","4.40M","2.31%"
"09/25/2025","13,529","13,725","13,731","13,454","7.45M","-1.85%"
"09/23/2025","13,784","13,565","13,866","13,565","7.42M","0.61%"
"09/22/2025","13,700","13,904","13,904","13,574","5.10M","-0.72%"
"09/19/2025","13,800","14,135","14,233","13,500","17.51M","-2.36%"
"09/18/2025","14,133","14,426","14,644","14,020","15.51M","-3.62%"
"09/17/2025","14,664","14,858","14,900","14,486","5.94M","-1.25%"
"09/16/2025","14,849","14,010","15,010","13,982","10.73M","5.48%"
"09/15/2025","14,078","13,866","14,199","13,691","5.17M","2.82%"
"09/12/2025","13,692","13,855","13,855","13,443","6.27M","-0.65%"
"09/11/2025","13,782","13,700","13,972","13,603","5.38M","-0.15%"
"09/10/2025","13,803","13,868","14,101","13,704","5.48M","-0.56%"
"09/09/2025","13,881","13,883","14,037","13,802","5.93M","-0.54%"
"09/08/2025","13,956","13,948","14,130","13,785","6.10M","0.00%"
"09/05/2025","13,956","13,700","14,176","13,700","6.94M","0.63%"
"09/04/2025","13,869","14,231","14,236","13,737","8.64M","-0.79%"
"09/03/2025","13,980","14,500","14,785","13,768","5.91M","-2.32%"
"09/02/2025","14,312","14,609","14,615","14,160","6.59M","-1.64%"
"09/01/2025","14,551","14,850","15,079","14,343","5.60M","-2.86%"
"08/29/2025","14,980","15,046","15,272","14,897","5.46M","-1.66%"
"08/28/2025","15,233","15,189","15,298","14,903","4.97M","1.24%"
"08/27/2025","15,046","14,951","15,094","14,722","4.99M","0.45%"
"08/26/2025","14,978","15,400","15,460","14,978","16.35M","-3.24%"
"08/25/2025","15,480","15,420","15,580","15,288","4.28M","-1.02%"
"08/22/2025","15,639","15,644","15,812","15,631","5.16M","-0.07%"
"08/21/2025","15,650","15,700","15,805","15,550","5.54M","-0.39%"
"08/20/2025","15,712","15,465","15,858","15,383","4.75M","0.68%"
"08/19/2025","15,606","15,399","16,023","15,399","7.50M","-0.81%"
"08/18/2025","15,734","17,200","17,284","15,462","11.32M","-8.41%"
"08/15/2025","17,178","17,390","17,423","17,047","5.16M","-0.52%"
"08/14/2025","17,268","17,200","17,325","16,988","3.49M","0.33%"
