"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","19,271","19,739","19,739","19,271","647.45K","-1.87%"
"03/26/2026","19,639","19,200","19,704","19,200","1.08M","1.04%"
"03/25/2026","19,436","18,899","19,439","18,770","952.75K","3.17%"
"03/24/2026","18,839","18,700","18,853","18,393","629.51K","1.63%"
"03/23/2026","18,537","18,001","18,585","17,739","1.40M","0.82%"
"03/20/2026","18,386","18,232","18,449","18,030","6.94M","1.13%"
"03/19/2026","18,180","18,533","18,586","18,017","2.90M","-1.71%"
"03/18/2026","18,497","18,204","18,835","18,204","486.29K","-0.70%"
"03/17/2026","18,627","18,310","18,678","18,310","612.72K","1.22%"
"03/16/2026","18,403","18,400","18,575","18,216","737.96K","0.30%"
"03/13/2026","18,348","18,942","18,942","18,283","877.57K","-2.77%"
"03/12/2026","18,870","18,131","19,074","18,131","681.69K","1.93%"
"03/11/2026","18,512","18,616","18,616","18,105","728.32K","0.91%"
"03/10/2026","18,345","18,200","18,456","18,070","658.05K","-0.24%"
"03/09/2026","18,390","18,349","18,758","18,253","703.80K","-2.05%"
"03/06/2026","18,774","19,308","19,308","18,772","1.02M","-1.01%"
"03/05/2026","18,966","18,352","19,213","18,352","1.35M","3.36%"
"03/04/2026","18,350","18,200","18,549","18,061","1.16M","1.21%"
"03/03/2026","18,130","18,322","18,442","17,735","1.35M","-1.05%"
"03/02/2026","18,322","18,808","19,139","18,322","1.17M","-3.01%"
"02/27/2026","18,890","18,908","19,049","18,815","750.09K","0.00%"
"02/26/2026","18,890","18,949","19,026","18,787","721.20K","-0.13%"
"02/25/2026","18,915","19,224","19,379","18,748","613.73K","-3.98%"
"02/24/2026","19,700","18,970","19,717","18,970","700.19K","3.42%"
"02/23/2026","19,049","20,170","20,269","18,986","1.05M","-5.83%"
"02/20/2026","20,229","20,736","20,736","20,220","686.63K","-1.98%"
"02/19/2026","20,637","19,600","21,277","19,400","2.04M","2.67%"
"02/18/2026","20,100","19,785","20,162","19,736","312.88K","1.59%"
"02/17/2026","19,785","19,912","19,966","19,640","407.70K","-0.75%"
"02/16/2026","19,935","20,457","20,863","19,935","460.73K","-3.36%"
"02/13/2026","20,628","20,559","20,999","20,559","434.61K","-1.10%"
"02/12/2026","20,858","20,799","20,995","20,424","473.49K","1.37%"
"02/11/2026","20,577","20,100","20,739","20,044","674.30K","1.87%"
"02/10/2026","20,200","19,489","20,322","19,489","797.46K","3.58%"
"02/09/2026","19,502","19,711","19,727","19,382","593.90K","0.65%"
"02/06/2026","19,376","19,376","19,692","19,204","293.45K","-0.20%"
"02/05/2026","19,415","19,500","19,576","19,313","370.46K","-0.42%"
"02/04/2026","19,497","18,317","19,711","18,276","914.25K","4.15%"
"02/03/2026","18,720","18,590","18,859","18,510","606.10K","0.71%"
"02/02/2026","18,588","18,400","18,936","18,228","1.17M","-0.69%"
"01/30/2026","18,717","18,924","19,154","18,498","1.49M","-1.63%"
"01/29/2026","19,028","19,598","19,598","18,953","1.02M","-1.96%"
"01/28/2026","19,408","19,156","19,630","19,156","574.23K","-0.97%"
"01/27/2026","19,598","19,344","19,616","19,344","682.25K","1.07%"
"01/26/2026","19,390","19,000","19,695","19,000","893.48K","1.23%"
"01/23/2026","19,155","18,751","19,204","18,751","778.93K","0.42%"
"01/22/2026","19,075","19,254","19,254","18,788","563.44K","0.93%"
"01/21/2026","18,900","19,390","19,390","18,558","1.75M","0.60%"
"01/20/2026","18,788","19,500","19,621","18,725","1.25M","-3.39%"
"01/19/2026","19,447","20,340","20,340","19,447","1.02M","-1.97%"
"01/16/2026","19,838","19,746","19,976","19,674","791.88K","0.28%"
"01/15/2026","19,782","20,074","20,124","19,672","1.00M","-1.22%"
"01/14/2026","20,027","19,796","20,155","19,500","482.77K","0.87%"
"01/13/2026","19,855","19,974","20,386","19,501","475.26K","1.34%"
"01/12/2026","19,593","20,060","20,061","19,509","1.26M","-3.48%"
"01/09/2026","20,300","20,218","20,429","20,101","790.49K","2.70%"
"01/08/2026","19,767","20,300","20,400","19,527","346.20K","-3.17%"
"01/07/2026","20,414","20,410","20,625","20,160","525.29K","1.97%"
"01/06/2026","20,020","20,000","20,255","19,906","712.13K","-0.86%"
"01/05/2026","20,194","20,398","20,523","20,019","379.44K","-0.99%"
"01/02/2026","20,396","20,447","20,507","20,163","212.44K","0.18%"
"12/31/2025","20,360","20,306","20,507","20,268","86.83K","-0.39%"
"12/30/2025","20,440","20,535","20,579","20,357","196.57K","-0.06%"
"12/29/2025","20,452","20,250","20,542","20,215","339.96K","1.85%"
"12/24/2025","20,081","20,369","20,370","20,066","101.35K","-0.18%"
"12/23/2025","20,118","20,027","20,285","19,886","479.56K","1.36%"
"12/22/2025","19,848","20,078","20,078","19,789","187.78K","-1.26%"
"12/19/2025","20,102","19,801","20,164","19,801","950.23K","0.91%"
"12/18/2025","19,921","19,894","19,921","19,720","1.53M","0.60%"
"12/17/2025","19,803","19,351","19,854","19,351","428.12K","0.34%"
"12/15/2025","19,736","19,402","19,966","19,402","214.35K","-0.33%"
"12/12/2025","19,802","20,050","20,050","19,716","539.31K","-0.77%"
"12/11/2025","19,956","19,547","20,054","19,500","738.79K","2.46%"
"12/10/2025","19,476","19,359","19,498","19,214","287.02K","-0.28%"
"12/09/2025","19,530","19,152","19,747","19,152","537.10K","0.59%"
"12/08/2025","19,416","19,667","19,671","19,291","427.53K","-1.68%"
"12/05/2025","19,748","19,900","19,947","19,671","657.59K","-0.61%"
"12/04/2025","19,870","19,503","19,982","19,433","494.84K","1.99%"
"12/03/2025","19,483","19,319","19,582","19,318","717.43K","1.25%"
"12/02/2025","19,242","19,540","19,540","19,242","668.08K","-1.41%"
"12/01/2025","19,518","19,621","19,621","19,219","944.12K","-0.62%"
"11/28/2025","19,639","19,867","19,980","19,639","746.15K","-0.97%"
"11/27/2025","19,832","19,412","19,881","19,412","702.01K","-0.24%"
"11/26/2025","19,879","19,538","19,952","19,514","941.87K","1.68%"
"11/25/2025","19,550","18,712","19,576","18,712","626.04K","3.04%"
"11/24/2025","18,974","19,176","19,176","18,639","728.55K","0.95%"
"11/21/2025","18,795","18,500","18,865","18,359","520.40K","1.47%"
"11/20/2025","18,522","18,858","19,039","18,495","509.62K","-1.64%"
"11/19/2025","18,831","18,827","18,951","18,621","341.29K","1.02%"
"11/18/2025","18,641","18,800","18,915","18,559","485.21K","-1.37%"
"11/17/2025","18,900","18,800","18,938","18,534","361.54K","0.53%"
"11/14/2025","18,800","19,260","19,260","18,598","403.67K","-1.60%"
"11/13/2025","19,106","18,810","19,173","18,810","554.69K","0.05%"
"11/12/2025","19,097","19,000","19,208","18,780","571.95K","1.11%"
"11/11/2025","18,887","18,481","18,887","18,481","644.97K","2.11%"
"11/10/2025","18,497","18,586","18,777","18,497","746.86K","-0.48%"
"11/07/2025","18,586","18,900","18,900","18,231","397.55K","-0.31%"
"11/06/2025","18,644","19,095","19,184","18,611","1.26M","-2.50%"
"11/05/2025","19,122","18,954","19,323","18,954","691.83K","0.12%"
"11/04/2025","19,100","19,100","19,214","18,906","370.60K","-0.44%"
"11/03/2025","19,185","19,172","19,484","19,111","520.53K","-0.35%"
"10/31/2025","19,253","19,716","19,716","19,037","458.25K","-0.14%"
"10/30/2025","19,280","19,348","19,736","19,264","831.93K","-1.21%"
"10/29/2025","19,516","19,324","19,675","19,324","431.08K","-0.30%"
"10/28/2025","19,574","19,548","19,742","19,440","869.49K","0.70%"
"10/27/2025","19,438","19,848","19,848","19,286","867.09K","-0.54%"
"10/24/2025","19,544","19,330","19,659","19,330","547.97K","-0.18%"
"10/23/2025","19,580","19,447","19,755","19,329","1.07M","0.68%"
"10/22/2025","19,448","19,201","19,476","18,966","837.84K","1.46%"
"10/21/2025","19,168","18,949","19,214","18,796","682.52K","0.62%"
"10/20/2025","19,050","19,050","19,072","18,762","756.09K","-0.32%"
"10/17/2025","19,111","19,100","19,318","18,904","1.10M","-0.15%"
"10/16/2025","19,139","19,478","19,567","19,139","508.06K","-1.74%"
"10/15/2025","19,478","19,742","19,757","19,381","472.96K","-0.62%"
"10/14/2025","19,599","19,244","19,679","19,244","1.01M","1.23%"
"10/13/2025","19,360","19,350","19,444","19,003","970.97K","0.16%"
"10/10/2025","19,329","19,777","19,853","19,329","950.03K","-2.82%"
"10/09/2025","19,890","19,780","20,160","19,499","1.95M","1.91%"
"10/08/2025","19,518","19,740","19,756","19,196","1.94M","-1.30%"
"10/07/2025","19,775","20,275","20,422","19,775","1.92M","-2.86%"
"10/06/2025","20,357","23,580","23,580","19,969","3.39M","-16.48%"
"10/03/2025","24,375","24,323","24,382","24,068","399.51K","0.89%"
"10/02/2025","24,160","24,018","24,498","24,018","516.16K","0.59%"
