"Date","Price","Open","High","Low","Vol.","Change %"
"2026/04/07","11,372","11,600","11,724","11,256","199.13K","-2.23%"
"2026/04/02","11,631","11,662","11,662","11,370","708.96K","-0.26%"
"2026/04/01","11,661","11,250","11,700","11,250","542.47K","0.53%"
"2026/03/31","11,599","11,111","11,599","11,111","736.22K","3.61%"
"2026/03/30","11,195","11,284","11,284","11,064","579.18K","-1.33%"
"2026/03/27","11,346","11,551","11,693","11,058","547.69K","-2.86%"
"2026/03/26","11,680","11,980","12,086","11,541","369.62K","-2.06%"
"2026/03/25","11,926","11,968","12,075","11,813","525.03K","-2.35%"
"2026/03/24","12,213","11,730","12,213","11,730","363.93K","1.77%"
"2026/03/23","12,001","11,976","12,013","11,563","222.69K","0.44%"
"2026/03/20","11,949","11,623","12,400","11,609","1.42M","3.48%"
"2026/03/19","11,547","11,700","11,788","11,440","714.82K","-2.41%"
"2026/03/18","11,832","11,883","12,193","11,730","794.34K","-0.03%"
"2026/03/17","11,836","11,801","11,900","11,739","1.13M","0.05%"
"2026/03/16","11,830","11,750","12,159","11,750","488.37K","-0.44%"
"2026/03/13","11,882","11,844","11,915","11,718","369.92K","-0.17%"
"2026/03/12","11,902","12,019","12,048","11,722","493.28K","-1.39%"
"2026/03/11","12,070","12,267","12,276","11,989","390.03K","-1.03%"
"2026/03/10","12,196","12,000","12,401","12,000","698.74K","0.30%"
"2026/03/09","12,160","12,400","12,403","12,002","444.96K","-2.56%"
"2026/03/06","12,479","12,582","12,677","12,444","703.95K","-1.49%"
"2026/03/05","12,668","12,705","12,878","12,584","555.04K","-0.25%"
"2026/03/04","12,700","12,601","12,778","12,468","264.52K","0.99%"
"2026/03/03","12,575","13,157","13,206","12,493","761.83K","-5.24%"
"2026/03/02","13,270","13,393","13,546","13,118","311.61K","-1.48%"
"2026/02/27","13,470","13,201","13,470","13,028","852.68K","2.05%"
"2026/02/26","13,200","12,911","13,562","12,738","613.31K","4.76%"
"2026/02/25","12,600","13,243","13,873","12,362","971.16K","-4.36%"
"2026/02/24","13,175","12,920","13,208","12,920","110.16K","0.26%"
"2026/02/23","13,141","13,025","13,153","13,025","345.84K","1.45%"
"2026/02/20","12,953","12,801","13,119","12,801","265.21K","-0.36%"
"2026/02/19","13,000","12,933","13,292","12,933","319.24K","-1.07%"
"2026/02/18","13,140","13,206","13,220","12,961","145.03K","1.34%"
"2026/02/17","12,966","13,002","13,115","12,900","221.30K","-0.80%"
"2026/02/16","13,071","12,982","13,108","12,890","201.27K","0.08%"
"2026/02/13","13,061","12,962","13,168","12,962","418.57K","-0.77%"
"2026/02/12","13,162","12,921","13,162","12,918","209.14K","1.21%"
"2026/02/11","13,005","13,020","13,020","12,836","137.59K","0.01%"
"2026/02/10","13,004","12,775","13,004","12,605","251.64K","1.96%"
"2026/02/09","12,754","12,868","12,888","12,701","132.79K","-0.89%"
"2026/02/06","12,868","12,691","12,884","12,691","172.84K","1.10%"
"2026/02/05","12,728","12,800","12,800","12,538","220.82K","-0.62%"
"2026/02/04","12,807","12,998","12,998","12,741","221.37K","-1.07%"
"2026/02/03","12,946","12,764","12,993","12,745","354.15K","2.20%"
"2026/02/02","12,667","12,480","12,675","12,308","346.29K","-0.63%"
"2026/01/30","12,747","12,703","12,944","12,636","474.23K","-0.97%"
"2026/01/29","12,872","13,179","13,179","12,823","287.10K","-0.91%"
"2026/01/28","12,990","13,238","13,275","12,990","347.22K","-1.73%"
"2026/01/27","13,219","13,138","13,219","13,045","230.42K","0.48%"
"2026/01/26","13,156","13,231","13,323","13,129","337.74K","-0.93%"
"2026/01/23","13,279","13,399","13,399","13,141","591.89K","-0.21%"
"2026/01/22","13,307","13,097","13,429","13,097","547.62K","1.15%"
"2026/01/21","13,156","13,000","13,156","12,855","460.28K","1.20%"
"2026/01/20","13,000","12,900","13,000","12,689","658.24K","1.03%"
"2026/01/19","12,867","12,435","12,960","12,435","188.55K","-0.59%"
"2026/01/16","12,943","12,930","12,943","12,769","206.18K","0.09%"
"2026/01/15","12,932","12,800","12,975","12,711","317.67K","0.39%"
"2026/01/14","12,882","13,018","13,121","12,626","298.79K","1.21%"
"2026/01/13","12,728","13,020","13,020","12,417","304.74K","-0.58%"
"2026/01/12","12,802","12,896","12,913","12,678","254.31K","-0.37%"
"2026/01/09","12,850","12,687","13,029","12,687","240.73K","1.36%"
"2026/01/08","12,677","12,500","12,682","12,129","172.82K","0.51%"
"2026/01/07","12,613","12,161","12,685","12,161","379.87K","1.63%"
"2026/01/06","12,411","12,499","12,528","12,343","141.70K","0.86%"
"2026/01/05","12,305","12,385","12,415","12,256","237.33K","-0.70%"
"2026/01/02","12,392","11,951","12,433","11,951","144.94K","1.63%"
"2025/12/31","12,193","12,263","12,282","12,107","69.55K","-0.09%"
"2025/12/30","12,204","12,180","12,276","12,130","140.73K","0.34%"
"2025/12/29","12,163","12,089","12,174","11,987","105.02K","0.31%"
"2025/12/24","12,125","12,052","12,178","12,052","18.76K","0.48%"
"2025/12/23","12,067","11,834","12,094","11,801","185.69K","1.47%"
"2025/12/22","11,892","11,773","11,894","11,691","156.41K","1.01%"
