"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","15,237","15,341","15,544","14,881","1.33M","-0.67%"
"03/26/2026","15,340","15,770","15,831","15,255","1.79M","-3.69%"
"03/25/2026","15,927","15,600","16,075","15,552","1.04M","2.75%"
"03/24/2026","15,500","15,500","15,602","15,176","952.59K","1.02%"
"03/23/2026","15,343","15,700","15,879","15,059","1.36M","-2.55%"
"03/20/2026","15,745","15,255","15,969","15,255","4.82M","1.58%"
"03/19/2026","15,500","15,940","15,990","15,300","5.67M","-2.47%"
"03/18/2026","15,893","16,101","16,585","15,893","2.98M","-1.90%"
"03/17/2026","16,200","16,865","17,528","16,027","4.25M","-3.94%"
"03/16/2026","16,865","16,770","17,049","16,750","1.28M","0.69%"
"03/13/2026","16,749","16,671","17,051","16,527","1.47M","-0.30%"
"03/12/2026","16,800","17,101","17,212","16,654","1.49M","-2.97%"
"03/11/2026","17,315","17,246","17,750","17,004","1.82M","-1.31%"
"03/10/2026","17,545","17,100","17,589","17,100","1.37M","4.22%"
"03/09/2026","16,835","17,019","17,068","16,583","1.66M","-1.83%"
"03/06/2026","17,148","17,597","17,683","17,043","1.65M","-2.57%"
"03/05/2026","17,600","17,850","17,850","17,322","1.08M","0.00%"
"03/04/2026","17,600","17,400","17,688","17,274","1.38M","1.07%"
"03/03/2026","17,414","18,319","18,319","17,367","2.04M","-3.66%"
"03/02/2026","18,075","17,951","18,224","17,711","1.05M","-1.33%"
"02/27/2026","18,319","18,449","18,555","18,146","3.15M","-0.48%"
"02/26/2026","18,408","17,900","18,631","17,684","2.51M","4.00%"
"02/25/2026","17,700","17,246","17,832","17,246","1.37M","-0.35%"
"02/24/2026","17,762","17,200","17,858","17,200","1.23M","2.01%"
"02/23/2026","17,412","17,159","17,471","17,159","812.56K","0.94%"
"02/20/2026","17,250","17,159","17,384","17,159","1.15M","-0.27%"
"02/19/2026","17,297","16,650","17,443","16,650","1.15M","0.86%"
"02/18/2026","17,150","16,701","17,261","16,701","1.12M","1.70%"
"02/17/2026","16,863","16,703","17,034","16,671","1.03M","0.49%"
"02/16/2026","16,781","16,651","16,915","16,651","513.52K","0.49%"
"02/13/2026","16,700","16,768","16,836","16,572","1.05M","-0.54%"
"02/12/2026","16,791","16,500","16,829","16,500","714.13K","0.32%"
"02/11/2026","16,738","16,850","16,850","16,474","791.12K","-0.83%"
"02/10/2026","16,878","17,140","17,140","16,753","777.63K","-0.02%"
"02/09/2026","16,881","17,150","17,323","16,821","1.12M","-1.22%"
