"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2026","88,234","90,740","90,900","87,942","1.57M","-2.88%"
"03/25/2026","90,847","86,800","91,606","86,800","1.93M","4.91%"
"03/24/2026","86,593","88,700","90,181","86,391","1.99M","-2.27%"
"03/23/2026","88,600","86,050","90,647","85,118","2.16M","-0.34%"
"03/20/2026","88,900","91,137","91,246","88,419","8.48M","-0.41%"
"03/19/2026","89,263","91,500","91,750","87,425","6.04M","-2.05%"
"03/18/2026","91,129","98,700","100,648","90,352","2.82M","-6.99%"
"03/17/2026","97,974","97,400","99,558","96,601","2.20M","0.50%"
"03/16/2026","97,482","98,600","99,459","95,771","2.73M","0.50%"
"03/13/2026","97,000","94,649","97,763","94,105","2.84M","3.42%"
"03/12/2026","93,789","92,551","94,192","91,898","1.53M","0.65%"
"03/11/2026","93,179","94,800","94,892","92,911","1.89M","-1.41%"
"03/10/2026","94,508","92,500","95,993","92,382","2.40M","7.31%"
"03/09/2026","88,074","87,333","89,143","86,101","1.53M","0.47%"
"03/06/2026","87,662","89,735","90,715","87,243","1.77M","-0.49%"
"03/05/2026","88,096","88,550","88,800","86,000","1.80M","1.32%"
"03/04/2026","86,948","84,000","87,450","83,755","1.87M","2.97%"
"03/03/2026","84,438","86,521","87,307","83,751","2.34M","-2.41%"
"03/02/2026","86,521","87,530","88,392","85,632","1.56M","-2.27%"
"02/27/2026","88,528","90,010","90,250","88,528","2.81M","-0.19%"
"02/26/2026","88,694","90,150","90,154","88,100","1.98M","-2.41%"
"02/25/2026","90,883","90,600","91,910","89,716","1.36M","0.60%"
"02/24/2026","90,341","89,989","90,765","89,271","1.66M","-1.24%"
"02/23/2026","91,475","92,515","93,123","91,143","1.77M","1.73%"
"02/20/2026","89,917","89,134","90,103","88,882","1.66M","-0.64%"
"02/19/2026","90,500","91,900","91,950","90,105","1.51M","-1.15%"
"02/18/2026","91,555","89,800","91,555","89,488","1.69M","2.64%"
"02/17/2026","89,203","89,500","89,750","88,200","1.26M","-0.55%"
"02/16/2026","89,692","89,300","90,648","89,300","1.46M","0.64%"
"02/13/2026","89,120","90,600","91,994","88,724","1.74M","-1.64%"
"02/12/2026","90,609","88,990","91,478","88,000","2.03M","0.03%"
"02/11/2026","90,580","93,390","93,390","90,181","2.61M","-2.34%"
"02/10/2026","92,750","94,795","95,496","92,512","1.98M","-2.76%"
"02/09/2026","95,382","97,950","97,950","94,713","1.50M","-0.35%"
"02/06/2026","95,719","94,166","96,672","94,021","2.05M","1.65%"
"02/05/2026","94,166","94,300","95,990","93,900","2.32M","0.52%"
"02/04/2026","93,680","95,800","95,996","93,680","2.66M","-3.64%"
"02/03/2026","97,219","97,700","98,315","96,686","2.73M","-1.80%"
"02/02/2026","99,000","96,340","99,642","94,733","2.04M","-0.15%"
"01/30/2026","99,150","101,041","102,091","99,150","2.74M","-2.99%"
"01/29/2026","102,210","102,001","104,336","102,001","1.32M","-0.94%"
"01/28/2026","103,183","105,450","105,746","103,133","1.50M","-0.59%"
"01/27/2026","103,797","102,419","104,237","102,419","1.90M","2.76%"
"01/26/2026","101,012","102,611","103,055","100,849","1.57M","-1.26%"
"01/23/2026","102,304","102,200","102,809","101,536","1.54M","-0.60%"
"01/22/2026","102,917","101,800","103,810","100,966","1.77M","1.24%"
"01/21/2026","101,661","103,800","104,503","100,735","2.05M","-2.12%"
"01/20/2026","103,858","106,100","106,702","103,628","1.76M","-2.82%"
"01/19/2026","106,868","108,582","109,200","106,831","1.09M","-1.99%"
"01/16/2026","109,033","110,400","111,397","109,033","1.92M","-1.22%"
"01/15/2026","110,375","113,555","114,298","110,182","1.80M","-3.53%"
"01/14/2026","114,417","113,964","115,053","112,900","1.57M","-0.06%"
"01/13/2026","114,484","113,047","115,559","112,948","1.39M","1.51%"
"01/12/2026","112,782","111,990","113,000","111,464","985.10K","2.13%"
"01/09/2026","110,435","111,160","111,623","110,123","977.04K","-1.29%"
"01/08/2026","111,876","112,000","113,192","111,367","808.00K","-1.61%"
"01/07/2026","113,709","112,800","114,356","111,060","1.71M","0.05%"
"01/06/2026","113,656","111,500","114,211","111,500","1.39M","2.28%"
"01/05/2026","111,127","112,400","112,558","110,894","1.02M","-0.04%"
"01/02/2026","111,177","113,408","113,993","110,738","947.73K","0.66%"
"12/31/2025","110,451","112,000","112,510","109,858","495.48K","-1.33%"
"12/30/2025","111,943","112,811","113,518","111,530","819.68K","0.01%"
"12/29/2025","111,931","111,322","112,599","111,255","798.07K","-0.08%"
"12/24/2025","112,019","112,100","113,511","111,863","352.66K","0.02%"
