"Date","Price","Open","High","Low","Vol.","Change %"
"2026/04/07","27,211","27,427","27,545","26,661","1.15M","-0.79%"
"2026/04/02","27,427","27,211","27,451","26,526","1.20M","0.16%"
"2026/04/01","27,383","27,290","27,862","26,860","2.15M","2.65%"
"2026/03/31","26,676","26,701","27,150","26,519","2.37M","-0.09%"
"2026/03/30","26,700","27,240","27,240","26,369","2.03M","-1.38%"
"2026/03/27","27,073","27,303","27,607","26,698","1.33M","-1.25%"
"2026/03/26","27,415","27,443","27,658","27,118","1.72M","-0.35%"
"2026/03/25","27,510","26,601","27,635","26,601","1.92M","3.56%"
"2026/03/24","26,564","26,599","26,790","25,963","1.76M","0.99%"
"2026/03/23","26,303","26,100","27,131","25,717","2.10M","-0.75%"
"2026/03/20","26,503","26,400","27,250","26,400","4.54M","0.11%"
"2026/03/19","26,475","26,500","26,617","25,861","5.08M","-0.90%"
"2026/03/18","26,715","26,851","27,515","26,591","2.88M","-1.26%"
"2026/03/17","27,055","26,550","27,055","26,100","2.80M","2.19%"
"2026/03/16","26,475","26,261","26,691","26,134","1.85M","1.45%"
"2026/03/13","26,096","26,600","26,600","26,000","1.31M","-1.41%"
"2026/03/12","26,469","27,300","27,438","26,322","2.51M","-3.37%"
"2026/03/11","27,392","27,801","28,017","26,776","1.67M","-1.47%"
"2026/03/10","27,800","27,606","28,389","27,606","2.41M","1.23%"
"2026/03/09","27,463","27,354","28,107","26,900","2.94M","-0.77%"
"2026/03/06","27,675","28,555","28,684","27,150","3.08M","-3.28%"
"2026/03/05","28,615","29,621","30,071","28,323","3.16M","-3.52%"
"2026/03/04","29,660","29,600","29,953","29,150","2.30M","-0.58%"
"2026/03/03","29,833","30,500","31,262","29,644","2.74M","-3.17%"
"2026/03/02","30,809","31,280","31,280","30,280","2.14M","-2.19%"
"2026/02/27","31,500","31,448","31,839","31,160","5.17M","0.17%"
"2026/02/26","31,448","29,200","31,822","29,199","4.18M","8.07%"
"2026/02/25","29,100","28,605","29,205","28,605","1.07M","0.00%"
"2026/02/24","29,100","28,455","29,200","28,414","1.32M","1.83%"
"2026/02/23","28,576","28,300","28,900","28,190","1.30M","0.90%"
"2026/02/20","28,320","28,170","28,712","28,170","1.55M","-0.37%"
"2026/02/19","28,426","28,510","28,880","28,317","1.84M","-0.70%"
"2026/02/18","28,625","28,246","28,898","28,177","2.36M","1.60%"
"2026/02/17","28,175","28,167","28,363","28,011","749.94K","0.10%"
"2026/02/16","28,147","28,181","28,590","28,055","651.08K","-0.02%"
"2026/02/13","28,153","27,851","28,291","27,774","1.58M","0.12%"
"2026/02/12","28,119","28,023","28,372","27,980","1.12M","0.22%"
"2026/02/11","28,056","27,610","28,133","27,400","1.03M","0.95%"
"2026/02/10","27,791","27,227","27,798","26,762","1.46M","3.22%"
"2026/02/09","26,925","27,500","27,500","26,734","1.15M","-0.19%"
"2026/02/06","26,976","26,746","27,202","26,746","1.25M","-0.09%"
"2026/02/05","27,000","26,850","27,332","26,561","1.16M","0.00%"
"2026/02/04","27,000","26,697","27,109","26,559","951.03K","-0.37%"
"2026/02/03","27,100","27,049","27,400","26,900","1.48M","0.44%"
"2026/02/02","26,981","26,746","26,983","26,000","1.94M","1.68%"
"2026/01/30","26,534","26,000","26,950","26,000","2.83M","0.89%"
"2026/01/29","26,300","26,490","26,798","26,018","2.28M","1.10%"
"2026/01/28","26,015","25,906","26,238","25,730","2.10M","-0.50%"
"2026/01/27","26,146","26,829","26,967","25,799","3.57M","-2.31%"
"2026/01/26","26,764","27,000","27,256","26,618","1.59M","-2.16%"
"2026/01/23","27,355","27,199","27,750","26,844","1.88M","0.97%"
"2026/01/22","27,092","27,400","27,400","26,402","3.24M","-1.21%"
"2026/01/21","27,424","27,500","27,500","26,901","927.32K","0.33%"
"2026/01/20","27,334","27,388","27,388","27,005","846.64K","0.06%"
"2026/01/19","27,318","26,701","27,382","26,701","668.09K","0.28%"
"2026/01/16","27,242","26,700","27,669","26,700","1.09M","-0.61%"
"2026/01/15","27,410","27,499","27,513","27,173","1.11M","1.37%"
"2026/01/14","27,040","27,201","27,350","26,530","1.51M","-0.64%"
"2026/01/13","27,214","27,543","27,584","27,075","1.19M","-1.19%"
"2026/01/12","27,543","27,992","27,992","27,476","733.61K","-0.68%"
"2026/01/09","27,732","27,650","27,999","27,586","825.25K","0.33%"
"2026/01/08","27,642","27,147","27,810","27,147","913.97K","0.57%"
"2026/01/07","27,485","27,311","27,698","27,200","1.52M","-0.42%"
"2026/01/06","27,600","26,600","27,710","26,600","1.80M","2.59%"
"2026/01/05","26,903","26,837","26,903","26,300","681.10K","0.63%"
"2026/01/02","26,734","26,590","26,851","26,258","481.09K","0.41%"
"2025/12/31","26,626","26,578","26,659","26,458","177.16K","0.22%"
"2025/12/30","26,568","26,650","26,787","26,532","551.80K","-0.14%"
"2025/12/29","26,605","26,211","26,759","26,211","410.93K","0.73%"
"2025/12/24","26,412","26,200","26,573","26,148","188.04K","0.80%"
"2025/12/23","26,203","25,806","26,232","25,806","842.85K","0.69%"
"2025/12/22","26,024","26,100","26,207","25,604","626.67K","-0.17%"
"2025/12/19","26,069","26,399","26,548","25,750","3.84M","-1.00%"
"2025/12/18","26,333","26,150","26,544","26,076","4.99M","0.43%"
"2025/12/17","26,220","26,020","26,380","25,814","1.52M","0.95%"
"2025/12/15","25,972","25,500","26,262","25,499","1.36M","0.28%"
"2025/12/12","25,900","26,161","26,463","25,848","1.20M","-0.37%"
"2025/12/11","25,997","25,412","26,250","25,412","1.38M","1.18%"
"2025/12/10","25,695","25,771","25,843","25,500","999.28K","-0.29%"
"2025/12/09","25,771","25,300","25,771","25,247","1.61M","1.47%"
"2025/12/08","25,398","26,000","26,061","25,325","1.17M","-1.92%"
"2025/12/05","25,895","26,195","26,381","25,879","1.55M","-1.15%"
"2025/12/04","26,195","25,988","26,381","25,164","1.34M","1.22%"
"2025/12/03","25,879","25,201","25,971","25,143","1.67M","1.02%"
"2025/12/02","25,618","25,100","25,882","25,100","1.69M","1.10%"
"2025/12/01","25,339","25,403","25,551","25,027","1.96M","-0.89%"
"2025/11/28","25,566","25,880","25,946","25,223","3.20M","-1.22%"
"2025/11/27","25,882","26,164","26,500","25,808","1.05M","-1.63%"
"2025/11/26","26,310","26,200","26,729","26,180","1.40M","0.56%"
"2025/11/25","26,164","26,344","26,480","25,807","1.92M","-0.47%"
"2025/11/24","26,288","26,300","26,480","26,045","4.48M","0.54%"
"2025/11/21","26,146","26,222","26,388","25,907","2.22M","-1.96%"
"2025/11/20","26,668","26,190","26,868","26,190","2.82M","1.51%"
"2025/11/19","26,272","26,100","26,499","26,048","1.56M","-0.27%"
"2025/11/18","26,344","26,090","26,484","25,839","1.85M","0.23%"
"2025/11/17","26,283","25,858","26,531","25,840","2.47M","1.38%"
"2025/11/14","25,926","26,002","26,182","25,722","2.18M","-0.91%"
"2025/11/13","26,163","25,500","26,698","25,483","3.17M","2.28%"
"2025/11/12","25,581","24,803","25,660","24,803","2.49M","1.94%"
"2025/11/11","25,093","24,949","25,294","24,775","2.57M","0.46%"
"2025/11/10","24,979","24,659","25,140","24,659","2.43M","1.65%"
"2025/11/07","24,574","24,492","24,582","24,167","2.21M","0.33%"
"2025/11/06","24,492","23,900","24,732","23,874","2.35M","2.25%"
"2025/11/05","23,954","23,970","23,999","23,212","1.30M","1.04%"
"2025/11/04","23,708","23,505","23,775","23,174","1.49M","0.53%"
"2025/11/03","23,582","23,700","23,992","23,439","1.06M","-0.14%"
"2025/10/31","23,616","23,880","23,972","23,447","1.38M","-0.21%"
"2025/10/30","23,665","24,500","24,500","23,604","1.41M","-2.20%"
"2025/10/29","24,197","24,501","24,501","24,129","1.09M","-0.50%"
"2025/10/28","24,319","23,900","24,734","23,900","1.98M","1.54%"
"2025/10/27","23,950","24,125","24,415","23,801","1.97M","-0.60%"
"2025/10/24","24,095","24,233","24,430","24,000","1.64M","-0.19%"
"2025/10/23","24,141","24,049","24,181","23,679","1.79M","1.29%"
"2025/10/22","23,834","23,321","24,161","23,321","2.21M","2.02%"
"2025/10/21","23,361","23,580","23,673","23,079","2.33M","-0.64%"
"2025/10/20","23,511","23,303","23,700","23,290","1.89M","1.75%"
