"Date","Price","Open","High","Low","Vol.","Change %"
"2026/04/07","1,675","1,689","1,689","1,645","3.03M","-0.06%"
"2026/04/02","1,676","1,655","1,678","1,643","1.52M","0.36%"
"2026/04/01","1,670","1,632","1,690","1,632","3.09M","1.09%"
"2026/03/31","1,652","1,622","1,660","1,622","2.77M","0.79%"
"2026/03/30","1,639","1,588","1,646","1,588","2.05M","-0.43%"
"2026/03/27","1,646","1,700","1,700","1,576","4.43M","-2.20%"
"2026/03/26","1,683","1,635","1,698","1,635","3.38M","0.06%"
"2026/03/25","1,682","1,575","1,719","1,575","7.70M","1.57%"
"2026/03/24","1,656","1,600","1,656","1,578","2.63M","3.24%"
"2026/03/23","1,604","1,610","1,618","1,553","3.15M","0.12%"
"2026/03/20","1,602","1,550","1,620","1,550","7.61M","2.23%"
"2026/03/19","1,567","1,658","1,658","1,548","10.65M","-4.45%"
"2026/03/18","1,640","1,636","1,660","1,619","4.49M","0.49%"
"2026/03/17","1,632","1,609","1,637","1,600","2.99M","1.43%"
"2026/03/16","1,609","1,560","1,609","1,560","4.04M","1.39%"
"2026/03/13","1,587","1,650","1,650","1,573","7.81M","-1.43%"
"2026/03/12","1,610","1,575","1,634","1,575","4.24M","-0.86%"
"2026/03/11","1,624","1,650","1,663","1,596","2.41M","-0.92%"
"2026/03/10","1,639","1,650","1,650","1,582","4.17M","3.28%"
"2026/03/09","1,587","1,605","1,613","1,586","3.24M","-2.28%"
"2026/03/06","1,624","1,659","1,659","1,602","3.47M","-1.52%"
"2026/03/05","1,649","1,630","1,666","1,611","2.85M","0.67%"
"2026/03/04","1,638","1,620","1,647","1,607","2.84M","0.92%"
"2026/03/03","1,623","1,689","1,689","1,615","5.35M","-3.91%"
"2026/03/02","1,689","1,700","1,711","1,652","2.65M","-1.63%"
"2026/02/27","1,717","1,704","1,734","1,688","3.70M","1.30%"
"2026/02/26","1,695","1,700","1,704","1,675","1.65M","1.19%"
"2026/02/25","1,675","1,640","1,688","1,640","4.14M","1.52%"
"2026/02/24","1,650","1,661","1,665","1,640","2.43M","-0.24%"
"2026/02/23","1,654","1,640","1,656","1,627","1.84M","1.41%"
"2026/02/20","1,631","1,610","1,638","1,606","1.26M","1.43%"
"2026/02/19","1,608","1,608","1,624","1,603","627.91K","0.06%"
"2026/02/18","1,607","1,605","1,615","1,565","2.31M","1.52%"
"2026/02/17","1,583","1,551","1,592","1,547","3.17M","1.02%"
"2026/02/16","1,567","1,579","1,603","1,563","6.17M","-1.07%"
"2026/02/13","1,584","1,545","1,591","1,540","2.49M","2.19%"
"2026/02/12","1,550","1,553","1,566","1,544","1.83M","-0.06%"
"2026/02/11","1,551","1,585","1,585","1,537","954.75K","-0.19%"
"2026/02/10","1,554","1,549","1,561","1,542","709.20K","0.26%"
"2026/02/09","1,550","1,550","1,562","1,533","1.61M","-0.77%"
"2026/02/06","1,562","1,530","1,569","1,528","836.31K","-0.32%"
"2026/02/05","1,567","1,563","1,567","1,537","1.41M","0.84%"
"2026/02/04","1,554","1,590","1,590","1,551","3.02M","-1.27%"
"2026/02/03","1,574","1,559","1,585","1,559","1.96M","1.29%"
"2026/02/02","1,554","1,520","1,565","1,520","854.16K","0.26%"
"2026/01/30","1,550","1,565","1,590","1,544","1.94M","-1.27%"
"2026/01/29","1,570","1,545","1,581","1,545","1.14M","0.71%"
"2026/01/28","1,559","1,588","1,588","1,549","3.11M","-1.45%"
"2026/01/27","1,582","1,638","1,638","1,563","1.13M","-0.32%"
"2026/01/26","1,587","1,545","1,590","1,545","2.89M","1.02%"
"2026/01/23","1,571","1,570","1,621","1,570","1.78M","-3.02%"
"2026/01/22","1,620","1,600","1,620","1,595","2.45M","1.57%"
"2026/01/21","1,595","1,631","1,631","1,587","3.81M","-4.03%"
"2026/01/20","1,662","1,625","1,673","1,624","3.78M","1.53%"
"2026/01/19","1,637","1,647","1,648","1,618","3.57M","-0.43%"
"2026/01/16","1,644","1,597","1,644","1,589","2.41M","2.94%"
"2026/01/15","1,597","1,585","1,603","1,574","3.04M","0.76%"
"2026/01/14","1,585","1,612","1,612","1,575","1.90M","-0.69%"
"2026/01/13","1,596","1,600","1,600","1,565","1.34M","0.76%"
"2026/01/12","1,584","1,611","1,611","1,571","1.62M","-1.12%"
"2026/01/09","1,602","1,584","1,607","1,580","1.59M","1.07%"
"2026/01/08","1,585","1,580","1,593","1,575","620.34K","-0.13%"
"2026/01/07","1,587","1,599","1,604","1,587","1.95M","-0.81%"
"2026/01/06","1,600","1,580","1,608","1,580","734.72K","0.76%"
"2026/01/05","1,588","1,610","1,610","1,585","791.68K","-0.75%"
"2026/01/02","1,600","1,599","1,600","1,578","1.20M","1.07%"
"2025/12/31","1,583","1,580","1,584","1,572","99.57K","0.51%"
"2025/12/30","1,575","1,596","1,597","1,575","582.88K","-0.82%"
"2025/12/29","1,588","1,599","1,599","1,552","534.07K","0.51%"
"2025/12/24","1,580","1,595","1,599","1,580","933.69K","-0.69%"
"2025/12/23","1,591","1,560","1,594","1,543","1.59M","2.65%"
"2025/12/22","1,550","1,520","1,560","1,520","1.60M","-0.64%"
"2025/12/19","1,560","1,558","1,577","1,546","4.36M","0.32%"
"2025/12/18","1,555","1,550","1,587","1,550","5.40M","0.32%"
"2025/12/17","1,550","1,536","1,562","1,520","3.34M","0.98%"
"2025/12/15","1,535","1,487","1,538","1,487","5.43M","1.86%"
"2025/12/12","1,507","1,461","1,514","1,461","3.34M","-0.07%"
"2025/12/11","1,508","1,545","1,545","1,493","1.50M","-0.46%"
"2025/12/10","1,515","1,521","1,532","1,513","1.87M","-0.85%"
"2025/12/09","1,528","1,510","1,547","1,510","2.45M","0.13%"
"2025/12/08","1,526","1,520","1,534","1,511","2.65M","0.20%"
"2025/12/05","1,523","1,503","1,523","1,488","2.38M","1.53%"
"2025/12/04","1,500","1,510","1,515","1,493","1.65M","-1.25%"
"2025/12/03","1,519","1,493","1,520","1,490","1.73M","1.27%"
"2025/12/02","1,500","1,485","1,504","1,479","3.16M","1.01%"
"2025/12/01","1,485","1,517","1,525","1,466","2.96M","-3.07%"
"2025/11/28","1,532","1,530","1,548","1,520","1.80M","0.13%"
"2025/11/27","1,530","1,480","1,542","1,480","3.26M","1.06%"
"2025/11/26","1,514","1,492","1,527","1,490","2.05M","-0.79%"
"2025/11/25","1,526","1,530","1,556","1,489","1.83M","-0.78%"
"2025/11/24","1,538","1,511","1,562","1,465","3.71M","3.78%"
"2025/11/21","1,482","1,550","1,550","1,445","5.24M","-1.92%"
"2025/11/20","1,511","1,500","1,574","1,488","4.92M","1.41%"
"2025/11/19","1,490","1,500","1,508","1,462","3.07M","-1.39%"
"2025/11/18","1,511","1,535","1,535","1,501","1.97M","-1.31%"
"2025/11/17","1,531","1,521","1,531","1,514","1.10M","0.86%"
"2025/11/14","1,518","1,529","1,530","1,497","1.57M","-0.13%"
"2025/11/13","1,520","1,490","1,529","1,478","2.90M","1.40%"
"2025/11/12","1,499","1,440","1,499","1,432","2.08M","3.52%"
"2025/11/11","1,448","1,435","1,495","1,430","1.71M","-0.28%"
"2025/11/10","1,452","1,435","1,465","1,435","634.26K","0.00%"
"2025/11/07","1,452","1,430","1,457","1,428","1.32M","-0.55%"
"2025/11/06","1,460","1,480","1,480","1,443","3.37M","-0.75%"
"2025/11/05","1,471","1,495","1,495","1,453","1.90M","-0.54%"
"2025/11/04","1,479","1,476","1,498","1,453","3.00M","0.14%"
"2025/11/03","1,477","1,485","1,496","1,444","2.54M","1.23%"
"2025/10/31","1,459","1,431","1,459","1,431","2.28M","1.32%"
"2025/10/30","1,440","1,430","1,454","1,430","2.19M","-0.69%"
"2025/10/29","1,450","1,450","1,470","1,446","1.78M","-1.09%"
"2025/10/28","1,466","1,433","1,466","1,422","2.04M","2.45%"
"2025/10/27","1,431","1,425","1,458","1,412","3.95M","-1.78%"
"2025/10/24","1,457","1,456","1,480","1,440","1.45M","-0.07%"
"2025/10/23","1,458","1,460","1,465","1,442","1.22M","-0.34%"
"2025/10/22","1,463","1,436","1,464","1,417","2.32M","2.67%"
"2025/10/21","1,425","1,443","1,444","1,386","1.97M","-1.66%"
"2025/10/20","1,449","1,442","1,452","1,433","1.05M","0.91%"
"2025/10/17","1,436","1,444","1,444","1,421","1.31M","-0.62%"
"2025/10/16","1,445","1,455","1,455","1,419","2.30M","1.19%"
"2025/10/15","1,428","1,420","1,429","1,414","2.84M","0.92%"
"2025/10/14","1,415","1,436","1,437","1,405","1.83M","-2.08%"
"2025/10/13","1,445","1,443","1,453","1,431","862.99K","0.07%"
"2025/10/10","1,444","1,416","1,453","1,416","912.72K","0.63%"
"2025/10/09","1,435","1,430","1,444","1,428","533.30K","0.21%"
"2025/10/08","1,432","1,468","1,468","1,417","682.66K","0.49%"
"2025/10/07","1,425","1,411","1,441","1,411","1.77M","0.35%"
"2025/10/06","1,420","1,405","1,435","1,405","1.78M","0.00%"
"2025/10/03","1,420","1,426","1,435","1,404","1.91M","-0.91%"
"2025/10/02","1,433","1,401","1,497","1,401","9.08M","-1.71%"
"2025/10/01","1,458","1,401","1,458","1,401","2.12M","2.68%"
"2025/09/30","1,420","1,377","1,449","1,368","5.45M","3.73%"
"2025/09/29","1,369","1,375","1,390","1,366","1.86M","-0.44%"
"2025/09/26","1,375","1,381","1,381","1,364","1.31M","0.29%"
"2025/09/25","1,371","1,400","1,400","1,356","2.10M","-0.51%"
"2025/09/23","1,378","1,366","1,391","1,365","1.60M","0.73%"
"2025/09/22","1,368","1,361","1,396","1,361","1.73M","-2.01%"
"2025/09/19","1,396","1,390","1,400","1,368","2.92M","0.50%"
"2025/09/18","1,389","1,390","1,399","1,373","4.36M","-1.00%"
"2025/09/17","1,403","1,435","1,435","1,382","1.19M","0.00%"
"2025/09/16","1,403","1,417","1,430","1,392","1.43M","-1.20%"
"2025/09/15","1,420","1,421","1,434","1,413","737.15K","0.14%"
"2025/09/12","1,418","1,405","1,428","1,400","923.98K","0.64%"
"2025/09/11","1,409","1,361","1,422","1,361","1.27M","0.57%"
"2025/09/10","1,401","1,399","1,430","1,393","2.45M","0.14%"
"2025/09/09","1,399","1,400","1,415","1,399","939.26K","0.00%"
"2025/09/08","1,399","1,400","1,407","1,387","1.28M","0.72%"
"2025/09/05","1,389","1,377","1,398","1,367","2.01M","1.39%"
"2025/09/04","1,370","1,340","1,377","1,340","2.20M","0.74%"
"2025/09/03","1,360","1,372","1,378","1,347","1.44M","-0.95%"
"2025/09/02","1,373","1,440","1,440","1,365","2.18M","-1.36%"
"2025/09/01","1,392","1,391","1,417","1,389","2.47M","0.07%"
"2025/08/29","1,391","1,350","1,425","1,350","3.09M","-0.57%"
"2025/08/28","1,399","1,408","1,408","1,391","1.70M","0.36%"
"2025/08/27","1,394","1,400","1,402","1,384","1.13M","-0.43%"
"2025/08/26","1,400","1,425","1,425","1,390","2.07M","-1.06%"
"2025/08/25","1,415","1,360","1,420","1,360","1.80M","0.35%"
"2025/08/22","1,410","1,410","1,414","1,377","984.14K","1.88%"
"2025/08/21","1,384","1,350","1,389","1,350","1.19M","0.29%"
"2025/08/20","1,380","1,387","1,393","1,369","818.71K","-0.79%"
"2025/08/19","1,391","1,390","1,399","1,377","2.26M","0.94%"
"2025/08/18","1,378","1,400","1,409","1,375","3.98M","-0.65%"
"2025/08/15","1,387","1,388","1,390","1,368","1.25M","-0.07%"
"2025/08/14","1,388","1,400","1,416","1,374","1.83M","-1.21%"
"2025/08/13","1,405","1,399","1,409","1,380","2.74M","1.30%"
"2025/08/12","1,387","1,389","1,389","1,369","3.26M","0.87%"
"2025/08/11","1,375","1,387","1,392","1,365","1.92M","-1.22%"
"2025/08/08","1,392","1,389","1,392","1,375","1.46M","0.72%"
"2025/08/07","1,382","1,365","1,388","1,361","2.88M","0.88%"
"2025/08/06","1,370","1,357","1,376","1,353","1.51M","0.96%"
"2025/08/05","1,357","1,331","1,383","1,331","3.04M","-1.09%"
"2025/08/04","1,372","1,371","1,373","1,350","1.52M","1.11%"
"2025/08/01","1,357","1,370","1,376","1,345","3.60M","-1.31%"
"2025/07/31","1,375","1,366","1,382","1,366","2.72M","-0.07%"
"2025/07/30","1,376","1,371","1,386","1,369","1.43M","0.36%"
