"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","5,010.00","4,988.00","5,071.00","4,970.00","411.84K","-0.85%"
"03/26/2026","5,053.00","5,032.00","5,069.00","4,957.00","194.02K","0.40%"
"03/25/2026","5,033.00","4,986.00","5,065.00","4,962.00","224.87K","2.28%"
"03/24/2026","4,921.00","4,830.00","4,947.00","4,830.00","208.35K","-2.17%"
"03/23/2026","5,030.00","4,785.00","5,030.00","4,730.00","410.61K","4.90%"
"03/20/2026","4,795.00","5,072.00","5,072.00","4,795.00","2.37M","-0.60%"
"03/19/2026","4,824.00","4,970.00","4,981.00","4,802.00","226.94K","-3.09%"
"03/18/2026","4,978.00","4,992.00","5,050.00","4,945.00","212.89K","-0.28%"
"03/17/2026","4,992.00","4,917.00","4,997.00","4,911.00","152.18K","1.36%"
"03/16/2026","4,925.00","4,944.00","4,996.00","4,904.00","497.34K","0.72%"
"03/13/2026","4,890.00","4,913.00","4,946.00","4,849.00","232.86K","-1.05%"
"03/12/2026","4,942.00","5,000.00","5,000.00","4,885.00","304.57K","-1.18%"
"03/11/2026","5,001.00","5,001.00","5,003.00","4,906.00","294.71K","-0.16%"
"03/10/2026","5,009.00","5,041.00","5,102.00","4,958.00","780.49K","0.48%"
"03/09/2026","4,985.00","5,120.00","5,120.00","4,927.00","296.85K","-2.27%"
"03/06/2026","5,101.00","5,394.00","5,394.00","5,069.00","430.18K","-4.53%"
"03/05/2026","5,343.00","5,417.00","5,417.00","5,263.00","284.42K","1.00%"
"03/04/2026","5,290.00","5,225.00","5,314.00","5,178.00","293.34K","1.77%"
"03/03/2026","5,198.00","5,480.00","5,483.00","5,161.00","769.57K","-5.30%"
"03/02/2026","5,489.00","5,380.00","5,489.00","5,291.00","547.22K","1.18%"
"02/27/2026","5,425.00","5,389.00","5,450.00","5,373.00","667.81K","0.80%"
"02/26/2026","5,382.00","5,234.00","5,439.00","5,176.00","496.91K","2.36%"
"02/25/2026","5,258.00","5,262.00","5,299.00","5,252.00","219.88K","-0.64%"
"02/24/2026","5,292.00","5,356.00","5,374.00","5,245.00","646.56K","-1.64%"
"02/23/2026","5,380.00","5,310.00","5,397.00","5,310.00","377.92K","1.24%"
"02/20/2026","5,314.00","5,251.00","5,367.00","5,251.00","266.64K","0.08%"
"02/19/2026","5,310.00","5,302.00","5,369.00","5,299.00","202.16K","-0.32%"
"02/18/2026","5,327.00","5,262.00","5,332.00","5,219.00","135.39K","1.24%"
"02/17/2026","5,262.00","5,256.00","5,267.00","5,182.00","221.69K","-0.17%"
"02/16/2026","5,271.00","5,299.00","5,299.00","5,217.00","286.50K","1.21%"
"02/13/2026","5,208.00","5,249.00","5,280.00","5,147.00","203.28K","-0.69%"
"02/12/2026","5,244.00","5,189.00","5,255.00","5,152.00","309.09K","1.35%"
"02/11/2026","5,174.00","5,236.00","5,236.00","5,115.00","894.77K","-1.18%"
"02/10/2026","5,236.00","5,288.00","5,288.00","5,188.00","556.95K","-0.49%"
"02/09/2026","5,262.00","5,199.00","5,278.00","5,165.00","345.17K","0.59%"
"02/06/2026","5,231.00","5,275.00","5,275.00","5,202.00","451.71K","-1.69%"
"02/05/2026","5,321.00","5,374.00","5,430.00","5,275.00","752.92K","-1.10%"
"02/04/2026","5,380.00","5,493.00","5,493.00","5,334.00","619.49K","-2.06%"
"02/03/2026","5,493.00","5,480.00","5,596.00","5,453.00","485.54K","-0.13%"
"02/02/2026","5,500.00","5,453.00","5,523.00","5,366.00","729.01K","-0.47%"
"01/30/2026","5,526.00","5,600.00","5,647.00","5,526.00","560.48K","-1.83%"
"01/29/2026","5,629.00","5,579.00","5,710.00","5,498.00","844.12K","-0.37%"
"01/28/2026","5,650.00","5,666.00","5,672.00","5,519.00","1.40M","-0.09%"
"01/27/2026","5,655.00","5,633.00","5,754.00","5,579.00","790.15K","1.89%"
"01/26/2026","5,550.00","5,193.00","5,646.00","5,170.00","1.54M","8.65%"
"01/23/2026","5,108.00","5,123.00","5,124.00","5,029.00","322.97K","-0.31%"
"01/22/2026","5,124.00","5,003.00","5,135.00","5,003.00","262.49K","1.71%"
"01/21/2026","5,038.00","5,067.00","5,071.00","4,939.00","431.42K","-0.90%"
"01/20/2026","5,084.00","5,130.00","5,160.00","5,025.00","300.39K","-0.90%"
"01/19/2026","5,130.00","5,206.00","5,207.00","5,089.00","527.19K","-1.87%"
"01/16/2026","5,228.00","4,970.00","5,255.00","4,851.00","1.02M","7.55%"
"01/15/2026","4,861.00","4,700.00","4,894.00","4,700.00","777.54K","1.29%"
"01/14/2026","4,799.00","4,839.00","4,839.00","4,738.00","382.88K","0.17%"
"01/13/2026","4,791.00","4,880.00","4,914.00","4,775.00","419.93K","-2.42%"
"01/12/2026","4,910.00","4,913.00","4,913.00","4,804.00","480.11K","0.41%"
"01/09/2026","4,890.00","4,810.00","4,893.00","4,805.00","248.31K","1.64%"
"01/08/2026","4,811.00","4,761.00","4,868.00","4,761.00","384.19K","-0.76%"
"01/07/2026","4,848.00","4,866.00","4,866.00","4,794.00","210.33K","-0.12%"
"01/06/2026","4,854.00","4,802.00","4,893.00","4,780.00","407.22K","0.48%"
"01/05/2026","4,831.00","4,814.00","4,866.00","4,780.00","255.15K","0.00%"
"01/02/2026","4,831.00","4,799.00","4,831.00","4,732.00","288.47K","1.05%"
"12/31/2025","4,781.00","4,810.00","4,810.00","4,738.00","47.62K","-0.48%"
"12/30/2025","4,804.00","4,730.00","4,824.00","4,730.00","296.09K","0.65%"
"12/29/2025","4,773.00","4,650.00","4,795.00","4,650.00","200.63K","-0.33%"
