"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","32,250.00","33,600.00","33,716.00","31,581.00","1.79M","-3.04%"
"03/26/2026","33,261.00","33,023.00","33,554.00","31,641.00","1.93M","-2.04%"
"03/25/2026","33,952.00","32,350.00","34,500.00","32,350.00","2.15M","6.20%"
"03/24/2026","31,970.00","30,201.00","31,998.00","30,201.00","1.86M","0.95%"
"03/23/2026","31,668.00","30,001.00","32,112.00","28,022.00","3.32M","0.57%"
"03/20/2026","31,490.00","32,000.00","33,358.00","31,260.00","3.68M","-1.86%"
"03/19/2026","32,087.00","33,800.00","35,085.00","30,799.00","6.12M","-8.49%"
"03/18/2026","35,065.00","36,405.00","37,100.00","33,838.00","1.87M","-6.59%"
"03/17/2026","37,540.00","35,744.00","38,000.00","35,340.00","2.37M","2.67%"
"03/16/2026","36,564.00","35,211.00","36,568.00","34,484.00","2.91M","5.79%"
"03/13/2026","34,564.00","38,001.00","38,939.00","34,564.00","2.08M","-9.51%"
"03/12/2026","38,197.00","38,192.00","40,000.00","37,507.00","1.11M","-1.41%"
"03/11/2026","38,745.00","40,000.00","40,000.00","37,793.00","1.53M","-3.22%"
"03/10/2026","40,035.00","38,672.00","40,380.00","38,672.00","1.82M","5.14%"
"03/09/2026","38,076.00","37,857.00","38,482.00","37,091.00","2.43M","-1.82%"
"03/06/2026","38,782.00","38,551.00","39,568.00","37,777.00","2.34M","-0.07%"
"03/05/2026","38,810.00","40,992.00","40,992.00","38,273.00","2.06M","-3.71%"
"03/04/2026","40,307.00","37,697.00","41,464.00","37,697.00","2.05M","7.93%"
"03/03/2026","37,344.00","42,599.00","42,599.00","37,075.00","2.99M","-13.40%"
"03/02/2026","43,122.00","43,696.00","45,239.00","42,733.00","2.47M","-0.49%"
"02/27/2026","43,335.00","44,897.00","46,045.00","42,409.00","3.49M","1.59%"
"02/26/2026","42,658.00","41,599.00","43,191.00","40,863.00","2.53M","4.65%"
"02/25/2026","40,762.00","39,552.00","41,562.00","39,552.00","1.67M","5.05%"
"02/24/2026","38,803.00","38,512.00","39,531.00","38,276.00","1.49M","-0.82%"
"02/23/2026","39,123.00","39,041.00","39,698.00","38,564.00","1.07M","1.09%"
"02/20/2026","38,700.00","37,005.00","38,875.00","37,004.00","1.31M","4.57%"
"02/19/2026","37,007.00","36,768.00","37,831.00","36,262.00","1.03M","-0.57%"
"02/18/2026","37,221.00","37,000.00","37,887.00","36,098.00","2.43M","3.45%"
"02/17/2026","35,981.00","36,150.00","36,986.00","35,869.00","1.31M","-2.40%"
"02/16/2026","36,867.00","36,189.00","37,550.00","36,189.00","837.64K","-0.49%"
"02/13/2026","37,050.00","37,374.00","37,550.00","35,719.00","1.57M","-2.95%"
"02/12/2026","38,178.00","37,752.00","38,425.00","37,139.00","1.19M","1.13%"
"02/11/2026","37,750.00","37,200.00","38,929.00","37,200.00","922.41K","2.09%"
"02/10/2026","36,977.00","36,499.00","36,977.00","35,578.00","1.01M","1.69%"
"02/09/2026","36,361.00","36,539.00","37,278.00","35,148.00","1.57M","1.64%"
"02/06/2026","35,774.00","34,800.00","35,993.00","34,506.00","1.41M","0.45%"
"02/05/2026","35,612.00","38,000.00","38,000.00","34,956.00","2.62M","-9.28%"
"02/04/2026","39,253.00","38,805.00","39,761.00","38,175.00","1.96M","3.19%"
"02/03/2026","38,040.00","37,400.00","38,399.00","36,966.00","2.00M","3.93%"
"02/02/2026","36,600.00","35,111.00","37,405.00","33,001.00","6.20M","-7.76%"
"01/30/2026","39,680.00","43,499.00","43,499.00","38,457.00","2.76M","-12.56%"
"01/29/2026","45,380.00","47,050.00","47,445.00","45,103.00","3.59M","-1.58%"
"01/28/2026","46,108.00","44,417.00","46,108.00","43,244.00","2.67M","6.17%"
