"Date","Price","Open","High","Low","Vol.","Change %"
"2026/04/07","9,520","9,400","9,565","9,335","232.83K","1.28%"
"2026/04/02","9,400","9,550","9,550","9,320","125.49K","-1.57%"
"2026/04/01","9,550","9,779","9,806","9,525","974.05K","0.00%"
"2026/03/31","9,550","9,650","9,650","9,299","672.31K","1.75%"
"2026/03/30","9,386","9,450","9,638","9,353","761.30K","-0.32%"
"2026/03/27","9,416","9,471","9,471","9,285","440.09K","-0.04%"
"2026/03/26","9,420","9,390","9,490","9,251","426.22K","0.35%"
"2026/03/25","9,387","8,807","9,390","8,807","360.01K","2.47%"
"2026/03/24","9,161","8,850","9,161","8,850","820.03K","1.28%"
"2026/03/23","9,045","9,000","9,065","8,697","364.97K","0.37%"
"2026/03/20","9,012","9,180","9,180","9,002","1.18M","0.00%"
"2026/03/19","9,012","9,180","9,180","8,890","358.00K","-0.20%"
"2026/03/18","9,030","8,982","9,173","8,981","457.22K","0.53%"
"2026/03/17","8,982","8,900","8,990","8,898","413.34K","0.58%"
"2026/03/16","8,930","8,900","8,981","8,828","798.43K","1.11%"
"2026/03/13","8,832","8,800","8,855","8,733","176.81K","0.84%"
"2026/03/12","8,758","8,988","8,988","8,711","130.13K","0.02%"
"2026/03/11","8,756","8,987","8,987","8,627","178.49K","-0.74%"
"2026/03/10","8,821","8,663","8,861","8,651","206.76K","1.82%"
"2026/03/09","8,663","8,800","8,800","8,575","113.10K","-1.14%"
"2026/03/06","8,763","8,883","8,931","8,661","286.35K","-0.85%"
"2026/03/05","8,838","9,000","9,000","8,665","228.19K","1.86%"
"2026/03/04","8,677","8,560","8,717","8,560","147.68K","-0.07%"
"2026/03/03","8,683","8,956","8,956","8,650","251.75K","-2.98%"
"2026/03/02","8,950","8,900","8,989","8,879","410.81K","0.00%"
"2026/02/27","8,950","8,995","8,995","8,878","337.51K","0.40%"
"2026/02/26","8,914","8,896","8,980","8,871","424.62K","0.20%"
"2026/02/25","8,896","8,941","8,990","8,862","163.61K","-0.80%"
"2026/02/24","8,968","8,986","9,074","8,799","341.80K","1.96%"
"2026/02/23","8,796","8,904","8,905","8,770","595.11K","0.13%"
"2026/02/20","8,785","8,904","8,904","8,760","317.39K","0.31%"
"2026/02/19","8,758","8,750","8,859","8,658","300.57K","-0.34%"
"2026/02/18","8,788","8,781","8,807","8,737","268.10K","0.21%"
"2026/02/17","8,770","8,733","8,816","8,711","465.97K","-0.07%"
"2026/02/16","8,776","8,688","8,845","8,667","322.03K","1.62%"
"2026/02/13","8,636","8,559","8,692","8,559","679.24K","0.42%"
"2026/02/12","8,600","8,617","8,749","8,322","911.72K","-0.49%"
"2026/02/11","8,642","8,651","8,666","8,622","273.98K","0.03%"
"2026/02/10","8,639","8,659","8,710","8,535","270.56K","-0.05%"
"2026/02/09","8,643","8,650","8,744","8,576","157.07K","0.27%"
"2026/02/06","8,620","8,630","8,688","8,609","342.91K","-0.32%"
"2026/02/05","8,648","8,622","8,684","8,574","265.96K","-0.17%"
"2026/02/04","8,663","8,551","8,785","8,528","572.06K","0.78%"
"2026/02/03","8,596","8,627","8,644","8,547","398.84K","0.59%"
"2026/02/02","8,546","8,418","8,593","8,261","165.69K","1.10%"
"2026/01/30","8,453","8,516","8,627","8,453","229.78K","-1.39%"
"2026/01/29","8,572","8,500","8,640","8,500","117.19K","0.36%"
"2026/01/28","8,541","8,620","8,620","8,524","137.67K","-0.59%"
"2026/01/27","8,592","8,595","8,610","8,528","182.08K","0.35%"
"2026/01/26","8,562","8,543","8,671","8,542","253.93K","0.34%"
"2026/01/23","8,533","8,599","8,599","8,507","242.02K","-1.01%"
"2026/01/22","8,620","8,507","8,681","8,493","420.30K","1.53%"
"2026/01/21","8,490","8,468","8,512","8,383","210.57K","1.04%"
"2026/01/20","8,403","8,429","8,491","8,266","153.40K","0.23%"
"2026/01/19","8,384","8,476","8,476","8,353","112.85K","-1.09%"
"2026/01/16","8,476","8,425","8,563","8,411","393.20K","0.90%"
"2026/01/15","8,400","8,400","8,550","8,348","585.75K","0.17%"
"2026/01/14","8,386","8,320","8,400","8,313","234.12K","1.04%"
"2026/01/13","8,300","8,161","8,300","8,091","254.27K","1.13%"
"2026/01/12","8,207","8,061","8,250","8,061","190.89K","1.75%"
"2026/01/09","8,066","8,026","8,124","7,976","145.45K","0.95%"
"2026/01/08","7,990","8,028","8,064","7,949","59.33K","-0.13%"
